Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
́	NULL
̀	NULL
͏	NULL		Weird joiner character
_	NULL	16	U+005f
-	NULL	3	U+002d
’	NULL
`	NULL
0	NULL
1	NULL
ã̀	ã ¹
à	a ¹	179	U+00e0
ã̌	ã ¹ ⁵
ǎ	a ¹ ⁵	7	U+01ce
a	a ³
ã̄	ã ³
ā	a ³	12	U+0101
ã́	ã ⁵
á	a ⁵	134	U+00e1
ã̂	ã ⁵ ¹
â	a ⁵ ¹	4	U+00e2
a᷇	a ⁵ ³
a:	aː ³
á:	aː ⁵
ã̀ː	ã ¹
ã̌ː	ã ¹ ⁵
àː	aː ¹	18	U+00e0 U+02d0
ǎː	aː ¹ ⁵	6	U+01ce U+02d0
aː	aː ³
ã̄ː	ãː ³
āː	aː ³
ã́ː	ãː ⁵
áː	aː ⁵	11	U+00e1 U+02d0
ã̂ː	ãː ⁵ ¹
âː	aː ⁵ ¹	6	U+00e2 U+02d0
ã᷇ː	ãː ⁵ ³
a᷇ː	aː ⁵ ³	11	U+0061 U+1dc7 U+02d0
a21ː	aː ² ¹
æ̀	æ ¹
æ̌	æ ¹ ⁵
æ̃̄	æ̃ ³
ǣ	æ ³
æ	æ ³		Making all untoned vowels mid by default or alignment doesn't work well
ǽ	æ ⁵
æ̂	æ ⁵ ¹
æ᷇	æ ⁵ ³
ǽː	æ ⁵
àʲ	a ¹ j	4	U+00e0 U+02b2
àⁿ	a n ¹	12	U+00e0 U+207f
ᴂ̀	æ ¹
ᴂ̌	æ ¹ ⁵
ᴂ̄	æ ³
ᴂ́	æ ⁵
ᴂ̂	æ ⁵ ¹
ɑ̀	ɑ ¹
ɑ̃̀	ɑ̃ ¹
ɑ	ɑ ³
ɑ̄	ɑ ³
ɑ́	ɑ ⁵	
ɑ̂	ɑ ⁵ ¹
ɑ̌	ɑ ⁵ ¹
ɑ᷇	ɑ ⁵ ³
ɑ̌ː	aː ¹ ⁵
ɑ̂ː	aː ⁵ ¹	5	U+0251 U+0302 U+02d0
ɑ̀ː	ɑː ¹
ɑ̃̀ː	ɑ̃ː ¹
ɑː	ɑː ³
ɑ̄ː	ɑː ³
ɑ́ː	ɑː ⁵
ɑ᷇ː	ɑː ⁵ ³
ɒ̀	ɒ ¹
ɒ̃̀	ɒ̃ ¹
ɒ̃̌	ɒ̃ ¹ ⁵
ɒ̌	ɒ ¹ ⁵	3	U+0252 U+030c
ɒ	ɒ ³
ɒ̄	ɒ ³
ɒ́	ɒ ⁵	4	U+0252 U+0301
ɒ̂	ɒ ⁵ ¹
ɒ᷇	ɒ ⁵ ³	4	U+0252 U+1dc7
ɒ̃̂ː	ɒ̃ ⁵ ¹
ɒ́ː	ɒː ¹
ɒ̀ː	ɒː ¹
ɒ̌ː	ɒː ¹ ⁵	11	U+0252 U+030c U+02d0
ɒ̄ː	ɒː ³
ɒ̃́ː	ɒ̃ː ⁵
ɒ̂ː	ɒː ⁵ ¹
ɒ᷇ː	ɒː ⁵ ³	15	U+0252 U+1dc7 U+02d0
b	b	541	U+0062
bᵇ	b
bʷ	bʷ
d	d	60	U+0064
dʷ	dʷ
dzʷ	dzʷ
dʒ	dʒ	125	U+0064 U+0292
dʒʷ	dʒʷ	8	U+0064 U+0292 U+02b7
ẽ̀	ẽ ¹
è	e ¹	22	U+00e8
ě	e ¹ ⁵
e	e ³
ẽ̄	ẽ ³
ē	e ³	9	U+0113
