ID	Concept	Doculect	Value	Tokens
1	animal	Tiv_Tivoid	i̱nya̱m	i n j a m
2	arm	Tiv_Tivoid	wəgh	w ə g h
3	ashes	Tiv_Tivoid	m-tuhwem	m t u h w e m
4	bark	Tiv_Tivoid	ivuṷgh	i v u u g h
5	bed	Tiv_Tivoid	ga̱mbə	g a m b ə
6	belly	Tiv_Tivoid	gbo̱r	gb o r
7	big	Tiv_Tivoid	dzəgə̱	d z ə g ə
8	bird	Tiv_Tivoid	i̱nyo̭n	i n j o n
9	bite	Tiv_Tivoid	nyu̥ma̱	n j u m a
10	blood	Tiv_Tivoid	awambə̥	a w a m b ə
11	bone	Tiv_Tivoid	kuhwə	k u h w ə
12	breast	Tiv_Tivoid	ityumba	i t j u m b a
13	burn	Tiv_Tivoid	a̱ŋgə̱r	a ŋ g ə r
14	child	Tiv_Tivoid	wan	w a n
15	cloud	Tiv_Tivoid	ibəmbəgh	i b ə m b ə g h
16	come	Tiv_Tivoid	vḁ	v a
17	count	Tiv_Tivoid	ɔ̱r	ɔ r
18	die	Tiv_Tivoid	kpwə̥	kp w ə
19	dog	Tiv_Tivoid	i̱wa	i w a
20	drink	Tiv_Tivoid	mḁ	m a
21	ear	Tiv_Tivoid	to-g̥h	t o g h
22	eat	Tiv_Tivoid	yḁ	j a
23	egg	Tiv_Tivoid	iji̥	i j i
24	elephant	Tiv_Tivoid	no̱r	n o r
25	eye	Tiv_Tivoid	íshə́	i s h əː
26	face	Tiv_Tivoid	ishigh	i s h i g h
27	fall	Tiv_Tivoid	gba̝kon	gb a k o n
28	fat, oil	Tiv_Tivoid	m-kurem	m k u r e m
29	feather	Tiv_Tivoid	ŋgu-r̥	ŋ g u r̥
30	fingernail	Tiv_Tivoid	i̱kuu̱l	i k u u l
31	fire	Tiv_Tivoid	usu̥	u s u
32	fire-wood	Tiv_Tivoid	kon	k o n
33	fish	Tiv_Tivoid	i̱shu	i s h u
34	five	Tiv_Tivoid	u̱tḁa̱n	u t a a n
35	fly	Tiv_Tivoid	pu̱ru̱gh	p u r u g h
36	four	Tiv_Tivoid	nyido	n j i d o
37	give	Tiv_Tivoid	na	n a
38	goat	Tiv_Tivoid	iv̱o	i v o
39	ground, soil	Tiv_Tivoid	inya	i n j a
40	hair	Tiv_Tivoid	ícə	i c ə
41	head	Tiv_Tivoid	ityough	i t j o u g h
42	hear	Tiv_Tivoid	u̥ŋgwa̱	u ŋ g w a
43	heart	Tiv_Tivoid	i̱shima	i s h i m a
44	horn	Tiv_Tivoid	ko-r̥	k o r̥
45	house	Tiv_Tivoid	i̱you	i j o u
46	hunger	Tiv_Tivoid	i̱jə̭n	i j ə n
47	intestine	Tiv_Tivoid	m-ya̭m	m j a m
48	kill	Tiv_Tivoid	wu̥a̱	w u a
49	knee	Tiv_Tivoid	inyu	i n j u
50	knife	Tiv_Tivoid	ihɔ̥	i h ɔ
51	know	Tiv_Tivoid	fḁ	f a
52	leaf	Tiv_Tivoid	ahu̥	a h u
53	leg	Tiv_Tivoid	ŋguhwar	ŋ g u h w a r
54	liver	Tiv_Tivoid	m-təmam	m t ə m a m
55	louse	Tiv_Tivoid	i̱u̱su̱	i u s u
56	man	Tiv_Tivoid	iyor̭	i j o r
57	moon	Tiv_Tivoid	uwer	u w e r
58	mouth	Tiv_Tivoid	dzwa	d z w a
59	name	Tiv_Tivoid	iti	i t i
60	navel	Tiv_Tivoid	i̱combo̱	i c o m b o
61	neck	Tiv_Tivoid	mo-n̥	m o n
62	night	Tiv_Tivoid	tugh	t u g h
63	nose	Tiv_Tivoid	ihiŋgḁ	i h i ŋ g a
64	one	Tiv_Tivoid	mɔm̭	m ɔ m
65	person	Tiv_Tivoid	oṟ	o r
66	rain	Tiv_Tivoid	ura	u r a
67	road	Tiv_Tivoid	i̱gbu̱du̱	i gb u d u
68	root	Tiv_Tivoid	misə̥	m i s ə
69	salt	Tiv_Tivoid	bar	b a r
70	sand	Tiv_Tivoid	wara̱wa	w a r a w a
