ID	Concept	Doculect	Value	Tokens
1	animal	Fefe_Grassfields	nə̀ə	n ə ¹ ə ³
2	arm	Fefe_Grassfields	pō	p o ³
3	ashes	Fefe_Grassfields	vhʉ̄	v h ʉ ³
4	bark	Fefe_Grassfields	kɔ̀p	k ɔ ¹ p
5	bed	Fefe_Grassfields	kwɛ̄n	k w ɛ ³ n
6	belly	Fefe_Grassfields	vàm	v a ³ m
7	bird	Fefe_Grassfields	sāk	s a ³ k
8	bite	Fefe_Grassfields	lōm	l o ³ m
9	blood	Fefe_Grassfields	nsì˚	n s i ¹
10	bone	Fefe_Grassfields	cwīi	c w i ³ i ³
11	breast	Fefe_Grassfields	pɛ̄n	p ɛ ³ n
12	burn	Fefe_Grassfields	tòo	t o ¹ o ³
13	child	Fefe_Grassfields	mūu ~ mōo	m u ³ u ³
14	cloud	Fefe_Grassfields	ndùa	n d u ¹ a ³
15	come	Fefe_Grassfields	sàʔ	s a ¹ ʔ
16	count	Fefe_Grassfields	sāh	s a ³ h
17	die	Fefe_Grassfields	kʉ̄a	k ʉ ³ a ³
18	dog	Fefe_Grassfields	mvʉ̄a	m v ʉ ³ a ³
19	drink	Fefe_Grassfields	nū	n u ³
20	ear	Fefe_Grassfields	tɔ̄k	t ɔ ³ k
21	eat	Fefe_Grassfields	zā ?	z a ³
22	egg	Fefe_Grassfields	pòm	p o ³ m
23	elephant	Fefe_Grassfields	sʉ̄ʉ	s ʉ ³ ʉ ³
24	eye	Fefe_Grassfields	zāh ~ zə̄k	z a ³ h
25	face	Fefe_Grassfields	sī	s i ³
26	fall	Fefe_Grassfields	wùa	w u ¹ a ³
27	fat, oil	Fefe_Grassfields	mvāt	m v a ³ t
28	feather	Fefe_Grassfields	fhʉ̀	f h ʉ ¹
29	fingernail	Fefe_Grassfields	ŋkɔ̀p˚	ŋ k ɔ ¹ p
30	fire	Fefe_Grassfields	mɔ̄h ~ mūk	m ɔ ³ h
31	fire-wood	Fefe_Grassfields	ncwī	n c w i ³
32	fish	Fefe_Grassfields	mbàānši	m b a ¹ a ³ n ʃ i ³
33	five	Fefe_Grassfields	tīì ~ tēè	t i ³ i ¹
34	four	Fefe_Grassfields	kùx	k u ¹ x
35	give	Fefe_Grassfields	hā	h a ³
36	goat	Fefe_Grassfields	mvī	m v i ³
37	ground, soil	Fefe_Grassfields	cāʔ	c a ³ ʔ
38	head	Fefe_Grassfields	thū	t h u ³
39	hear	Fefe_Grassfields	ɥūʔ	ɥ u ³ ʔ
40	heart	Fefe_Grassfields	ntām	n t a ³ m
41	horn	Fefe_Grassfields	ndɛ̄ˀ	n d ɛ ³ ʔ
42	house	Fefe_Grassfields	ndʉ̄a	n d ʉ ³ a ³
43	hunger	Fefe_Grassfields	nžiɛ̀	n ʒ i ³ ɛ ¹
44	intestine	Fefe_Grassfields	ntǒ	n t o ¹⁵
45	kill	Fefe_Grassfields	žī	ʒ i ³
