# Wordlist

# DATA
ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID
#
1	animal	Tiv_Tivoid	i̱nya̱m	i n j a m	7 4 6 7 4	XBCYN	INJAM	201	201.I.V 201.N.C 201.J.C 201.A.V 201.M.c	1.5 1.75 1.5 1.3 0.8	injam	0	1	1
100	animal	A11_Londo	n-yàmà	n j a m a	4 6 7 4 7	ACXBZ	NJAMA	1	1.N.C 1.J.C 1.A.V 1.M.C 1.A.V	2.0 1.5 1.5 1.75 0.8	njama	0	1	1
200	animal	A121_Mbonge	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	2	2.N.C 2.A.V 2.M.C 2.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
300	animal	A122_Bakundu	ɲàmà	ɲ a m a	4 7 4 7	AXBZ	NAMA	3	3.N.C 3.A.V 3.M.C 3.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
400	animal	A141_Lefo	ɲàm	ɲ a m	4 7 4	AXN	NAM	4	4.N.C 4.A.V 4.M.c	2.0 1.5 0.8	ɲam	0	1	1
500	animal	A15A_Mbuu	ɲàm	ɲ a m	4 7 4	AXN	NAM	6	6.N.C 6.A.V 6.M.c	2.0 1.5 0.8	ɲam	0	1	1
600	animal	A15B_Mienge_NW_Manenguba	ɲàm	ɲ a m	4 7 4	AXN	NAM	7	7.N.C 7.A.V 7.M.c	2.0 1.5 0.8	ɲam	0	1	1
700	animal	A15C_Elung_Central_Manenguba	ɲà	ɲ a	4 7	AX	NA	9	9.N.C 9.A.V	2.0 1.5	ɲa	0	1	1
800	animal	A15C_Akossi	ɲàm	ɲ a m	4 7 4	AXN	NAM	8	8.N.C 8.A.V 8.M.c	2.0 1.5 0.8	ɲam	0	1	1
899	animal	A15C_Mkaa	ɲàm	ɲ a m	4 7 4	AXN	NAM	10	10.N.C 10.A.V 10.M.c	2.0 1.5 0.8	ɲam	0	1	1
999	animal	A151_Nkongho	ɲà	ɲ a	4 7	AX	NA	5	5.N.C 5.A.V	2.0 1.5	ɲa	0	1	1
1099	animal	A24_Duala	ńama	n a m a	4 7 4 7	AXBZ	NAMA	11	11.N.C 11.A.V 11.M.C 11.A.V	2.0 1.5 1.75 0.8	nama	0	1	1
1198	animal	A43a_Basaa	tiri	t i r i	1 7 5 7	AXBZ	TIRI	12	12.T.C 12.I.V 12.R.C 12.I.V	2.0 1.5 1.75 0.8	tiri	0	12	2
1298	animal	A62A_Nukalonge	pùâɲ	p u a ɲ	1 7 7 4	AXYN	PYAN	14	14.P.C 14.Y.V 14.A.V 14.N.c	2.0 1.5 1.3 0.8	puaɲ	0	14	3
1398	animal	A622_Nugunu	n-nyama	n n j a m a	4 4 6 7 4 7	ACCYBZ	NNJAMA	13	13.N.C 13.N.C 13.J.C 13.A.V 13.M.C 13.A.V	2.0 1.5 1.5 1.3 1.75 0.8	nnjama	0	1	1
1497	animal	A63_Mangisa	tid	t i d	1 7 1	AXN	TIT	15	15.T.C 15.I.V 15.T.c	2.0 1.5 0.8	tid	0	15	2
1597	animal	A71_Eton	tíd	t i d	1 7 1	AXN	TIT	16	16.T.C 16.I.V 16.T.c	2.0 1.5 0.8	tid	0	15	2
1695	animal	A72a_Ewondo	tsít	ts i t	2 7 1	AXN	CIT	17	17.C.C 17.I.V 17.T.c	2.0 1.5 0.8	tsit	0	15	2
1794	animal	A75a_Fang_Bitam	tsit	ts i t	2 7 1	AXN	CIT	18	18.C.C 18.I.V 18.T.c	2.0 1.5 0.8	tsit	0	15	2
1894	animal	A75a_Fang_Minvoul	tsit	ts i t	2 7 1	AXN	CIT	19	19.C.C 19.I.V 19.T.c	2.0 1.5 0.8	tsit	0	15	2
1992	animal	A803_Shiwa	tsɨʁɨ	ts ɨ ʁ ɨ	2 7 5 7	AXBZ	CIRI	20	20.C.C 20.I.V 20.R.C 20.I.V	2.0 1.5 1.75 0.8	tsɨʁɨ	0	12	2
2092	animal	A832_Bekol	tíd	t i d	1 7 1	AXN	TIT	21	21.T.C 21.I.V 21.T.c	2.0 1.5 0.8	tid	0	15	2
2190	animal	A84_Njem	tír	t i r	1 7 5	AXN	TIR	23	23.T.C 23.I.V 23.R.c	2.0 1.5 0.8	tir	0	12	2
2289	animal	A841_Badwe	tír	t i r	1 7 5	AXN	TIR	22	22.T.C 22.I.V 22.R.c	2.0 1.5 0.8	tir	0	12	2
2387	animal	A85b_Bekwil_Mv	tit	t i t	1 7 1	AXN	TIT	24	24.T.C 24.I.V 24.T.c	2.0 1.5 0.8	tit	0	15	2
2486	animal	A86c_Mpiemo	tīrī	t i r i	1 7 5 7	AXBZ	TIRI	25	25.T.C 25.I.V 25.R.C 25.I.V	2.0 1.5 1.75 0.8	tiri	0	12	2
