Variety	Concept	Stability
naki1238	five	0.9140309551
naki1238	child	0.8924370117
naki1238	animal	0.839653924
naki1238	person	0.823387516
naki1238	four	0.8009663836
naki1238	hunger	0.7906522716
naki1238	rain	0.7727877606
naki1238	ten	0.7726041045
naki1238	tongue	0.7709951855
naki1238	tooth	0.7630477677
naki1238	three	0.7576288749
naki1238	bird	0.726502054
naki1238	goat	0.71937432
naki1238	name	0.7155582588
naki1238	fat, oil	0.7153240163
naki1238	shame	0.7130099796
naki1238	eye	0.7120063776
naki1238	house	0.7029526834
naki1238	drink	0.7001971913
naki1238	moon	0.6948890117
naki1238	die	0.6944741886
naki1238	send	0.687535694
naki1238	two	0.680567285
naki1238	elephant	0.6621924276
naki1238	breast	0.6581800793
naki1238	dog	0.6534315235
naki1238	mouth	0.6506266573
naki1238	head	0.6376001693
naki1238	water	0.6363713964
naki1238	sing	0.635434865
naki1238	bite	0.6325833502
naki1238	see	0.629464937
naki1238	snake	0.6264330013
naki1238	road	0.6262961657
naki1238	spear	0.6259546988
naki1238	ear	0.6256993881
naki1238	tail	0.6192453394
naki1238	know	0.6183622335
naki1238	neck	0.6169415864
naki1238	steal	0.6090043046
naki1238	salt	0.6089173645
naki1238	arm	0.6034820382
naki1238	heart	0.5985468723
naki1238	leg	0.596165023
naki1238	tree	0.5955326363
naki1238	eat	0.5931370224
naki1238	sand	0.592091436
naki1238	horn	0.5864561943
naki1238	fall	0.5840809093
naki1238	vomit	0.5786949837
naki1238	liver	0.5772116765
naki1238	face	0.5770440232
naki1238	fire	0.5756308632
naki1238	belly	0.5698586492
naki1238	sleep	0.5637542435
naki1238	one	0.5542616546
naki1238	intestine	0.5510638132
naki1238	count	0.5491321022
naki1238	fire-wood	0.547911488
naki1238	root	0.5461465983
naki1238	big	0.54380203
naki1238	night	0.5407231845
naki1238	nose	0.5400505831
naki1238	come	0.5368403324
naki1238	louse	0.5349649299
naki1238	egg	0.5304113893
naki1238	walk	0.5253362196
naki1238	urine	0.5236275735
naki1238	fish	0.5180576808
naki1238	iron	0.5127455997
naki1238	dew	0.5127080309
naki1238	fly	0.5116388271
naki1238	give	0.5103994519
naki1238	war	0.5070057815
naki1238	woman	0.5030569782
naki1238	stone	0.5026078823
naki1238	skin	0.5019641398
naki1238	knee	0.499856379
naki1238	burn	0.4988292037
naki1238	bed	0.4976502546
naki1238	smoke	0.4956788905
naki1238	wind	0.4950008813
naki1238	blood	0.4896849088
naki1238	ground, soil	0.4864859607
naki1238	navel	0.4819788338
naki1238	bone	0.481031159
naki1238	feather	0.4774136079
naki1238	hear	0.4698287325
naki1238	cloud	0.4675358155
naki1238	ashes	0.4660997624
naki1238	man	0.4606353926
naki1238	sun	0.4521386781
naki1238	bark	0.4515907795
naki1238	sky	0.4423192952
naki1238	kill	0.43747688
naki1238	leaf	0.4253621761
naki1238	hair	0.4186991735
naki1238	village	0.4075113996
naki1238	knife	0.401944062
naki1238	fingernail	0.3768281685
