Doculect1	Doculect2	SharedCognateCount
a11londo	a121mbonge	67
a11londo	a122bakundu	58
a11londo	a141lefo	38
a11londo	a151nkongho	16
a11londo	a15ambuu	24
a11londo	a15bmiengenwmanenguba	25
a11londo	a15cakossi	26
a11londo	a15celungcentralmanenguba	22
a11londo	a15cmkaa	33
a11londo	a15manenguba	23
a11londo	a22bakweri	38
a11londo	a24duala	37
a11londo	a27malimba	26
a11londo	a31bubi	7
a11londo	a32cbatanga	21
a11londo	a33ayasa	27
a11londo	a34benga	25
a11londo	a41barombikang	18
a11londo	a42abo	21
a11londo	a43abasaa	19
a11londo	a44tunen	14
a11londo	a45nyokon	9
a11londo	a462yambeta	11
a11londo	a46nomaande	13
a11londo	a51bafiamaja	11
a11londo	a53bafiarikpa	11
a11londo	a54tibea	14
a11londo	a601tuki	17
a11londo	a61ngoroasom	19
a11londo	a61ngorobisoo	20
a11londo	a61ngorolunda	17
a11londo	a621nubaca	12
a11londo	a622nugunu	15
a11londo	a62anuasue	13
a11londo	a62anukalonge	17
a11londo	a62bmmala	14
a11londo	a62clibie	13
a11londo	a63mangisa	26
a11londo	a71eton	24
a11londo	a72aewondo	22
a11londo	a74abulu	24
a11londo	a75afangbitam	22
a11londo	a75afangmedouneu	21
a11londo	a75afangminvoul	23
a11londo	a803shiwa	12
a11londo	a81kwasio	19
a11londo	a832bekol	16
a11londo	a83mekaa	12
a11londo	a841badwe	19
a11londo	a84njem	19
a11londo	a85bbekwilmakokou	16
a11londo	a85bbekwilmv	17
a11londo	a86cmpiemo	19
a11londo	a87bomwali	14
a11londo	a91kwakum	17
a11londo	a93kako	23
a11londo	aghemgrassfields	10
a11londo	b11ampongwe	13
a11londo	b11borungu	17
a11londo	b11cgalwa	15
a11londo	b11ddyumba	14
a11londo	b11fenenga	18
a11londo	b201ndasa	21
a11londo	b202sigu	18
a11londo	b203samaye	22
a11londo	b204ndambomoli	19
a11londo	b204ndambomomassoukou	20
a11londo	b204ndambomombadi	18
a11londo	b21seki	24
a11londo	b22akele	19
a11londo	b22bkoya	25
a11londo	b22bngom	22
a11londo	b22emwesa	16
a11londo	b23mbangwe	24
a11londo	b24wumbvu	23
a11londo	b251shake	19
a11londo	b252mahongwe	22
a11londo	b25kota	23
a11londo	b301viya	29
a11londo	b302himba	26
a11londo	b304pinzi	22
a11londo	b305vove	26
a11londo	b31tsogo	33
a11londo	b32kande	21
a11londo	b404ngubi	20
a11londo	b41shira	21
a11londo	b42sangumb	20
a11londo	b42sangumi	22
a11londo	b43punu	23
a11londo	b44lumbu	18
a11londo	b501wanzie	20
a11londo	b501wanzimo	23
a11londo	b503vili	21
a11londo	b51duma	21
a11londo	b51dumala	21
a11londo	b52nzebi	22
a11londo	b53tsaangipoungi	22
a11londo	b601lempini	18
a11londo	b602kaninginord	19
a11londo	b602kaningisud	19
a11londo	b62mbaama	16
a11londo	b63ndumu	19
a11londo	b701atsitsege	17
a11londo	b71aibtekeibalicongo	7
a11londo	b71aletekeleconi	13
a11londo	b71atekedj	16
a11londo	b71atekeos	15
a11londo	b77bfumu	9
a11londo	b78wuumu	9
a11londo	b81tiene	18
a11londo	b82buma	18
a11londo	b84mbunda	16
a11londo	b85dnsongo	15
a11londo	b85emput	13
a11londo	b85yanzi	16
a11londo	b861ngul	16
a11londo	b862lwel	10
a11londo	b863pindi	17
a11londo	b864ngong	14
a11londo	b865nzadi	18
a11londo	b86dinga	16
a11londo	b86dzing	14
a11londo	bamungrassfields	13
a11londo	bilejarawan	7
a11londo	bwazzajarawan	12
a11londo	c101baboledz	19
a11londo	c101baboleep	22
a11londo	c101babolema	19
a11londo	c104aka	22
a11londo	c105mbenga	21
a11londo	c141bonyala	19
a11londo	c142mondongo	11
a11londo	c15bongili	10
a11londo	c21ngare	19
a11londo	c22akwa	24
a11londo	c24koyo	20
a11londo	c25abunji	21
