Concept	Stability
child	0.905016553
five	0.8327877277
rain	0.8007931486
person	0.7876754275
four	0.7724837284
ten	0.7716848786
tongue	0.7666545101
animal	0.7561371118
hunger	0.7481045451
three	0.7411745167
name	0.7411695708
drink	0.710726847
send	0.7106295574
see	0.6961593364
water	0.6915478389
tooth	0.6870204136
eye	0.6839481257
two	0.6835992229
head	0.6830085675
shame	0.6809276441
house	0.6802617253
bird	0.6789415469
ear	0.6689879815
dog	0.6660656446
die	0.6652375763
arm	0.6627556829
spear	0.6589650968
goat	0.6524807068
breast	0.6518290562
moon	0.6517136436
fat, oil	0.6476121526
elephant	0.64760898
neck	0.6339773723
road	0.6262296568
mouth	0.625798175
heart	0.6239079124
leg	0.614996414
sing	0.6149610066
bite	0.6084932667
sleep	0.6078011094
snake	0.6059611504
one	0.6027514506
eat	0.6017946947
steal	0.5997805988
face	0.585023916
tail	0.5835231212
fall	0.5819854541
sand	0.5808713302
belly	0.5693540294
vomit	0.5667755181
tree	0.5654034943
know	0.5641916141
urine	0.563674388
salt	0.5593677369
count	0.5580207062
walk	0.5578176998
louse	0.5576550729
night	0.5558397655
come	0.5551569948
big	0.5551552953
nose	0.5547580221
fire	0.5546687153
fire-wood	0.5528496221
egg	0.5465201775
horn	0.5444296416
blood	0.5442479913
give	0.5442280233
intestine	0.5383673134
bed	0.5297271573
fly	0.5280427103
wind	0.5251310107
liver	0.5205983815
root	0.5190284238
feather	0.5172425935
fish	0.51345661
skin	0.5102590783
dew	0.5075101046
knee	0.5060064307
woman	0.5051869626
smoke	0.4994931131
stone	0.4959645534
bone	0.4926582792
iron	0.489669862
navel	0.4877959479
war	0.4862801271
cloud	0.4809317705
man	0.4755161373
leaf	0.4738586364
ground, soil	0.4727831071
ashes	0.4651411026
burn	0.4632893626
hear	0.4512739862
sky	0.4490718625
kill	0.4436632079
fingernail	0.4401949785
bark	0.4390515585
sun	0.4319659148
knife	0.417949236
village	0.4164783797
hair	0.4148440798
