	animal	arm	ashes	bark	bed	belly	big	bird	bite	blood	bone	breast	burn	child	cloud	come	count	dew	die	dog	drink	ear	eat	egg	elephant	eye	face	fall	fat, oil	feather	fingernail	fire	fire-wood	fish	five	fly	four	give	goat	ground, soil	hair	head	hear	heart	horn	house	hunger	intestine	iron	kill	knee	knife	know	leaf	leg	liver	louse	man	moon	mouth	name	navel	neck	night	nose	one	person	rain	road	root	salt	sand	see	send	shame	sing	skin	sky	sleep	smoke	snake	spear	steal	stone	sun	tail	ten	three	tongue	tooth	tree	two	urine	village	vomit	walk	war	water	wind	woman
animal	0.0	0.08831760866327847	0.5309040124775547	0.5539373400590035	0.08831760866327847	0.6243437334123523	0.08831760866327847	0.43806854255471483	0.3308251462046368	0.5294901510792764	0.16877724112403095	0.828345894864718	0.08942036680197918	0.08831760866327847	0.08831760866327847	0.10244389988519646	0.08831760866327847	0.08831760866327847	0.4253346273551994	0.7350033231608353	0.27104108243182823	0.6255432421712243	0.30241407517436786	0.1244678828978121	0.08831760866327847	0.41402209222887276	0.08831760866327847	0.08831760866327847	0.1284202247425947	0.36046502255247753	0.1717127175584684	0.13780604031618565	0.08831760866327847	0.2914747351647829	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.09484462161280185	0.08831760866327847	0.36322724702795667	0.13413055020296877	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.28099914544377164	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.0632297477418679	0.29909074269160874	0.08831760866327847	0.08831760866327847	0.13225450605863528	0.8010487877899761	0.054758567819339354	0.08942036680197918	0.08831760866327847	0.09744358559604165	0.4386385734302781	0.544840870541935	0.08831760866327847	0.2836543144655877	0.08831760866327847	0.3865556717425342	0.4805044825192991	0.5406975338287162	0.1829843118161079	0.08658089785895598	0.5003746722144349	0.08831760866327847	0.22797809761795812	0.46410376409600035	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.1986964012509159	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.14314242949747213	0.47158117604204836	0.42060854036489326	0.08831760866327847	0.08831760866327847	0.2587788954718471	0.17884073360395836	0.31851102863530306	0.16729018798633036	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3375544822480619	0.08831760866327847	0.4851621469628244	0.08831760866327847	0.13960750292360263
arm	0.08831760866327847	0.0	0.1182920263511065	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.35837938292952276	0.41582874266744213	0.03161487387093395	0.04471018340098959	0.022355091700494795	0.09484462161280185	0.08831760866327847	0.21674065549436713	0.21903427127735742	0.08831760866327847	0.08831760866327847	0.30814367385706776	0.08658089785895598	0.2888914516986747	0.06706527510148438	0.3161487387093395	0.04998750468554773	0.08831760866327847	0.29318427906225697	0.08831760866327847	0.08831760866327847	0.29657380529811717	0.04471018340098959	0.03161487387093395	0.03161487387093395	0.08831760866327847	0.054758567819339354	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.6661667290885426	0.08831760866327847	0.1244678828978121	0.04998750468554773	0.18023251127623877	0.08831760866327847	0.1284202247425947	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.07069300707549024	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.022355091700494795	0.1448775526000364	0.08831760866327847	0.08831760866327847	0.13780604031618565	0.15161960871578067	0.11616046389935494	0.08831760866327847	0.07414345132452929	0.10244389988519646	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.1244678828978121	0.08831760866327847	0.233394009387968	0.08831760866327847	0.022355091700494795	0.09217240435150875	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.2201721193042855	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.11616046389935494	0.08831760866327847	0.08831760866327847	0.054758567819339354	0.18836735086146092	0.07414345132452929	0.1182920263511065	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.41038493162389383	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.054758567819339354
ashes	0.5309040124775547	0.1182920263511065	0.0	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.25586571940534864	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.06706527510148438	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.04998750468554773	0.08831760866327847	0.22355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.054758567819339354	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.10244389988519646	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.32318381164895005	0.08831760866327847	0.1284202247425947	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.038720154633118314	0.3793784864512074	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.1203858530857692	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.23868706341751864	0.09744358559604165	0.03161487387093395	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.07414345132452929	0.08831760866327847	0.08831760866327847
bark	0.5539373400590035	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3097612370649465	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.14659213953112848	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.09484462161280185	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.22355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847
bed	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847
belly	0.6243437334123523	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.21903427127735742	0.08831760866327847	0.162747524164545	0.09997500937109546	0.14996251405664318	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3839613090619571	0.08831760866327847	0.08831760866327847	0.3360707190992427	0.022355091700494795	0.09997500937109546	0.022355091700494795	0.04998750468554773	0.022355091700494795	0.08831760866327847	0.08060242939383344	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.14314242949747213	0.08831760866327847	0.08831760866327847	0.0632297477418679	0.07744030926623663	0.08831760866327847	0.08831760866327847	0.04998750468554773	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.04998750468554773	0.022355091700494795	0.08831760866327847	0.07069300707549024	0.022355091700494795	0.08658089785895598	0.11177545850247397	0.08831760866327847	0.10721125348377948	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.10951713563867871	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.07414345132452929	0.04471018340098959	0.10951713563867871	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.20243396514635967	0.08831760866327847	0.04471018340098959
big	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.4721107451881803	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.4352071889931557	0.08831760866327847	0.08831760866327847	0.13598071415715043	0.06706527510148438	0.04471018340098959	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.10485467442429873	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.1203858530857692	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.13780604031618565	0.054758567819339354	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847
bird	0.43806854255471483	0.35837938292952276	0.25586571940534864	0.03161487387093395	0.08831760866327847	0.21903427127735742	0.08831760866327847	0.0	0.20731259186221102	0.15648564190346356	0.13780604031618565	0.07744030926623663	0.4276780865641078	0.08831760866327847	0.3105668593281381	0.7333015303630449	0.08831760866327847	0.08831760866327847	0.22577535902668427	0.08831760866327847	0.942632336671584	0.08831760866327847	0.3652852082391523	0.09484462161280185	0.08831760866327847	0.09997500937109546	0.08831760866327847	0.08831760866327847	0.6162873477141355	0.038720154633118314	0.03161487387093395	0.28277202830196096	0.08831760866327847	0.22243035397358787	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.696604171186437	0.08831760866327847	0.12244387999457522	0.1717127175584684	0.21325398324372594	0.04471018340098959	0.2213041170965377	0.10244389988519646	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.3773973842082062	0.022355091700494795	0.4958599212169354	0.18703611615307666	0.08831760866327847	0.05914601317555325	0.08831760866327847	0.26545200623877735	0.6366296814666575	0.08831760866327847	0.09217240435150875	0.04471018340098959	0.09484462161280185	0.2923307567881249	0.08942036680197918	0.13780604031618565	0.08831760866327847	0.15964728739259584	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.15488061853247326	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.34560133081351113	0.08831760866327847	0.2213041170965377	0.08831760866327847	0.08831760866327847	0.23763788443331385	0.054758567819339354	0.3576814672079167	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.22243035397358787	0.08831760866327847	0.30241407517436786
bite	0.3308251462046368	0.41582874266744213	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.4721107451881803	0.20731259186221102	0.0	0.08831760866327847	0.2756120806323713	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.1896892432256037	0.17316179571791196	0.08831760866327847	0.08831760866327847	0.31376866416628296	0.560662847516854	0.24488775998915044	0.08831760866327847	0.08831760866327847	0.16877724112403095	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.5063317233720928	0.04998750468554773	0.08831760866327847	0.08831760866327847	0.08658089785895598	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.4073291561860756	0.08831760866327847	0.08831760866327847	0.08364509399316518	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.11398904880897906	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.20970934884859746	0.08831760866327847	0.1843448087030175	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.608534997004043	0.08831760866327847	0.3105668593281381	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.26826110040593754	0.19743482404360035	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.2355255057696851	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.21558469708954392	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.22577535902668427	0.08831760866327847	0.04998750468554773	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.196165133548727	0.36046502255247753	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.19100198721594439	0.08831760866327847	0.21089751330786308
blood	0.5294901510792764	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.162747524164545	0.08831760866327847	0.15648564190346356	0.08831760866327847	0.0	0.03161487387093395	0.08060242939383344	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.054758567819339354	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.18703611615307666	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.14138601415098048	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.162747524164545	0.08831760866327847	0.08831760866327847	0.04998750468554773	0.05914601317555325	0.054758567819339354	0.1717127175584684	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.038720154633118314	0.08364509399316518	0.08831760866327847	0.19360077316559157	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.13960750292360263	0.08831760866327847	0.08831760866327847	0.09744358559604165	0.10951713563867871	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.06706527510148438	0.08831760866327847	0.5489529354483236	0.038720154633118314	0.04998750468554773	0.08831760866327847	0.19743482404360035	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.054758567819339354	0.08831760866327847	0.1760241680739521
