ConceptA	ConceptB	ChisqPvalue
animal	bone	0.02848575712143928
animal	burn	0.0079960019990005
animal	come	0.010494752623688156
animal	egg	0.015492253873063468
animal	fat, oil	0.01649175412293853
animal	fingernail	0.02948525737131434
animal	fire	0.01899050474762619
animal	give	0.008995502248875561
animal	hair	0.017991004497751123
animal	kill	0.00399800099950025
animal	leaf	0.017491254372813594
animal	liver	0.0029985007496251873
animal	louse	0.0079960019990005
animal	moon	0.009495252373813094
animal	rain	0.033483258370814596
animal	road	0.0074962518740629685
animal	smoke	0.03948025987006497
animal	stone	0.02048975512243878
animal	tooth	0.031984007996002
animal	two	0.02798600699650175
animal	woman	0.019490254872563718
arm	ashes	0.013993003498250875
arm	belly	0.0004997501249375312
arm	blood	0.0009995002498750624
arm	bone	0.001999000499750125
arm	breast	0.0004997501249375312
arm	burn	0.008995502248875561
arm	cloud	0.04697651174412794
arm	come	0.047976011994003
arm	dog	0.0074962518740629685
arm	ear	0.004497751124437781
arm	egg	0.0024987506246876563
arm	feather	0.001999000499750125
arm	fingernail	0.0009995002498750624
arm	fire	0.0009995002498750624
arm	fish	0.0029985007496251873
arm	ground, soil	0.015492253873063468
arm	hair	0.0024987506246876563
arm	head	0.03248375812093953
arm	heart	0.01649175412293853
arm	horn	0.0004997501249375312
arm	kill	0.004997501249375313
arm	leaf	0.0009995002498750624
arm	leg	0.0004997501249375312
arm	liver	0.020989505247376312
arm	moon	0.01899050474762619
arm	mouth	0.022988505747126436
arm	name	0.013493253373313344
arm	neck	0.005497251374312844
arm	night	0.010494752623688156
arm	nose	0.0004997501249375312
arm	one	0.0004997501249375312
arm	person	0.0014992503748125937
arm	rain	0.015492253873063468
arm	sand	0.0004997501249375312
arm	see	0.00849575212393803
arm	skin	0.04847576211894053
arm	smoke	0.0004997501249375312
arm	sun	0.0004997501249375312
arm	tail	0.013493253373313344
arm	tongue	0.0029985007496251873
arm	tooth	0.03548225887056472
arm	tree	0.005497251374312844
arm	two	0.013993003498250875
arm	woman	0.0029985007496251873
ashes	belly	0.0004997501249375312
ashes	bone	0.0004997501249375312
ashes	dog	0.004497751124437781
ashes	ear	0.0004997501249375312
ashes	egg	0.0024987506246876563
ashes	eye	0.04997501249375312
ashes	fish	0.0029985007496251873
ashes	ground, soil	0.0004997501249375312
ashes	leaf	0.010494752623688156
ashes	leg	0.0004997501249375312
ashes	name	0.01649175412293853
ashes	one	0.0009995002498750624
ashes	person	0.0014992503748125937
ashes	stone	0.0004997501249375312
ashes	sun	0.014492753623188406
ashes	tooth	0.009495252373813094
ashes	tree	0.0009995002498750624
ashes	two	0.0014992503748125937
ashes	water	0.005497251374312844
bark	bird	0.0009995002498750624
bark	bone	0.0004997501249375312
bark	feather	0.0004997501249375312
bark	fish	0.02148925537231384
bark	hair	0.008995502248875561
bark	hear	0.0009995002498750624
bark	leg	0.0014992503748125937
bark	two	0.04997501249375312
belly	bird	0.047976011994003
belly	blood	0.026486756621689155
belly	bone	0.009995002498750625
belly	breast	0.022488755622188907
belly	dog	0.0004997501249375312
belly	drink	0.009995002498750625
belly	ear	0.0004997501249375312
belly	eat	0.0024987506246876563
belly	egg	0.0004997501249375312
belly	eye	0.006496751624187906
belly	fat, oil	0.0014992503748125937
belly	fire	0.0014992503748125937
belly	fish	0.0004997501249375312
belly	give	0.02048975512243878
belly	hair	0.00399800099950025
belly	head	0.005997001499250375
belly	horn	0.0024987506246876563
belly	kill	0.0004997501249375312
belly	leg	0.0004997501249375312
belly	man	0.0004997501249375312
belly	moon	0.0009995002498750624
belly	mouth	0.0024987506246876563
belly	name	0.0004997501249375312
belly	neck	0.004997501249375313
belly	night	0.0004997501249375312
belly	nose	0.0074962518740629685
belly	one	0.01249375312343828
belly	rain	0.011494252873563218
belly	see	0.01199400299850075
belly	smoke	0.0004997501249375312
belly	sun	0.0004997501249375312
belly	tongue	0.0009995002498750624
belly	tooth	0.005497251374312844
belly	tree	0.001999000499750125
belly	two	0.01199400299850075
belly	water	0.04097951024487756
belly	woman	0.001999000499750125
big	die	0.018490754622688656
big	dog	0.004497751124437781
big	drink	0.001999000499750125
big	ear	0.0004997501249375312
big	fish	0.010994502748625687
big	head	0.014492753623188406
big	kill	0.0009995002498750624
big	know	0.0004997501249375312
big	leaf	0.0009995002498750624
big	tail	0.0009995002498750624
big	tongue	0.0004997501249375312
big	tree	0.01899050474762619
big	two	0.0029985007496251873
bird	bite	0.04297851074462768
bird	blood	0.02448775612193903
bird	bone	0.01899050474762619
bird	breast	0.005997001499250375
bird	egg	0.008995502248875561
bird	eye	0.009995002498750625
bird	feather	0.0014992503748125937
bird	fingernail	0.0009995002498750624
bird	fish	0.049475262368815595
bird	ground, soil	0.014992503748125937
bird	hair	0.02948525737131434
bird	head	0.04547726136931534
bird	hear	0.001999000499750125
bird	heart	0.04897551224387806
bird	horn	0.010494752623688156
bird	kill	0.0004997501249375312
bird	leaf	0.0004997501249375312
bird	liver	0.03498250874562719
bird	man	0.0034982508745627187
bird	neck	0.00849575212393803
bird	night	0.001999000499750125
bird	nose	0.008995502248875561
bird	person	0.0079960019990005
bird	rain	0.01899050474762619
bird	root	0.025487256371814093
bird	sleep	0.0239880059970015
bird	tail	0.04897551224387806
bird	tooth	0.0029985007496251873
bird	water	0.049475262368815595
bite	cloud	0.035982008995502246
bite	come	0.029985007496251874
bite	egg	0.02848575712143928
bite	fingernail	0.0024987506246876563
bite	fish	0.0074962518740629685
bite	hear	0.0069965017491254375
bite	heart	0.0009995002498750624
bite	kill	0.012993503248375811
bite	know	0.0009995002498750624
bite	leaf	0.04397801099450275
bite	liver	0.03398300849575212
bite	rain	0.038980509745127435
bite	sleep	0.046476761619190406
bite	tail	0.0024987506246876563
bite	tongue	0.0014992503748125937
bite	tree	0.0384807596201899
bite	water	0.03648175912043978
bite	woman	0.04447776111944028
blood	bone	0.0009995002498750624
blood	breast	0.006496751624187906
blood	ear	0.0029985007496251873
blood	egg	0.0014992503748125937
blood	fire	0.0004997501249375312
blood	fish	0.0004997501249375312
blood	goat	0.03498250874562719
blood	hair	0.0004997501249375312
blood	head	0.0009995002498750624
blood	heart	0.01999000499750125
blood	horn	0.0004997501249375312
blood	knee	0.0004997501249375312
blood	leg	0.026486756621689155
blood	man	0.0024987506246876563
blood	moon	0.0034982508745627187
blood	mouth	0.0029985007496251873
blood	name	0.02948525737131434
blood	neck	0.0004997501249375312
blood	nose	0.0014992503748125937
blood	one	0.0069965017491254375
blood	rain	0.037481259370314844
blood	skin	0.019490254872563718
blood	smoke	0.009495252373813094
blood	snake	0.01199400299850075
blood	tail	0.004497751124437781
blood	tongue	0.0014992503748125937
blood	tooth	0.0024987506246876563
blood	two	0.038980509745127435
blood	water	0.0029985007496251873
blood	woman	0.030984507746126936
bone	breast	0.010994502748625687
bone	come	0.0014992503748125937
bone	dog	0.0004997501249375312
bone	drink	0.011494252873563218
bone	ear	0.0004997501249375312
bone	eat	0.00399800099950025
bone	egg	0.0014992503748125937
bone	eye	0.0009995002498750624
bone	fat, oil	0.004497751124437781
bone	feather	0.0004997501249375312
bone	fingernail	0.0074962518740629685
bone	fire	0.0009995002498750624
bone	fish	0.0004997501249375312
bone	give	0.0004997501249375312
bone	ground, soil	0.020989505247376312
bone	hair	0.0004997501249375312
bone	head	0.0034982508745627187
bone	hear	0.0004997501249375312
bone	horn	0.0004997501249375312
bone	kill	0.0004997501249375312
bone	knee	0.0009995002498750624
bone	know	0.0004997501249375312
bone	leaf	0.0004997501249375312
bone	leg	0.005497251374312844
bone	liver	0.02798600699650175
bone	louse	0.0004997501249375312
bone	moon	0.0004997501249375312
bone	mouth	0.0004997501249375312
bone	name	0.0004997501249375312
bone	neck	0.0004997501249375312
bone	night	0.0014992503748125937
bone	nose	0.005497251374312844
bone	one	0.001999000499750125
bone	person	0.008995502248875561
bone	root	0.0004997501249375312
bone	see	0.01249375312343828
bone	skin	0.0004997501249375312
bone	smoke	0.0009995002498750624
bone	stone	0.0004997501249375312
bone	sun	0.0004997501249375312
bone	tail	0.010494752623688156
bone	tongue	0.0004997501249375312
bone	tooth	0.005997001499250375
bone	tree	0.0009995002498750624
bone	two	0.0034982508745627187
bone	water	0.0009995002498750624
bone	woman	0.0004997501249375312
breast	eat	0.0009995002498750624
breast	fire	0.0004997501249375312
breast	fish	0.0004997501249375312
breast	hair	0.001999000499750125
breast	horn	0.046476761619190406
