Concept	Stability
child	0.8884079714
five	0.8617727529
animal	0.8282091499
ten	0.8088344395
person	0.7829929262
tongue	0.7816528645
hunger	0.7535688063
four	0.7479879181
three	0.7265175628
tooth	0.7259549543
house	0.7256159942
moon	0.7159665525
fat, oil	0.7138715429
goat	0.6975008304
bird	0.688244451
two	0.6857253943
rain	0.6856163233
name	0.6855616428
shame	0.6812148433
eye	0.6664597542
water	0.6644495376
elephant	0.6542655574
send	0.6527774115
dog	0.6355248158
drink	0.6328001442
mouth	0.6291879773
breast	0.6276824222
road	0.6185041249
snake	0.6175166551
neck	0.6147658712
head	0.6108789159
spear	0.6088337035
heart	0.5967199619
sand	0.594585494
ear	0.5925263825
die	0.5822836421
arm	0.5800469684
see	0.573821141
bite	0.5692589873
horn	0.5648747449
tree	0.5583461655
salt	0.5580509922
one	0.557661113
fire	0.5534609541
nose	0.5533699059
leg	0.5489184065
louse	0.5482483257
face	0.545562277
eat	0.5452433293
know	0.5445575794
liver	0.5424631028
tail	0.5395976308
sleep	0.5384072777
belly	0.5348351002
sing	0.5344331214
urine	0.533444847
fire-wood	0.5261693343
night	0.5202434022
intestine	0.5164853104
fish	0.5112362046
root	0.5089260114
dew	0.5062691837
vomit	0.5050287774
iron	0.4996001079
wind	0.4978905555
war	0.4975937869
smoke	0.4939473761
egg	0.4917962016
big	0.4910724082
stone	0.489198804
woman	0.4883972633
skin	0.4874962235
navel	0.4874652527
bed	0.4872405086
steal	0.4854252628
count	0.4814762111
bone	0.4739009125
blood	0.4594153768
ground, soil	0.4573347527
feather	0.4557260833
fly	0.4555015672
fall	0.4551738078
walk	0.4524980005
sun	0.4508853418
knee	0.45036876
ashes	0.4499141012
cloud	0.4444524372
sky	0.4409679177
man	0.4276446167
come	0.4262305602
bark	0.4250972597
give	0.4162062296
leaf	0.4145009147
hair	0.4098295508
hear	0.4054221702
fingernail	0.3753556161
village	0.3737809276
burn	0.3690199184
knife	0.3689287939
kill	0.3575763323
