Concept	NumDoculects	Pct
animal	201	1.0
arm	201	1.0
ashes	201	1.0
bite	201	1.0
blood	201	1.0
bone	201	1.0
breast	201	1.0
burn	201	1.0
die	201	1.0
dog	201	1.0
ear	201	1.0
egg	201	1.0
eye	201	1.0
fall	201	1.0
feather	201	1.0
fingernail	201	1.0
fire	201	1.0
five	201	1.0
fly	201	1.0
four	201	1.0
head	201	1.0
heart	201	1.0
horn	201	1.0
house	201	1.0
hunger	201	1.0
knife	201	1.0
know	201	1.0
leaf	201	1.0
liver	201	1.0
moon	201	1.0
mouth	201	1.0
name	201	1.0
nose	201	1.0
one	201	1.0
person	201	1.0
rain	201	1.0
road	201	1.0
root	201	1.0
see	201	1.0
sing	201	1.0
sleep	201	1.0
smoke	201	1.0
stone	201	1.0
sun	201	1.0
three	201	1.0
tongue	201	1.0
tooth	201	1.0
tree	201	1.0
two	201	1.0
urine	201	1.0
vomit	201	1.0
walk	201	1.0
water	201	1.0
woman	201	1.0
belly	200	1.0
big	200	1.0
child	200	1.0
cloud	200	1.0
come	200	1.0
drink	200	1.0
elephant	200	1.0
fat, oil	200	1.0
fish	200	1.0
give	200	1.0
hair	200	1.0
knee	200	1.0
louse	200	1.0
neck	200	1.0
salt	200	1.0
sand	200	1.0
skin	200	1.0
snake	200	1.0
tail	200	1.0
ten	200	1.0
fire-wood	199	0.99
hear	199	0.99
kill	199	0.99
leg	199	0.99
man	199	0.99
navel	199	0.99
shame	199	0.99
steal	199	0.99
war	199	0.99
wind	199	0.99
bed	198	0.99
count	198	0.99
eat	198	0.99
goat	198	0.99
ground, soil	198	0.99
intestine	198	0.99
sky	198	0.99
spear	198	0.99
dew	197	0.98
face	197	0.98
send	197	0.98
bark	196	0.98
village	196	0.98
bird	195	0.97
iron	195	0.97
night	195	0.97
