Concept	Stability
five	0.9140309551
child	0.8982733809
animal	0.839653924
person	0.8273788132
ten	0.8145646005
four	0.8022754188
tongue	0.7973401966
hunger	0.7729157393
rain	0.7727877606
three	0.7631721839
tooth	0.7574162083
house	0.742325062
moon	0.737056927
bird	0.7278502813
fat, oil	0.7134351768
goat	0.711813931
drink	0.7042460146
shame	0.6997286338
die	0.6909796926
two	0.6857422557
eye	0.6827850724
send	0.6794300458
elephant	0.666497861
spear	0.665011867
name	0.6648347233
breast	0.6587537781
mouth	0.6515155874
see	0.650220077
dog	0.6476836728
bite	0.64694648
head	0.6428347236
water	0.6364893185
sing	0.6342691423
ear	0.6302324249
arm	0.6237120733
leg	0.6233541362
know	0.6223613252
neck	0.6197801259
snake	0.6157439016
eat	0.6136883367
sand	0.6128966514
road	0.6084501875
tail	0.6076177192
heart	0.5997642513
steal	0.5996839853
tree	0.5988847692
salt	0.5917827493
liver	0.5888295937
horn	0.5827362949
vomit	0.581847849
face	0.579481033
come	0.5715603776
fire	0.5711752908
fall	0.5663613273
count	0.5649304351
urine	0.562367668
belly	0.5618865688
sleep	0.5568907143
one	0.5542504351
nose	0.551824947
night	0.5509842868
intestine	0.5492401242
fire-wood	0.5450172942
louse	0.5421390212
root	0.541907365
egg	0.5408499897
big	0.530008961
fly	0.5270531385
fish	0.5256351564
walk	0.5214250096
dew	0.5185655247
burn	0.5175911126
iron	0.5159360336
woman	0.514365825
give	0.512573447
war	0.5113531561
skin	0.5082228419
stone	0.5067567221
bed	0.5053222424
smoke	0.5046540164
wind	0.5018468549
knee	0.4986134628
navel	0.4982836806
blood	0.4896849088
hear	0.4881078058
bone	0.4779334886
feather	0.4756210675
cloud	0.473486799
ground, soil	0.4667578656
ashes	0.465824998
bark	0.4527485408
man	0.4527450261
sun	0.4525238847
kill	0.4466915572
sky	0.4416639888
hair	0.4253835266
leaf	0.4218270973
knife	0.4097313152
village	0.4079277496
fingernail	0.3783000848
