Variety	Concept	Stability
mbos1242	animal	1.0
mbos1242	arm	1.0
mbos1242	bark	1.0
mbos1242	bed	1.0
mbos1242	big	1.0
mbos1242	bird	1.0
mbos1242	bite	1.0
mbos1242	blood	1.0
mbos1242	breast	1.0
mbos1242	burn	1.0
mbos1242	come	1.0
mbos1242	dew	1.0
mbos1242	die	1.0
mbos1242	dog	1.0
mbos1242	drink	1.0
mbos1242	eat	1.0
mbos1242	egg	1.0
mbos1242	elephant	1.0
mbos1242	eye	1.0
mbos1242	face	1.0
mbos1242	fall	1.0
mbos1242	fat, oil	1.0
mbos1242	fingernail	1.0
mbos1242	fire-wood	1.0
mbos1242	fish	1.0
mbos1242	five	1.0
mbos1242	fly	1.0
mbos1242	four	1.0
mbos1242	give	1.0
mbos1242	head	1.0
mbos1242	heart	1.0
mbos1242	horn	1.0
mbos1242	house	1.0
mbos1242	intestine	1.0
mbos1242	kill	1.0
mbos1242	knee	1.0
mbos1242	knife	1.0
mbos1242	know	1.0
mbos1242	leaf	1.0
mbos1242	liver	1.0
mbos1242	louse	1.0
mbos1242	man	1.0
mbos1242	moon	1.0
mbos1242	mouth	1.0
mbos1242	name	1.0
mbos1242	navel	1.0
mbos1242	neck	1.0
mbos1242	night	1.0
mbos1242	nose	1.0
mbos1242	person	1.0
mbos1242	rain	1.0
mbos1242	root	1.0
mbos1242	salt	1.0
mbos1242	see	1.0
mbos1242	send	1.0
mbos1242	shame	1.0
mbos1242	sing	1.0
mbos1242	skin	1.0
mbos1242	sleep	1.0
mbos1242	smoke	1.0
mbos1242	snake	1.0
mbos1242	spear	1.0
mbos1242	steal	1.0
mbos1242	ten	1.0
mbos1242	three	1.0
mbos1242	tongue	1.0
mbos1242	tooth	1.0
mbos1242	two	1.0
mbos1242	urine	1.0
mbos1242	village	1.0
mbos1242	walk	1.0
mbos1242	water	1.0
mbos1242	woman	1.0
meru1245	animal	1.0
meru1245	big	1.0
meru1245	child	1.0
meru1245	four	1.0
meru1245	heart	1.0
meru1245	house	1.0
meru1245	intestine	1.0
meru1245	know	1.0
meru1245	leaf	1.0
meru1245	liver	1.0
meru1245	louse	1.0
meru1245	moon	1.0
meru1245	neck	1.0
meru1245	one	1.0
meru1245	salt	1.0
meru1245	sand	1.0
meru1245	spear	1.0
meru1245	ten	1.0
meru1245	urine	1.0
myen1241	animal	1.0
myen1241	arm	1.0
myen1241	ashes	1.0
myen1241	bark	1.0
myen1241	bed	1.0
myen1241	big	1.0
myen1241	bird	1.0
myen1241	blood	1.0
myen1241	bone	1.0
myen1241	breast	1.0
myen1241	child	1.0
myen1241	drink	1.0
myen1241	egg	1.0
myen1241	elephant	1.0
myen1241	eye	1.0
myen1241	face	1.0
myen1241	fall	1.0
myen1241	fat, oil	1.0
myen1241	feather	1.0
myen1241	fingernail	1.0
myen1241	fire	1.0
myen1241	fire-wood	1.0
myen1241	five	1.0
myen1241	goat	1.0
myen1241	hair	1.0
myen1241	head	1.0
myen1241	hear	1.0
myen1241	horn	1.0
myen1241	house	1.0
myen1241	hunger	1.0
myen1241	intestine	1.0
myen1241	iron	1.0
myen1241	knee	1.0
myen1241	knife	1.0
myen1241	leg	1.0
myen1241	liver	1.0
myen1241	louse	1.0
myen1241	moon	1.0
myen1241	mouth	1.0
myen1241	name	1.0
myen1241	navel	1.0
myen1241	neck	1.0
myen1241	night	1.0
myen1241	nose	1.0
myen1241	rain	1.0
myen1241	road	1.0
myen1241	root	1.0
myen1241	salt	1.0
myen1241	shame	1.0
myen1241	skin	1.0
myen1241	sky	1.0
myen1241	sleep	1.0
myen1241	smoke	1.0
myen1241	snake	1.0
myen1241	spear	1.0
myen1241	stone	1.0
myen1241	tail	1.0
myen1241	three	1.0
myen1241	tongue	1.0
myen1241	tooth	1.0
myen1241	tree	1.0
myen1241	two	1.0
myen1241	urine	1.0
myen1241	village	1.0
myen1241	walk	1.0
myen1241	war	1.0
myen1241	water	1.0
myen1241	wind	1.0
myen1241	woman	1.0
swah1253	animal	1.0
swah1253	arm	1.0
swah1253	belly	1.0
swah1253	bite	1.0
swah1253	blood	1.0
swah1253	bone	1.0
swah1253	burn	1.0
swah1253	child	1.0
swah1253	cloud	1.0
swah1253	count	1.0
swah1253	dew	1.0
swah1253	die	1.0
