Doculect1	Doculect2	SharedCognateCount
a11londo	a121mbonge	80
a11londo	a122bakundu	70
a11londo	a141lefo	53
a11londo	a151nkongho	37
a11londo	a15ambuu	42
a11londo	a15bmiengenwmanenguba	41
a11londo	a15cakossi	40
a11londo	a15celungcentralmanenguba	40
a11londo	a15cmkaa	41
a11londo	a24duala	50
a11londo	a43abasaa	35
a11londo	a622nugunu	23
a11londo	a62anukalonge	25
a11londo	a63mangisa	39
a11londo	a71eton	38
a11londo	a72aewondo	38
a11londo	a75afangbitam	37
a11londo	a75afangminvoul	37
a11londo	a803shiwa	28
a11londo	a832bekol	27
a11londo	a841badwe	27
a11londo	a84njem	29
a11londo	a85bbekwilmv	27
a11londo	a86cmpiemo	27
a11londo	a91kwakum	32
a11londo	b11ampongwe	27
a11londo	b11borungu	26
a11londo	b11cgalwa	26
a11londo	b11ddyumba	25
a11londo	b11fenenga	25
a11londo	b201ndasa	30
a11londo	b204ndambomoli	34
a11londo	b21seki	34
a11londo	b22akele	38
a11londo	b24wumbvu	31
a11londo	b251shake	33
a11londo	b25kota	33
a11londo	b301viya	36
a11londo	b302himba	30
a11londo	b304pinzi	28
a11londo	b305vove	35
a11londo	b31tsogo	39
a11londo	b32kande	29
a11londo	b42sangumi	32
a11londo	b43punu	32
a11londo	b44lumbu	29
a11londo	b501wanzimo	34
a11londo	b51dumala	31
a11londo	b52nzebi	33
a11londo	b53tsaangipoungi	32
a11londo	b601lempini	28
a11londo	b602kaninginord	31
a11londo	b602kaningisud	28
a11londo	b62mbaama	28
a11londo	b63ndumu	29
a11londo	b701atsitsege	24
a11londo	b71atekedj	29
a11londo	b71atekeos	27
a11londo	b865nzadi	33
a11londo	c104aka	34
a11londo	c141bonyala	29
a11londo	c21ngare	32
a11londo	c22akwa	37
a11londo	c24koyo	31
a11londo	c25abunji	33
a11londo	c25bolee	31
a11londo	c25condinga	31
a11londo	c25eeboyi	32
a11londo	c32bobangi	26
a11londo	c61mongo	30
a11londo	d32bira	29
a11londo	e46sonjo	25
a11londo	e51kikuyu	20
a11londo	e52embu	23
a11londo	e53imenti	22
a11londo	e53meru	20
a11londo	e53meruimenti	23
a11londo	e53merutig	22
a11londo	e53tigania	20
a11londo	e541chuka	22
a11londo	e54tharaka	21
a11londo	e55kamba	24
a11londo	e55kambakitu	24
a11londo	e621bmachame	23
a11londo	e621csiha	22
a11londo	e621dkibosho	22
a11londo	e622cvunjo	19
a11londo	e623akiseri	22
a11londo	e623mkuu	20
a11londo	e65gweno	23
a11londo	e701elwana	25
a11londo	e71aupperpokomo	30
a11londo	e72agiryama	27
a11londo	e73digo	26
a11londo	e74adawida	26
a11londo	f22nyamwezi	26
a11londo	f23sumbwa	28
a11londo	f24kimbu	23
a11londo	f25bungu	24
a11londo	f31nyiramba	25
a11londo	f32nyaturucha	29
a11londo	f32nyaturuwil	25
a11londo	f33langi	24
a11londo	g11gogo	23
a11londo	g12kagulu	22
a11londo	g23sambaa	21
a11londo	g24bondei	22
a11londo	g31zigua	24
a11londo	g32doe	27
a11londo	g32kwere	25
a11londo	g33zaramo	23
a11londo	g34nguungulu	23
a11londo	g36kami	22
a11londo	g37kutu	25
a11londo	g39saghala	26
a11londo	g401mwani	28
a11londo	g41bajuni	33
a11londo	g42aamu	31
a11londo	g42dunguja	26
a11londo	g42swahili	26
a11londo	g44angazija	26
a11londo	g44bndzwani	23
a11londo	g52ndamba	20
a11londo	g61sangu	18
a11londo	g62hehe	17
a11londo	g63bena	18
a11londo	g64pangwa	20
a11londo	g65kinga	18
a11londo	g66wanji	17
a11londo	h11beembe	34
a11londo	h16kikongo	34
a11londo	h31yaka	29
a11londo	jd62rundi	24
a11londo	jd64shubi	22
a11londo	jd65hangaza	21
a11londo	jd66kiha	23
a11londo	jd67kivinza	24
a11londo	je11runyoro	20
a11londo	je12rutooro	21
a11londo	je13runyankore	22
a11londo	je14rukiga	22
a11londo	je16lusoga	21
a11londo	je17gwere	19
a11londo	je21runyambo	23
a11londo	je22haya	21
a11londo	je23zinza	23
a11londo	je24kerebe	20
a11londo	je25jita	22
a11londo	je25kilegi	24
a11londo	je25mkwaya	24
a11londo	je31lumasaaba	20
a11londo	je32luyia	23
a11londo	je34samialugwe	22
a11londo	je401ngoreme	26
a11londo	je402ikizu	28
a11londo	je403suba	25
a11londo	je404shasi	27
a11londo	je41maragoli	24
a11londo	je42gusii	20
a11londo	je43kuria	26
a11londo	je43kuriamago	24
a11londo	je43kuriatari	25
a11londo	je45nata	23
a11londo	l11pende	31
a11londo	l31alubakasai	30
a11londo	m11pimbwe	26
a11londo	m12lungwa	23
a11londo	m13fipa	21
a11londo	m14rungu	21
a11londo	m15mambwe	20
a11londo	m21ndali	27
a11londo	m21wanda	23
a11londo	m22namwanga	23
a11londo	m23nyiha	23
a11londo	m24malila	22
a11londo	m25safwa	18
a11londo	m28lambya	26
a11londo	m31nyakyusa	22
a11londo	n11manda	19
a11londo	n12ngoni	18
a11londo	n13matengo	22
a11londo	n14mpoto	24
a11londo	n31chewa	26
a11londo	p11ndengeleko	26
a11londo	p12rufiji	27
a11londo	p13matumbi	24
a11londo	p14ngindo	22
a11londo	p15mbunga	20
a11londo	p21yao	23
a11londo	p22mwera	23
a11londo	p23simakonde	21
a11londo	p25mabia	20
a11londo	p31emakhua	20
a11londo	s11shona	27
a11londo	s21venda	22
a11londo	s41xhosa	18
a11londo	s42zulu	19
a11londo	s44ndebele	17
a11londo	s53tsonga	22
a11londo	tivtivoid	17
a121mbonge	a122bakundu	77
a121mbonge	a141lefo	58
a121mbonge	a151nkongho	40
a121mbonge	a15ambuu	45
a121mbonge	a15bmiengenwmanenguba	44
a121mbonge	a15cakossi	45
a121mbonge	a15celungcentralmanenguba	44
a121mbonge	a15cmkaa	48
a121mbonge	a24duala	55
a121mbonge	a43abasaa	36
a121mbonge	a622nugunu	22
a121mbonge	a62anukalonge	26
a121mbonge	a63mangisa	42
a121mbonge	a71eton	42
a121mbonge	a72aewondo	41
a121mbonge	a75afangbitam	41
a121mbonge	a75afangminvoul	40
a121mbonge	a803shiwa	30
a121mbonge	a832bekol	30
a121mbonge	a841badwe	29
a121mbonge	a84njem	32
a121mbonge	a85bbekwilmv	30
a121mbonge	a86cmpiemo	29
a121mbonge	a91kwakum	33
a121mbonge	b11ampongwe	28
a121mbonge	b11borungu	27
a121mbonge	b11cgalwa	27
a121mbonge	b11ddyumba	26
a121mbonge	b11fenenga	26
a121mbonge	b201ndasa	34
a121mbonge	b204ndambomoli	38
a121mbonge	b21seki	35
a121mbonge	b22akele	40
a121mbonge	b24wumbvu	35
a121mbonge	b251shake	37
a121mbonge	b25kota	38
a121mbonge	b301viya	36
a121mbonge	b302himba	32
a121mbonge	b304pinzi	29
a121mbonge	b305vove	36
a121mbonge	b31tsogo	41
a121mbonge	b32kande	31
a121mbonge	b42sangumi	34
a121mbonge	b43punu	35
a121mbonge	b44lumbu	31
a121mbonge	b501wanzimo	33
a121mbonge	b51dumala	30
a121mbonge	b52nzebi	34
a121mbonge	b53tsaangipoungi	31
a121mbonge	b601lempini	27
a121mbonge	b602kaninginord	31
a121mbonge	b602kaningisud	27
a121mbonge	b62mbaama	26
a121mbonge	b63ndumu	28
a121mbonge	b701atsitsege	23
a121mbonge	b71atekedj	26
a121mbonge	b71atekeos	26
a121mbonge	b865nzadi	32
a121mbonge	c104aka	38
a121mbonge	c141bonyala	29
a121mbonge	c21ngare	31
a121mbonge	c22akwa	36
a121mbonge	c24koyo	31
a121mbonge	c25abunji	33
a121mbonge	c25bolee	31
a121mbonge	c25condinga	31
a121mbonge	c25eeboyi	32
a121mbonge	c32bobangi	25
a121mbonge	c61mongo	29
a121mbonge	d32bira	29
a121mbonge	e46sonjo	21
a121mbonge	e51kikuyu	19
a121mbonge	e52embu	23
a121mbonge	e53imenti	21
a121mbonge	e53meru	22
a121mbonge	e53meruimenti	22
a121mbonge	e53merutig	21
a121mbonge	e53tigania	19
a121mbonge	e541chuka	22
a121mbonge	e54tharaka	22
a121mbonge	e55kamba	22
a121mbonge	e55kambakitu	23
a121mbonge	e621bmachame	24
a121mbonge	e621csiha	23
a121mbonge	e621dkibosho	22
a121mbonge	e622cvunjo	21
a121mbonge	e623akiseri	21
a121mbonge	e623mkuu	21
a121mbonge	e65gweno	22
a121mbonge	e701elwana	23
a121mbonge	e71aupperpokomo	26
a121mbonge	e72agiryama	24
a121mbonge	e73digo	24
a121mbonge	e74adawida	26
a121mbonge	f22nyamwezi	24
a121mbonge	f23sumbwa	25
a121mbonge	f24kimbu	23
a121mbonge	f25bungu	21
a121mbonge	f31nyiramba	26
a121mbonge	f32nyaturucha	28
a121mbonge	f32nyaturuwil	24
a121mbonge	f33langi	22
a121mbonge	g11gogo	20
a121mbonge	g12kagulu	18
a121mbonge	g23sambaa	22
a121mbonge	g24bondei	22
a121mbonge	g31zigua	22
a121mbonge	g32doe	23
a121mbonge	g32kwere	21
a121mbonge	g33zaramo	21
a121mbonge	g34nguungulu	21
a121mbonge	g36kami	18
a121mbonge	g37kutu	24
a121mbonge	g39saghala	25
a121mbonge	g401mwani	25
a121mbonge	g41bajuni	28
a121mbonge	g42aamu	27
a121mbonge	g42dunguja	22
a121mbonge	g42swahili	22
a121mbonge	g44angazija	24
a121mbonge	g44bndzwani	20
a121mbonge	g52ndamba	16
a121mbonge	g61sangu	15
a121mbonge	g62hehe	14
a121mbonge	g63bena	15
a121mbonge	g64pangwa	18
a121mbonge	g65kinga	16
a121mbonge	g66wanji	16
a121mbonge	h11beembe	31
a121mbonge	h16kikongo	31
a121mbonge	h31yaka	25
a121mbonge	jd62rundi	23
a121mbonge	jd64shubi	21
a121mbonge	jd65hangaza	20
a121mbonge	jd66kiha	21
a121mbonge	jd67kivinza	22
a121mbonge	je11runyoro	20
a121mbonge	je12rutooro	21
a121mbonge	je13runyankore	22
a121mbonge	je14rukiga	22
a121mbonge	je16lusoga	20
a121mbonge	je17gwere	21
a121mbonge	je21runyambo	23
a121mbonge	je22haya	21
a121mbonge	je23zinza	24
a121mbonge	je24kerebe	19
a121mbonge	je25jita	17
a121mbonge	je25kilegi	19
a121mbonge	je25mkwaya	19
a121mbonge	je31lumasaaba	25
a121mbonge	je32luyia	24
a121mbonge	je34samialugwe	23
a121mbonge	je401ngoreme	23
a121mbonge	je402ikizu	25
a121mbonge	je403suba	21
a121mbonge	je404shasi	23
a121mbonge	je41maragoli	24
a121mbonge	je42gusii	17
a121mbonge	je43kuria	22
a121mbonge	je43kuriamago	21
a121mbonge	je43kuriatari	21
a121mbonge	je45nata	21
a121mbonge	l11pende	28
a121mbonge	l31alubakasai	26
a121mbonge	m11pimbwe	23
a121mbonge	m12lungwa	20
a121mbonge	m13fipa	21
a121mbonge	m14rungu	23
a121mbonge	m15mambwe	22
a121mbonge	m21ndali	26
a121mbonge	m21wanda	22
a121mbonge	m22namwanga	22
a121mbonge	m23nyiha	21
a121mbonge	m24malila	20
a121mbonge	m25safwa	19
a121mbonge	m28lambya	25
a121mbonge	m31nyakyusa	19
a121mbonge	n11manda	16
a121mbonge	n12ngoni	17
a121mbonge	n13matengo	19
a121mbonge	n14mpoto	21
a121mbonge	n31chewa	25
a121mbonge	p11ndengeleko	23
a121mbonge	p12rufiji	24
a121mbonge	p13matumbi	21
a121mbonge	p14ngindo	20
a121mbonge	p15mbunga	17
a121mbonge	p21yao	22
a121mbonge	p22mwera	22
a121mbonge	p23simakonde	20
a121mbonge	p25mabia	19
a121mbonge	p31emakhua	24
a121mbonge	s11shona	22
a121mbonge	s21venda	21
a121mbonge	s41xhosa	19
a121mbonge	s42zulu	20
a121mbonge	s44ndebele	18
a121mbonge	s53tsonga	21
a121mbonge	tivtivoid	15
a122bakundu	a141lefo	50
