ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
348	animal	a11londo	n-yàmà	n j a m a	4 6 7 4 7	ACXBZ	NJAMA	1	1.N.C 1.J.C 1.A.V 1.M.C 1.A.V	2.0 1.5 1.5 1.75 0.8	njama	0	1	- - n - - j a - m - - - - - - a
448	animal	a121mbonge	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	2	2.N.C 2.A.V 2.M.C 2.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	- - - - ɲ - a - m - - - - - - a
548	animal	a122bakundu	ɲàmà	ɲ a m a	4 7 4 7	AXBZ	NAMA	3	3.N.C 3.A.V 3.M.C 3.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	- - - - ɲ - a - m - - - - - - a
648	animal	a141lefo	ɲàm	ɲ a m	4 7 4	AXN	NAM	4	4.N.C 4.A.V 4.M.c	2.0 1.5 0.8	ɲam	0	1	- - - - ɲ - a - m - - - - - - -
748	animal	a151nkongho	ɲà	ɲ a	4 7	AX	NA	5	5.N.C 5.A.V	2.0 1.5	ɲa	0	1	- - - - ɲ - a - - - - - - - - -
848	animal	a15ambuu	ɲàm	ɲ a m	4 7 4	AXN	NAM	6	6.N.C 6.A.V 6.M.c	2.0 1.5 0.8	ɲam	0	1	- - - - ɲ - a - m - - - - - - -
948	animal	a15bmiengenwmanenguba	ɲàm	ɲ a m	4 7 4	AXN	NAM	7	7.N.C 7.A.V 7.M.c	2.0 1.5 0.8	ɲam	0	1	- - - - ɲ - a - m - - - - - - -
1048	animal	a15cakossi	ɲàm	ɲ a m	4 7 4	AXN	NAM	8	8.N.C 8.A.V 8.M.c	2.0 1.5 0.8	ɲam	0	1	- - - - ɲ - a - m - - - - - - -
1147	animal	a15celungcentralmanenguba	ɲà	ɲ a	4 7	AX	NA	9	9.N.C 9.A.V	2.0 1.5	ɲa	0	1	- - - - ɲ - a - - - - - - - - -
1247	animal	a15cmkaa	ɲàm	ɲ a m	4 7 4	AXN	NAM	10	10.N.C 10.A.V 10.M.c	2.0 1.5 0.8	ɲam	0	1	- - - - ɲ - a - m - - - - - - -
1524	animal	a24duala	ńama	n a m a	4 7 4 7	AXBZ	NAMA	11	11.N.C 11.A.V 11.M.C 11.A.V	2.0 1.5 1.75 0.8	nama	0	1	- - - - n - a - m - - - - - - a
2234	animal	a43abasaa	tiri	t i r i	1 7 5 7	AXBZ	TIRI	12	12.T.C 12.I.V 12.R.C 12.I.V	2.0 1.5 1.75 0.8	tiri	0	12	- t i r i
3321	animal	a622nugunu	n-nyama	n n j a m a	4 4 6 7 4 7	ACCYBZ	NNJAMA	13	13.N.C 13.N.C 13.J.C 13.A.V 13.M.C 13.A.V	2.0 1.5 1.5 1.3 1.75 0.8	nnjama	0	1	- - n - n j a - m - - - - - - a
3508	animal	a62anukalonge	pùâɲ	p u a ɲ	1 7 7 4	AXYN	PYAN	14	14.P.C 14.Y.V 14.A.V 14.N.c	2.0 1.5 1.3 0.8	puaɲ	0	14	p u - a ɲ - -
3766	animal	a63mangisa	tid	t i d	1 7 1	AXN	TIT	15	15.T.C 15.I.V 15.T.c	2.0 1.5 0.8	tid	0	15	t i - d -
3866	animal	a71eton	tíd	t i d	1 7 1	AXN	TIT	16	16.T.C 16.I.V 16.T.c	2.0 1.5 0.8	tid	0	15	t i - d -
3964	animal	a72aewondo	tsít	ts i t	2 7 1	AXN	CIT	17	17.C.C 17.I.V 17.T.c	2.0 1.5 0.8	tsit	0	15	ts i - t -
4158	animal	a75afangbitam	tsit	ts i t	2 7 1	AXN	CIT	18	18.C.C 18.I.V 18.T.c	2.0 1.5 0.8	tsit	0	15	ts i - t -
4343	animal	a75afangminvoul	tsit	ts i t	2 7 1	AXN	CIT	19	19.C.C 19.I.V 19.T.c	2.0 1.5 0.8	tsit	0	15	ts i - t -
4441	animal	a803shiwa	tsɨʁɨ	ts ɨ ʁ ɨ	2 7 5 7	AXBZ	CIRI	20	20.C.C 20.I.V 20.R.C 20.I.V	2.0 1.5 1.75 0.8	tsɨʁɨ	0	12	- ts ɨ ʁ ɨ
4635	animal	a832bekol	tíd	t i d	1 7 1	AXN	TIT	21	21.T.C 21.I.V 21.T.c	2.0 1.5 0.8	tid	0	15	t i - d -
4825	animal	a841badwe	tír	t i r	1 7 5	AXN	TIR	22	22.T.C 22.I.V 22.R.c	2.0 1.5 0.8	tir	0	12	- t i r -
4923	animal	a84njem	tír	t i r	1 7 5	AXN	TIR	23	23.T.C 23.I.V 23.R.c	2.0 1.5 0.8	tir	0	12	- t i r -
5117	animal	a85bbekwilmv	tit	t i t	1 7 1	AXN	TIT	24	24.T.C 24.I.V 24.T.c	2.0 1.5 0.8	tit	0	15	t i - t -
5216	animal	a86cmpiemo	tīrī	t i r i	1 7 5 7	AXBZ	TIRI	25	25.T.C 25.I.V 25.R.C 25.I.V	2.0 1.5 1.75 0.8	tiri	0	12	- t i r i
5382	animal	a91kwakum	bùpà	b u p a	1 7 1 7	AXBZ	PYPA	26	26.P.C 26.Y.V 26.P.C 26.A.V	2.0 1.5 1.75 0.8	bupa	0	26	b u p a
5664	animal	b11fenenga	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	31	31.N.C 31.A.V 31.M.C 31.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	- - - - ɲ - a - m - - - - - - a
5764	animal	b11ampongwe	ɲaw̃a	ɲ a w̃ a	4 7 6 7	AXBZ	NAWA	27	27.N.C 27.A.V 27.W.C 27.A.V	2.0 1.5 1.75 0.8	ɲaw̃a	0	1	- - - - ɲ - a - w̃ - - - - - - a
5864	animal	b11borungu	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	28	28.N.C 28.A.V 28.M.C 28.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	- - - - ɲ - a - m - - - - - - a
5964	animal	b11cgalwa	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	29	29.N.C 29.A.V 29.M.C 29.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	- - - - ɲ - a - m - - - - - - a
6064	animal	b11ddyumba	ɲàːmà	ɲ aː m a	4 7 4 7	AXBZ	NAMA	30	30.N.C 30.A.V 30.M.C 30.A.V	2.0 1.5 1.75 0.8	ɲaːma	0	1	- - - - ɲ - aː - m - - - - - - a
6163	animal	b201ndasa	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	32	32.N.C 32.A.V 32.M.C 32.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	- - - - ɲ - a - m - - - - - - a
6451	animal	b204ndambomoli	tʃiitʃi	tʃ i i tʃ i	1 7 7 1 7	AXYBZ	TIITI	33	33.T.C 33.I.V 33.I.V 33.T.C 33.I.V	2.0 1.5 1.3 1.75 0.8	tʃiitʃi	0	15	tʃ i i tʃ i
6723	animal	b21seki	sí:ŋì	s iː ŋ i	3 7 4 7	AXBZ	SINI	34	34.S.C 34.I.V 34.N.C 34.I.V	2.0 1.5 1.75 0.8	siːŋi	0	34	s iː ŋ i
6896	animal	b22akele	tʃitʃi	tʃ i tʃ i	1 7 1 7	AXBZ	TITI	35	35.T.C 35.I.V 35.T.C 35.I.V	2.0 1.5 1.75 0.8	tʃitʃi	0	15	tʃ i - tʃ i
7263	animal	b24wumbvu	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	36	36.N.C 36.A.V 36.M.C 36.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	- - - - ɲ - a - m - - - - - - a
7363	animal	b251shake	tʃitʃi	tʃ i tʃ i	1 7 1 7	AXBZ	TITI	37	37.T.C 37.I.V 37.T.C 37.I.V	2.0 1.5 1.75 0.8	tʃitʃi	0	15	tʃ i - tʃ i
7554	animal	b25kota	sito	s i t o	3 7 1 7	AXBZ	SITU	38	38.S.C 38.I.V 38.T.C 38.U.V	2.0 1.5 1.75 0.8	sito	0	15	s i - t o
7654	animal	b301viya	ɣebo	ɣ e b o	3 7 1 7	AXBZ	GEPU	39	39.G.C 39.E.V 39.P.C 39.U.V	2.0 1.5 1.75 0.8	ɣebo	0	26	ɣ e b o
7754	animal	b302himba	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	40	40.E.V 40.N.C 40.A.V 40.M.C 40.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	- - - e ɲ - a - m - - - - - - a
7854	animal	b304pinzi	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	41	41.E.V 41.N.C 41.A.V 41.M.C 41.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	- - - e ɲ - a - m - - - - - - a
7954	animal	b305vove	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	42	42.N.C 42.A.V 42.M.C 42.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	- - - - ɲ - a - m - - - - - - a
8054	animal	b31tsogo	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	43	43.N.C 43.A.V 43.M.C 43.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	- - - - ɲ - a - m - - - - - - a
8154	animal	b32kande	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	44	44.E.V 44.N.C 44.A.V 44.M.C 44.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	- - - e ɲ - a - m - - - - - - a
8534	animal	b42sangumi	ɲamə	ɲ a m ə	4 7 4 7	AXBZ	NAME	45	45.N.C 45.A.V 45.M.C 45.E.V	2.0 1.5 1.75 0.8	ɲamə	0	1	- - - - ɲ - a - m - - - - - - ə
8633	animal	b43punu	ɲamə	ɲ a m ə	4 7 4 7	AXBZ	NAME	46	46.N.C 46.A.V 46.M.C 46.E.V	2.0 1.5 1.75 0.8	ɲamə	0	1	- - - - ɲ - a - m - - - - - - ə
8731	animal	b44lumbu	mbitsi	m b i ts i	4 1 7 2 7	ACYBZ	MPICI	47	47.M.C 47.P.C 47.I.V 47.C.C 47.I.V	2.0 1.5 1.3 1.75 0.8	mbitsi	0	47	m b i ts i
8915	animal	b501wanzimo	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	48	48.N.C 48.A.V 48.M.C 48.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	- - - - ɲ - a - m - - - - - - a
