	animal	arm	ashes	bark	bed	belly	big	bird	bite	blood	bone	breast	burn	child	cloud	come	count	dew	die	dog	drink	ear	eat	egg	elephant	eye	face	fall	fat, oil	feather	fingernail	fire	fire-wood	fish	five	fly	four	give	goat	ground, soil	hair	head	hear	heart	horn	house	hunger	intestine	iron	kill	knee	knife	know	leaf	leg	liver	louse	man	moon	mouth	name	navel	neck	night	nose	one	person	rain	road	root	salt	sand	see	send	shame	sing	skin	sky	sleep	smoke	snake	spear	steal	stone	sun	tail	ten	three	tongue	tooth	tree	two	urine	village	vomit	walk	war	water	wind	woman
animal	0.0	0.36995018159630205	0.29481025578003034	0.4602045325593956	0.31129262262876856	0.8580581193973613	0.8082986164448467	0.8533883806753688	0.3972935411533365	0.29985011240633197	0.4413674147523748	0.7806347477473761	0.4413674147523748	0.7631628806602051	0.765123902001882	0.5027397465361703	0.11826247919781652	0.22360679774997896	0.5076832257838126	0.5066983883369442	0.4514379290624613	0.26444294267397256	0.37264076382105443	0.5260449379314249	0.4458712805297049	0.07742096611387637	0.6217824270702628	0.2587142573053656	0.054744890145135894	0.8138413004619895	0.48245956594022754	0.0316069770620507	0.4762071259160522	0.054744890145135894	0.27372445072567947	0.08939803125353483	0.07067534927402196	0.3766406003846928	0.08939803125353483	0.1515817369508048	0.47830035414081473	0.4709333517369754	0.7452815276421089	0.16724840200141816	0.13777161892428708	0.1580348853102535	0.27005013039632647	0.08939803125353483	0.27005013039632647	0.2827013970960878	0.19483849199282455	0.1413506985480439	0.21202604782206586	0.09995003746877731	0.8320502943378437	0.14484136487558028	0.10948978029027179	0.5335871856737985	0.1580348853102535	0.24482659157056438	0.7235167748411391	0.1731185431143353	0.24482659157056438	0.22360679774997896	0.2663251226021889	0.18429876279029647	0.2488735862602979	0.3909567147999288	0.6793662204867574	0.5997002248126639	0.07742096611387637	0.054744890145135894	0.5671669257620032	0.4228725325924809	0.4514379290624613	0.775498937071226	0.8770580193070292	0.04469901562676742	0.7889091344239985	0.1731185431143353	0.10948978029027179	0.39477101697586137	0.8284405146500781	0.48555559492630274	0.35759212501413934	0.5231885642158798	0.452543041925522	0.10482848367219183	0.5047229485026956	0.4569367667316877	0.6569386817416307	0.3960342874589987	0.5145243091781618	0.3922322702763681	0.42168967004442715	0.9127797287225616	0.7472894743280936	0.16116459280507606	0.14824986333222023	0.2234950781338371
arm	0.36995018159630205	0.0	0.07067534927402196	0.0316069770620507	0.0948209311861521	0.08362420100070908	0.13777161892428708	0.47410465593076045	0.24482659157056438	0.13031890493330958	0.0316069770620507	0.07067534927402196	0.10948978029027179	0.3330001665001249	0.25482359571881275	0.4569367667316877	0.09995003746877731	0.11396057645963795	0.5066983883369442	0.15484193222775275	0.1580348853102535	0.1264279082482028	0.3064410121150462	0.15484193222775275	0.16116459280507606	0.27914526311954124	0.13409704688030227	0.054744890145135894	0.14824986333222023	0.054744890145135894	0.04469901562676742	0.0316069770620507	0.2773500981126146	0.0316069770620507	0.936548384827435	0.1413506985480439	0.825420305855557	0.6727164726297793	0.04469901562676742	0.0316069770620507	0.054744890145135894	0.0316069770620507	0.10482848367219183	0.10482848367219183	0.0316069770620507	0.13031890493330958	0.04469901562676742	0.22360679774997896	0.07742096611387637	0.3207757829031096	0.0316069770620507	0.0316069770620507	0.04469901562676742	0.054744890145135894	0.0316069770620507	0.3404175610689259	0.15484193222775275	0.22360679774997896	0.09995003746877731	0.27372445072567947	0.0632139541241014	0.08939803125353483	0.0316069770620507	0.14484136487558028	0.04469901562676742	0.04469901562676742	0.3389470679694912	0.11826247919781652	0.0316069770620507	0.3896769839856491	0.0632139541241014	0.0316069770620507	0.4010475792710397	0.5671669257620032	0.22360679774997896	0.13777161892428708	0.0948209311861521	0.07742096611387637	0.04469901562676742	0.0316069770620507	0.32387513781564786	0.0632139541241014	0.21436894820389904	0.0632139541241014	0.04469901562676742	0.0316069770620507	0.4010475792710397	0.3389470679694912	0.0316069770620507	0.0316069770620507	0.2879532651613503	0.0316069770620507	0.0316069770620507	0.04469901562676742	0.054744890145135894	0.4886320075079392	0.15484193222775275	0.0316069770620507	0.054744890145135894	0.17020878053446295
ashes	0.29481025578003034	0.07067534927402196	0.0	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.19483849199282455	0.22360679774997896	0.08362420100070908	0.07742096611387637	0.09995003746877731	0.29985011240633197	0.29649972666444047	0.5212756197332383	0.20726080902342092	0.17598020050287183	0.04469901562676742	0.0316069770620507	0.4108907018066591	0.316069770620507	0.11396057645963795	0.0316069770620507	0.4228725325924809	0.0316069770620507	0.054744890145135894	0.17020878053446295	0.054744890145135894	0.0316069770620507	0.13031890493330958	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.1731185431143353	0.31921482092487796	0.08939803125353483	0.32846934087081536	0.0316069770620507	0.0316069770620507	0.054744890145135894	0.0316069770620507	0.08362420100070908	0.0316069770620507	0.0316069770620507	0.08362420100070908	0.3144854510165755	0.22360679774997896	0.22360679774997896	0.29481025578003034	0.04469901562676742	0.054744890145135894	0.11396057645963795	0.13031890493330958	0.07742096611387637	0.1515817369508048	0.054744890145135894	0.0316069770620507	0.14484136487558028	0.21897956058054358	0.07067534927402196	0.0316069770620507	0.2322628983416291	0.0316069770620507	0.19738550848793068	0.0316069770620507	0.1264279082482028	0.16724840200141816	0.0948209311861521	0.07742096611387637	0.1264279082482028	0.13031890493330958	0.14824986333222023	0.22360679774997896	0.22360679774997896	0.13777161892428708	0.0316069770620507	0.26444294267397256	0.07742096611387637	0.0316069770620507	0.07742096611387637	0.20965696734438366	0.12241329578528219	0.0316069770620507	0.1264279082482028	0.0316069770620507	0.22360679774997896	0.4458712805297049	0.0316069770620507	0.054744890145135894	0.0316069770620507	0.14484136487558028	0.04469901562676742	0.0316069770620507	0.07742096611387637	0.7290188827928474	0.0316069770620507	0.27554323784857415	0.1896418623723042	0.0316069770620507
bark	0.4602045325593956	0.0316069770620507	0.0316069770620507	0.0	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.054744890145135894	0.0316069770620507	0.29140193018421295	0.40476680179600183	0.3048066483971321	0.5913123959890826	0.46128864367900146	0.22360679774997896	0.1264279082482028	0.17020878053446295	0.24482659157056438	0.0316069770620507	0.0316069770620507	0.10948978029027179	0.07067534927402196	0.20726080902342092	0.38059840364240216	0.22360679774997896	0.0316069770620507	0.1264279082482028	0.0316069770620507	0.16116459280507606	0.0316069770620507	0.22360679774997896	0.13409704688030227	0.4514379290624613	0.11396057645963795	0.49270401130622304	0.22360679774997896	0.30151134457776363	0.22360679774997896	0.054744890145135894	0.0316069770620507	0.22360679774997896	0.10482848367219183	0.0316069770620507	0.15484193222775275	0.24277779746315137	0.08362420100070908	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.3896769839856491	0.22360679774997896	0.12241329578528219	0.12241329578528219	0.0316069770620507	0.39477101697586137	0.1896418623723042	0.07742096611387637	0.0316069770620507	0.40599897147057507	0.0316069770620507	0.4402342487882943	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.054744890145135894	0.22360679774997896	0.22360679774997896	0.11396057645963795	0.22360679774997896	0.1515817369508048	0.22360679774997896	0.04469901562676742	0.22360679774997896	0.0316069770620507	0.1515817369508048	0.33598677486935835	0.07067534927402196	0.0316069770620507	0.07742096611387637	0.3031634739016096	0.549270699835975	0.16116459280507606	0.0316069770620507	0.0948209311861521	0.22360679774997896	0.2279211529192759	0.0316069770620507	0.2981796252447322	0.5193556293430059	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.2844627935584563
bed	0.31129262262876856	0.0948209311861521	0.0316069770620507	0.22360679774997896	0.0	0.22360679774997896	0.04469901562676742	0.22360679774997896	0.17020878053446295	0.0316069770620507	0.0316069770620507	0.4333730354004363	0.22360679774997896	0.37129790985425415	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.0948209311861521	0.1922577357690373	0.0316069770620507	0.0316069770620507	0.1413506985480439	0.08362420100070908	0.04469901562676742	0.2931110470693418	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.04469901562676742	0.054744890145135894	0.0316069770620507	0.07067534927402196	0.0316069770620507	0.9133267948362372	0.0316069770620507	0.5706788288296015	0.23652495839563303	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.04469901562676742	0.0316069770620507	0.26819409376060455	0.22360679774997896	0.17879606250706967	0.5913123959890826	0.2844627935584563	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0948209311861521	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.21668651770021816	0.0632139541241014	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.1922577357690373	0.22360679774997896	0.27372445072567947	0.42522838665731244	0.07067534927402196	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.17879606250706967	0.22360679774997896	0.12241329578528219	0.07742096611387637	0.1413506985480439	0.21202604782206586	0.0316069770620507	0.22360679774997896	0.08939803125353483	0.07742096611387637	0.07067534927402196	0.04469901562676742	0.1580348853102535	0.07742096611387637	0.22360679774997896	0.10948978029027179	0.0316069770620507	0.04469901562676742	0.1515817369508048	0.0316069770620507	0.04469901562676742	0.17879606250706967	0.0316069770620507	0.1731185431143353	0.04469901562676742	0.22360679774997896	0.22360679774997896	0.0316069770620507
belly	0.8580581193973613	0.08362420100070908	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0	0.22360679774997896	0.20238340089800091	0.4287378964077981	0.22360679774997896	0.0316069770620507	0.12241329578528219	0.07742096611387637	0.45033010425376047	0.2931110470693418	0.2386274438178831	0.0316069770620507	0.04469901562676742	0.6614850244430615	0.054744890145135894	0.0316069770620507	0.22360679774997896	0.24482659157056438	0.0316069770620507	0.0316069770620507	0.0632139541241014	0.18156825980064073	0.0316069770620507	0.2212488394343549	0.0316069770620507	0.054744890145135894	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.5106263416033888	0.1515817369508048	0.3254137457055339	0.33598677486935835	0.054744890145135894	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.1515817369508048	0.0316069770620507	0.0316069770620507	0.054744890145135894	0.24482659157056438	0.22360679774997896	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.09995003746877731	0.11396057645963795	0.04469901562676742	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.19990007493755463	0.0316069770620507	0.11396057645963795	0.21897956058054358	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.08362420100070908	0.34188172937891387	0.22360679774997896	0.0632139541241014	0.08362420100070908	0.0316069770620507	0.5896205115600607	0.5564982566821838	0.1413506985480439	0.0316069770620507	0.04469901562676742	0.0316069770620507	0.0948209311861521	0.07067534927402196	0.2827013970960878	0.11396057645963795	0.054744890145135894	0.0316069770620507	0.29140193018421295	0.054744890145135894	0.22360679774997896	0.4772548876357662	0.0316069770620507	0.14824986333222023	0.0316069770620507	0.3031634739016096	0.0316069770620507	0.1580348853102535	0.0948209311861521	0.22360679774997896	0.04469901562676742	0.21668651770021816	0.2827013970960878	0.0316069770620507
big	0.8082986164448467	0.13777161892428708	0.19483849199282455	0.22360679774997896	0.04469901562676742	0.22360679774997896	0.0	0.6881325987965354	0.17598020050287183	0.22360679774997896	0.08362420100070908	0.19738550848793068	0.1896418623723042	0.14484136487558028	0.31129262262876856	0.20483662259967567	0.22360679774997896	0.22360679774997896	0.14484136487558028	0.22360679774997896	0.22360679774997896	0.04469901562676742	0.11396057645963795	0.11826247919781652	0.07742096611387637	0.2827013970960878	0.054744890145135894	0.0316069770620507	0.22360679774997896	0.3064410121150462	0.5537989767896891	0.13777161892428708	0.0316069770620507	0.2587142573053656	0.15484193222775275	0.22360679774997896	0.24071156586682316	0.3462370862286706	0.4458712805297049	0.11396057645963795	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.3960342874589987	0.452543041925522	0.8014721719171803	0.26254726989833455	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.04469901562676742	0.12241329578528219	0.22360679774997896	0.04469901562676742	0.5547001962252291	0.22360679774997896	0.0316069770620507	0.40967324519935133	0.054744890145135894	0.36313651960128146	0.22360679774997896	0.1922577357690373	0.0316069770620507	0.5456210202166865	0.3080667052849024	0.5410242995534422	0.16116459280507606	0.054744890145135894	0.07742096611387637	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.18429876279029647	0.07742096611387637	0.054744890145135894	0.16116459280507606	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.4010475792710397	0.04469901562676742	0.0316069770620507	0.0632139541241014	0.11396057645963795	0.12241329578528219	0.22360679774997896	0.7657764598194348	0.04469901562676742	0.27554323784857415	0.0316069770620507	0.10482848367219183	0.04469901562676742	0.27914526311954124	0.1413506985480439	0.13031890493330958	0.054744890145135894	0.22360679774997896	0.22360679774997896	0.0632139541241014
bird	0.8533883806753688	0.47410465593076045	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.20238340089800091	0.6881325987965354	0.0	0.3404175610689259	0.3404175610689259	0.5164622607057235	0.4121045617682117	0.7492920401542789	0.7095748751868992	0.22360679774997896	0.8889374501109683	0.22360679774997896	0.054744890145135894	0.6881325987965354	0.6778941359389824	0.5547001962252291	0.22360679774997896	0.9466276438515284	0.39477101697586137	0.3344968040028363	0.7933288280219176	0.48452578338539914	0.3144854510165755	0.2322628983416291	0.8978829579593357	0.3254137457055339	0.25482359571881275	0.7851010230432873	0.22360679774997896	0.4035308697450083	0.7432681564869791	0.2587142573053656	0.9034289214895748	0.16724840200141816	0.3883930365610986	0.22360679774997896	0.4709333517369754	0.40229114064090676	0.3985488161331794	0.40599897147057507	0.6734585759691932	0.7838275412267767	0.2981796252447322	0.6469786847968166	0.5096471914376255	0.22360679774997896	0.6281762448591912	0.5183929674785999	0.054744890145135894	0.6967886950248874	0.4010475792710397	0.4108907018066591	0.2809289570711409	0.8469254496605456	0.38059840364240216	0.22360679774997896	0.3462370862286706	0.4447495899966607	0.20726080902342092	0.4084521597851661	0.5154941956358633	0.18429876279029647	0.16116459280507606	0.10948978029027179	0.7844645405527362	0.22360679774997896	0.054744890145135894	0.22360679774997896	0.8045822812818135	0.6305572119977676	0.9964973622679555	0.22360679774997896	0.22360679774997896	0.09995003746877731	0.3404175610689259	0.4514379290624613	0.19990007493755463	0.7344797747116931	0.1580348853102535	0.6104321195901905	0.6446583712203042	0.4957360646092291	0.7857369899544104	0.4035308697450083	0.2488735862602979	0.36313651960128146	0.22360679774997896	0.7638171138542154	0.2773500981126146	0.934412581853901	0.22360679774997896	0.2279211529192759	0.2279211529192759	0.18429876279029647	0.3447914135838056
bite	0.3972935411533365	0.24482659157056438	0.08362420100070908	0.22360679774997896	0.17020878053446295	0.4287378964077981	0.17598020050287183	0.3404175610689259	0.0	0.3344968040028363	0.4072274129207976	0.3048066483971321	0.21668651770021816	0.40476680179600183	0.3766406003846928	0.16423467043540768	0.427571260513593	0.11826247919781652	0.2663251226021889	0.4492195474355516	0.21436894820389904	0.42522838665731244	0.0316069770620507	0.5759065303227006	0.2809289570711409	0.3561925418550013	0.21897956058054358	0.1413506985480439	0.22360679774997896	0.16724840200141816	0.0316069770620507	0.0316069770620507	0.07067534927402196	0.3447914135838056	0.9176915833534937	0.04469901562676742	0.29649972666444047	0.16423467043540768	0.11396057645963795	0.17879606250706967	0.07742096611387637	0.0316069770620507	0.0316069770620507	0.1515817369508048	0.2386274438178831	0.04469901562676742	0.7914376958255314	0.054744890145135894	0.4084521597851661	0.0316069770620507	0.5510864756971483	0.3858123233531413	0.0316069770620507	0.19483849199282455	0.44810623829534085	0.5183929674785999	0.07742096611387637	0.0316069770620507	0.12241329578528219	0.0948209311861521	0.4035308697450083	0.07067534927402196	0.4133148567728613	0.04469901562676742	0.0316069770620507	0.11396057645963795	0.0316069770620507	0.1896418623723042	0.21897956058054358	0.25677629550654774	0.4287378964077981	0.3766406003846928	0.07067534927402196	0.054744890145135894	0.2827013970960878	0.0632139541241014	0.8906215768814458	0.3144854510165755	0.24685838235527052	0.3344968040028363	0.08362420100070908	0.19738550848793068	0.2844627935584563	0.19738550848793068	0.2827013970960878	0.5528962883708893	0.18156825980064073	0.2587142573053656	0.04469901562676742	0.15484193222775275	0.04469901562676742	0.20238340089800091	0.3254137457055339	0.5776385839487643	0.04469901562676742	0.7269604724271661	0.07067534927402196	0.14824986333222023	0.22360679774997896	0.054744890145135894
blood	0.29985011240633197	0.13031890493330958	0.07742096611387637	0.054744890145135894	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.3404175610689259	0.3344968040028363	0.0	0.04469901562676742	0.04469901562676742	0.07067534927402196	0.4558423058385518	0.40476680179600183	0.21436894820389904	0.22360679774997896	0.0316069770620507	0.0632139541241014	0.0316069770620507	0.18698939800169145	0.04469901562676742	0.16724840200141816	0.0316069770620507	0.13031890493330958	0.10482848367219183	0.0316069770620507	0.20483662259967567	0.12241329578528219	0.0316069770620507	0.054744890145135894	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.31921482092487796	0.0316069770620507	0.4287378964077981	0.3096838644555055	0.18156825980064073	0.0632139541241014	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.08362420100070908	0.0316069770620507	0.13777161892428708	0.1731185431143353	0.1922577357690373	0.0316069770620507	0.0316069770620507	0.1580348853102535	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.30151134457776363	0.3389470679694912	0.0316069770620507	0.13777161892428708	0.08362420100070908	0.04469901562676742	0.11826247919781652	0.0316069770620507	0.08939803125353483	0.0316069770620507	0.07742096611387637	0.10948978029027179	0.463449258047971	0.054744890145135894	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.07067534927402196	0.0316069770620507	0.10948978029027179	0.28968272975116055	0.08362420100070908	0.17020878053446295	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.18698939800169145	0.14484136487558028	0.1515817369508048	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.4157248763631698	0.0948209311861521	0.0316069770620507	0.0948209311861521	0.07067534927402196	0.08362420100070908	0.0316069770620507	0.10482848367219183	0.08362420100070908	0.26254726989833455	0.0316069770620507	0.0316069770620507	0.24071156586682316	0.13409704688030227
