Concept	NumDoculects	Pct
tongue	423	1.0
ear	422	1.0
moon	422	1.0
mouth	422	1.0
breast	421	0.99
eye	421	0.99
sun	421	0.99
bone	420	0.99
fire	420	0.99
tooth	420	0.99
animal	419	0.99
blood	419	0.99
dog	419	0.99
egg	419	0.99
fish	419	0.99
name	419	0.99
nose	419	0.99
rain	419	0.99
road	419	0.99
tree	419	0.99
water	419	0.99
arm	418	0.99
belly	418	0.99
head	417	0.98
tail	417	0.98
hair	416	0.98
neck	416	0.98
stone	416	0.98
fat, oil	415	0.98
leg	415	0.98
two	415	0.98
woman	415	0.98
person	414	0.98
smoke	414	0.98
ashes	413	0.97
bird	413	0.97
one	412	0.97
horn	410	0.97
give	409	0.96
root	409	0.96
come	408	0.96
die	408	0.96
see	408	0.96
skin	408	0.96
eat	407	0.96
heart	407	0.96
know	407	0.96
leaf	407	0.96
drink	405	0.96
kill	404	0.95
night	404	0.95
man	403	0.95
bite	402	0.95
fingernail	402	0.95
knee	402	0.95
louse	401	0.95
liver	400	0.94
feather	399	0.94
sand	395	0.93
burn	394	0.93
cloud	391	0.92
fly	391	0.92
ground, soil	391	0.92
walk	391	0.92
hear	390	0.92
big	382	0.9
sleep	379	0.89
bark	377	0.89
child	338	0.8
goat	336	0.79
house	336	0.79
elephant	330	0.78
snake	329	0.78
hunger	328	0.77
five	322	0.76
salt	322	0.76
wind	322	0.76
three	321	0.76
fall	316	0.75
knife	315	0.74
four	314	0.74
spear	314	0.74
war	310	0.73
village	308	0.73
vomit	305	0.72
navel	304	0.72
urine	304	0.72
fire-wood	303	0.71
sky	300	0.71
ten	299	0.71
face	297	0.7
intestine	297	0.7
bed	296	0.7
count	296	0.7
sing	296	0.7
steal	295	0.7
iron	286	0.67
send	285	0.67
shame	276	0.65
dew	275	0.65
