	animal	arm	ashes	bark	bed	belly	big	bird	bite	blood	bone	breast	burn	child	cloud	come	count	dew	die	dog	drink	ear	eat	egg	elephant	eye	face	fall	fat, oil	feather	fingernail	fire	fire-wood	fish	five	fly	four	give	goat	ground, soil	hair	head	hear	heart	horn	house	hunger	intestine	iron	kill	knee	knife	know	leaf	leg	liver	louse	man	moon	mouth	name	navel	neck	night	nose	one	person	rain	road	root	salt	sand	see	send	shame	sing	skin	sky	sleep	smoke	snake	spear	steal	stone	sun	tail	ten	three	tongue	tooth	tree	two	urine	village	vomit	walk	war	water	wind	woman
animal	0.0	0.08831760866327847	0.5512241612647426	0.5318444986221468	0.08831760866327847	0.609765604928257	0.08831760866327847	0.4537588031920294	0.32549504832909	0.5214058572417622	0.17884073360395836	0.8418109509631122	0.09997500937109546	0.08831760866327847	0.08831760866327847	0.09744358559604165	0.08831760866327847	0.08831760866327847	0.4085542090459177	0.7444614755349817	0.28277202830196096	0.6299218992862526	0.29488391230979427	0.10244389988519646	0.08831760866327847	0.401147778542877	0.08831760866327847	0.08831760866327847	0.11616046389935494	0.368689617406035	0.13413055020296877	0.1203858530857692	0.08831760866327847	0.29318427906225697	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.07414345132452929	0.08831760866327847	0.36322724702795667	0.1264594954837358	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.2801084961496034	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.05914601317555325	0.29657380529811717	0.08831760866327847	0.08831760866327847	0.13035146431044056	0.8085005648843363	0.0632297477418679	0.09217240435150875	0.08831760866327847	0.07414345132452929	0.4386385734302781	0.5341884698674526	0.08831760866327847	0.28277202830196096	0.08831760866327847	0.38461154036444256	0.4742231080640093	0.5457573402738333	0.18161362351397833	0.07069300707549024	0.5097745236548372	0.08831760866327847	0.23763788443331385	0.4747497302230161	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.18836735086146092	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.14828690264905858	0.4742231080640093	0.40052439389498806	0.08831760866327847	0.08831760866327847	0.27104108243182823	0.1843448087030175	0.32318381164895005	0.1760241680739521	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3300689734530978	0.08831760866327847	0.473168105404426	0.08831760866327847	0.13960750292360263
arm	0.08831760866327847	0.0	0.13035146431044056	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.3562815343715317	0.3992747047523452	0.022355091700494795	0.04998750468554773	0.038720154633118314	0.05914601317555325	0.08831760866327847	0.21089751330786308	0.21903427127735742	0.08831760866327847	0.08831760866327847	0.31851102863530306	0.08942036680197918	0.28099914544377164	0.054758567819339354	0.3065175745177687	0.05914601317555325	0.08831760866327847	0.28715635221024216	0.08831760866327847	0.08831760866327847	0.2914747351647829	0.054758567819339354	0.022355091700494795	0.038720154633118314	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.6684135035246916	0.08831760866327847	0.1284202247425947	0.054758567819339354	0.18836735086146092	0.08831760866327847	0.12244387999457522	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.054758567819339354	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.1244678828978121	0.08831760866327847	0.08831760866327847	0.14659213953112848	0.13598071415715043	0.10485467442429873	0.08831760866327847	0.07744030926623663	0.1264594954837358	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.14138601415098048	0.08831760866327847	0.20488779977039293	0.08831760866327847	0.022355091700494795	0.08060242939383344	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.21903427127735742	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.10951713563867871	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.18161362351397833	0.0632297477418679	0.15648564190346356	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.41038493162389383	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.04998750468554773
ashes	0.5512241612647426	0.13035146431044056	0.0	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.26826110040593754	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08364509399316518	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.2479299606084677	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.07414345132452929	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.10721125348377948	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.301586675333362	0.08831760866327847	0.10721125348377948	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.04471018340098959	0.37206287722332115	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.13780604031618565	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.2201721193042855	0.08060242939383344	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08658089785895598	0.08831760866327847	0.08831760866327847
bark	0.5318444986221468	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.04471018340098959	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3270267981934075	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.14828690264905858	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.09744358559604165	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.21789048136406847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847
bed	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847
belly	0.609765604928257	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.20970934884859746	0.08831760866327847	0.16427570345801806	0.1182920263511065	0.162747524164545	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3980210919099607	0.08831760866327847	0.08831760866327847	0.34704434890939373	0.022355091700494795	0.08942036680197918	0.03161487387093395	0.04998750468554773	0.022355091700494795	0.08831760866327847	0.09484462161280185	0.08831760866327847	0.08831760866327847	0.04471018340098959	0.08831760866327847	0.08831760866327847	0.04471018340098959	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.16120485878766688	0.08831760866327847	0.08831760866327847	0.07414345132452929	0.06706527510148438	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.038720154633118314	0.022355091700494795	0.08831760866327847	0.03161487387093395	0.022355091700494795	0.07744030926623663	0.08658089785895598	0.08831760866327847	0.09484462161280185	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.09997500937109546	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.05914601317555325	0.07069300707549024	0.10721125348377948	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.23015975591614254	0.08831760866327847	0.03161487387093395
big	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.4619451302355355	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.4369262497563369	0.08831760866327847	0.08831760866327847	0.13413055020296877	0.04471018340098959	0.0632297477418679	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.09484462161280185	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.11177545850247397	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.04471018340098959	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.1203858530857692	0.07414345132452929	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847
bird	0.4537588031920294	0.3562815343715317	0.26826110040593754	0.04471018340098959	0.08831760866327847	0.20970934884859746	0.08831760866327847	0.0	0.19100198721594439	0.13225450605863528	0.15325878725888434	0.0632297477418679	0.4437359003116463	0.08831760866327847	0.3192945747851917	0.7292010236783361	0.08831760866327847	0.08831760866327847	0.2407717061715384	0.08831760866327847	0.9418367543073045	0.08831760866327847	0.3527573969592208	0.10244389988519646	0.08831760866327847	0.11177545850247397	0.08831760866327847	0.08831760866327847	0.6170977193300903	0.03161487387093395	0.022355091700494795	0.29318427906225697	0.08831760866327847	0.20488779977039293	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.6951678723981659	0.08831760866327847	0.09997500937109546	0.16120485878766688	0.21325398324372594	0.08364509399316518	0.2213041170965377	0.1264594954837358	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.3760708515124794	0.03161487387093395	0.4836145763630007	0.19995001874219093	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.24488775998915044	0.6346641637115256	0.08831760866327847	0.11177545850247397	0.06706527510148438	0.07414345132452929	0.3040621204843564	0.07414345132452929	0.12244387999457522	0.08831760866327847	0.1657897972480943	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.13960750292360263	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3338327093935965	0.08831760866327847	0.2120790212264707	0.08831760866327847	0.08831760866327847	0.2268794015960147	0.07414345132452929	0.3787192705119076	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.2201721193042855	0.08831760866327847	0.29573006587776623
bite	0.32549504832909	0.3992747047523452	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.4619451302355355	0.19100198721594439	0.0	0.08831760866327847	0.26639166229656935	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.17884073360395836	0.174598847708653	0.08831760866327847	0.08831760866327847	0.3270267981934075	0.5695066558737113	0.2407717061715384	0.08831760866327847	0.08831760866327847	0.1760241680739521	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.5127070954425552	0.05914601317555325	0.08831760866327847	0.08831760866327847	0.10485467442429873	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3852606742277841	0.08831760866327847	0.08831760866327847	0.08060242939383344	0.04471018340098959	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.10951713563867871	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.2246658910887246	0.08831760866327847	0.20119582530445315	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.5985990641324207	0.08831760866327847	0.28277202830196096	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.2479299606084677	0.18836735086146092	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.233394009387968	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.1896892432256037	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.22797809761795812	0.08831760866327847	0.04998750468554773	0.08831760866327847	0.08831760866327847	0.04471018340098959	0.08831760866327847	0.19230577018222128	0.3780589051088916	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.17743803952665974	0.08831760866327847	0.2246658910887246
blood	0.5214058572417622	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.16427570345801806	0.08831760866327847	0.13225450605863528	0.08831760866327847	0.0	0.022355091700494795	0.08364509399316518	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.04998750468554773	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.18836735086146092	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.16120485878766688	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.1717127175584684	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.04998750468554773	0.038720154633118314	0.15807436935466976	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.03161487387093395	0.08658089785895598	0.08831760866327847	0.20970934884859746	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.15648564190346356	0.08831760866327847	0.08831760866327847	0.1203858530857692	0.08364509399316518	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.07069300707549024	0.08831760866327847	0.5708214094261622	0.022355091700494795	0.06706527510148438	0.08831760866327847	0.17316179571791196	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.054758567819339354	0.08831760866327847	0.17316179571791196
