	arm_639	ashes_835	bed_1627	belly_1901	belly_1917	big_2527	blood_3467	blood_3484	bone_3882	bone_4213	bone_3979	breast_4265	burn_4800	cloud_5504	cloud_5471	cloud_5434	come_5888	come_5832	come_6084	count_6163	count_6279	dew_6491	dog_7119	drink_7611	eat_8347	eat_8349	eat_8484	eat_8450	eat_8710	elephant_9150	elephant_9324	elephant_9381	fingernail_11424	fire_11997	fire-wood_12144	fire-wood_12057	fire-wood_12111	fish_12385	fish_12438	five_12951	fly_13153	give_13706	give_13701	ground, soil_14494	ground, soil_14542	head_15210	heart_16187	heart_16115	horn_16411	hunger_17083	intestine_17387	intestine_17567	iron_17817	knee_18296	knee_18540	leaf_19588	leg_19914	liver_20442	liver_20379	louse_20660	man_21142	moon_21365	mouth_22059	mouth_21787	mouth_22066	mouth_21987	navel_22582	night_23314	night_23359	nose_23832	nose_23805	nose_23825	one_24107	road_25370	root_25810	root_25695	root_25932	salt_26298	salt_26085	sand_26372	see_27049	skin_27971	skin_28024	sky_28440	sleep_28790	smoke_29254	smoke_29368	smoke_29065	spear_29917	steal_30153	steal_30068	steal_30283	stone_30529	stone_30436	tail_31155	tooth_32434	two_33280	urine_33537	urine_33588	urine_33672	vomit_34166	vomit_34266	walk_34537	war_35037	water_35363	wind_35517	bark_1249	bird_2842	count_6193	fire_11834	goat_14182	kill_18018	know_19101	leaf_19482	liver_20245	man_21257	name_22349	night_23445	salt_26042	sand_26369
arm_639	0.0	0.21551724137931033	0.2727272727272727	0.009523809523809525	0.006756756756756757	0.2037037037037037	0.021739130434782608	0.014084507042253521	0.0625	0.10101010101010101	0.2413793103448276	0.044585987261146494	0.2288135593220339	0.008771929824561403	0.25	0.1485148514851485	0.07518796992481203	0.13131313131313133	0.11764705882352941	0.10091743119266056	0.22727272727272727	0.1984126984126984	0.028985507246376812	0.02054794520547945	0.043859649122807015	0.07627118644067797	0.13725490196078433	0.1	0.14634146341463414	0.11320754716981132	0.22330097087378642	0.19318181818181818	0.03773584905660377	0.21100917431192662	0.19008264462809918	0.13725490196078433	0.11214953271028037	0.0392156862745098	0.041666666666666664	0.1875	0.018518518518518517	0.09655172413793103	0.05263157894736842	0.00909090909090909	0.39285714285714285	0.038461538461538464	0.050505050505050504	0.33707865168539325	0.04807692307692308	0.13274336283185842	0.14285714285714285	0.3614457831325301	0.31868131868131866	0.013071895424836602	0.06666666666666667	0.2682926829268293	0.08737864077669903	0.3368421052631579	0.0967741935483871	0.012422360248447204	0.11016949152542373	0.017094017094017096	0.09523809523809523	0.038461538461538464	0.1223021582733813	0.2018348623853211	0.01818181818181818	0.24731182795698925	0.09395973154362416	0.04929577464788732	0.0364963503649635	0.29545454545454547	0.11764705882352941	0.0782608695652174	0.05405405405405406	0.01694915254237288	0.20689655172413793	0.047619047619047616	0.3508771929824561	0.10891089108910891	0.09523809523809523	0.015748031496062992	0.08163265306122448	0.01904761904761905	0.03759398496240601	0.2571428571428571	0.14285714285714285	0.12264150943396226	0.2248062015503876	0.19811320754716982	0.03571428571428571	0.2087912087912088	0.23232323232323232	0.12371134020618557	0.008771929824561403	0.02608695652173913	0.16666666666666666	0.10891089108910891	0.008620689655172414	0.43243243243243246	0.30578512396694213	0.06201550387596899	0.15463917525773196	0.13432835820895522	0.04	0.07801418439716312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ashes_835	0.21551724137931033	0.0	0.18803418803418803	0.11214953271028037	0.018867924528301886	0.1532258064516129	0.07692307692307693	0.12949640287769784	0.1092436974789916	0.06086956521739131	0.025423728813559324	0.07926829268292683	0.19696969696969696	0.03225806451612903	0.19626168224299065	0.08403361344537816	0.14705882352941177	0.10619469026548672	0.10738255033557047	0.1981981981981982	0.1308411214953271	0.16312056737588654	0.09154929577464789	0.038461538461538464	0.07317073170731707	0.08527131782945736	0.11206896551724138	0.08943089430894309	0.09219858156028368	0.06504065040650407	0.15833333333333333	0.11320754716981132	0.025	0.1693548387096774	0.12142857142857143	0.06611570247933884	0.2	0.05309734513274336	0.16428571428571428	0.168	0.03361344537815126	0.11688311688311688	0.05517241379310345	0.0782608695652174	0.1926605504587156	0.03418803418803419	0.09345794392523364	0.21100917431192662	0.03389830508474576	0.11023622047244094	0.06818181818181818	0.23529411764705882	0.20909090909090908	0.06329113924050633	0.07758620689655173	0.15841584158415842	0.041666666666666664	0.23893805309734514	0.11194029850746269	0.15789473684210525	0.13385826771653545	0.047619047619047616	0.1889763779527559	0.07246376811594203	0.09032258064516129	0.125	0.016260162601626018	0.06611570247933884	0.07975460122699386	0.05194805194805195	0.13970588235294118	0.13392857142857142	0.1619718309859155	0.07874015748031496	0.1206896551724138	0.07258064516129033	0.1417910447761194	0.05128205128205128	0.2556390977443609	0.09649122807017543	0.13274336283185842	0.12698412698412698	0.06832298136645963	0.1320754716981132	0.055944055944055944	0.23931623931623933	0.031007751937984496	0.17857142857142858	0.2302158273381295	0.22807017543859648	0.09722222222222222	0.09821428571428571	0.1440677966101695	0.14018691588785046	0.04065040650406504	0.0234375	0.12612612612612611	0.06837606837606838	0.1111111111111111	0.21428571428571427	0.16326530612244897	0.2	0.05042016806722689	0.1702127659574468	0.1118421052631579	0.10738255033557047	0.04065040650406504	0.061946902654867256	0.024390243902439025	0.1553398058252427	0.12844036697247707	0.0782608695652174	0.10606060606060606	0.06201550387596899	0.061946902654867256	0.05263157894736842	0.05172413793103448	0.04838709677419355	0.09259259259259259	0.017094017094017096
bed_1627	0.2727272727272727	0.18803418803418803	0.0	0.0297029702970297	0.027972027972027972	0.0847457627118644	0.022058823529411766	0.02158273381294964	0.017391304347826087	0.08080808080808081	0.10416666666666667	0.04516129032258064	0.1721311475409836	0.10784313725490197	0.1414141414141414	0.17525773195876287	0.11023622047244094	0.0784313725490196	0.07142857142857142	0.16831683168316833	0.10416666666666667	0.1640625	0.021897810218978103	0.11363636363636363	0.02631578947368421	0.08695652173913043	0.10679611650485436	0.034782608695652174	0.13008130081300814	0.1717171717171717	0.14814814814814814	0.1839080459770115	0.018867924528301886	0.1111111111111111	0.136	0.17525773195876287	0.07339449541284404	0.04	0.05714285714285714	0.14912280701754385	0.009345794392523364	0.1056338028169014	0.078125	0.0380952380952381	0.21052631578947367	0.06	0.14606741573033707	0.19387755102040816	0.0594059405940594	0.1559633027522936	0.16666666666666666	0.24719101123595505	0.2967032967032967	0.04794520547945205	0.047619047619047616	0.14606741573033707	0.047619047619047616	0.19047619047619047	0.17543859649122806	0.045454545454545456	0.10256410256410256	0.035398230088495575	0.030303030303030304	0.031007751937984496	0.25203252032520324	0.11206896551724138	0.03773584905660377	0.2127659574468085	0.1103448275862069	0.035211267605633804	0.05263157894736842	0.15463917525773196	0.18110236220472442	0.11926605504587157	0.11650485436893204	0.08256880733944955	0.14049586776859505	0.125	0.2773109243697479	0.0784313725490196	0.1414141414141414	0.06722689075630252	0.09027777777777778	0.019417475728155338	0.046153846153846156	0.13043478260869565	0.04424778761061947	0.15841584158415842	0.248	0.14678899082568808	0.18181818181818182	0.10204081632653061	0.1111111111111111	0.15053763440860216	0.018018018018018018	0.008695652173913044	0.1827956989247312	0.057692307692307696	0.045454545454545456	0.2839506172839506	0.31092436974789917	0.08870967741935484	0.1	0.1111111111111111	0.047619047619047616	0.12781954887218044	0.018018018018018018	0.019417475728155338	0.01834862385321101	0.009708737864077669	0.018867924528301886	0.018691588785046728	0.031496062992125984	0.03389830508474576	0.029411764705882353	0.019417475728155338	0.009433962264150943	0.0	0.019801980198019802	0.009708737864077669
belly_1901	0.009523809523809525	0.11214953271028037	0.0297029702970297	0.0	0.0	0.038461538461538464	0.0625	0.14018691588785046	0.12790697674418605	0.011627906976744186	0.0	0.10077519379844961	0.01652892561983471	0.06896551724137931	0.06896551724137931	0.021739130434782608	0.08035714285714286	0.046511627906976744	0.031746031746031744	0.11363636363636363	0.0	0.0078125	0.07142857142857142	0.058333333333333334	0.1686746987951807	0.029411764705882353	0.021739130434782608	0.05319148936170213	0.0	0.043478260869565216	0.0196078431372549	0.0	0.023255813953488372	0.009174311926605505	0.05172413793103448	0.021739130434782608	0.031914893617021274	0.2	0.09401709401709402	0.00909090909090909	0.011494252873563218	0.0703125	0.06306306306306306	0.14102564102564102	0.0	0.011764705882352941	0.0	0.010416666666666666	0.011627906976744186	0.019230769230769232	0.009523809523809525	0.0	0.010309278350515464	0.23148148148148148	0.0	0.025	0.011235955056179775	0.0	0.008849557522123894	0.2818181818181818	0.02830188679245283	0.07777777777777778	0.16	0.056074766355140186	0.05511811023622047	0.0	0.08433734939759036	0.021739130434782608	0.014388489208633094	0.049586776859504134	0.21212121212121213	0.01098901098901099	0.0	0.04081632653061224	0.010638297872340425	0.20987654320987653	0.0	0.15789473684210525	0.015384615384615385	0.034482758620689655	0.0	0.08080808080808081	0.17094017094017094	0.1643835616438356	0.09433962264150944	0.047619047619047616	0.020833333333333332	0.031914893617021274	0.014925373134328358	0.05	0.14953271028037382	0.0	0.010101010101010102	0.011627906976744186	0.17721518987341772	0.06666666666666667	0.0	0.1111111111111111	0.15853658536585366	0.012048192771084338	0.007407407407407408	0.08490566037735849	0.034482758620689655	0.1504424778761062	0.10743801652892562	0.13043478260869565	0.13414634146341464	0.18055555555555555	0.03409090909090909	0.16666666666666666	0.2571428571428571	0.20270270270270271	0.16842105263157894	0.3076923076923077	0.1643835616438356	0.18055555555555555	0.1917808219178082	0.03260869565217391	0.12162162162162163	0.024390243902439025
belly_1917	0.006756756756756757	0.018867924528301886	0.027972027972027972	0.0	0.0	0.02027027027027027	0.2	0.15384615384615385	0.22807017543859648	0.0743801652892562	0.015748031496062992	0.3120567375886525	0.0440251572327044	0.1724137931034483	0.03816793893129771	0.04580152671755725	0.09333333333333334	0.1271186440677966	0.13815789473684212	0.021739130434782608	0.0078125	0.03614457831325301	0.15602836879432624	0.18055555555555555	0.14754098360655737	0.12121212121212122	0.06201550387596899	0.12698412698412698	0.038461538461538464	0.03731343283582089	0.06521739130434782	0.024390243902439025	0.10084033613445378	0.04081632653061224	0.11486486486486487	0.03787878787878788	0.021897810218978103	0.08547008547008547	0.05555555555555555	0.006535947712418301	0.07377049180327869	0.1320754716981132	0.05921052631578947	0.168141592920354	0.0	0.15178571428571427	0.0	0.014492753623188406	0.1504424778761062	0.06428571428571428	0.04195804195804196	0.0	0.0	0.24822695035460993	0.10833333333333334	0.016260162601626018	0.0390625	0.04964539007092199	0.026143790849673203	0.1794871794871795	0.04827586206896552	0.12903225806451613	0.08904109589041095	0.16417910447761194	0.12025316455696203	0.013333333333333334	0.09917355371900827	0.03007518796992481	0.08235294117647059	0.11842105263157894	0.13194444444444445	0.0	0.048484848484848485	0.0661764705882353	0.0	0.09302325581395349	0.045454545454545456	0.0	0.005747126436781609	0.07258064516129033	0.007407407407407408	0.11940298507462686	0.19205298013245034	0.06666666666666667	0.16911764705882354	0.033783783783783786	0.13709677419354838	0.0	0.011299435028248588	0.04964539007092199	0.12162162162162163	0.007692307692307693	0.02877697841726619	0.031746031746031744	0.07086614173228346	0.23008849557522124	0.023076923076923078	0.064	0.15	0.0	0.0056179775280898875	0.06756756756756757	0.023076923076923078	0.0880503144654088	0.11320754716981132	0.11612903225806452	0.13333333333333333	0.03225806451612903	0.1452991452991453	0.08547008547008547	0.056451612903225805	0.09090909090909091	0.1	0.1693548387096774	0.18518518518518517	0.2549019607843137	0.1111111111111111	0.06976744186046512	0.04132231404958678	0.18691588785046728
big_2527	0.2037037037037037	0.1532258064516129	0.0847457627118644	0.038461538461538464	0.02027027027027027	0.0	0.02877697841726619	0.04285714285714286	0.06140350877192982	0.18085106382978725	0.1	0.031055900621118012	0.21487603305785125	0.035398230088495575	0.15841584158415842	0.11320754716981132	0.08208955223880597	0.07547169811320754	0.1937984496124031	0.016666666666666666	0.1956521739130435	0.21428571428571427	0.043478260869565216	0.06338028169014084	0.08035714285714286	0.05737704918032787	0.06306306306306306	0.09821428571428571	0.20168067226890757	0.08108108108108109	0.18518518518518517	0.15053763440860216	0.04672897196261682	0.16521739130434782	0.15873015873015872	0.102803738317757	0.16346153846153846	0.02857142857142857	0.13432835820895522	0.22727272727272727	0.037037037037037035	0.06622516556291391	0.14516129032258066	0.03669724770642202	0.20202020202020202	0.03773584905660377	0.019230769230769232	0.2222222222222222	0.07766990291262135	0.09243697478991597	0.13043478260869565	0.18556701030927836	0.23232323232323232	0.01948051948051948	0.09615384615384616	0.19101123595505617	0.08571428571428572	0.16216216216216217	0.15	0.04430379746835443	0.1981981981981982	0.06140350877192982	0.06870229007633588	0.014814814814814815	0.1366906474820144	0.24299065420560748	0.02702702702702703	0.11320754716981132	0.2595419847328244	0.041379310344827586	0.014084507042253521	0.2608695652173913	0.11594202898550725	0.13513513513513514	0.12264150943396226	0.008264462809917356	0.17355371900826447	0.027522935779816515	0.19083969465648856	0.05555555555555555	0.18181818181818182	0.056451612903225805	0.09523809523809523	0.09	0.037037037037037035	0.18584070796460178	0.06086956521739131	0.16346153846153846	0.15942028985507245	0.15178571428571427	0.0425531914893617	0.20430107526881722	0.19230769230769232	0.18085106382978725	0.035398230088495575	0.008403361344537815	0.09615384615384616	0.05555555555555555	0.034782608695652174	0.2	0.17647058823529413	0.13934426229508196	0.10679611650485436	0.09219858156028368	0.12056737588652482	0.06944444444444445	0.017391304347826087	0.0	0.017699115044247787	0.0	0.0	0.0	0.022727272727272728	0.008	0.02830188679245283	0.009259259259259259	0.01834862385321101	0.034782608695652174	0.01904761904761905	0.02857142857142857
blood_3467	0.021739130434782608	0.07692307692307693	0.022058823529411766	0.0625	0.2	0.02877697841726619	0.0	0.0	0.17857142857142858	0.025210084033613446	0.05217391304347826	0.20408163265306123	0.1048951048951049	0.2549019607843137	0.04065040650406504	0.023809523809523808	0.13043478260869565	0.059322033898305086	0.1956521739130435	0.007575757575757576	0.07079646017699115	0.1388888888888889	0.12318840579710146	0.087248322147651	0.056	0.06060606060606061	0.075	0.16521739130434782	0.06206896551724138	0.03968253968253968	0.061068702290076333	0.017241379310344827	0.08849557522123894	0.09022556390977443	0.12142857142857143	0.0078125	0.06451612903225806	0.043859649122807015	0.13986013986013987	0.04285714285714286	0.18269230769230768	0.08860759493670886	0.02	0.21568627450980393	0.04838709677419355	0.18627450980392157	0.044642857142857144	0.047619047619047616	0.0990990990990991	0.021739130434782608	0.044444444444444446	0.0	0.031007751937984496	0.06329113924050633	0.2376237623762376	0.044642857142857144	0.09649122807017543	0.08527131782945736	0.027586206896551724	0.1503267973856209	0.058823529411764705	0.14782608695652175	0.21774193548387097	0.23333333333333334	0.03048780487804878	0.006993006993006993	0.07758620689655173	0.06611570247933884	0.1069182389937107	0.2	0.19230769230769232	0.0	0.0784313725490196	0.03787878787878788	0.08333333333333333	0.14655172413793102	0.04794520547945205	0.0	0.08441558441558442	0.11607142857142858	0.05785123966942149	0.0364963503649635	0.22857142857142856	0.08108108108108109	0.208	0.050724637681159424	0.23148148148148148	0.047619047619047616	0.06875	0.05263157894736842	0.1048951048951049	0.05128205128205128	0.038461538461538464	0.05172413793103448	0.0847457627118644	0.015503875968992248	0.059322033898305086	0.06837606837606838	0.1016949152542373	0.0	0.0058823529411764705	0.16279069767441862	0.12612612612612611	0.04430379746835443	0.08333333333333333	0.0784313725490196	0.20754716981132076	0.18811881188118812	0.09565217391304348	0.11214953271028037	0.025	0.20388349514563106	0.1774193548387097	0.19130434782608696	0.15384615384615385	0.31868131868131866	0.19607843137254902	0.1206896551724138	0.14563106796116504	0.13333333333333333
blood_3484	0.014084507042253521	0.12949640287769784	0.02158273381294964	0.14018691588785046	0.15384615384615385	0.04285714285714286	0.0	0.0	0.125	0.02459016393442623	0.03333333333333333	0.15384615384615385	0.03870967741935484	0.03968253968253968	0.09166666666666666	0.03125	0.16058394160583941	0.0847457627118644	0.037037037037037035	0.07086614173228346	0.0	0.030864197530864196	0.20610687022900764	0.1702127659574468	0.16379310344827586	0.144	0.09090909090909091	0.0703125	0.012903225806451613	0.06349206349206349	0.0070921985815602835	0.0	0.13513513513513514	0.0	0.0457516339869281	0.056	0.022727272727272728	0.12962962962962962	0.09933774834437085	0.0	0.05	0.26811594202898553	0.07586206896551724	0.08547008547008547	0.007575757575757576	0.06896551724137931	0.008403361344537815	0.0	0.041666666666666664	0.1076923076923077	0.06666666666666667	0.0	0.0	0.25735294117647056	0.0	0.01694915254237288	0.015873015873015872	0.0	0.020134228187919462	0.2605633802816901	0.035211267605633804	0.125	0.09219858156028368	0.1796875	0.08860759493670886	0.00684931506849315	0.06666666666666667	0.0	0.03468208092485549	0.1	0.16176470588235295	0.015625	0.03067484662576687	0.08527131782945736	0.047244094488188976	0.088	0.0684931506849315	0.024390243902439025	0.005917159763313609	0.024	0.015503875968992248	0.1885245901639344	0.04790419161676647	0.10810810810810811	0.08450704225352113	0.06474820143884892	0.014925373134328358	0.046511627906976744	0.017543859649122806	0.08333333333333333	0.13380281690140844	0.008	0.0072992700729927005	0.008064516129032258	0.11965811965811966	0.2761904761904762	0.024	0.0847457627118644	0.1875	0.0	0.005780346820809248	0.10869565217391304	0.03225806451612903	0.08387096774193549	0.08860759493670886	0.1506849315068493	0.07377049180327869	0.0603448275862069	0.11206896551724138	0.2079207920792079	0.14545454545454545	0.08547008547008547	0.192	0.16666666666666666	0.1388888888888889	0.0603448275862069	0.11607142857142858	0.07258064516129033	0.12037037037037036	0.1619047619047619
bone_3882	0.0625	0.1092436974789916	0.017391304347826087	0.12790697674418605	0.22807017543859648	0.06140350877192982	0.17857142857142858	0.125	0.0	0.0	0.0	0.23015873015873015	0.07936507936507936	0.10416666666666667	0.11578947368421053	0.08080808080808081	0.072	0.15730337078651685	0.06716417910447761	0.12121212121212122	0.020618556701030927	0.02158273381294964	0.09917355371900827	0.1111111111111111	0.1827956989247312	0.05357142857142857	0.028846153846153848	0.15463917525773196	0.03125	0.02830188679245283	0.10377358490566038	0.07865168539325842	0.030612244897959183	0.01652892561983471	0.11570247933884298	0.07	0.028037383177570093	0.021052631578947368	0.09302325581395349	0.04201680672268908	0.041237113402061855	0.12781954887218044	0.015503875968992248	0.2289156626506024	0.06930693069306931	0.1	0.03260869565217391	0.057692307692307696	0.05263157894736842	0.017094017094017096	0.043859649122807015	0.050505050505050504	0.05714285714285714	0.140625	0.11956521739130435	0.06741573033707865	0.05102040816326531	0.06306306306306306	0.024193548387096774	0.29411764705882354	0.042735042735042736	0.12244897959183673	0.13157894736842105	0.17757009345794392	0.00684931506849315	0.07017543859649122	0.03	0.08080808080808081	0.03355704697986577	0.12903225806451613	0.16666666666666666	0.039603960396039604	0.02877697841726619	0.036036036036036036	0.02857142857142857	0.1326530612244898	0.031496062992125984	0.052083333333333336	0.04316546762589928	0.08421052631578947	0.0392156862745098	0.1320754716981132	0.2	0.1951219512195122	0.13157894736842105	0.10810810810810811	0.07766990291262135	0.028037383177570093	0.04929577464788732	0.03508771929824561	0.12396694214876033	0.030612244897959183	0.0761904761904762	0.041666666666666664	0.06	0.09	0.0	0.03	0.21348314606741572	0.06593406593406594	0.06428571428571428	0.14285714285714285	0.10752688172043011	0.06716417910447761	0.10526315789473684	0.051470588235294115	0.11578947368421053	0.11363636363636363	0.061224489795918366	0.2125	0.09782608695652174	0.1724137931034483	0.14814814814814814	0.22340425531914893	0.24050632911392406	0.30666666666666664	0.13636363636363635	0.058823529411764705	0.10344827586206896	0.010416666666666666
bone_4213	0.10101010101010101	0.06086956521739131	0.08080808080808081	0.011627906976744186	0.0743801652892562	0.18085106382978725	0.025210084033613446	0.02459016393442623	0.0	0.0	0.0	0.02112676056338028	0.2	0.02127659574468085	0.2	0.05434782608695652	0.05084745762711865	0.06896551724137931	0.16666666666666666	0.01	0.12658227848101267	0.1282051282051282	0.025	0.04838709677419355	0.030927835051546393	0.09090909090909091	0.06593406593406594	0.030303030303030304	0.17307692307692307	0.01020408163265306	0.2891566265060241	0.03614457831325301	0.10975609756097561	0.0761904761904762	0.11607142857142858	0.05434782608695652	0.1111111111111111	0.04819277108433735	0.1592920353982301	0.25274725274725274	0.0	0.08527131782945736	0.2872340425531915	0.0	0.13953488372093023	0.022988505747126436	0.0	0.21951219512195122	0.0975609756097561	0.04807692307692308	0.07920792079207921	0.13253012048192772	0.10989010989010989	0.030303030303030304	0.09411764705882353	0.1643835616438356	0.056818181818181816	0.09090909090909091	0.13592233009708737	0.02127659574468085	0.24444444444444444	0.0	0.017094017094017096	0.0	0.12295081967213115	0.21739130434782608	0.02197802197802198	0.043010752688172046	0.23076923076923078	0.023622047244094488	0.00819672131147541	0.1728395061728395	0.07258064516129033	0.05	0.0	0.01	0.18627450980392157	0.05813953488372093	0.10655737704918032	0.010869565217391304	0.14285714285714285	0.057692307692307696	0.08527131782945736	0.07317073170731707	0.017094017094017096	0.10784313725490197	0.030612244897959183	0.19047619047619047	0.112	0.1134020618556701	0.016129032258064516	0.1375	0.24096385542168675	0.13924050632911392	0.010526315789473684	0.042105263157894736	0.03333333333333333	0.02197802197802198	0.020833333333333332	0.0875	0.12096774193548387	0.1346153846153846	0.0449438202247191	0.09016393442622951	0.16101694915254236	0.08130081300813008	0.03225806451612903	0.011494252873563218	0.03296703296703297	0.0	0.0	0.0	0.008849557522123894	0.0	0.011494252873563218	0.011494252873563218	0.011235955056179775	0.010309278350515464	0.03614457831325301	0.011627906976744186
