Concept	AverageChisqPvalue
animal	0.08310866384989324
arm	0.022152312732522626
ashes	0.013997936385342682
bark	0.011792559275917595
bed	0.0078
belly	0.013991209445782159
big	0.011418811806218104
bird	0.05580324282303293
bite	0.03190075164437983
blood	0.014643684218496811
bone	0.007703902594157467
breast	0.038318518518518516
burn	0.011490571885774284
child	0.02170768555116381
cloud	0.008387846480800003
come	0.029996377568791362
count	0.0076777601098440675
dew	0.008337065810529079
die	0.037284573874678824
dog	0.021022653319804744
drink	0.02838141737212202
ear	0.01785667772174519
eat	0.014898259960928627
egg	0.008271256291046396
elephant	0.007475643996183726
eye	0.015884202343272806
face	0.007652520204544192
fall	0.008995977768691411
fat, oil	0.017719189899999495
feather	0.011399314484172056
fingernail	0.007402401829388336
fire	0.0066885637989086266
fire-wood	0.0078
fish	0.009450307169647499
five	0.02800865425872922
fly	0.007467527852235498
four	0.00768983589013574
give	0.039810937965360754
goat	0.008205621431708388
ground, soil	0.011901044427281309
hair	0.006286010530088491
head	0.011721296927293928
hear	0.010126528654864487
heart	0.01856992513844088
horn	0.00929549871528882
house	0.00843782856046724
hunger	0.01069011958667131
intestine	0.008538985052928081
iron	0.00801795465903412
kill	0.005500702174165442
knee	0.009684286139758403
knife	0.007652520204544192
know	0.00992797843502491
leaf	0.00845089980262394
leg	0.020646428301001014
liver	0.018234975441572144
louse	0.006893644087047385
man	0.007504252924043029
moon	0.008781692991887894
mouth	0.01840027360057345
name	0.025108646686757632
navel	0.011248662537418158
neck	0.015329815900130743
night	0.013077721745188012
nose	0.01229944118849666
one	0.025572366342081484
person	0.02100305200934886
rain	0.030256499023215665
road	0.014699605752679215
root	0.010576887313918797
salt	0.009964298658751432
sand	0.009117129314130813
see	0.016378209884956512
send	0.0078
shame	0.008357257734768978
sing	0.007726260102272096
skin	0.019650586827798223
sky	0.007823063215866814
sleep	0.012117806753189062
smoke	0.009241453010868303
snake	0.01697198471471335
spear	0.008071502632522123
steal	0.007726260102272096
stone	0.01077059752951807
sun	0.009447135018349411
tail	0.01298359305195887
ten	0.00789987127648297
three	0.014706332692239739
tongue	0.01953201681987289
tooth	0.018721364570240134
tree	0.013122956703466448
two	0.030523845148133003
urine	0.00932429340885113
village	0.008115846117345367
vomit	0.008510676984739953
walk	0.032646463636868434
war	0.008732788151378856
water	0.048082899964159334
wind	0.007736356064392046
woman	0.016466699983341663
