	animal	arm	ashes	bark	bed	belly	big	bird	bite	blood	bone	breast	burn	child	cloud	come	count	dew	die	dog	drink	ear	eat	egg	elephant	eye	face	fall	fat, oil	feather	fingernail	fire	fire-wood	fish	five	fly	four	give	goat	ground, soil	hair	head	hear	heart	horn	house	hunger	intestine	iron	kill	knee	knife	know	leaf	leg	liver	louse	man	moon	mouth	name	navel	neck	night	nose	one	person	rain	road	root	salt	sand	see	send	shame	sing	skin	sky	sleep	smoke	snake	spear	steal	stone	sun	tail	ten	three	tongue	tooth	tree	two	urine	village	vomit	walk	war	water	wind	woman
animal	0.0	0.08831760866327847	0.5402352015220021	0.5290180242345411	0.08831760866327847	0.6006826035477452	0.08831760866327847	0.45265610702208336	0.3161487387093395	0.5402352015220021	0.15648564190346356	0.8292503674488441	0.06706527510148438	0.08831760866327847	0.08831760866327847	0.10244389988519646	0.08831760866327847	0.08831760866327847	0.4164292176989066	0.7281722890626371	0.26919095102908275	0.6243437334123523	0.29741515111699174	0.10721125348377948	0.08831760866327847	0.41522739926869984	0.08831760866327847	0.08831760866327847	0.14659213953112848	0.36322724702795667	0.16427570345801806	0.13960750292360263	0.08831760866327847	0.2914747351647829	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.05914601317555325	0.08831760866327847	0.34704434890939373	0.1284202247425947	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.27011760076100105	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.04998750468554773	0.2897551052000728	0.08831760866327847	0.08831760866327847	0.08658089785895598	0.8112773351590248	0.04471018340098959	0.08658089785895598	0.08831760866327847	0.10485467442429873	0.4276780865641078	0.5369877299240231	0.08831760866327847	0.27651721305452626	0.08831760866327847	0.372733865824711	0.4851621469628244	0.5379175795034316	0.1829843118161079	0.10244389988519646	0.5058379819349432	0.08831760866327847	0.2428384540031267	0.4603195118322851	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.20488779977039293	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.13225450605863528	0.47369590044347176	0.3948696480872007	0.08831760866327847	0.08831760866327847	0.2747039658715673	0.18703611615307666	0.31456402327289623	0.1760241680739521	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3285514069160361	0.08831760866327847	0.46785740853665947	0.08831760866327847	0.14828690264905858
arm	0.08831760866327847	0.0	0.13598071415715043	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.37071725662264643	0.3973928025018318	0.038720154633118314	0.038720154633118314	0.03161487387093395	0.07744030926623663	0.08831760866327847	0.21325398324372594	0.21442250696755896	0.08831760866327847	0.08831760866327847	0.2854107047130811	0.06706527510148438	0.27379283909669677	0.04998750468554773	0.28715635221024216	0.054758567819339354	0.08831760866327847	0.3129712838069271	0.08831760866327847	0.08831760866327847	0.2783186471749914	0.054758567819339354	0.03161487387093395	0.03161487387093395	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.6624051703415006	0.08831760866327847	0.13035146431044056	0.038720154633118314	0.18703611615307666	0.08831760866327847	0.09217240435150875	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.0632297477418679	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.13598071415715043	0.08831760866327847	0.08831760866327847	0.13598071415715043	0.162747524164545	0.10951713563867871	0.08831760866327847	0.07414345132452929	0.1203858530857692	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.1182920263511065	0.08831760866327847	0.2246658910887246	0.08831760866327847	0.03161487387093395	0.09217240435150875	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.2323209277987099	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.10485467442429873	0.08831760866327847	0.08831760866327847	0.054758567819339354	0.18569533817705186	0.06706527510148438	0.1182920263511065	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.4164292176989066	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.06706527510148438
ashes	0.5402352015220021	0.13598071415715043	0.0	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.2635626441025299	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.07744030926623663	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.22797809761795812	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.04471018340098959	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.11616046389935494	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3097612370649465	0.08831760866327847	0.13413055020296877	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.038720154633118314	0.36046502255247753	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.15161960871578067	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.2268794015960147	0.09217240435150875	0.03161487387093395	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.07069300707549024	0.08831760866327847	0.08831760866327847
bark	0.5290180242345411	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.32163376045133846	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.13225450605863528	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08942036680197918	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.21442250696755896	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847
bed	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847
belly	0.6006826035477452	0.03161487387093395	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.233394009387968	0.08831760866327847	0.15648564190346356	0.11398904880897906	0.15161960871578067	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3884900741732463	0.08831760866327847	0.08831760866327847	0.32163376045133846	0.022355091700494795	0.08942036680197918	0.022355091700494795	0.08060242939383344	0.022355091700494795	0.08831760866327847	0.09744358559604165	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.15488061853247326	0.08831760866327847	0.08831760866327847	0.06706527510148438	0.05914601317555325	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.038720154633118314	0.03161487387093395	0.022355091700494795	0.08831760866327847	0.0632297477418679	0.022355091700494795	0.08942036680197918	0.09217240435150875	0.08831760866327847	0.09217240435150875	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.11398904880897906	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.054758567819339354	0.04471018340098959	0.1264594954837358	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.20243396514635967	0.08831760866327847	0.022355091700494795
big	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.0	0.08831760866327847	0.4747497302230161	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.4369262497563369	0.08831760866327847	0.08831760866327847	0.14314242949747213	0.05914601317555325	0.054758567819339354	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.11398904880897906	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.13598071415715043	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.1182920263511065	0.07744030926623663	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847
bird	0.45265610702208336	0.37071725662264643	0.2635626441025299	0.022355091700494795	0.08831760866327847	0.233394009387968	0.08831760866327847	0.0	0.18703611615307666	0.15488061853247326	0.14659213953112848	0.06706527510148438	0.45099700758383665	0.08831760866327847	0.3129712838069271	0.7174556632194474	0.08831760866327847	0.08831760866327847	0.23973165074269207	0.08831760866327847	0.9378487190853624	0.08831760866327847	0.3419671464269372	0.08364509399316518	0.08831760866327847	0.09217240435150875	0.08831760866327847	0.08831760866327847	0.5973454521509286	0.022355091700494795	0.03161487387093395	0.2906161921064323	0.08831760866327847	0.2120790212264707	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.6973212111819186	0.08831760866327847	0.10721125348377948	0.13035146431044056	0.2323209277987099	0.038720154633118314	0.20970934884859746	0.10951713563867871	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.38003655890841154	0.022355091700494795	0.4988742950071597	0.1896892432256037	0.08831760866327847	0.04471018340098959	0.08831760866327847	0.25390503365814066	0.6366296814666575	0.08831760866327847	0.09484462161280185	0.054758567819339354	0.09997500937109546	0.3129712838069271	0.09484462161280185	0.15161960871578067	0.08831760866327847	0.14996251405664318	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.16120485878766688	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3419671464269372	0.08831760866327847	0.2246658910887246	0.08831760866327847	0.08831760866327847	0.23015975591614254	0.05914601317555325	0.3513378443315924	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.21789048136406847	0.08831760866327847	0.29909074269160874
bite	0.3161487387093395	0.3973928025018318	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.4747497302230161	0.18703611615307666	0.0	0.08831760866327847	0.26826110040593754	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.17316179571791196	0.18569533817705186	0.08831760866327847	0.08831760866327847	0.31693812505352487	0.5584300116944105	0.2355255057696851	0.08831760866327847	0.08831760866327847	0.1657897972480943	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.5073177646631631	0.04998750468554773	0.08831760866327847	0.08831760866327847	0.08942036680197918	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.4188225087708079	0.08831760866327847	0.08831760866327847	0.07414345132452929	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.11177545850247397	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.22355091700494795	0.08831760866327847	0.18161362351397833	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.603173350666724	0.08831760866327847	0.2836543144655877	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.26165963983091045	0.1717127175584684	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.21442250696755896	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.21558469708954392	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.2290715240234822	0.08831760866327847	0.07069300707549024	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.21442250696755896	0.3897743423841666	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.1896892432256037	0.08831760866327847	0.21903427127735742
blood	0.5402352015220021	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.15648564190346356	0.08831760866327847	0.15488061853247326	0.08831760866327847	0.0	0.03161487387093395	0.08942036680197918	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.05914601317555325	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.1657897972480943	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.16120485878766688	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.17025130615174972	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.04998750468554773	0.04998750468554773	0.1896892432256037	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.03161487387093395	0.0632297477418679	0.08831760866327847	0.18703611615307666	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.17025130615174972	0.08831760866327847	0.08831760866327847	0.1264594954837358	0.1264594954837358	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.07069300707549024	0.08831760866327847	0.5743127044204843	0.03161487387093395	0.07414345132452929	0.08831760866327847	0.1986964012509159	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.054758567819339354	0.08831760866327847	0.17884073360395836
