Concept	AverageChisqPvalue
animal	0.08338125482713189
arm	0.02287417402409906
ashes	0.013942408593682957
bark	0.011747127446377821
bed	0.0078
belly	0.013718618468543506
big	0.011731786631936556
bird	0.05650491219036946
bite	0.031794744042120356
blood	0.014431669013977858
bone	0.007552463162358215
breast	0.038056023503399816
burn	0.011283604662315306
child	0.02176826132388351
cloud	0.008620053609558857
come	0.03008219324681094
count	0.007662616166664142
dew	0.008261346094629453
die	0.03690597529518069
dog	0.02069958253196634
drink	0.028820591724339848
ear	0.01766990242252611
eat	0.014852828131388851
egg	0.008649854870544526
elephant	0.007475643996183726
eye	0.01565704319557393
face	0.007652520204544192
fall	0.00875367467781261
fat, oil	0.01781510154013902
feather	0.01138417054099213
fingernail	0.0076346089581471885
fire	0.0067693314958682275
fire-wood	0.0078
fish	0.009682514298406351
five	0.027463472304251915
fly	0.007386760155275897
four	0.00768983589013574
give	0.03903354888212459
goat	0.008301533071847915
ground, soil	0.011921236351521208
hair	0.006366778227048092
head	0.011973695980292682
hear	0.010136624616984436
heart	0.018135798767283023
horn	0.009532753825107649
house	0.00836715682562759
hunger	0.010634591795011585
intestine	0.008554128996108006
iron	0.008053290526453944
kill	0.005480510249925542
knee	0.009628758348098678
knife	0.007652520204544192
know	0.010054177961524288
leaf	0.008405467973084165
leg	0.02040412521012221
liver	0.018098679952952817
louse	0.006923931973407235
man	0.007544636772522829
moon	0.008882652613087395
mouth	0.01799138713471547
name	0.02527523006173681
navel	0.011077031181379007
neck	0.015370199748610543
night	0.012371004396791502
nose	0.011804739044619105
one	0.025880293186739962
person	0.02072541305105023
rain	0.029787036784637982
road	0.01465417392313944
root	0.01074851866995795
salt	0.010040018374651058
sand	0.009152465181550638
see	0.01659527307053544
send	0.0078
shame	0.00836735369688893
sing	0.007726260102272096
skin	0.02030682436559498
sky	0.007944214761306216
sleep	0.012062278961529336
smoke	0.009342412632067804
snake	0.01699217663895325
spear	0.008061406670402173
steal	0.007726260102272096
stone	0.010992708696156971
sun	0.009371415302449785
tail	0.013089600654218346
ten	0.00792006320072287
three	0.014443837677121036
tongue	0.019713744138031994
tooth	0.018282190218022302
tree	0.012749406105028295
two	0.03067023659887228
urine	0.009329341389911105
village	0.008090606212045492
vomit	0.008440005249900302
walk	0.03269189546640821
war	0.00869745228395903
water	0.04729541491880322
wind	0.007731308083332071
woman	0.01673424297952034
