ConceptA	ConceptB	ChisqPvalue
animal	bone	0.02448775612193903
animal	burn	0.004497751124437781
animal	come	0.010494752623688156
animal	egg	0.011494252873563218
animal	fat, oil	0.02148925537231384
animal	fingernail	0.026986506746626688
animal	fire	0.019490254872563718
animal	give	0.0034982508745627187
animal	hair	0.01649175412293853
animal	kill	0.0024987506246876563
animal	leaf	0.0074962518740629685
animal	liver	0.001999000499750125
animal	louse	0.0074962518740629685
animal	moon	0.010994502748625687
animal	rain	0.033483258370814596
animal	road	0.010494752623688156
animal	smoke	0.041979010494752625
animal	stone	0.017491254372813594
animal	tooth	0.03498250874562719
animal	two	0.030984507746126936
animal	woman	0.021989005497251374
arm	ashes	0.018490754622688656
arm	belly	0.0009995002498750624
arm	blood	0.0014992503748125937
arm	bone	0.0014992503748125937
arm	breast	0.0009995002498750624
arm	burn	0.005997001499250375
arm	cloud	0.04547726136931534
arm	come	0.04597701149425287
arm	dog	0.004497751124437781
arm	ear	0.0024987506246876563
arm	egg	0.0029985007496251873
arm	feather	0.0029985007496251873
arm	fingernail	0.0009995002498750624
arm	fire	0.0009995002498750624
arm	fish	0.0014992503748125937
arm	ground, soil	0.01699150424787606
arm	hair	0.0014992503748125937
arm	head	0.03498250874562719
arm	heart	0.00849575212393803
arm	horn	0.0004997501249375312
arm	kill	0.00399800099950025
arm	leaf	0.0004997501249375312
arm	leg	0.0004997501249375312
arm	liver	0.018490754622688656
arm	moon	0.018490754622688656
arm	mouth	0.026486756621689155
arm	name	0.01199400299850075
arm	neck	0.005497251374312844
arm	night	0.014492753623188406
arm	nose	0.0004997501249375312
arm	one	0.0004997501249375312
arm	person	0.0014992503748125937
arm	rain	0.013993003498250875
arm	sand	0.0009995002498750624
arm	see	0.00849575212393803
arm	smoke	0.0004997501249375312
arm	sun	0.0004997501249375312
arm	tail	0.010994502748625687
arm	tongue	0.0029985007496251873
arm	tooth	0.034482758620689655
arm	tree	0.004497751124437781
arm	two	0.013993003498250875
arm	woman	0.004497751124437781
ashes	belly	0.0004997501249375312
ashes	bone	0.0004997501249375312
ashes	dog	0.005997001499250375
ashes	ear	0.0004997501249375312
ashes	egg	0.0004997501249375312
ashes	fish	0.001999000499750125
ashes	ground, soil	0.0004997501249375312
ashes	leaf	0.013493253373313344
ashes	leg	0.0004997501249375312
ashes	name	0.017991004497751123
ashes	one	0.0009995002498750624
ashes	person	0.0014992503748125937
ashes	stone	0.0004997501249375312
ashes	sun	0.022988505747126436
ashes	tooth	0.00849575212393803
ashes	tree	0.0009995002498750624
ashes	two	0.0009995002498750624
ashes	water	0.004997501249375313
bark	bird	0.0004997501249375312
bark	bone	0.0004997501249375312
bark	feather	0.0004997501249375312
bark	fish	0.017491254372813594
bark	hair	0.0079960019990005
bark	hear	0.0004997501249375312
bark	leg	0.0004997501249375312
bark	two	0.04597701149425287
belly	blood	0.02448775612193903
belly	bone	0.012993503248375811
belly	breast	0.022988505747126436
belly	dog	0.0004997501249375312
belly	drink	0.0079960019990005
belly	ear	0.0004997501249375312
belly	eat	0.006496751624187906
belly	egg	0.0004997501249375312
belly	eye	0.009495252373813094
belly	fat, oil	0.0009995002498750624
belly	fire	0.0009995002498750624
belly	fish	0.0004997501249375312
belly	give	0.0239880059970015
belly	hair	0.004497751124437781
belly	head	0.0034982508745627187
belly	horn	0.0014992503748125937
belly	kill	0.0004997501249375312
belly	leg	0.0004997501249375312
belly	man	0.0004997501249375312
belly	moon	0.0014992503748125937
belly	mouth	0.0009995002498750624
belly	name	0.0004997501249375312
belly	neck	0.00399800099950025
belly	night	0.0004997501249375312
belly	nose	0.0079960019990005
belly	one	0.00849575212393803
belly	rain	0.00849575212393803
belly	see	0.012993503248375811
belly	smoke	0.0004997501249375312
belly	sun	0.0004997501249375312
belly	tongue	0.0009995002498750624
belly	tooth	0.0029985007496251873
belly	tree	0.001999000499750125
belly	two	0.015992003998001
belly	water	0.04097951024487756
belly	woman	0.0004997501249375312
big	die	0.02048975512243878
big	dog	0.0034982508745627187
big	drink	0.0029985007496251873
big	ear	0.0009995002498750624
big	fish	0.012993503248375811
big	head	0.018490754622688656
big	kill	0.0014992503748125937
big	know	0.0004997501249375312
big	leaf	0.0009995002498750624
big	tail	0.0009995002498750624
big	tongue	0.0009995002498750624
big	tree	0.013993003498250875
big	two	0.005997001499250375
bird	bite	0.03498250874562719
bird	blood	0.0239880059970015
bird	bone	0.02148925537231384
bird	breast	0.004497751124437781
bird	egg	0.0069965017491254375
bird	eye	0.00849575212393803
bird	feather	0.0004997501249375312
bird	fingernail	0.0009995002498750624
bird	fish	0.044977511244377814
bird	ground, soil	0.011494252873563218
bird	hair	0.01699150424787606
bird	hear	0.0014992503748125937
bird	heart	0.04397801099450275
bird	horn	0.01199400299850075
bird	kill	0.0004997501249375312
bird	leaf	0.0004997501249375312
bird	liver	0.035982008995502246
bird	man	0.001999000499750125
bird	neck	0.008995502248875561
bird	night	0.0029985007496251873
bird	nose	0.009995002498750625
bird	person	0.008995502248875561
bird	rain	0.022988505747126436
bird	root	0.022488755622188907
bird	sleep	0.025987006496751622
bird	tooth	0.0034982508745627187
bird	water	0.047476261869065464
bite	cloud	0.029985007496251874
bite	come	0.034482758620689655
bite	egg	0.027486256871564217
bite	fingernail	0.0024987506246876563
bite	fish	0.0079960019990005
bite	hear	0.005497251374312844
bite	heart	0.0009995002498750624
bite	kill	0.01249375312343828
bite	know	0.0004997501249375312
bite	leaf	0.04997501249375312
bite	liver	0.03298350824587706
bite	rain	0.02948525737131434
bite	see	0.04597701149425287
bite	sleep	0.046476761619190406
bite	tail	0.004997501249375313
bite	tongue	0.0014992503748125937
bite	tree	0.04597701149425287
bite	water	0.035982008995502246
bite	woman	0.047976011994003
blood	bone	0.0009995002498750624
blood	breast	0.0079960019990005
blood	ear	0.0034982508745627187
blood	egg	0.0009995002498750624
blood	fire	0.0004997501249375312
blood	fish	0.0004997501249375312
blood	goat	0.027486256871564217
blood	hair	0.0004997501249375312
blood	head	0.0004997501249375312
blood	heart	0.025987006496751622
blood	horn	0.0004997501249375312
blood	knee	0.0014992503748125937
blood	leg	0.028985507246376812
blood	man	0.0014992503748125937
blood	moon	0.0024987506246876563
blood	mouth	0.0024987506246876563
blood	name	0.035982008995502246
blood	neck	0.0004997501249375312
blood	nose	0.0009995002498750624
blood	one	0.00399800099950025
blood	rain	0.03498250874562719
blood	skin	0.028985507246376812
blood	smoke	0.015992003998001
blood	snake	0.015992003998001
blood	tail	0.004997501249375313
blood	tongue	0.0009995002498750624
blood	tooth	0.005497251374312844
blood	two	0.03948025987006497
blood	water	0.0029985007496251873
blood	woman	0.031984007996002
bone	breast	0.014992503748125937
bone	come	0.0004997501249375312
bone	dog	0.0014992503748125937
bone	drink	0.009495252373813094
bone	ear	0.0004997501249375312
bone	eat	0.005497251374312844
bone	egg	0.0014992503748125937
bone	eye	0.0009995002498750624
bone	fat, oil	0.004497751124437781
bone	feather	0.0004997501249375312
bone	fingernail	0.0034982508745627187
bone	fire	0.0004997501249375312
bone	fish	0.0009995002498750624
bone	give	0.0004997501249375312
bone	ground, soil	0.01999000499750125
bone	hair	0.0004997501249375312
bone	head	0.001999000499750125
bone	hear	0.0009995002498750624
bone	horn	0.0004997501249375312
bone	kill	0.0004997501249375312
bone	knee	0.0014992503748125937
bone	know	0.0004997501249375312
bone	leaf	0.0009995002498750624
bone	leg	0.0069965017491254375
bone	liver	0.022488755622188907
bone	louse	0.0004997501249375312
bone	moon	0.0009995002498750624
bone	mouth	0.0004997501249375312
bone	name	0.0004997501249375312
bone	neck	0.0004997501249375312
bone	night	0.0009995002498750624
bone	nose	0.00399800099950025
bone	one	0.0004997501249375312
bone	person	0.01649175412293853
bone	root	0.0009995002498750624
bone	see	0.008995502248875561
bone	skin	0.0004997501249375312
bone	smoke	0.0004997501249375312
bone	stone	0.0004997501249375312
bone	sun	0.0009995002498750624
bone	tail	0.009995002498750625
bone	tongue	0.0004997501249375312
bone	tooth	0.0034982508745627187
bone	tree	0.0024987506246876563
bone	two	0.0069965017491254375
bone	water	0.0004997501249375312
bone	woman	0.0009995002498750624
breast	eat	0.0014992503748125937
breast	fire	0.0004997501249375312
breast	fish	0.0014992503748125937
breast	hair	0.001999000499750125
breast	horn	0.04847576211894053
breast	kill	0.0009995002498750624
breast	know	0.00399800099950025
breast	leg	0.006496751624187906
breast	man	0.0069965017491254375
breast	moon	0.01249375312343828
breast	mouth	0.0079960019990005
breast	name	0.01199400299850075
breast	neck	0.01249375312343828
breast	night	0.0014992503748125937
breast	nose	0.026486756621689155
breast	rain	0.01649175412293853
breast	road	0.01699150424787606
breast	stone	0.0004997501249375312
breast	sun	0.0024987506246876563
breast	tail	0.0079960019990005
breast	tongue	0.037481259370314844
breast	tooth	0.02798600699650175
breast	water	0.03498250874562719
breast	woman	0.02498750624687656
burn	die	0.022488755622188907
burn	ear	0.043478260869565216
burn	fish	0.0004997501249375312
burn	horn	0.0014992503748125937
burn	neck	0.0004997501249375312
burn	two	0.0004997501249375312
burn	water	0.0009995002498750624
child	elephant	0.004997501249375313
child	fire	0.04097951024487756
child	five	0.005997001499250375
child	house	0.004497751124437781
child	iron	0.04897551224387806
child	night	0.01899050474762619
child	three	0.026486756621689155
child	village	0.04447776111944028
cloud	dog	0.0004997501249375312
cloud	egg	0.0004997501249375312
cloud	eye	0.011494252873563218
cloud	feather	0.0004997501249375312
cloud	fingernail	0.0014992503748125937
cloud	fish	0.005497251374312844
cloud	hair	0.0004997501249375312
cloud	heart	0.0014992503748125937
cloud	know	0.0014992503748125937
cloud	liver	0.0004997501249375312
cloud	moon	0.0004997501249375312
cloud	one	0.0014992503748125937
cloud	see	0.004497751124437781
cloud	smoke	0.0004997501249375312
cloud	two	0.005997001499250375
cloud	water	0.0009995002498750624
come	die	0.0004997501249375312
come	dog	0.013993003498250875
come	drink	0.0004997501249375312
come	ear	0.005997001499250375
come	eat	0.0004997501249375312
come	egg	0.001999000499750125
come	fat, oil	0.0014992503748125937
come	fish	0.0009995002498750624
come	give	0.0009995002498750624
come	kill	0.0004997501249375312
come	know	0.0004997501249375312
come	leg	0.004497751124437781
come	mouth	0.009995002498750625
come	name	0.009995002498750625
come	night	0.01199400299850075
come	rain	0.0074962518740629685
come	road	0.001999000499750125
come	see	0.0009995002498750624
come	skin	0.030484757621189407
