ConceptA	ConceptB	ChisqResidual	NumForms
animal_110	bone_3896	2.2605767707651796	1
animal_110	bone_3987	4.521153541530359	4
animal_110	bone_4035	2.9233018626040495	1
animal_112	bone_3915	6.310619893875409	1
animal_112	bone_3918	7.197576235668613	2
animal_112	bone_3983	6.310619893875409	1
animal_112	bone_3984	3.385728561881009	2
animal_114	bone_3979	2.757764159222963	1
animal_118	bone_3892	3.3375222881538105	1
animal_118	bone_3986	3.7602026586157393	1
animal_133	bone_3987	5.0633073518909475	3
animal_16	bone_3882	3.0464244212496006	10
animal_16	bone_3890	6.306983715995552	10
animal_16	bone_3941	2.2605767707651796	1
animal_16	bone_4036	3.4648381878901016	1
animal_162	bone_4030	20.396136701456424	1
animal_217	bone_3922	5.089454964348421	1
animal_22	bone_3892	4.719969284629604	2
animal_22	bone_3941	7.090073254627265	1
animal_225	bone_4213	2.757764159222963	1
animal_23	bone_3892	3.6940941702177814	2
animal_23	bone_3992	2.4227932936203107	1
animal_23	bone_4032	3.9337110893670433	1
animal_24	bone_3892	3.3375222881538105	1
animal_243	bone_4092	3.114038457216768	1
animal_259	bone_3979	2.757764159222963	1
animal_26	bone_3896	4.611429759107164	1
animal_26	bone_3986	6.242202840920949	2
animal_317	bone_3890	-2.5522473576373863	6
animal_338	bone_3918	11.71923676554178	1
animal_350	bone_3922	5.089454964348421	1
animal_369	bone_4137	6.837076424546367	2
animal_405	bone_3979	2.757764159222963	1
animal_49	bone_3869	3.333965097780421	6
animal_49	bone_3882	3.5569399576529515	10
animal_49	bone_3981	3.7602026586157393	1
animal_49	bone_4227	3.7602026586157393	1
animal_5	bone_3869	2.3018935589224565	2
animal_5	bone_4032	3.6049350999018612	1
animal_56	bone_3890	2.6121190381026858	1
animal_70	bone_3890	4.524322889411796	3
animal_80	bone_3968	3.015113445777636	1
animal_80	bone_4135	7.090073254627265	1
animal_86	bone_3882	2.0313335003080333	2
animal_86	bone_3984	2.757764159222963	1
animal_110	burn_4684	2.442857142857143	1
animal_110	burn_4686	4.8688933495178945	3
animal_110	burn_4943	6.101271195749426	1
animal_110	burn_4994	6.101271195749426	1
animal_111	burn_4713	2.323147511739209	1
animal_111	burn_4820	4.452380952380952	1
animal_112	burn_4684	2.612643685901018	1
animal_112	burn_4689	3.5478720480788097	1
animal_112	burn_4701	2.9967858821715585	1
animal_112	burn_4704	5.017448767957463	2
animal_112	burn_4765	2.9967858821715585	1
animal_114	burn_4763	11.343470356460193	1
animal_118	burn_4688	3.625361996757747	1
animal_118	burn_4765	6.857142857142858	1
animal_133	burn_4686	7.27688540685435	3
animal_133	burn_4820	2.612643685901018	1
animal_16	burn_4679	5.968674088353023	4
animal_16	burn_4683	7.986584899271549	13
animal_16	burn_4725	3.4045882234342346	1
animal_16	burn_4800	-2.0394181675117227	1
animal_16	burn_4859	2.21508010539769	1
animal_162	burn_4810	19.74848224599572	1
animal_217	burn_4749	7.959185853828413	1
animal_22	burn_4685	3.794016054674684	1
animal_22	burn_4775	2.727723627949905	1
animal_225	burn_4775	5.102520385624568	1
animal_23	burn_4670	5.5405125134381406	1
animal_23	burn_4692	3.794016054674684	1
animal_24	burn_4692	6.857142857142858	1
animal_243	burn_4885	12.362261532748837	2
animal_26	burn_4685	6.857142857142858	1
animal_317	burn_4800	2.502475994739654	74
animal_338	burn_4980	19.74848224599572	1
animal_350	burn_4692	6.857142857142858	1
animal_369	burn_4692	7.835467939002064	2
animal_369	burn_4921	4.916462004272563	1
animal_405	burn_4713	3.5478720480788097	1
animal_49	burn_4688	2.302197802197802	3
animal_49	burn_4763	4.037517020942555	2
animal_49	burn_4773	3.625361996757747	1
animal_49	burn_4854	3.371784764197643	6
animal_49	burn_4859	2.3814102123922343	1
animal_5	burn_4670	3.794016054674684	1
animal_5	burn_4673	4.452380952380952	1
animal_5	burn_4685	2.5078109271351585	1
animal_5	burn_4713	2.468253968253968	2
animal_56	burn_4679	6.101271195749426	1
animal_56	burn_4683	2.3814102123922343	1
animal_70	burn_4802	3.794016054674684	1
animal_70	burn_4854	2.6145719333301622	2
animal_80	burn_4688	3.625361996757747	1
animal_86	burn_4719	2.1648082034727993	1
animal_110	come_5794	2.2131760318935654	1
animal_110	come_5854	4.39496264478209	2
animal_111	come_5997	2.0307101190246426	1
animal_112	come_5800	3.4020690871988584	1
animal_112	come_5810	5.2352620349544345	3
animal_112	come_5865	2.2131760318935654	1
animal_133	come_5854	9.91106840335307	3
animal_133	come_6154	2.2131760318935654	1
animal_16	come_5795	4.024922359499621	2
animal_16	come_5810	2.646896410149178	3
animal_16	come_5832	2.74933905661469	8
animal_16	come_5848	7.485541619237271	6
animal_16	come_5888	-2.294921930407801	0
animal_162	come_5932	20.074921397998114	1
animal_217	come_5997	3.1616001206930493	1
animal_22	come_5801	9.962925099749063	1
animal_22	come_5814	8.777777777777779	2
animal_22	come_5940	9.962925099749063	1
animal_23	come_5802	2.5604723233260147	1
animal_23	come_5810	2.0734817576546454	1
animal_23	come_5812	8.094122238687454	1
animal_23	come_5814	3.4020690871988584	1
animal_24	come_5803	9.962925099749063	1
animal_24	come_6154	3.864486933508672	1
animal_243	come_5865	5.637342426146351	1
animal_26	come_5805	11.532883742039864	1
animal_26	come_5807	8.094122238687454	1
animal_317	come_5854	-2.184117755609887	0
animal_338	come_5832	2.5948161128125813	1
animal_369	come_5848	3.864486933508672	1
animal_369	come_6154	3.0559595692497123	1
animal_49	come_6084	3.092596876950197	13
animal_5	come_5788	5.192604291663867	1
animal_5	come_5794	2.783264422680829	1
animal_5	come_5802	2.3174154703205745	1
animal_5	come_5989	2.3174154703205745	1
animal_56	come_5832	2.5948161128125813	1
