	animal_317	arm_808	belly_1914	big_2431	bird_2723	bite_3105	breast_4265	breast_4284	child_5068	die_6742	die_6976	dog_7348	drink_7636	ear_7930	ear_8040	egg_8817	elephant_9157	eye_9674	eye_9769	face_10038	fall_10314	fat, oil_10514	feather_10928	fire_11947	five_12733	fly_13243	four_13441	goat_14327	head_15361	head_15217	heart_16283	horn_16467	house_16986	house_16865	hunger_17380	know_18997	leg_19876	louse_20701	moon_21517	moon_21358	name_22298	neck_22950	one_24148	person_24653	rain_25113	road_25605	sand_26562	see_26914	send_27203	shame_27442	sing_27812	sleep_28909	snake_29468	spear_29766	tail_31265	ten_31562	three_31928	tongue_32199	tooth_32424	tree_32867	two_33128	two_33356	walk_34527	water_35122	woman_35913
animal_317	0.0	0.5408187134502923	0.28691525423728814	0.1718550724637681	0.47016438356164386	0.6816719242902208	0.077874251497006	0.37778106508875736	1.4694444444444443	0.17578125	0.3734567901234568	0.3978285714285714	0.7385798816568047	0.329942363112392	0.2868831168831169	0.1733625730994152	0.17914012738853505	0.38750830564784056	0.21820936639118457	0.21845201238390094	0.38750830564784056	0.8897507788161992	0.08427745664739884	0.29258278145695366	0.7335243553008597	0.3841946308724832	0.8757575757575757	0.6798688524590165	0.6054516129032258	0.11755351681957187	0.3633333333333333	0.4190816326530612	0.3770469798657718	0.2229449838187702	0.6171428571428571	0.5026245847176081	0.268268156424581	0.3401360544217687	0.5059866220735786	0.034122562674094706	0.8444474393530997	0.6686510263929618	0.17737609329446063	1.098047493403694	1.1002770780856423	0.41406432748538013	0.48335463258785943	0.6551381215469614	0.8005263157894738	0.5280307692307692	0.5202903225806452	0.37003058103975534	0.5522875816993463	0.1447112462006079	0.37003058103975534	1.0142724458204335	0.830506329113924	1.1562942779291552	0.8525671641791044	0.3928923076923077	0.08385074626865671	0.4225	0.2645508982035928	0.42737288135593227	0.2661635220125786
arm_808	0.5408187134502923	0.0	0.09760162601626016	0.21390625	0.25796178343949044	0.1728	0.05662745098039216	0.2636861313868613	0.45923913043478265	0.05761363636363637	0.32992031872509964	0.3056183745583039	0.5600358422939068	0.2977941176470588	0.155	0.15574144486692015	0.15766949152542373	0.15625984251968503	0.21574468085106385	0.09852272727272726	0.08565055762081783	0.28357377049180327	0.24141630901287556	0.06732824427480916	0.26694444444444443	0.10803846153846154	0.25471698113207547	0.12121212121212122	0.2394525547445256	0.125	0.3445816733067729	0.10360153256704979	0.10845559845559846	0.09142857142857143	0.2788215488215488	0.13730627306273063	0.4064750957854406	0.11281124497991968	0.11	0.12747967479674796	0.4720543806646526	0.373728813559322	0.20171206225680932	0.6281686046511628	0.6904481792717087	0.3988345864661654	0.1731272727272727	0.4192258064516129	0.20374570446735393	0.2127272727272727	0.1725	0.24150943396226413	0.20910780669144985	0.11102766798418973	0.3013229571984436	0.3131309904153355	0.23364238410596022	0.5361159420289855	0.4452861952861953	0.20132352941176468	0.023062730627306273	0.2662641509433962	0.21551724137931033	0.25399328859060405	0.16125984251968503
belly_1914	0.28691525423728814	0.09760162601626016	0.0	0.06004901960784314	0.07925093632958802	0.2245754716981132	0.005208333333333334	0.05586206896551724	0.23653125	0.020833333333333336	0.08889423076923077	0.12107758620689657	0.20830578512396694	0.06926406926406926	0.12843023255813954	0.03219047619047619	0.02150537634408602	0.2084431137724551	0.023510204081632652	0.0608421052631579	0.2255151515151515	0.27372807017543865	0.009655172413793102	0.06882022471910113	0.11162361623616236	0.14534883720930233	0.20491869918699188	0.2761139896373057	0.18330049261083745	0.0032323232323232328	0.04328828828828828	0.26910828025477707	0.21487654320987656	0.0050251256281407045	0.10573170731707317	0.338855421686747	0.05147058823529412	0.2579865771812081	0.1785164835164835	0.0007729468599033816	0.1769283276450512	0.15562753036437246	0.00875	0.24182108626198084	0.19184210526315787	0.08273504273504273	0.1345273631840796	0.0922340425531915	0.14768181818181816	0.19598086124401914	0.1458	0.128128078817734	0.23294117647058826	0.008366336633663367	0.08763033175355449	0.27337500000000003	0.23246636771300447	0.30593220338983046	0.18892857142857145	0.14507462686567163	0.006237113402061856	0.06945205479452055	0.03893518518518519	0.098	0.08090425531914894
big_2431	0.1718550724637681	0.21390625	0.06004901960784314	0.0	0.181985559566787	0.12544401544401546	0.11626315789473685	0.08233463035019456	0.23592592592592593	0.09063725490196078	0.09242677824267784	0.1008955223880597	0.18782608695652173	0.19428571428571428	0.06685185185185186	0.10331838565022423	0.0671078431372549	0.07239819004524888	0.17066666666666666	0.05137777777777778	0.033648068669527895	0.14225806451612902	0.15355329949238578	0.00510548523206751	0.18503472222222223	0.06977064220183488	0.20927536231884059	0.07166666666666666	0.055325670498084296	0.07113300492610837	0.11953191489361702	0.02693965517241379	0.05542986425339366	0.05861244019138757	0.09256227758007117	0.06417721518987342	0.162	0.09108374384236452	0.03954732510288066	0.09584158415841584	0.1484848484848485	0.18465201465201467	0.06866952789699571	0.3054191616766467	0.3855685131195335	0.11258687258687258	0.06805668016194333	0.2222222222222222	0.09541984732824428	0.13979919678714858	0.07141700404858299	0.10928571428571429	0.045511811023622055	0.08480769230769232	0.12927350427350429	0.17687719298245613	0.08170212765957446	0.3076923076923077	0.15020689655172415	0.07869918699186992	0.08	0.07775100401606426	0.0780168776371308	0.16003787878787878	0.12327014218009479
bird_2723	0.47016438356164386	0.25796178343949044	0.07925093632958802	0.181985559566787	0.0	0.2432894736842105	0.16582995951417004	0.14006430868167202	0.7191011235955057	0.11833962264150945	0.1636082474226804	0.30926174496644293	0.2895076923076923	0.22563758389261743	0.0715547703180212	0.2778846153846154	0.14649606299212597	0.08771929824561403	0.274083044982699	0.2316015625	0.1309090909090909	0.29495297805642634	0.11162361623616236	0.03531034482758621	0.5236688311688311	0.11403636363636364	0.46127035830618895	0.3144483985765124	0.17763333333333337	0.055108695652173904	0.15216949152542372	0.06745644599303136	0.11901098901098901	0.10600000000000001	0.36627906976744184	0.1806810035842294	0.23677852348993286	0.10962406015037594	0.13926315789473684	0.22260162601626018	0.5003206997084548	0.13641833810888251	0.149822695035461	0.6575561797752809	0.5890052356020943	0.34843205574912894	0.14225589225589225	0.3881155015197569	0.24653333333333335	0.28457044673539517	0.10214983713355048	0.21975352112676055	0.20195804195804196	0.14148288973384032	0.1567457627118644	0.402807570977918	0.25796178343949044	0.49194520547945203	0.2961027190332326	0.2127272727272727	0.14173228346456693	0.14471760797342192	0.16705263157894737	0.2859546925566343	0.2090076335877863
bite_3105	0.6816719242902208	0.1728	0.2245754716981132	0.12544401544401546	0.2432894736842105	0.0	0.006353383458646616	0.25566539923954373	0.5796209912536443	0.032346153846153844	0.2733333333333333	0.4096138996138996	0.5014285714285713	0.12965156794425087	0.19602620087336245	0.06180147058823529	0.022239382239382238	0.3042533936651584	0.08084175084175085	0.14384297520661157	0.2786160714285715	0.6525882352941176	0.013127272727272727	0.20828828828828827	0.16644376899696048	0.5281218274111675	0.30183946488294316	0.5551739130434783	0.48927350427350424	0.0284765625	0.06125	0.2590134529147982	0.44458128078817727	0.03038759689922481	0.25	0.53	0.1806810035842294	0.2724528301886792	0.6290147783251231	0.013420074349442382	0.4742633228840126	0.3496503496503497	0.061350364963503656	0.795	0.4734782608695652	0.30566037735849055	0.43478260869565216	0.4209395973154363	0.5775949367088608	0.35392156862745094	0.28566801619433196	0.2777822580645161	0.46735682819383256	0.005142857142857143	0.34504166666666664	0.5501454545454546	0.59536	0.8338762214983714	0.4293031358885018	0.32596707818930043	0.00962406015037594	0.3135222672064777	0.17603921568627454	0.3433941605839416	0.19593220338983053
breast_4265	0.077874251497006	0.05662745098039216	0.005208333333333334	0.11626315789473685	0.16582995951417004	0.006353383458646616	0.0	0.0	0.1654380664652568	0.105	0.019342105263157893	0.022239382239382238	0.044384057971014496	0.10913636363636364	0.00587378640776699	0.12978378378378377	0.05953488372093023	0.0016513761467889909	0.18063106796116504	0.08791208791208792	0.017609756097560977	0.03507299270072992	0.09142857142857143	0.04284153005464481	0.1520689655172414	0.0030188679245283017	0.11634615384615385	0.03322033898305085	0.004820717131474104	0.07248520710059171	0.09830097087378639	0.022160804020100504	0.0016901408450704224	0.13142857142857142	0.08497991967871485	0.00747787610619469	0.02987704918032787	0.008622448979591836	0.0027947598253275107	0.11733333333333333	0.09436893203883497	0.056753731343283584	0.0648	0.14012121212121212	0.19297058823529412	0.03161290322580645	0.02537444933920705	0.07424561403508773	0.025	0.06197424892703863	0.05302752293577982	0.019090909090909092	0.02320175438596491	0.22603896103896104	0.015493562231759657	0.05138790035587189	0.0318560606060606	0.07718100890207716	0.05734767025089606	0.03484444444444444	0.20439189189189189	0.00933609958506224	0.05185714285714286	0.04480620155038761	0.03125
breast_4284	0.37778106508875736	0.2636861313868613	0.05586206896551724	0.08233463035019456	0.14006430868167202	0.25566539923954373	0.0	0.0	0.37904225352112675	0.04776859504132232	0.2	0.2967049808429119	0.33603571428571427	0.06652920962199312	0.19380733944954126	0.0649034749034749	0.03489626556016598	0.16859649122807016	0.14184501845018452	0.05776	0.13401709401709402	0.2526223776223776	0.11807860262008735	0.0916017316017316	0.20067524115755628	0.07609053497942388	0.2187	0.11901098901098901	0.28918032786885245	0.06584415584415584	0.12496153846153846	0.11555555555555555	0.084375	0.08881578947368421	0.2617753623188406	0.13619433198380565	0.36362139917695474	0.06808510638297872	0.16537500000000002	0.04796680497925311	0.3478637770897833	0.22469178082191782	0.10362549800796814	0.47860534124629084	0.45637883008356545	0.2811284046692607	0.1676587301587302	0.2916171617161716	0.17503676470588236	0.2018560606060606	0.17285714285714288	0.19120481927710845	0.12496153846153846	0.03614457831325301	0.2611297071129707	0.2888737201365188	0.2427436823104693	0.5216049382716049	0.35919014084507045	0.1100377358490566	0.03012396694214876	0.42875	0.13924	0.2792988929889299	0.08636734693877551
child_5068	1.4694444444444443	0.45923913043478265	0.23653125	0.23592592592592593	0.7191011235955057	0.5796209912536443	0.1654380664652568	0.37904225352112675	0.0	0.2075	0.3371098265895954	0.4635376044568245	0.6866016713091923	0.3186885245901639	0.19776470588235295	0.24391930835734868	0.2805079365079365	0.31100609756097564	0.34130193905817174	0.39822222222222226	0.3874528301886792	0.7427220630372493	0.14	0.2677708978328173	1.1234626865671642	0.32210526315789473	1.1088449848024318	0.7407911392405063	0.4655718475073314	0.11872463768115943	0.27453781512605047	0.4178778135048231	0.41057877813504823	0.2579750778816199	1.0125	0.508801261829653	0.3375616438356165	0.276125	0.4384210526315789	0.11702857142857143	0.9301052631578948	0.5728882833787466	0.19764705882352943	1.2343896103896101	1.2769	0.4903142857142857	0.45432432432432435	0.6208376963350785	0.8252830188679244	0.8228888888888888	0.6182965299684543	0.34140804597701147	0.5280307692307692	0.27941176470588236	0.3132102272727273	1.369113924050633	1.0631428571428572	1.3597831978319783	0.828356940509915	0.3934502923976608	0.17397590361445783	0.4059475218658892	0.2808309455587392	0.46887978142076503	0.2629761904761905
die_6742	0.17578125	0.05761363636363637	0.020833333333333336	0.09063725490196078	0.11833962264150945	0.032346153846153844	0.105	0.04776859504132232	0.2075	0.0	0.0	0.05042801556420233	0.06322580645161291	0.07443037974683545	0.010613207547169812	0.05861244019138757	0.03595744680851064	0.010273972602739725	0.14768181818181816	0.05472361809045226	0.022830188679245286	0.049244604316546765	0.042908163265306117	0.054179894179894175	0.19786259541984733	0.007788018433179723	0.17399224806201552	0.08004329004329006	0.01	0.06422222222222222	0.07640909090909091	0.03881188118811882	0.019138755980861243	0.12994117647058823	0.0856201550387597	0.007161016949152542	0.04391129032258064	0.016119402985074627	0.030588235294117645	0.05475935828877005	0.13717532467532467	0.07808118081180812	0.05452830188679245	0.11906976744186046	0.1979597701149425	0.023946360153256706	0.0576	0.07863481228668942	0.037834645669291345	0.0594238683127572	0.07207207207207206	0.007903225806451612	0.031153846153846153	0.12551136363636364	0.031021276595744683	0.09761732851985559	0.04297397769516729	0.14939024390243902	0.09761732851985559	0.014795081967213115	0.15337423312883436	0.02816666666666667	0.0495	0.12246963562753037	0.011689497716894976
