ConceptA	ConceptB	ChisqPvalue
animal	bone	0.02348825587206397
animal	burn	0.0069965017491254375
animal	come	0.010994502748625687
animal	egg	0.009995002498750625
animal	fat, oil	0.02148925537231384
animal	fingernail	0.02348825587206397
animal	fire	0.01199400299850075
animal	give	0.005997001499250375
animal	hair	0.021989005497251374
animal	kill	0.001999000499750125
animal	leaf	0.014992503748125937
animal	liver	0.0034982508745627187
animal	louse	0.009995002498750625
animal	moon	0.011494252873563218
animal	rain	0.025987006496751622
animal	road	0.00399800099950025
animal	smoke	0.04547726136931534
animal	stone	0.01699150424787606
animal	tooth	0.04397801099450275
animal	two	0.03398300849575212
animal	woman	0.017991004497751123
arm	ashes	0.01699150424787606
arm	belly	0.0004997501249375312
arm	blood	0.0014992503748125937
arm	bone	0.0029985007496251873
arm	breast	0.0014992503748125937
arm	burn	0.008995502248875561
arm	cloud	0.043478260869565216
arm	come	0.046476761619190406
arm	dog	0.0074962518740629685
arm	ear	0.00399800099950025
arm	egg	0.0029985007496251873
arm	feather	0.0034982508745627187
arm	fingernail	0.0004997501249375312
arm	fire	0.0014992503748125937
arm	fish	0.0004997501249375312
arm	ground, soil	0.014492753623188406
arm	hair	0.0014992503748125937
arm	head	0.03548225887056472
arm	heart	0.013493253373313344
arm	horn	0.0009995002498750624
arm	kill	0.004497751124437781
arm	leaf	0.0004997501249375312
arm	leg	0.0004997501249375312
arm	liver	0.022988505747126436
arm	moon	0.022488755622188907
arm	mouth	0.017491254372813594
arm	name	0.01199400299850075
arm	neck	0.00399800099950025
arm	night	0.009995002498750625
arm	nose	0.0004997501249375312
arm	one	0.0004997501249375312
arm	person	0.0009995002498750624
arm	rain	0.015992003998001
arm	root	0.04897551224387806
arm	sand	0.0004997501249375312
arm	see	0.004997501249375313
arm	smoke	0.0004997501249375312
arm	sun	0.0004997501249375312
arm	tail	0.013493253373313344
arm	tongue	0.0029985007496251873
arm	tooth	0.030484757621189407
arm	tree	0.0029985007496251873
arm	two	0.02348825587206397
arm	woman	0.001999000499750125
ashes	belly	0.0004997501249375312
ashes	bone	0.0004997501249375312
ashes	dog	0.0079960019990005
ashes	ear	0.0004997501249375312
ashes	egg	0.0009995002498750624
ashes	eye	0.04847576211894053
ashes	fish	0.004497751124437781
ashes	ground, soil	0.0004997501249375312
ashes	leaf	0.009995002498750625
ashes	leg	0.0014992503748125937
ashes	name	0.01899050474762619
ashes	one	0.0004997501249375312
ashes	person	0.001999000499750125
ashes	stone	0.0004997501249375312
ashes	sun	0.01899050474762619
