Segment	STDev
u	19
o	17
i	15
a	14
l	13
ɔ	12
e	12
ə	10
k	10
r	10
ɛ	10
n	9
m	8
ŋ	7
j	7
d	7
b	7
w	6
ɯ	6
ʊ	6
h	6
g	6
ɣ	5
ɪ	5
s	5
t	5
ɲ	4
z	4
p	4
v	4
f	3
ɓ	3
ɨ	3
dz	3
ɽ	3
ʃ	3
ts	2
tʃ	2
aː	2
ɗ	2
l̪	2
dʒ	2
β	2
ʔ	2
ʉ	2
c	2
ð	2
û	2
ɟ	1
tɬ	1
x	1
ʕ	1
tɬʰ	1
ɥ	1
ɛː	1
ʒ	1
uː	1
eː	1
ʈ	1
ɔː	1
oː	1
n̪	1
ʂ	1
n̩	1
iˀ	1
iː	1
ʁ	1
tʰ	1
ɸ	1
y	1
ɾ	1
ã	1
ɘ	0
ɕ	0
ɑ	0
ə̃	0
əː	0
ɑˀ	0
ɖʐ	0
əˀ	0
ɔ̃ː	0
ɔ̃	0
ɑ̃	0
ɔˀ	0
ɘˀ	0
ɖ	0
ẽ	0
ɛˀ	0
ɛ̃	0
θ	0
ʝ	0
ʑ	0
ʐ	0
ʎ	0
ʌ̃̀	0
ʌ	0
ʊ̃	0
ʊː	0
ʉ̃	0
ʉː	0
ʈʰ	0
ʈʂ	0
ʃʷ	0
ɺ	0
ɹ	0
ɲ̩	0
ɱ	0
ǀ̃	0
ɮ	0
χ	0
ɬ	0
ɪ̃	0
ɪː	0
ɨˀ	0
ɦ	0
ɤ	0
ɣʷ	0
ɠ	0
ɐ	0
w̃	0
ǀ	0
kʰ	0
kʷ	0
kʼ	0
lʰ	0
lʲ	0
lʷ	0
lˀ	0
lˠ	0
lᶣ	0
mʰ	0
mː	0
m̥	0
m̩	0
nʰ	0
nʱ	0
nʷ	0
kʲ	0
kp	0
oˀ	0
hʷ	0
bʰ	0
bʱ	0
bʲ	0
b̪	0
dʒʲ	0
dʰ	0
dʲ	0
dʷ	0
d̪	0
eˀ	0
fʲ	0
gʱ	0
gʲ	0
gʷ	0
g̊	0
n̥	0
pʰ	0
ũ	0
t̪ʰ	0
vː	0
aˀ	0
zʷ	0
ãː	0
æ	0
æˀ	0
õ	0
ø	0
ĩ	0
ĩː	0
ŋʰ	0
ŋʷ	0
ŋ̊	0
ŋ̍	0
œ	0
uˀ	0
t̪	0
pʲ	0
tʼ	0
pʼ	0
q	0
qʰ	0
rʲ	0
r̃	0
r̥	0
sʲ	0
sʷ	0
s̪	0
tsʰ	0
tsʼ	0
tɬʼ	0
tʃʰ	0
tʃʼ	0
tʷ	0
ⱱ	0
