a11londo
d	3.77	35

a121mbonge
d	2.19	24

a122bakundu
gʷ	3.45	1
kʷ	2.99	1
õ	13.16	5
ŋʷ	19.95	4
ɔ̃	2.1	1
ẽ	18.39	2

a141lefo
aˀ	6.2	2
eˀ	10.59	2
iˀ	7.49	4
oˀ	4.92	1
uˀ	3.02	1
w	2.2	25
ŋ	2.47	22
ɔˀ	11.48	5
əˀ	8.35	1

a151nkongho
a	-2.06	28
aˀ	12.53	4
iˀ	11.28	6
kʰ	6.14	3
oˀ	4.92	1
pʰ	3.18	1
uˀ	15.5	5
ø	18.4	4
ŋ	2.92	25
ɔˀ	6.83	3
ɘ	18.79	9
ɘˀ	14.53	1
ɛ	3.17	38
ɛˀ	11.06	5
ɨˀ	20.57	1
ʒ	3.9	4

a15ambuu
aˀ	3.04	1
eˀ	5.25	1
i	-2.29	12
lˀ	20.57	3
oˀ	4.92	1
ã	3.22	2
ŋ	3.95	32
ɑˀ	14.53	2
ɔˀ	4.51	2
ə	3.89	40
ʒ	2.88	3

a15bmiengenwmanenguba
a	-2.06	28
bʱ	20.57	7
iˀ	13.18	7
oˀ	9.94	2
uˀ	6.14	2
y	3.66	4
æ	19.41	7
æˀ	20.57	2
ŋ	3.95	32
ɑ	19.26	8
ɑˀ	14.53	2
ɔˀ	9.16	4
ə	3.99	41
əˀ	8.35	1

a15cakossi
d	2.48	26
eˀ	15.92	3
ŋ	2.03	19

a15celungcentralmanenguba
aˀ	9.37	3
eˀ	5.25	1
oˀ	14.96	3
uˀ	3.02	1
y	2.71	3
æ	2.71	1
ø	4.53	1
ɔˀ	6.83	3
ɘ	8.32	4
ɘˀ	14.53	1
ə	3.36	35

a15cmkaa
i	-2.23	13
j	2.3	27
oˀ	4.92	1
æ	5.5	2
ŋ	2.03	19
ɛ	4.3	49
ɛˀ	13.29	6
ʔ	2.29	5

a15manenguba
b	2.08	29
d	2.48	26
y	2.71	3
ŋ	3.07	26
ə	2.32	25

a22bakweri
j	2.16	26
v	2.25	11

a24duala
d	3.34	32
n	2.01	47
õ	2.54	1
ẽ	9.16	1

a27malimba
d	2.05	23
dʒ	3.91	10
ɓ	6.8	21

a31bubi
b	2.65	33
c	3.24	8
e	2.2	47
m	-3.47	4
n	-2.04	9
o	3.4	86
ĩ	6.44	2

a32cbatanga
d	2.34	25
v	4.21	18

a33ayasa
v	3.09	14
ɗ	3.41	9

a34benga
β	2.92	8

a41barombikang
bʲ	18.39	2
dʒ	3.48	9
f	5.7	21
ø	4.53	1
ŋ	2.47	22
ɔ	2.09	33
ɛ	2.05	27

a42abo
dʒ	2.2	6
f	3.18	13
ŋ	2.03	19
ɔ	2.26	35

a43abasaa
dʒ	5.19	13
h	2.48	20
ŋ	3.36	28
ɔ	2.95	43

a44tunen
j	2.01	25
n	4.15	67

a45nyokon
a	-2.21	26
n	2.55	52
p	4.22	20
ɨ	6.51	22
ɲ	2.5	14
ʔ	2.29	5

a462yambeta
n	3.51	61
ŋ	2.33	21
ɛ	2.87	35
ʔ	2.79	6

a46nomaande
c	3.24	8
j	2.16	26
m	-2.1	15
n	2.44	51
ɔ	5.37	71
ɛ	2.05	27

a51bafiamaja
a	-2.56	21
f	3.5	14
i	-2.16	14
iː	2.44	3
j	3.16	33
n	-2.15	8
w	4.42	38
ŋ	2.62	23
ɖ	2.62	1
ɗ	6.65	17
ə	3.57	37
ʊ	3.29	22
ʌ	7.06	3
ʔ	4.29	9

a53bafiarikpa
a	-2.85	17
f	2.87	12
ɑ	7.18	3
ɓ	2.4	8
ɗ	7.06	18
ɨ	10.45	35
ʌ	7.06	3
ʔ	6.79	14

a54tibea
a	-2.99	15
j	4.02	39
y	11.26	12
ŋ	2.18	20
ɓ	4.43	14
ə	6.82	68
ɨ	2.87	10
ɸ	9.22	11
ʌ	2.26	1
θ	2.48	1

a601tuki
e	2.2	47
n	2.97	56
t	2.28	25
w	2.54	27

a61ngoroasom
kʲ	14.53	1
y	13.16	14
ɓ	2.06	7
ɗ	4.22	11
ə	3.26	34
ɨ	2.26	8
ɸ	4.11	5
ʃ	2.14	7

a61ngorobisoo
p	2.05	12
v	3.37	15
ŋ	2.47	22

a61ngorolunda
p	3.13	16
y	5.56	6
ɓ	3.42	11
ɗ	5.03	13
ɸ	6.67	8

a621nubaca
f	2.24	10
p	4.49	21
