Doculect	Segment	Zscore	Normedcount	SalienceScore
a11londo	a	0.44	63	28
a11londo	aˀ	-0.13	0	0
a11londo	aː	-0.21	0	0
a11londo	b	1.37	24	33
a11londo	bʰ	-0.05	0	0
a11londo	bʱ	-0.05	0	0
a11londo	bʲ	-0.07	0	0
a11londo	b̪	-0.05	0	0
a11londo	c	0.43	2	1
a11londo	d	3.77	35	132
a11londo	dz	-0.42	0	0
a11londo	dʒ	-0.36	0	0
a11londo	dʒʲ	-0.05	0	0
a11londo	dʰ	-0.06	0	0
a11londo	dʲ	-0.14	0	0
a11londo	dʷ	-0.07	0	0
a11londo	d̪	-0.13	0	0
a11londo	e	0.12	22	3
a11londo	eˀ	-0.09	0	0
a11londo	eː	-0.23	0	0
a11londo	f	0.35	4	1
a11londo	fʲ	-0.05	0	0
a11londo	g	0.6	13	8
a11londo	gʱ	-0.05	0	0
a11londo	gʲ	-0.07	0	0
a11londo	gʷ	-0.1	0	0
a11londo	g̊	-0.05	0	0
a11londo	h	-0.76	0	0
a11londo	hʷ	-0.05	0	0
a11londo	i	-0.17	43	-7
a11londo	iˀ	-0.11	0	0
a11londo	iː	-0.21	0	0
a11londo	j	0.15	12	2
a11londo	k	-0.74	16	-12
a11londo	kp	-0.05	0	0
a11londo	kʰ	-0.1	0	0
a11londo	kʲ	-0.07	0	0
a11londo	kʷ	-0.15	0	0
a11londo	kʼ	-0.09	0	0
a11londo	l	-0.98	8	-8
a11londo	lʰ	-0.05	0	0
a11londo	lʲ	-0.34	0	0
a11londo	lʷ	-0.08	0	0
a11londo	lˀ	-0.05	0	0
a11londo	lˠ	-0.05	0	0
a11londo	l̪	-0.07	0	0
a11londo	lᶣ	-0.05	0	0
a11londo	m	-0.61	27	-16
a11londo	mʰ	-0.05	0	0
a11londo	mː	-0.05	0	0
a11londo	m̥	-0.05	0	0
a11londo	m̩	-0.1	0	0
a11londo	n	-0.55	23	-13
a11londo	nʰ	-0.07	0	0
a11londo	nʱ	-0.07	0	0
a11londo	nʷ	-0.05	0	0
a11londo	n̥	-0.05	0	0
a11londo	n̩	-0.1	0	0
a11londo	n̪	-0.07	0	0
a11londo	o	0.8	42	33
a11londo	oˀ	-0.11	0	0
a11londo	oː	-0.18	0	0
a11londo	p	-1.21	0	0
a11londo	pʰ	-0.15	0	0
a11londo	pʲ	-0.05	0	0
a11londo	pʼ	-0.05	0	0
a11londo	q	-0.07	0	0
a11londo	qʰ	-0.05	0	0
a11londo	r	-0.14	5	-1
a11londo	rʲ	-0.13	0	0
a11londo	r̃	-0.05	0	0
a11londo	r̥	-0.07	0	0
a11londo	s	-0.04	9	0
a11londo	sʲ	-0.11	0	0
a11londo	sʷ	-0.07	0	0
a11londo	s̪	-0.05	0	0
a11londo	t	-0.81	8	-7
a11londo	ts	-0.48	0	0
a11londo	tsʰ	-0.07	0	0
a11londo	tsʼ	-0.05	0	0
a11londo	tɬ	-0.05	0	0
a11londo	tɬʰ	-0.05	0	0
a11londo	tɬʼ	-0.05	0	0
a11londo	tʃ	-0.62	0	0
a11londo	tʃʰ	-0.08	0	0
a11londo	tʃʼ	-0.05	0	0
a11londo	tʰ	-0.16	0	0
a11londo	tʷ	-0.13	0	0
