Doculect	Gloss	Form	Segments	SalienceScore
a11londo	bite	da	d a	80
a121mbonge	two	bebe	b e b e	35
a122bakundu	belly	ŋʷea	ŋʷ e a	50
a141lefo	tree	bwɛ	b w ɛ	39
a151nkongho	fire	mɘɘ	m ɘ ɘ	104
a15ambuu	count	ləŋə	l ə ŋ ə	108
a15bmiengenwmanenguba	root	ŋkɑŋ	ŋ k ɑ ŋ	101
a15cakossi	eye	did	d i d	32
a15celungcentralmanenguba	give	bə	b ə	86
a15cmkaa	iron	ɛkɛɛ	ɛ k ɛ ɛ	157
a15manenguba	eye	dəd	d ə d	62
a22bakweri	see	ɛnɛ	ɛ n ɛ	55
a24duala	drink	no	n o	90
a27malimba	two	ɓeɓa	ɓ e ɓ a	72
a31bubi	ear	olotoo	o l o t o o	204
a32cbatanga	cloud	divindi	d i v i n d i	69
a33ayasa	groundsoil	jee	j e e	53
a34benga	bone	eβehe	e β e h e	21
a41barombikang	sky	dʒɔf	dʒ ɔ f	73
a42abo	kill	nɔɔ	n ɔ ɔ	57
a43abasaa	skin	kɔɔ	k ɔ ɔ	87
a44tunen	kill	ɔn	ɔ n	166
a45nyokon	breast	nipuɨ	n i p u ɨ	79
a462yambeta	eat	nɛ	n ɛ	157
a46nomaande	child	ɔɔnɔ	ɔ ɔ n ɔ	317
a51bafiamaja	knee	ləɗwə	l ə ɗ w ə	111
a53bafiarikpa	egg	ɗɨʔ	ɗ ɨ ʔ	196
a54tibea	fire	dzəə	dz ə ə	311
a601tuki	salt	ngono	n g o n o	114
a61ngoroasom	fall	kyy	k y y	120
a61ngorobisoo	neck	kiŋ	k i ŋ	43
a61ngorolunda	fire	ɗy	ɗ y	49
a621nubaca	sun	ɲɔɔp	ɲ ɔ ɔ p	100
a622nugunu	ten	gɔɔdɔ	g ɔ ɔ d ɔ	102
a62anuasue	kill	guɔn	g u ɔ n	111
a62anukalonge	knife	jɔnɔnɔ	j ɔ n ɔ n ɔ	113
a62bmmala	sleep	nunɔ	n u n ɔ	115
a62clibie	snake	nɲɔk	n ɲ ɔ k	87
a63mangisa	big	ənɛn	ə n ɛ n	102
a71eton	root	ŋkaŋ	ŋ k a ŋ	36
a72aewondo	big	nen	n e n	128
a74abulu	bed	enon	e n o n	129
a75afangbitam	village	dzaa	dz a a	62
a75afangmedouneu	give	əkəə	ə k ə ə	191
a75afangminvoul	give	əkəə	ə k ə ə	203
a803shiwa	bone	jə	j ə	140
a81kwasio	hear	gʷəʕ	gʷ ə ʕ	135
a832bekol	sleep	jwo	j w o	62
a83mekaa	die	jə	j ə	138
a841badwe	eat	ede	e d e	178
a84njem	see	ebee	e b e e	200
a85bbekwilmakokou	eat	ɛɗɛ	ɛ ɗ ɛ	250
a85bbekwilmv	eat	ɛɗɛ	ɛ ɗ ɛ	258
a86cmpiemo	navel	ɗɔɔŋ	ɗ ɔ ɔ ŋ	113
a87bomwali	nose	ɗw	ɗ w	101
a91kwakum	navel	kɔ	k ɔ	106
a93kako	ear	tɔ	t ɔ	76
aghemgrassfields	goat	dzɨ	dz ɨ	178
b11ampongwe	leg	oɣolo	o ɣ o l o	154
b11borungu	face	ozo	o z o	106
b11cgalwa	leg	oɣolo	o ɣ o l o	154
b11ddyumba	arm	oːɣɔ	oː ɣ ɔ	147
b11fenenga	face	ozo	o z o	90
b201ndasa	head	muulu	m u u l u	82
b202sigu	person	muːtu	m uː t u	67
b203samaye	egg	itʃɛji	i tʃ ɛ j i	41
b204ndambomoli	fish	ʃɛ	ʃ ɛ	124
b204ndambomomassoukou	breast	libɛlɛ	l i b ɛ l ɛ	75
b204ndambomombadi	sleep	lɔ	l ɔ	88
b21seki	sleep	dɔ	d ɔ	155
b22akele	fish	ʃɛ	ʃ ɛ	60
b22bkoya	feather	aasa	a a s a	118
b22bngom	smoke	jadje	j a d j e	29
b22emwesa	smoke	djadje	d j a d j e	86
b23mbangwe	leaf	ikaji	i k a j i	60
b24wumbvu	nose	dʒulu	dʒ u l u	79
b251shake	iron	kɛ	k ɛ	43
b252mahongwe	eye	dʒihɔŋ	dʒ i h ɔ ŋ	30
b25kota	two	ba	b a	58
b301viya	eat	eea	e e a	135
b302himba	face	oso	o s o	85
b304pinzi	hear	mwoɣaɣo	m w o ɣ a ɣ o	78
b305vove	eat	aka	a k a	79
b31tsogo	stone	etae	e t a e	84
b32kande	hear	mwoɣaɣo	m w o ɣ a ɣ o	65
b404ngubi	arm	ɣɔɣɔ	ɣ ɔ ɣ ɔ	83
b41shira	come	ɣuruuɣə	ɣ u r u u ɣ ə	136
b42sangumb	come	uruuɣə	u r u u ɣ ə	99
b42sangumi	big	lə	l ə	84
b43punu	hear	uɣuulu	u ɣ u u l u	104
b44lumbu	hear	uɣuulu	u ɣ u u l u	97
b501wanzie	leg	ɣuulu	ɣ u u l u	53
b501wanzimo	person	muutu	m u u t u	77
b503vili	tongue	lilimi	l i l i m i	52
b51duma	leg	ɣuulu	ɣ u u l u	57
b51dumala	iron	itali	i t a l i	74
b52nzebi	arm	ʁɔʁ	ʁ ɔ ʁ	134
b53tsaangipoungi	count	utala	u t a l a	38
b601lempini	intestine	ɲaaɣa	ɲ a a ɣ a	42
b602kaninginord	come	oja	o j a	58
b602kaningisud	person	muutu	m u u t u	54
b62mbaama	spear	jwo	j w o	38
b63ndumu	cloud	gidzii	g i dz i i	58
b701atsitsege	eye	dʒiisi	dʒ i i s i	121
b71aibtekeibalicongo	smoke	juu	j u u	139
b71aletekeleconi	feather	lasala	l a s a l a	49
b71atekedj	eat	kadʒa	k a dʒ a	147
b71atekeos	know	kajaa	k a j a a	143
