Doculect	Segment	Zscore	Normedcount	SalienceScore
a11londo	d	3.77	35	132
a121mbonge	d	2.19	24	53
a122bakundu	ŋʷ	19.95	4	80
a141lefo	ɔˀ	11.48	5	57
a151nkongho	ɘ	18.79	9	169
a15ambuu	ə	3.89	40	156
a15bmiengenwmanenguba	ə	3.99	41	164
a15cakossi	d	2.48	26	64
a15celungcentralmanenguba	ə	3.36	35	118
a15cmkaa	ɛ	4.3	49	211
a15manenguba	ŋ	3.07	26	80
a22bakweri	n	1.8	45	81
a24duala	d	3.34	32	107
a27malimba	ɓ	6.8	21	143
a31bubi	o	3.4	86	292
a32cbatanga	i	1.27	64	81
a33ayasa	e	1.62	40	65
a34benga	d	1.76	21	37
a41barombikang	f	5.7	21	120
a42abo	ɔ	2.26	35	79
a43abasaa	ɔ	2.95	43	127
a44tunen	n	4.15	67	278
a45nyokon	ɨ	6.51	22	143
a462yambeta	n	3.51	61	214
a46nomaande	ɔ	5.37	71	381
a51bafiamaja	w	4.42	38	168
a53bafiarikpa	ɨ	10.45	35	366
a54tibea	ə	6.82	68	464
a601tuki	n	2.97	56	166
a61ngoroasom	y	13.16	14	184
a61ngorobisoo	ŋ	2.47	22	54
a61ngorolunda	ɗ	5.03	13	65
a621nubaca	ɔ	2.61	39	102
a622nugunu	ɔ	2.95	43	127
a62anuasue	g	4.75	37	176
a62anukalonge	n	3.08	57	176
a62bmmala	n	2.97	56	166
a62clibie	n	3.19	58	185
a63mangisa	ə	3.99	41	164
a71eton	ŋ	3.21	27	87
a72aewondo	e	2.94	56	165
a74abulu	n	2.97	56	166
a75afangbitam	n̩	11.39	7	80
a75afangmedouneu	ə	5.04	51	257
a75afangminvoul	ə	5.15	52	268
a803shiwa	ə	5.15	52	268
a81kwasio	ʕ	20.52	15	308
a832bekol	w	3.74	34	127
a83mekaa	j	4.02	39	157
a841badwe	e	3.77	66	249
a84njem	e	3.94	68	268
a85bbekwilmakokou	ɛ	5.42	60	325
a85bbekwilmv	ɛ	5.63	62	349
a86cmpiemo	ɔ	3.9	54	211
a87bomwali	w	3.91	35	137
a91kwakum	ɔ	3.65	51	186
a93kako	j	3.3	34	112
aghemgrassfields	ɨ	10.15	34	345
b11ampongwe	o	2.75	75	206
b11borungu	o	2.33	68	159
b11cgalwa	o	2.75	75	206
b11ddyumba	oː	13.82	19	263
b11fenenga	o	2.1	64	134
b201ndasa	u	1.87	75	140
b202sigu	uː	15.14	18	273
b203samaye	i	1.27	64	81
b204ndambomoli	ɛ	4.2	48	201
b204ndambomomassoukou	ɛ	3.38	40	135
b204ndambomombadi	l	2.13	48	102
b21seki	d	4.63	41	190
b22akele	ð	8.49	14	119
b22bkoya	a	1.87	83	155
b22bngom	d	2.77	28	77
b22emwesa	d	4.06	37	150
b23mbangwe	j	3.01	32	96
b24wumbvu	u	1.66	71	118
b251shake	ɔ	2.09	33	69
b252mahongwe	dʒ	5.19	13	68
b25kota	b	2.65	33	88
b301viya	e	3.02	57	172
b302himba	o	2.04	63	128
b304pinzi	ɣ	4.65	27	126
b305vove	a	1.51	78	118
b31tsogo	e	2.44	50	122
b32kande	ɣ	4.28	25	107
b404ngubi	ɣ	5.21	30	156
b41shira	ɣ	5.77	33	190
b42sangumb	u	1.87	75	140
b42sangumi	ə	4.1	42	172
b43punu	u	1.97	77	152
b44lumbu	u	1.87	75	140
b501wanzie	u	1.19	62	74
b501wanzimo	u	1.66	71	118
b503vili	i	1.14	62	70
b51duma	u	1.25	63	79
b51dumala	i	1.62	69	111
b52nzebi	ʁ	13.97	13	182
b53tsaangipoungi	ɔ	1.31	24	32
b601lempini	tʃ	3.49	10	35
b602kaninginord	o	1.45	53	77
b602kaningisud	u	1.14	61	70
b62mbaama	o	1.03	46	48
b63ndumu	i	1.14	62	70
b701atsitsege	i	2.37	80	190
b71aibtekeibalicongo	u	2.33	84	196
b71aletekeleconi	l	1.35	38	51
b71atekedj	a	2.65	94	249
b71atekeos	a	2.37	90	213
b77bfumu	u	1.5	68	102
b78wuumu	m	1.75	46	81
b81tiene	ɪ	7.22	37	267
b82buma	m	1.25	42	53
b84mbunda	ts	5.31	14	74
b85dnsongo	m	2.99	56	168
b85emput	w	3.39	32	109
b85yanzi	j	2.87	31	89
b861ngul	a	2.51	92	231
b862lwel	ə	4.31	44	190
b863pindi	m	2.0	48	96
b864ngong	k	2.93	51	149
b865nzadi	dz	4.32	14	60
b86dinga	m	1.25	42	53
b86dzing	m	1.88	47	88
bamungrassfields	ɨ	9.54	32	305
bilejarawan	ŋ	3.51	29	102
bwazzajarawan	u	1.61	70	113
c101baboledz	e	1.78	42	75
c101baboleep	o	1.74	58	101
c101babolema	n	1.37	41	56
c104aka	b	2.51	32	80
c105mbenga	b	2.37	31	73
c141bonyala	ɔ̃	15.45	7	108
c142mondongo	o	2.28	67	152
c15bongili	e	1.86	43	80
c21ngare	ɔ	1.57	27	42
c22akwa	a	1.08	72	78
c24koyo	b	2.08	29	60
c25abunji	a	1.15	73	84
c25bolee	ɸ	8.37	10	84
c25condinga	b	1.8	27	49
c25eeboyi	b	1.94	28	54
c25mboshi	ɸ	9.22	11	101
c302bolondo	ɓ	8.15	25	204
c322zamba	z	3.63	20	73
c323mpama	e	2.2	47	103
c32bobangi	l	2.13	48	102
c34sakata	ɛ	2.97	36	107
c36dlingala	m	1.5	44	66
c36gmonyongo	o	2.04	63	128
c36gmosange	o	1.92	61	117
c37ebudza	o	2.45	70	172
c401babati1919	ɯ	9.42	58	546
c401pakabete	e	3.44	62	213
c412libobi	o	1.98	62	123
c41ngombe	b	1.94	28	54
c42ebwela	o	2.93	78	228
c43abaati	ɪ	7.62	39	297
c44bwa	ɪ	8.83	45	397
c52soko	o	2.1	64	134
c52soko1919	ɯ	8.1	50	405
c54turumba1919	ɯ	11.72	72	844
c55lokele	o	2.22	66	146
c61ekonda	o	2.45	70	172
c61mongo	o	1.68	57	96
c71tetela	o	2.16	65	140
c76ombo	b	1.94	28	54
c81dengese	ɔ	2.09	33	69
c83bushong	j	3.73	37	138
c85wongo	r̃	20.57	8	165
d11mbole	o	2.81	76	213
d12lengola	ʂ	14.72	15	221
d13metoko	a	1.3	75	97
d14enya	u	1.56	69	107
d201liko	ʊ	5.38	35	188
d20bvamba1919	ɯ	4.32	27	117
d211kango	a	2.51	92	231
d21baali	s	2.49	22	55
d23kibirakumu1919	ɯ	8.43	52	438
d24songola	k	2.51	47	118
d25lega	ʊ	4.57	30	137
d28holoholo	ʊ	4.74	31	147
d304homa1919	ɯ	4.32	27	117
d305nyangali	m	2.37	51	121
d308bodo2	a	1.15	73	84
d308ebodo	ɪ	3.39	18	61
d311bila	k	2.51	47	118
d313mbuttu1919	ɯ	4.15	26	108
d32bira	k	2.82	50	141
d32birabunia	i	1.14	62	70
d331bvanuma	ɽ	20.56	55	1131
d333ndaaka	k	1.77	40	71
d334mbo	k	1.57	38	59
d33nyali	l̪	18.27	31	566
d43nyanga	r	2.2	29	64
d55buyu	c	7.45	17	127
dugurijarawan	l	2.05	47	96
e46sonjo	a	1.3	75	97
e51kikuyu	θ	20.25	8	162
e52embu	r	2.59	33	85
e52mbeere	r	2.59	33	85
e531muthambi	r	2.49	32	80
e531mwimbi	r	2.68	34	91
e53igoji	r	2.78	35	97
e53imenti	r	2.59	33	85
e53meru	i	2.16	77	167
e53meruimenti	u	1.81	74	134
e53merutig	u	2.28	83	189
e53miutini	r	2.68	34	91
e53tigania	u	1.76	73	129
e541chuka	r	2.68	34	91
e54tharaka	u	1.71	72	123
e55kamba	o	1.45	53	77
e55kambakitu	o	2.87	77	221
e55kambamach	o	2.51	71	178
e56daiso	a	1.22	74	91
e621bmachame	i	1.62	69	111
e621csiha	i	2.1	76	159
e621dkibosho	a	1.58	79	125
e622akimochi	i	1.75	71	124
e622clema	r	2.39	31	74
e622cmamba	i	1.27	64	81
e622cvunjo	ɺ	19.95	8	160
e623akiseri	m	2.25	50	112
e623dkeni	a	1.87	83	155
e623mkuu	m	1.88	47	88
e64kahe	m	1.5	44	66
e65gweno	m	1.63	45	73
e701elwana	a	2.08	86	179
e71aupperpokomo	m	1.25	42	53
e72agiryama	m	1.13	41	46
e73digo	a	1.08	72	78
e74adawida	m	1.25	42	53
e74atuveta	m	1.38	43	59
f12bende	s	2.88	24	69
f21ntuzu	ʊ	7.31	47	343
f21sukuma	i	1.34	65	87
f22nyamwezi	β	7.41	19	141
f23sumbwa	i	1.27	64	81
f24kimbu	i	1.89	73	138
f25bungu	i	1.82	72	131
f31nyiramba	ʊ	5.54	36	199
f32nyaturucha	u	1.76	73	129
f32nyaturuwil	u	1.71	72	123
f33langi	k	1.88	41	77
fefegrassfields	ʐ	19.39	8	155
g11gogo	a	1.01	71	72
g12kagulu	i	1.41	66	93
g22anorthpare	m	1.5	44	66
g22asu	o	1.03	46	48
g22bsouthpare	i	1.14	62	70
g23sambaa	k	1.57	38	59
g24bondei	m	2.12	49	104
g31zigua	m	1.63	45	73
g32doe	m	2.25	50	112
g32kwere	m	1.63	45	73
g33zaramo	m	1.38	43	59
g34nguungulu	m	1.5	44	66
g35luguru	g	2.33	23	54
g36kami	h	2.48	20	50
g37kutu	m	1.13	41	46
g39saghala	i	1.14	62	70
g401mwani	ŋ	1.14	13	15
g412mwiini	l̪	9.4	16	150
g41bajuni	n̪	19.52	10	195
g42aamu	m	1.25	42	53
g42dunguja	ɟ	13.22	12	159
g42swahili	a	1.37	76	104
g43kae	ɟ	11.0	10	110
g44angazija	m	1.38	43	59
g44bndzwani	ʈ	12.17	8	97
g44dmaore	ɖ	16.2	6	97
g51pogoro	m	1.38	43	59
g52ndamba	i	1.34	65	87
g61sangu	i	1.27	64	81
g62hehe	i	1.82	72	131
g63bena	i	1.2	63	76
g64pangwa	h	3.29	25	82
g65kinga	u	1.66	71	118
g66wanji	l	2.52	53	133
h111hangala	k	1.77	40	71
h11beembe	u	1.97	77	152
h12civilicongo	ə	2.63	28	74
h131kisundicongokimongo1988	u	1.19	62	74
h13kikunyi1989	u	1.04	59	61
h16akisikongo2013	n	1.91	46	88
h16akisolongodrc2012	n	2.01	47	95
h16bkindibu2013	n	2.23	49	109
h16cilinji	d	2.19	24	53
h16cimbala	n	2.33	50	117
h16cizobe	u	1.04	59	61
h16ckiyombedrc1982	e	2.2	47	103
h16cyombe	e	2.53	51	129
h16dciwoyodrc2012	n	2.76	54	149
h16flaadi	n	1.8	45	81
h16gkimpangu2012	a	1.22	74	91
h16gntandu	a	1.37	76	104
h16hkinkanu2012	n	2.01	47	95
h16kikongo	n	2.12	48	102
h16kimbatangidinga	k	1.88	41	77
h16kimbeko	n	1.91	46	88
h21akimbundu	i	1.68	70	118
h31yaka	a	2.44	91	222
h321soonde	u	1.4	66	92
h32suku	u	1.4	66	92
h41mbala	g	3.02	27	82
h42hunganna	k	1.25	35	44
jd53shi	u	1.4	66	92
jd62rundi	u	1.87	75	140
jd64shubi	u	1.97	77	152
