	Doculect1	Doculect2	cosDistance
34400	b501wanzie	b51duma	0.999383721
64700	e531muthambi	e531mwimbi	0.999064948
81550	h16hkinkanu2012	h16kimbeko	0.998211307
64701	e531muthambi	e53igoji	0.997919279
64923	e531mwimbi	e53igoji	0.997674866
64706	e531muthambi	e53miutini	0.997285283
65809	e53meruimenti	e54tharaka	0.997234360
88028	m12lungwa	m22namwanga	0.996858304
65149	e53igoji	e53miutini	0.996718204
81294	h16gkimpangu2012	h16kimbatangidinga	0.996410545
88193	m15mambwe	m22namwanga	0.996355773
80361	h16cilinji	h16cizobe	0.996223640
64928	e531mwimbi	e53miutini	0.996006090
88403	m23nyiha	m28lambya	0.995797293
74973	g31zigua	g34nguungulu	0.995719975
73023	f32nyaturucha	f32nyaturuwil	0.995424335
64251	e52embu	e52mbeere	0.995340853
89115	n13matengo	n14mpoto	0.995159518
88730	m52lala	m54lamba	0.994989297
83681	je13runyankore	je14rukiga	0.994896365
81295	h16gkimpangu2012	h16kimbeko	0.994830911
89655	s41xhosa	s42zulu	0.994697028
82890	jd62rundi	jd64shubi	0.994617586
81801	h16kimbatangidinga	h16kimbeko	0.994444542
83462	je11runyoro	je14rukiga	0.994284641
81292	h16gkimpangu2012	h16hkinkanu2012	0.994154254
64476	e52mbeere	e531muthambi	0.993359468
33061	b42sangumb	b43punu	0.993347528
81549	h16hkinkanu2012	h16kimbatangidinga	0.993315285
67310	e55kambakitu	e55kambamach	0.993234936
64478	e52mbeere	e53igoji	0.993037856
80234	h16bkindibu2013	h16kimbatangidinga	0.992949295
89486	p23simakonde	p25mabia	0.992906549
88081	m13fipa	m15mambwe	0.992894687
33062	b42sangumb	b44lumbu	0.992758826
64483	e52mbeere	e53miutini	0.992702543
88401	m23nyiha	m24malila	0.992698297
88025	m12lungwa	m15mambwe	0.992532086
64477	e52mbeere	e531mwimbi	0.992463276
78503	g62hehe	g65kinga	0.992314260
83006	jd64shubi	jd65hangaza	0.992111464
77116	g42dunguja	g43kae	0.992099657
64924	e531mwimbi	e53imenti	0.992089809
75311	g32kwere	g33zaramo	0.991914536
83461	je11runyoro	je13runyankore	0.991792432
88686	m42bemba	m52lala	0.991720094
88452	m24malila	m28lambya	0.991675879
88687	m42bemba	m54lamba	0.991589937
74101	g22anorthpare	g22bsouthpare	0.991566377
65369	e53imenti	e53miutini	0.991443105
23248	b11borungu	b11fenenga	0.991377963
64702	e531muthambi	e53imenti	0.991328277
83460	je11runyoro	je12rutooro	0.991142451
74970	g31zigua	g32doe	0.991039310
45384	bwazzajarawan	mbulajarawan	0.990914288
75314	g32kwere	g36kami	0.990616735
88084	m13fipa	m22namwanga	0.990594075
33060	b42sangumb	b42sangumi	0.990565721
33731	b43punu	b44lumbu	0.990555089
84216	je21runyambo	je22haya	0.990417092
22882	b11ampongwe	b11cgalwa	0.990289571
64254	e52embu	e53igoji	0.990049473
77741	g44bndzwani	g44dmaore	0.989900366
48921	c25bolee	c25condinga	0.989807156
69576	e623dkeni	e623mkuu	0.989745592
88304	m21wanda	m41taabwa	0.989742107
30339	b301viya	b31tsogo	0.989695668
79665	h131kisundicongokimongo1988	h13kikunyi1989	0.989694484
74625	g23sambaa	g24bondei	0.989663643
84006	je16lusoga	je21runyambo	0.989579512
85935	je43kuriamago	je43kuriatari	0.989533160
75141	g32doe	g32kwere	0.989476658
