a11londo
Segment	Zscore	Normedcount	SalienceScore
d	3.77	35	132
ŋ	1.88	18	34
b	1.37	24	33
ɔ	1.14	22	25
u	-1.13	17	-19
ɛ	1.03	17	17
p	-1.21	0	0

a121mbonge
Segment	Zscore	Normedcount	SalienceScore
d	2.19	24	53
b	1.66	26	43
ɔ	1.4	25	35
ŋ	1.88	18	34
ɛ	1.03	17	17
ɲ	1.23	9	11
w	-1.57	3	-5

a122bakundu
Segment	Zscore	Normedcount	SalienceScore
ŋʷ	19.95	4	80
õ	13.16	5	66
b	1.8	27	49
d	1.76	21	37
ẽ	18.39	2	37
ŋ	1.44	15	22
u	-1.23	15	-18
t	-1.18	6	-7
w	-1.23	5	-6
c	1.37	4	5
gʷ	3.45	1	3
kʷ	2.99	1	3
ɔ̃	2.1	1	2

a141lefo
Segment	Zscore	Normedcount	SalienceScore
ɔˀ	11.48	5	57
a	-1.63	34	-56
w	2.2	25	55
ŋ	2.47	22	54
b	1.52	25	38
i	-1.13	29	-33
iˀ	7.49	4	30
ɛ	1.23	19	23
eˀ	10.59	2	21
aˀ	6.2	2	12
əˀ	8.35	1	8
oˀ	4.92	1	5
ʃ	1.04	4	4
uˀ	3.02	1	3

a151nkongho
Segment	Zscore	Normedcount	SalienceScore
ɘ	18.79	9	169
ɛ	3.17	38	121
uˀ	15.5	5	78
ø	18.4	4	74
ŋ	2.92	25	73
iˀ	11.28	6	68
a	-2.06	28	-58
ɛˀ	11.06	5	55
aˀ	12.53	4	50
i	-1.47	24	-35
g	1.64	19	31
m	-1.11	23	-25
ɔˀ	6.83	3	21
ɨˀ	20.57	1	21
u	-1.02	19	-19
kʰ	6.14	3	18
ʒ	3.9	4	16
ɘˀ	14.53	1	15
o	-1.1	10	-11
oˀ	4.92	1	5
s	-1.2	3	-4
ʃ	1.04	4	4
pʰ	3.18	1	3

a15ambuu
Segment	Zscore	Normedcount	SalienceScore
ə	3.89	40	156
ŋ	3.95	32	127
lˀ	20.57	3	62
b	1.94	28	54
a	-1.21	40	-48
ɛ	1.64	23	38
ɑˀ	14.53	2	29
i	-2.29	12	-28
ɔˀ	4.51	2	9
ʒ	2.88	3	9
ã	3.22	2	6
eˀ	5.25	1	5
oˀ	4.92	1	5
aˀ	3.04	1	3

a15bmiengenwmanenguba
Segment	Zscore	Normedcount	SalienceScore
ə	3.99	41	164
ɑ	19.26	8	154
bʱ	20.57	7	144
æ	19.41	7	136
ŋ	3.95	32	127
iˀ	13.18	7	92
a	-2.06	28	-58
j	1.87	24	45
æˀ	20.57	2	41
ɔˀ	9.16	4	37
i	-1.95	17	-33
w	1.51	21	32
ɑˀ	14.53	2	29
oˀ	9.94	2	20
y	3.66	4	15
uˀ	6.14	2	12
ɲ	1.23	9	11
o	-1.16	9	-10
əˀ	8.35	1	8
ʔ	1.79	4	7

a15cakossi
Segment	Zscore	Normedcount	SalienceScore
d	2.48	26	64
eˀ	15.92	3	48
ŋ	2.03	19	39
b	1.37	24	33
i	-1.13	29	-33
ɛ	1.23	19	23

a15celungcentralmanenguba
Segment	Zscore	Normedcount	SalienceScore
ə	3.36	35	118
a	-1.49	36	-54
b	1.94	28	54
oˀ	14.96	3	45
i	-1.75	20	-35
ɘ	8.32	4	33
ŋ	1.73	17	29
aˀ	9.37	3	28
w	1.17	19	22
ɔˀ	6.83	3	21
d	1.19	17	20
ɘˀ	14.53	1	15
y	2.71	3	8
eˀ	5.25	1	5
ø	4.53	1	5
û	1.41	3	4
ʔ	1.29	3	4
g	-1.13	3	-3
uˀ	3.02	1	3
æ	2.71	1	3

a15cmkaa
Segment	Zscore	Normedcount	SalienceScore
ɛ	4.3	49	211
ɛˀ	13.29	6	80
j	2.3	27	62
m	1.38	43	59
a	-1.06	42	-45
b	1.66	26	43
ŋ	2.03	19	39
i	-2.23	13	-29
u	-1.28	14	-18
æ	5.5	2	11
ʔ	2.29	5	11
oˀ	4.92	1	5
iˀ	1.79	1	2

a15manenguba
Segment	Zscore	Normedcount	SalienceScore
ŋ	3.07	26	80
d	2.48	26	64
b	2.08	29	60
ə	2.32	25	58
a	-1.21	40	-48
i	-1.54	23	-35
ɲ	1.99	12	24
ɔ	1.05	21	22
u	-1.23	15	-18
y	2.71	3	8

a22bakweri
Segment	Zscore	Normedcount	SalienceScore
n	1.8	45	81
j	2.16	26	56
ɛ	1.74	24	42
v	2.25	11	25
ɔ	1.14	22	25
w	1.17	19	22
u	-1.28	14	-18
k	-1.47	9	-13
ɲ	-1.07	0	0

a24duala
Segment	Zscore	Normedcount	SalienceScore
d	3.34	32	107
n	2.01	47	95
o	1.57	55	86
b	1.52	25	38
e	1.03	33	34
w	1.34	20	27
k	-1.78	6	-11
ẽ	9.16	1	9
õ	2.54	1	3
ɲ	-1.07	0	0

a27malimba
Segment	Zscore	Normedcount	SalienceScore
ɓ	6.8	21	143
d	2.05	23	47
dʒ	3.91	10	39
ɔ	1.4	25	35
e	1.03	33	34
ɛ	1.13	18	20
ŋ	1.14	13	15
k	-1.78	6	-11
s	-1.59	1	-2

a31bubi
Segment	Zscore	Normedcount	SalienceScore
o	3.4	86	292
e	2.2	47	103
b	2.65	33	88
i	-1.88	18	-34
t	1.37	20	27
ɛ	1.33	20	27
c	3.24	8	26
r	1.13	18	20
n	-2.04	9	-18
u	-1.33	13	-17
p	1.5	10	15
k	-1.37	10	-14
m	-3.47	4	-14
ĩ	6.44	2	13
d	-1.25	0	0
g	-1.65	0	0
ɲ	-1.07	0	0

a32cbatanga
Segment	Zscore	Normedcount	SalienceScore
i	1.27	64	81
v	4.21	18	76
d	2.34	25	58
n	1.27	40	51
a	-1.06	42	-45
j	1.87	24	45
b	1.52	25	38
m	-1.11	23	-25
u	-1.08	18	-19
k	-1.99	4	-8
w	-1.4	4	-6
s	-1.79	0	0

a33ayasa
Segment	Zscore	Normedcount	SalienceScore
e	1.62	40	65
v	3.09	14	43
ɗ	3.41	9	31
j	1.44	21	30
n	-1.62	13	-21
ɓ	1.39	5	7
w	-1.57	3	-5
aː	1.4	3	4
eː	1.94	2	4
s	-1.2	3	-4
tʃ	1.02	4	4

a34benga
Segment	Zscore	Normedcount	SalienceScore
d	1.76	21	37
β	2.92	8	23
j	1.15	19	22
ɔ	1.05	21	22
h	1.51	14	21
ɛ	1.13	18	20
dʒ	1.78	5	9
ã	1.52	1	2
s	-1.79	0	0

a41barombikang
Segment	Zscore	Normedcount	SalienceScore
f	5.7	21	120
ɔ	2.09	33	69
a	-1.56	35	-55
ɛ	2.05	27	55
ŋ	2.47	22	54
k	1.25	35	44
d	1.91	22	42
bʲ	18.39	2	37
dʒ	3.48	9	31
s	1.71	18	31
u	-1.33	13	-17
ɓ	1.39	5	7
w	-1.05	6	-6
ø	4.53	1	5
tʃ	1.02	4	4
g	-1.3	2	-3

a42abo
Segment	Zscore	Normedcount	SalienceScore
ɔ	2.26	35	79
a	-1.49	36	-54
f	3.18	13	41
ŋ	2.03	19	39
ɛ	1.64	23	38
k	1.04	33	34
s	1.13	15	17
u	-1.33	13	-17
dʒ	2.2	6	13
tʃ	1.43	5	7
ɓ	1.39	5	7
g	-1.3	2	-3

a43abasaa
Segment	Zscore	Normedcount	SalienceScore
ɔ	2.95	43	127
ŋ	3.36	28	94
dʒ	5.19	13	68
h	2.48	20	50
a	-1.13	41	-46
ɛ	1.84	25	46
l	1.04	34	35
m	-1.48	20	-30
s	1.13	15	17
u	-1.44	11	-16
p	1.5	10	15
t	-1.36	5	-7
β	1.28	4	5

a44tunen
Segment	Zscore	Normedcount	SalienceScore
n	4.15	67	278
m	1.5	44	66
a	-1.92	30	-58
ɔ	1.83	30	55
j	2.01	25	50
h	1.51	14	21
ŋ	1.29	14	18
ɛ	1.03	17	17
k	-1.26	11	-14
g	-1.3	2	-3
p	-1.21	0	0
ɲ	-1.07	0	0

a45nyokon
Segment	Zscore	Normedcount	SalienceScore
ɨ	6.51	22	143
n	2.55	52	132
p	4.22	20	84
a	-2.21	26	-57
ɲ	2.5	14	35
ə	1.58	18	29
ʔ	2.29	5	11
tʃ	1.43	5	7
b	-1.76	2	-4
e	-1.54	2	-3
g	-1.13	3	-3

a462yambeta
Segment	Zscore	Normedcount	SalienceScore
n	3.51	61	214
ɛ	2.87	35	100
o	1.33	51	68
a	-1.78	32	-57
ŋ	2.33	21	49
i	-1.13	29	-33
t	1.37	20	27
ʔ	2.79	6	17
e	-1.04	8	-8
w	-1.05	6	-6

a46nomaande
Segment	Zscore	Normedcount	SalienceScore
ɔ	5.37	71	381
n	2.44	51	124
j	2.16	26	56
ɛ	2.05	27	55
m	-2.1	15	-32
c	3.24	8	26
h	1.18	12	14
k	-1.37	10	-14
w	-1.57	3	-5
s	-1.01	4	-4
g	-1.65	0	0

a51bafiamaja
Segment	Zscore	Normedcount	SalienceScore
w	4.42	38	168
ə	3.57	37	132
ɗ	6.65	17	113
j	3.16	33	104
ʊ	3.29	22	72
ŋ	2.62	23	60
a	-2.56	21	-54
f	3.5	14	49
ʔ	4.29	9	39
ɛ	1.54	22	34
i	-2.16	14	-30
m	-1.23	22	-27
ʌ	7.06	3	21
n	-2.15	8	-17
u	-1.59	8	-13
iː	2.44	3	7
ɓ	1.39	5	7
c	1.37	4	5
ɨ	1.04	4	4
ɖ	2.62	1	3
d	-1.25	0	0

a53bafiarikpa
Segment	Zscore	Normedcount	SalienceScore
ɨ	10.45	35	366
ɗ	7.06	18	127
ʔ	6.79	14	95
a	-2.85	17	-48
f	2.87	12	34
i	-1.2	28	-34
ɛ	1.54	22	34
m	-1.85	17	-31
ɑ	7.18	3	22
ʌ	7.06	3	21
u	-1.13	17	-19
ɓ	2.4	8	19
ŋ	1.29	14	18
d	-1.25	0	0

a54tibea
Segment	Zscore	Normedcount	SalienceScore
ə	6.82	68	464
j	4.02	39	157
y	11.26	12	135
ɸ	9.22	11	101
ɓ	4.43	14	62
a	-2.99	15	-45
ŋ	2.18	20	44
w	1.68	22	37
i	-1.75	20	-35
m	-1.98	16	-32
ɨ	2.87	10	29
n	-1.3	16	-21
u	-1.49	10	-15
c	1.84	5	9
ɗ	1.79	5	9
dz	1.28	5	6
ʔ	1.29	3	4
ʌ	2.26	1	2
θ	2.48	1	2
g	-1.48	1	-1

a601tuki
Segment	Zscore	Normedcount	SalienceScore
n	2.97	56	166
o	1.92	61	117
e	2.2	47	103
w	2.54	27	69
t	2.28	25	57
i	-1.06	30	-32
k	-1.78	6	-11
c	1.84	5	9
l	-1.6	0	0
ɲ	-1.07	0	0

a61ngoroasom
Segment	Zscore	Normedcount	SalienceScore
y	13.16	14	184
ə	3.26	34	111
n	1.37	41	56
a	-1.28	39	-50
ɗ	4.22	11	46
j	1.73	23	40
m	-1.23	22	-27
ŋ	1.44	15	22
ɸ	4.11	5	21
ɨ	2.26	8	18
kʲ	14.53	1	15
ʃ	2.14	7	15
ɓ	2.06	7	14
ɲ	1.23	9	11
c	1.84	5	9
t	-1.36	5	-7
b	-1.9	1	-2
s	-1.59	1	-2
tʰ	1.77	1	2
g	-1.48	1	-1

a61ngorobisoo
Segment	Zscore	Normedcount	SalienceScore
ŋ	2.47	22	54
v	3.37	15	51
k	1.15	34	39
ɔ	1.23	23	28
p	2.05	12	25
b	-1.04	7	-7
w	-1.23	5	-6

a61ngorolunda
Segment	Zscore	Normedcount	SalienceScore
ɗ	5.03	13	65
ɸ	6.67	8	53
p	3.13	16	50
ɓ	3.42	11	38
i	-1.13	29	-33
y	5.56	6	33
ɔ	1.31	24	32
m	-1.6	19	-30
j	1.15	19	22
ŋ	1.44	15	22
b	-1.61	3	-5
l	-1.6	0	0

a621nubaca
Segment	Zscore	Normedcount	SalienceScore
ɔ	2.61	39	102
ɲ	4.55	22	100
p	4.49	21	94
n	1.16	39	45
ɛ	1.74	24	42
t	1.56	21	33
f	2.24	10	22
h	1.35	13	18
û	3.03	6	18
o	-1.04	11	-11
tʃ	1.85	6	11
e	-1.2	6	-7
w	-2.08	0	0

a622nugunu
Segment	Zscore	Normedcount	SalienceScore
ɔ	2.95	43	127
n	2.23	49	109
ɛ	2.97	36	107
g	3.02	27	82
d	2.05	23	47
i	-1.27	27	-34
c	2.3	6	14
k	-1.89	5	-9
t	-1.54	4	-6
s	-1.01	4	-4
w	-1.91	1	-2
ɲ	-1.07	0	0

a62anuasue
Segment	Zscore	Normedcount	SalienceScore
g	4.75	37	176
n	2.76	54	149
ɔ	2.52	38	96
a	-1.42	37	-53
d	1.62	20	32
o	-1.16	9	-10
t	-1.54	4	-6
c	1.37	4	5
w	-2.08	0	0
ɲ	-1.07	0	0

a62anukalonge
Segment	Zscore	Normedcount	SalienceScore
n	3.08	57	176
k	2.72	49	133
ɔ	2.7	40	108
p	4.22	20	84
a	-1.63	34	-56
m	-1.36	21	-28
ɛ	1.33	20	27
t	1.01	18	18
û	1.95	4	8
b	-1.33	5	-7
w	-1.91	1	-2
g	-1.48	1	-1

a62bmmala
Segment	Zscore	Normedcount	SalienceScore
n	2.97	56	166
ɔ	3.04	44	134
k	1.77	40	71
a	-1.06	42	-45
t	1.74	22	38
m	-1.11	23	-25
ɲ	1.48	10	15
f	1.29	7	9
s	-1.2	3	-4
iː	1.56	2	3
w	-1.74	2	-3
ɔː	1.37	1	1

a62clibie
Segment	Zscore	Normedcount	SalienceScore
n	3.19	58	185
ɔ	2.35	36	85
k	1.57	38	59
a	-1.85	31	-57
t	2.1	24	50
iː	4.21	5	21
ɲ	1.74	11	19
g	1.12	16	18
h	1.02	11	11
e	-1.04	8	-8
aː	1.4	3	4
s	-1.2	3	-4
tʃ	1.02	4	4
j	-1.14	3	-3
w	-2.08	0	0

a63mangisa
Segment	Zscore	Normedcount	SalienceScore
ə	3.99	41	164
n	2.23	49	109
a	-1.71	33	-56
j	2.01	25	50
i	-1.27	27	-34
ŋ	1.73	17	29
ɛ	1.33	20	27
m	-1.11	23	-25
ɔ	1.05	21	22
ɲ	-1.07	0	0

a71eton
Segment	Zscore	Normedcount	SalienceScore
ŋ	3.21	27	87
g	1.29	17	22
w	1.17	19	22
d	1.19	17	20
j	1.01	18	18
ɛ	1.03	17	17
v	1.7	9	15
c	2.3	6	14
ɲ	1.23	9	11

a72aewondo
Segment	Zscore	Normedcount	SalienceScore
e	2.94	56	165
n	2.23	49	109
m	2.0	48	96
u	-1.18	16	-19
j	1.01	18	18
dz	1.95	7	14
w	-1.23	5	-6
ɲ	-1.07	0	0

a74abulu
Segment	Zscore	Normedcount	SalienceScore
n	2.97	56	166
e	2.53	51	129
j	2.73	30	82
o	1.15	48	55
i	-1.68	21	-35
m	-1.23	22	-27
p	1.23	9	11
v	1.42	8	11
g	-1.13	3	-3

a75afangbitam
Segment	Zscore	Normedcount	SalienceScore
n̩	11.39	7	80
a	1.08	72	78
ʔ	5.79	12	69
ɲ	3.27	17	56
i	-1.54	23	-35
dz	2.97	10	30
m	-1.23	22	-27
ŋ̍	8.59	3	26
ŋ	1.58	16	25
ə	1.48	17	25
p	1.5	10	15
t	-1.36	5	-7
g	-1.13	3	-3
m̩	3.3	1	3
ã	1.52	1	2

a75afangmedouneu
Segment	Zscore	Normedcount	SalienceScore
ə	5.04	51	257
x	8.64	10	86
n̩	9.75	6	58
ŋ̍	11.49	4	46
ɲ	2.76	15	41
i	-2.09	15	-31
dz	2.97	10	30
ŋ	1.73	17	29
ɨ	1.95	7	14
v	1.14	7	8
b	-1.04	7	-7
g	-1.13	3	-3
m̩	3.3	1	3

a75afangminvoul
Segment	Zscore	Normedcount	SalienceScore
ə	5.15	52	268
n̩	11.39	7	80
ŋ̍	11.49	4	46
dz	3.3	11	36
i	-1.61	22	-35
ŋ	1.88	18	34
m	-1.11	23	-25
ɔ	1.05	21	22
b	-1.04	7	-7
t	-1.36	5	-7
m̩	3.3	1	3

a803shiwa
Segment	Zscore	Normedcount	SalienceScore
ə	5.15	52	268
a	-2.06	28	-58
ʔ	4.79	10	48
w	1.85	23	43
ɐ	20.57	2	41
ʃ	3.62	11	40
ʁ	6.38	6	38
ũ	8.6	3	26
ɑ̃	20.57	1	21
u	-1.02	19	-19
ɲ̩	14.53	1	15
m̩	6.7	2	13
dz	1.61	6	10
ɨ	1.65	6	10
e	-1.12	7	-8
o	-1.33	6	-8
t	-1.54	4	-6
ɥ	2.92	2	6
s	-1.4	2	-3
õ	2.54	1	3
ɔ̃	2.1	1	2

a81kwasio
Segment	Zscore	Normedcount	SalienceScore
ʕ	20.52	15	308
ɾ	12.29	9	111
gʷ	17.65	5	88
ã	10.04	6	60
ɱ	11.13	5	56
a	-1.42	37	-53
lʷ	17.81	3	53
kʷ	12.4	4	50
ɛ	1.74	24	42
ɟ	6.55	6	39
ŋ	1.88	18	34
ũ	8.6	3	26
bʰ	20.57	1	21
zʷ	20.57	1	21
ɔ̃	6.55	3	20
dʷ	14.53	1	15
sʷ	14.53	1	15
k	-1.37	10	-14
iː	3.33	4	13
ɥ	4.45	3	13
v	1.42	8	11
dz	1.28	5	6
tʷ	6.13	1	6
c	1.37	4	5
t	-1.72	3	-5
ts	1.18	4	5
dʰ	3.99	1	4
g	-1.13	3	-3
j	-1.14	3	-3
e	-1.62	1	-2
o	-1.69	0	0

a832bekol
Segment	Zscore	Normedcount	SalienceScore
w	3.74	34	127
j	2.3	27	62
a	-1.56	35	-55
û	5.2	10	52
b	1.8	27	49
c	3.71	9	33
i	-1.95	17	-33
d	1.62	20	32
g	1.29	17	22
ŋ	1.14	13	15
t	-1.36	5	-7

a83mekaa
Segment	Zscore	Normedcount	SalienceScore
j	4.02	39	157
w	3.57	33	118
ə	3.36	35	118
a	-1.42	37	-53
g	2.16	22	47
i	-1.47	24	-35
û	4.11	8	33
h	1.51	14	21
s	1.13	15	17
ŋ	1.14	13	15
k	-1.37	10	-14
c	1.84	5	9
e	-1.04	8	-8
t	-1.54	4	-6
ɲ	-1.07	0	0

a841badwe
Segment	Zscore	Normedcount	SalienceScore
e	3.77	66	249
ʉ	7.54	16	121
a	-1.63	34	-56
