ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Tiv_Tivoid-1_animal-1,,Tiv_Tivoid,1_animal,i̱nya̱m,i̱nya̱m,i n j a m,,GrollemundEtAl:2015,,,^ i̱ n y a̱ m $,default
Tiv_Tivoid-2_arm-1,,Tiv_Tivoid,2_arm,wəgh,wəgh,w ə g h,,GrollemundEtAl:2015,,,^ w ə g h $,default
Tiv_Tivoid-3_ashes-1,,Tiv_Tivoid,3_ashes,m-tuhwem,m-tuhwem,m t u h w e m,,GrollemundEtAl:2015,,,^ m - t u h w e m $,default
Tiv_Tivoid-4_bark-1,,Tiv_Tivoid,4_bark,ivuṷgh,ivuṷgh,i v u u g h,,GrollemundEtAl:2015,,,^ i v u ṷ g h $,default
Tiv_Tivoid-5_bed-1,,Tiv_Tivoid,5_bed,ga̱mbə,ga̱mbə,g a m b ə,,GrollemundEtAl:2015,,,^ g a̱ m b ə $,default
Tiv_Tivoid-6_belly-1,,Tiv_Tivoid,6_belly,gbo̱r,gbo̱r,gb o r,,GrollemundEtAl:2015,,,^ gb o̱ r $,default
Tiv_Tivoid-7_big-1,,Tiv_Tivoid,7_big,dzəgə̱,dzəgə̱,d z ə g ə,,GrollemundEtAl:2015,,,^ d z ə g ə̱ $,default
Tiv_Tivoid-8_bird-1,,Tiv_Tivoid,8_bird,i̱nyo̭n,i̱nyo̭n,i n j o n,,GrollemundEtAl:2015,,,^ i̱ n y o̭ n $,default
Tiv_Tivoid-9_bite-1,,Tiv_Tivoid,9_bite,nyu̥ma̱,nyu̥ma̱,n j u m a,,GrollemundEtAl:2015,,,^ n y u̥ m a̱ $,default
Tiv_Tivoid-10_blood-1,,Tiv_Tivoid,10_blood,awambə̥,awambə̥,a w a m b ə,,GrollemundEtAl:2015,,,^ a w a m b ə̥ $,default
Tiv_Tivoid-11_bone-1,,Tiv_Tivoid,11_bone,kuhwə,kuhwə,k u h w ə,,GrollemundEtAl:2015,,,^ k u h w ə $,default
Tiv_Tivoid-12_breast-1,,Tiv_Tivoid,12_breast,ityumba,ityumba,i t j u m b a,,GrollemundEtAl:2015,,,^ i t y u m b a $,default
Tiv_Tivoid-13_burn-1,,Tiv_Tivoid,13_burn,a̱ŋgə̱r,a̱ŋgə̱r,a ŋ g ə r,,GrollemundEtAl:2015,,,^ a̱ ŋ g ə̱ r $,default
Tiv_Tivoid-14_child-1,,Tiv_Tivoid,14_child,wan,wan,w a n,,GrollemundEtAl:2015,,,^ w a n $,default
Tiv_Tivoid-15_cloud-1,,Tiv_Tivoid,15_cloud,ibəmbəgh,ibəmbəgh,i b ə m b ə g h,,GrollemundEtAl:2015,,,^ i b ə m b ə g h $,default
Tiv_Tivoid-16_come-1,,Tiv_Tivoid,16_come,vḁ,vḁ,v a,,GrollemundEtAl:2015,,,^ v ḁ $,default
Tiv_Tivoid-17_count-1,,Tiv_Tivoid,17_count,ɔ̱r,ɔ̱r,ɔ r,,GrollemundEtAl:2015,,,^ ɔ̱ r $,default
Tiv_Tivoid-18_die-1,,Tiv_Tivoid,18_die,kpwə̥,kpwə̥,kp w ə,,GrollemundEtAl:2015,,,^ kp w ə̥ $,default
Tiv_Tivoid-19_dog-1,,Tiv_Tivoid,19_dog,i̱wa,i̱wa,i w a,,GrollemundEtAl:2015,,,^ i̱ w a $,default
Tiv_Tivoid-20_drink-1,,Tiv_Tivoid,20_drink,mḁ,mḁ,m a,,GrollemundEtAl:2015,,,^ m ḁ $,default
Tiv_Tivoid-21_ear-1,,Tiv_Tivoid,21_ear,to-g̥h,to-g̥h,t o g h,,GrollemundEtAl:2015,,,^ t o - g̥ h $,default
Tiv_Tivoid-22_eat-1,,Tiv_Tivoid,22_eat,yḁ,yḁ,j a,,GrollemundEtAl:2015,,,^ y ḁ $,default
Tiv_Tivoid-23_egg-1,,Tiv_Tivoid,23_egg,iji̥,iji̥,i j i,,GrollemundEtAl:2015,,,^ i j i̥ $,default
Tiv_Tivoid-24_elephant-1,,Tiv_Tivoid,24_elephant,no̱r,no̱r,n o r,,GrollemundEtAl:2015,,,^ n o̱ r $,default
Tiv_Tivoid-25_eye-1,,Tiv_Tivoid,25_eye,íshə́,íshə́,i s h əː,,GrollemundEtAl:2015,,,^ í s h ə́ $,default
Tiv_Tivoid-26_face-1,,Tiv_Tivoid,26_face,ishigh,ishigh,i s h i g h,,GrollemundEtAl:2015,,,^ i s h i g h $,default
Tiv_Tivoid-27_fall-1,,Tiv_Tivoid,27_fall,gba̝kon,gba̝kon,gb a k o n,,GrollemundEtAl:2015,,,^ gb a̝ k o n $,default
Tiv_Tivoid-28_fatoil-1,,Tiv_Tivoid,28_fatoil,m-kurem,m-kurem,m k u r e m,,GrollemundEtAl:2015,,,^ m - k u r e m $,default
