NUMBER	ENGLISH	POS
1	I	N/A
2	air	N/A
3	animal	N/A
4	ask	N/A
5	axe	N/A
6	bag	N/A
7	banana	N/A
8	basket	N/A
9	bat	N/A
10	beat	N/A
11	belly	N/A
12	bird	N/A
13	bitter leaf	N/A
14	blood	N/A
15	book	N/A
16	breast	N/A
17	broom	N/A
18	burn	N/A
19	buy	N/A
20	camwood	N/A
21	cap	N/A
22	case (court) (n)	N/A
23	cat	N/A
24	catch (run)	N/A
25	caterpillar	N/A
26	chair	N/A
27	chief	N/A
28	child	N/A
29	cloth	N/A
30	cocoyam	N/A
31	come	N/A
32	compound	N/A
33	cook	N/A
34	corn	N/A
35	corn fufu	N/A
36	count (v)	N/A
37	crab	N/A
38	cricket	N/A
39	cry (v)	N/A
40	cup	N/A
41	cutlass	N/A
42	day	N/A
43	deity, god, God	N/A
44	devil	N/A
45	die (v)	N/A
46	dig	N/A
47	dish (pan)	N/A
48	dog	N/A
49	drink (v)	N/A
50	drum	N/A
51	dry season	N/A
52	dust	N/A
53	ear	N/A
54	eat	N/A
55	egg	N/A
56	eight (8)	N/A
57	eighteen (18)	N/A
58	eighty (80)	N/A
59	elephant stalk	N/A
60	eleven (11)	N/A
61	eye	N/A
62	faeces	N/A
63	fall	N/A
64	farm	N/A
65	father	N/A
66	feather	N/A
67	fence	N/A
68	fifteen (15)	N/A
69	fifty (50)	N/A
70	fight (v)	N/A
71	fire	N/A
72	fireside	N/A
73	fish	N/A
74	five (5)	N/A
75	fly (bird)	N/A
76	forest	N/A
77	four (4)	N/A
78	fourteen (14)	N/A
79	fourty (40)	N/A
80	fowl	N/A
81	friend	N/A
82	garden egg	N/A
83	give; offer	N/A
84	gizzard (fowl)	N/A
85	go	N/A
86	goat	N/A
87	gong	N/A
88	grass	N/A
89	grasshopper	N/A
90	grave	N/A
91	grow	N/A
92	gun	N/A
93	hailstone	N/A
94	hair	N/A
95	hand	N/A
96	he/she	N/A
97	head	N/A
98	headpad	N/A
99	heart	N/A
100	hill	N/A
101	hoe	N/A
102	horn (head)	N/A
103	horse	N/A
104	house	N/A
105	house fly	N/A
106	intestine	N/A
107	jaw	N/A
108	jump	N/A
109	kernel	N/A
110	kill	N/A
111	knife	N/A
112	ladder	N/A
113	laugh (v)	N/A
114	leaf	N/A
115	lizard	N/A
116	medicine	N/A
117	monkey	N/A
118	moon	N/A
119	mother	N/A
120	mouth	N/A
121	mushroom	N/A
122	name	N/A
123	nine (9)	N/A
124	nineteen (19)	N/A
125	ninety (90)	N/A
126	nose	N/A
127	oil	N/A
128	one (1)	N/A
129	one hundred (100)	N/A
130	one thousand (1000)	N/A
131	open	N/A
132	owl	N/A
133	palm nut	N/A
134	palm tree	N/A
135	pap	N/A
136	pepper	N/A
137	person	N/A
138	pig	N/A
139	pineapple	N/A
140	place	N/A
141	plantain	N/A
142	pot	N/A
143	potato	N/A
144	raffia bamboo	N/A
145	rain	N/A
146	rainbow	N/A
147	road	N/A
148	root	N/A
149	rope	N/A
150	run	N/A
151	salt	N/A
152	sand	N/A
153	seed	N/A
154	sell	N/A
155	seven (7)	N/A
156	seventeen (17)	N/A
157	seventy (70)	N/A
158	sheep	N/A
159	sieve	N/A
160	six (6)	N/A
161	sixteen (16)	N/A
162	sixty (60)	N/A
163	sky	N/A
164	sleep	N/A
165	smoke	N/A
166	snake	N/A
167	soap	N/A
168	soldier ant	N/A
169	song	N/A
170	spider	N/A
171	star	N/A
172	stomach	N/A
173	stone	N/A
174	storm (wind)	N/A
175	story	N/A
176	sun	N/A
177	take	N/A
178	ten (10)	N/A
179	termite	N/A
180	they	N/A
181	thirteen (13)	N/A
182	thirty (30)	N/A
183	three (3)	N/A
184	tie (bag)	N/A
185	toad (rough back)	N/A
186	tobacco	N/A
187	toilet	N/A
188	tongue	N/A
189	tooth	N/A
190	trap	N/A
191	tree	N/A
192	twelve (12)	N/A
193	twenty (20)	N/A
194	twenty four (24)	N/A
195	twenty one (21)	N/A
196	twenty three (23)	N/A
197	twenty two (22)	N/A
198	two (2)	N/A
199	two hundred (200)	N/A
200	two thousand (2000)	N/A
201	umbrella	N/A
202	walk	N/A
203	war	N/A
204	water	N/A
205	wax (incense)	N/A
206	we (inc)	N/A
207	wear	N/A
208	week	N/A
209	wingless termite	N/A
210	work (n)	N/A
211	xylophone	N/A
212	yam	N/A
213	year	N/A
214	you (pl)	N/A
215	you (sg)	N/A
216	zinc	N/A
