Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
́	NULL			
̀	NULL			
͏	NULL			
_	NULL			
-	NULL			
’	NULL			
`	NULL			
0	NULL			
1	NULL			
ã̀	ã			
à	a			
ã̌	ã			
ǎ	a			
a	a			
ã̄	ã			
ā	a			
ã́	ã			
á	a			
ã̂	ã			
â	a			
a᷇	a			
a:	aː			
á:	aː			
ã̀ː	ã			
ã̌ː	ã			
a̰̰	ã			
àː	aː			
ǎː	aː			
aː	aː			
ã̄ː	ãː			
āː	aː			
ã́ː	ãː			
áː	aː			
ã̂ː	ãː			
âː	aː			
ã᷇ː	ãː			
a᷇ː	aː			
a21ː	aː			
æ̀	æ			
æ̃̀	æ̃			
æ̌	æ			
æ̃̌	æ̃			
æ̃̄	æ̃			
ǣ	æ			
æ	æ			
ǽ	æ			
æ̃́	æ			
æ̂	æ			
æ᷇	æ			
ǽː	æː			
æ᷇ː	æː			
àʲ	a			
àⁿ	a n			
ᴂ̀	æ			
ᴂ̌	æ			
ᴂ̄	æ			
ᴂ́	æ			
ᴂ̂	æ			
ɑ̀	ɑ			
ɑ̃̀	ɑ̃			
ɑ	ɑ			
ɑ̄	ɑ			
ɑ́	ɑ			
ɑ̂	ɑ			
ɑ̌	ɑ			
ɑ᷇	ɑ			
ɑ̌ː	aː			
ɑ̂ː	aː			
ɑ̀ː	ɑː			
ɑ̃̀ː	ɑ̃ː			
ɑː	ɑː			
ā:̀	ɑː			
ɑ̄ː	ɑː			
ɑ́ː	ɑː			
ɑ᷇ː	ɑː			
ɒ̀	ɒ			
ɒ̃̀	ɒ̃			
ɒ̃̌	ɒ̃			
ɒ̌	ɒ			
ɒ	ɒ			
ɒ̄	ɒ			
ɒ́	ɒ			
ɒ̂	ɒ			
ɒ᷇	ɒ			
ɒ̃̂ː	ɒ̃			
ɒ́ː	ɒː			
ɒ̀ː	ɒː			
ɒ̌ː	ɒː			
ɒ̄ː	ɒː			
ɒ̃́ː	ɒ̃ː			
ɒ̂ː	ɒː			
ɒ᷇ː	ɒː			
b	b			
bᵇ	b			
bʷ	bʷ			
c	c
d	d			
dʷ	dʷ			
dzʷ	dzʷ			
dʒ	dʒ			
dʒʷ	dʒʷ			
ẽ̀	ẽ			
è	e			
ě	e			
e	e			
ẽ̄	ẽ			
ē	e			
ẽ́	ẽ			
e᷇	e			
é	e			
é:	eː			
ê	e			
ẽ᷇	ẽ			
è:	eː			
èː	eː			
ěː	eː			
ēː	eː			
ẽ́ː	ẽː			
éː	eː			
êː	eː			
ẽ᷇ː	ẽː			
e᷇ː	eː			
éʲ	e			
ěʲː	eː			
ə̃̀	ə̃			
ə̀	ə			
ə̌	ə			
ə	ə			
ə̃̄	ə̃			
ə̄	ə			
ə̃́	ə̃			
ə́	əː			
ə́:	ə			
ə̃̂	ə̃			
ə̂	ə			
ə̑	ə			
ə̃᷇	ə̃			
ə᷇	ə			
ə:	əː			
ə̂:	əː			
ə̀ː	əː			
ə̌ː	əː			
ə̄ː	əː			
ə̃́ː	ə̃ː			
ə́ː	əː			
ə̂ː	əː			
ə̃̂ː	ə̃ː			
ə̃᷇ː	ə̃ː			
ə᷇ː	əː			
ə̀ˠ	əˠ			
ɛ̃̀	ɛ̃			
ɛ̀	ɛ			
ɛ̌	ɛ			
ɛ̃̌	ɛ̃			
ɛ	ɛ			
ɛ̃̂	ɛ̃			
ɛ̃̃	ɛ̃			
ɛ̄	ɛ			
