ID	Concept	Doculect	Value
1	animal	Fefe_Grassfields	nə̀ə
2	arm	Fefe_Grassfields	pō
3	ashes	Fefe_Grassfields	vhʉ̄
4	bark	Fefe_Grassfields	kɔ̀p
5	bed	Fefe_Grassfields	kwɛ̄n
6	belly	Fefe_Grassfields	vàm
7	big	Fefe_Grassfields	?
8	bird	Fefe_Grassfields	sāk
9	bite	Fefe_Grassfields	lōm
10	blood	Fefe_Grassfields	nsì˚
11	bone	Fefe_Grassfields	cwīi
12	breast	Fefe_Grassfields	pɛ̄n
13	burn	Fefe_Grassfields	tòo
14	child	Fefe_Grassfields	mūu ~ mōo
15	cloud	Fefe_Grassfields	ndùa
16	come	Fefe_Grassfields	sàʔ
17	count	Fefe_Grassfields	sāh
18	die	Fefe_Grassfields	kʉ̄a
19	dog	Fefe_Grassfields	mvʉ̄a
20	drink	Fefe_Grassfields	nū
21	ear	Fefe_Grassfields	tɔ̄k
22	eat	Fefe_Grassfields	zā ?
23	egg	Fefe_Grassfields	pòm
24	elephant	Fefe_Grassfields	sʉ̄ʉ
25	eye	Fefe_Grassfields	zāh ~ zə̄k
26	face	Fefe_Grassfields	sī
27	fall	Fefe_Grassfields	wùa
28	fat, oil	Fefe_Grassfields	mvāt
29	feather	Fefe_Grassfields	fhʉ̀
30	fingernail	Fefe_Grassfields	ŋkɔ̀p˚
31	fire	Fefe_Grassfields	mɔ̄h ~ mūk
32	fire-wood	Fefe_Grassfields	ncwī
33	fish	Fefe_Grassfields	mbàānši
34	five	Fefe_Grassfields	tīì ~ tēè
35	fly	Fefe_Grassfields	?
36	four	Fefe_Grassfields	kùx
37	give	Fefe_Grassfields	hā
38	goat	Fefe_Grassfields	mvī
39	ground, soil	Fefe_Grassfields	cāʔ
40	hair	Fefe_Grassfields	?
41	head	Fefe_Grassfields	thū
42	hear	Fefe_Grassfields	ɥūʔ
43	heart	Fefe_Grassfields	ntām
44	horn	Fefe_Grassfields	ndɛ̄ˀ
45	house	Fefe_Grassfields	ndʉ̄a
46	hunger	Fefe_Grassfields	nžiɛ̀
47	intestine	Fefe_Grassfields	ntǒ
48	kill	Fefe_Grassfields	žī
49	knee	Fefe_Grassfields	?
50	knife	Fefe_Grassfields	pǐɛ
51	know	Fefe_Grassfields	žī
52	leaf	Fefe_Grassfields	hù˚
53	leg	Fefe_Grassfields	khù
54	liver	Fefe_Grassfields	mbìɛ
55	louse	Fefe_Grassfields	?
56	man	Fefe_Grassfields	?
57	moon	Fefe_Grassfields	ŋū
58	mouth	Fefe_Grassfields	nšù
59	name	Fefe_Grassfields	zɛ̄n
60	navel	Fefe_Grassfields	tɛ̀ʔ˚
