ID	Concept	Doculect	Value
1	animal	Tiv_Tivoid	i̱nya̱m
2	arm	Tiv_Tivoid	wəgh
3	ashes	Tiv_Tivoid	m-tuhwem
4	bark	Tiv_Tivoid	ivuṷgh
5	bed	Tiv_Tivoid	ga̱mbə
6	belly	Tiv_Tivoid	gbo̱r
7	big	Tiv_Tivoid	dzəgə̱
8	bird	Tiv_Tivoid	i̱nyo̭n
9	bite	Tiv_Tivoid	nyu̥ma̱
10	blood	Tiv_Tivoid	awambə̥
11	bone	Tiv_Tivoid	kuhwə
12	breast	Tiv_Tivoid	ityumba
13	burn	Tiv_Tivoid	a̱ŋgə̱r
14	child	Tiv_Tivoid	wan
15	cloud	Tiv_Tivoid	ibəmbəgh
16	come	Tiv_Tivoid	vḁ
17	count	Tiv_Tivoid	ɔ̱r
18	die	Tiv_Tivoid	kpwə̥
19	dog	Tiv_Tivoid	i̱wa
20	drink	Tiv_Tivoid	mḁ
21	ear	Tiv_Tivoid	to-g̥h
22	eat	Tiv_Tivoid	yḁ
23	egg	Tiv_Tivoid	iji̥
24	elephant	Tiv_Tivoid	no̱r
25	eye	Tiv_Tivoid	íshə́
26	face	Tiv_Tivoid	ishigh
27	fall	Tiv_Tivoid	gba̝kon
28	fat, oil	Tiv_Tivoid	m-kurem
29	feather	Tiv_Tivoid	ŋgu-r̥
30	fingernail	Tiv_Tivoid	i̱kuu̱l
31	fire	Tiv_Tivoid	usu̥
32	fire-wood	Tiv_Tivoid	kon
33	fish	Tiv_Tivoid	i̱shu
34	five	Tiv_Tivoid	u̱tḁa̱n
35	fly	Tiv_Tivoid	pu̱ru̱gh
36	four	Tiv_Tivoid	nyido
37	give	Tiv_Tivoid	na
38	goat	Tiv_Tivoid	iv̱o
39	ground, soil	Tiv_Tivoid	inya
40	hair	Tiv_Tivoid	ícə
41	head	Tiv_Tivoid	ityough
42	hear	Tiv_Tivoid	u̥ŋgwa̱
43	heart	Tiv_Tivoid	i̱shima
44	horn	Tiv_Tivoid	ko-r̥
45	house	Tiv_Tivoid	i̱you
46	hunger	Tiv_Tivoid	i̱jə̭n
47	intestine	Tiv_Tivoid	m-ya̭m
48	kill	Tiv_Tivoid	wu̥a̱
49	knee	Tiv_Tivoid	inyu
50	knife	Tiv_Tivoid	ihɔ̥
51	know	Tiv_Tivoid	fḁ
52	leaf	Tiv_Tivoid	ahu̥
53	leg	Tiv_Tivoid	ŋguhwar
54	liver	Tiv_Tivoid	m-təmam
55	louse	Tiv_Tivoid	i̱u̱su̱
56	man	Tiv_Tivoid	iyor̭
57	moon	Tiv_Tivoid	uwer
58	mouth	Tiv_Tivoid	dzwa
59	name	Tiv_Tivoid	iti
60	navel	Tiv_Tivoid	i̱combo̱
61	neck	Tiv_Tivoid	mo-n̥
62	night	Tiv_Tivoid	tugh
63	nose	Tiv_Tivoid	ihiŋgḁ
64	one	Tiv_Tivoid	mɔm̭
65	person	Tiv_Tivoid	oṟ
66	rain	Tiv_Tivoid	ura
67	road	Tiv_Tivoid	i̱gbu̱du̱
68	root	Tiv_Tivoid	misə̥
69	salt	Tiv_Tivoid	bar
70	sand	Tiv_Tivoid	wara̱wa
71	see	Tiv_Tivoid	nə̥ŋgə̱
72	send	Tiv_Tivoid	tin̥di
73	shame	Tiv_Tivoid	?
74	sing	Tiv_Tivoid	tḁ ca-m̥
75	skin	Tiv_Tivoid	kwav
76	sky	Tiv_Tivoid	aɔ̱ndo̱
77	sleep	Tiv_Tivoid	m-nyam
78	smoke	Tiv_Tivoid	m-nyim
79	snake	Tiv_Tivoid	i̱yɔ
80	spear	Tiv_Tivoid	dagi̱
81	steal	Tiv_Tivoid	ihyura̭n
82	stone	Tiv_Tivoid	iwə-n̥
83	sun	Tiv_Tivoid	i̱yaŋgə
84	tail	Tiv_Tivoid	tsa
85	ten	Tiv_Tivoid	pu̱ə̱
86	three	Tiv_Tivoid	u̱tar
87	tongue	Tiv_Tivoid	nombo̭r
88	tooth	Tiv_Tivoid	inyigh = i-nji-ɣ
89	tree	Tiv_Tivoid	kon
90	two	Tiv_Tivoid	uẖ a-r̥
91	urine	Tiv_Tivoid	m-nyandḙm
92	village	Tiv_Tivoid	yaṟ
93	vomit	Tiv_Tivoid	sua̱
94	walk	Tiv_Tivoid	dzəṉde
95	war	Tiv_Tivoid	ityav
96	water	Tiv_Tivoid	m-gərḙm
97	wind	Tiv_Tivoid	ahumbə̥
98	woman	Tiv_Tivoid	kwḁsə̥
99	dew	Tiv_Tivoid	avurə
100	iron	Tiv_Tivoid	iyɔ-g̥h
101	animal	A11_Londo	n-yàmà
102	arm	A11_Londo	mò-kɔ̀
103	ashes	A11_Londo	ù-bu
104	bark	A11_Londo	ekuku
105	bed	A11_Londo	dì-nɔ̀ŋgɔ̀
106	belly	A11_Londo	m-ɛa
107	big	A11_Londo	kɔlɔ
108	bird	A11_Londo	ì-nɔɔ
109	bite	A11_Londo	da
110	blood	A11_Londo	mà-cìá
111	bone	A11_Londo	è-sé
112	breast	A11_Londo	dì-bɛ́ɛ̀
113	burn	A11_Londo	aŋgɛ
114	child	A11_Londo	ŋw-ánà
115	cloud	A11_Londo	motutu
116	come	A11_Londo	ɸɔ
117	count	A11_Londo	laŋga
118	die	A11_Londo	wa
119	dog	A11_Londo	m-fáà
120	drink	A11_Londo	ŋwa
121	ear	A11_Londo	dì-tóò
122	eat	A11_Londo	dì-dá
123	egg	A11_Londo	mò-cyé
124	elephant	A11_Londo	n-jɛ̀kù
125	eye	A11_Londo	dì-ísò
126	face	A11_Londo	boso
127	fall	A11_Londo	kunda
128	fat, oil	A11_Londo	dì-ɔ́mí
129	feather	A11_Londo	esa
130	fingernail	A11_Londo	è-sàsà
131	fire	A11_Londo	ŋw-ɛa ~ muea
132	fire-wood	A11_Londo	iwori
133	fish	A11_Londo	ɲamamaliba
134	five	A11_Londo	beta
135	fly	A11_Londo	kolwa
136	four	A11_Londo	beni
137	give	A11_Londo	iɲɛ
138	goat	A11_Londo	m-bódì
139	ground, soil	A11_Londo	moɲɛrɛ
140	hair	A11_Londo	n-yùŋgà
141	head	A11_Londo	mò-dófò
142	hear	A11_Londo	oka
143	heart	A11_Londo	mò-démà
144	horn	A11_Londo	mò-sébá
145	house	A11_Londo	n-dábò
146	hunger	A11_Londo	n-ja
147	intestine	A11_Londo	è-wùŋgé
148	kill	A11_Londo	boloa
