Doculect1	Doculect2	SharedCognateCount
A11_Londo	A121_Mbonge	70
A11_Londo	A122_Bakundu	59
A11_Londo	A141_Lefo	36
A11_Londo	A151_Nkongho	22
A11_Londo	A15A_Mbuu	26
A11_Londo	A15B_Mienge_NW_Manenguba	28
A11_Londo	A15C_Akossi	28
A11_Londo	A15C_Elung_Central_Manenguba	26
A11_Londo	A15C_Mkaa	33
A11_Londo	A24_Duala	42
A11_Londo	A43a_Basaa	20
A11_Londo	A622_Nugunu	18
A11_Londo	A62A_Nukalonge	16
A11_Londo	A63_Mangisa	25
A11_Londo	A71_Eton	24
A11_Londo	A72a_Ewondo	24
A11_Londo	A75a_Fang_Bitam	21
A11_Londo	A75a_Fang_Minvoul	24
A11_Londo	A803_Shiwa	14
A11_Londo	A832_Bekol	17
A11_Londo	A841_Badwe	20
A11_Londo	A84_Njem	20
A11_Londo	A85b_Bekwil_Mv	19
A11_Londo	A86c_Mpiemo	22
A11_Londo	A91_Kwakum	20
A11_Londo	B11F_Enenga	18
A11_Londo	B11a_Mpongwe	15
A11_Londo	B11b_Orungu	18
A11_Londo	B11c_Galwa	15
A11_Londo	B11d_Dyumba	15
A11_Londo	B201_Ndasa	22
A11_Londo	B204_Ndambomo_Li	22
A11_Londo	B21_Seki	25
A11_Londo	B22a_Kele	20
A11_Londo	B24_Wumbvu	24
A11_Londo	B251_Shake	21
A11_Londo	B25_Kota	21
A11_Londo	B301_Viya	28
A11_Londo	B302_Himba	24
A11_Londo	B304_Pinzi	20
A11_Londo	B305_Vove	25
A11_Londo	B31_Tsogo	29
A11_Londo	B32_Kande	19
A11_Londo	B42_Sangu_Mi	20
A11_Londo	B43_Punu	21
A11_Londo	B44_Lumbu	17
A11_Londo	B501_Wanzi_Mo	25
A11_Londo	B51_Duma_La	24
A11_Londo	B52_Nzebi	25
A11_Londo	B53_Tsaangi_Poungi	23
A11_Londo	B601_Lempini	17
A11_Londo	B602_Kaningi_Nord	18
A11_Londo	B602_Kaningi_Sud	18
A11_Londo	B62_Mbaama	17
A11_Londo	B63_Ndumu	20
A11_Londo	B701_Atsitsege	15
A11_Londo	B71a_Teke_Dj	15
A11_Londo	B71a_Teke_Os	14
A11_Londo	B865_Nzadi	19
A11_Londo	C104_Aka	23
A11_Londo	C141_Bonyala	20
A11_Londo	C21_Ngare	20
A11_Londo	C22_Akwa	23
A11_Londo	C24_Koyo	21
A11_Londo	C25A_Bunji	22
A11_Londo	C25B_Olee	21
A11_Londo	C25C_Ondinga	21
A11_Londo	C25E_Eboyi	21
A11_Londo	C32_Bobangi	17
A11_Londo	C61_Mongo	24
A11_Londo	D32_Bira	18
A11_Londo	E46_Sonjo	23
A11_Londo	E51_Kikuyu	19
A11_Londo	E52_Embu	18
A11_Londo	E53_Imenti	18
A11_Londo	E53_Meru	12
A11_Londo	E53_Meruimenti	17
A11_Londo	E53_Merutig	15
A11_Londo	E53_Tigania	16
A11_Londo	E541_Chuka	16
A11_Londo	E54_Tharaka	13
A11_Londo	E55_Kamba	14
A11_Londo	E55_Kamba_Kitu	14
A11_Londo	E621B_Machame	13
A11_Londo	E621C_Siha	16
A11_Londo	E621D_Kibosho	13
A11_Londo	E622C_Vunjo	15
A11_Londo	E623A_Kiseri	18
A11_Londo	E623_Mkuu	17
A11_Londo	E65_Gweno	15
A11_Londo	E701_Elwana	20
A11_Londo	E71A_Upper_Pokomo	18
A11_Londo	E72a_Giryama	18
A11_Londo	E73_Digo	17
A11_Londo	E74a_Dawida	18
A11_Londo	F22_Nyamwezi	17
A11_Londo	F23_Sumbwa	18
A11_Londo	F24_Kimbu	17
A11_Londo	F25_Bungu	10
A11_Londo	F31_Nyiramba	19
A11_Londo	F32_Nyaturucha	19
A11_Londo	F32_Nyaturuwil	16
A11_Londo	F33_Langi	19
A11_Londo	G11_Gogo	15
A11_Londo	G12_Kagulu	15
A11_Londo	G23_Sambaa	12
A11_Londo	G24_Bondei	13
A11_Londo	G31_Zigua	14
A11_Londo	G32_Doe	16
A11_Londo	G32_Kwere	13
A11_Londo	G33_Zaramo	13
A11_Londo	G34_Nguungulu	17
A11_Londo	G36_Kami	14
A11_Londo	G37_Kutu	15
A11_Londo	G39_Saghala	21
A11_Londo	G401_Mwani	21
A11_Londo	G41_Bajuni	17
A11_Londo	G42_Swahili	16
A11_Londo	G42a_Amu	19
A11_Londo	G42d_Unguja	16
A11_Londo	G44a_Ngazija	20
A11_Londo	G44b_Ndzwani	18
