Doculect1	Doculect2	SharedCognateCount
a11londo	a121mbonge	69
a11londo	a122bakundu	59
a11londo	a141lefo	38
a11londo	a151nkongho	23
a11londo	a15ambuu	27
a11londo	a15bmiengenwmanenguba	27
a11londo	a15cakossi	28
a11londo	a15celungcentralmanenguba	27
a11londo	a15cmkaa	32
a11londo	a24duala	42
a11londo	a43abasaa	20
a11londo	a622nugunu	16
a11londo	a62anukalonge	16
a11londo	a63mangisa	26
a11londo	a71eton	25
a11londo	a72aewondo	23
a11londo	a75afangbitam	23
a11londo	a75afangminvoul	26
a11londo	a803shiwa	12
a11londo	a832bekol	17
a11londo	a841badwe	21
a11londo	a84njem	21
a11londo	a85bbekwilmv	19
a11londo	a86cmpiemo	21
a11londo	a91kwakum	18
a11londo	b11ampongwe	15
a11londo	b11borungu	19
a11londo	b11cgalwa	15
a11londo	b11ddyumba	14
a11londo	b11fenenga	19
a11londo	b201ndasa	24
a11londo	b204ndambomoli	21
a11londo	b21seki	25
a11londo	b22akele	19
a11londo	b24wumbvu	24
a11londo	b251shake	21
a11londo	b25kota	22
a11londo	b301viya	27
a11londo	b302himba	22
a11londo	b304pinzi	19
a11londo	b305vove	24
a11londo	b31tsogo	29
a11londo	b32kande	19
a11londo	b42sangumi	20
a11londo	b43punu	22
a11londo	b44lumbu	18
a11londo	b501wanzimo	26
a11londo	b51dumala	25
a11londo	b52nzebi	25
a11londo	b53tsaangipoungi	24
a11londo	b601lempini	16
a11londo	b602kaninginord	20
a11londo	b602kaningisud	19
a11londo	b62mbaama	16
a11londo	b63ndumu	19
a11londo	b701atsitsege	15
a11londo	b71atekedj	15
a11londo	b71atekeos	14
a11londo	b865nzadi	20
a11londo	c104aka	21
a11londo	c141bonyala	21
a11londo	c21ngare	22
a11londo	c22akwa	23
a11londo	c24koyo	21
a11londo	c25abunji	23
a11londo	c25bolee	22
a11londo	c25condinga	22
a11londo	c25eeboyi	22
a11londo	c32bobangi	16
a11londo	c61mongo	20
a11londo	d32bira	16
a11londo	e46sonjo	22
a11londo	e51kikuyu	20
a11londo	e52embu	18
a11londo	e53imenti	18
a11londo	e53meru	12
a11londo	e53meruimenti	17
a11londo	e53merutig	15
a11londo	e53tigania	16
a11londo	e541chuka	16
a11londo	e54tharaka	13
a11londo	e55kamba	12
a11londo	e55kambakitu	13
a11londo	e621bmachame	12
a11londo	e621csiha	14
a11londo	e621dkibosho	13
a11londo	e622cvunjo	14
a11londo	e623akiseri	19
a11londo	e623mkuu	19
a11londo	e65gweno	14
a11londo	e701elwana	19
a11londo	e71aupperpokomo	18
a11londo	e72agiryama	17
a11londo	e73digo	17
a11londo	e74adawida	17
a11londo	f22nyamwezi	16
a11londo	f23sumbwa	16
a11londo	f24kimbu	17
a11londo	f25bungu	11
a11londo	f31nyiramba	18
a11londo	f32nyaturucha	18
a11londo	f32nyaturuwil	15
a11londo	f33langi	19
a11londo	g11gogo	15
a11londo	g12kagulu	14
a11londo	g23sambaa	11
a11londo	g24bondei	11
a11londo	g31zigua	12
a11londo	g32doe	14
a11londo	g32kwere	12
a11londo	g33zaramo	12
a11londo	g34nguungulu	14
a11londo	g36kami	13
a11londo	g37kutu	14
a11londo	g39saghala	20
a11londo	g401mwani	20
a11londo	g41bajuni	16
a11londo	g42aamu	18
a11londo	g42dunguja	14
a11londo	g42swahili	15
a11londo	g44angazija	21
a11londo	g44bndzwani	17
a11londo	g52ndamba	13
a11londo	g61sangu	12
a11londo	g62hehe	7
a11londo	g63bena	8
a11londo	g64pangwa	14
a11londo	g65kinga	9
a11londo	g66wanji	11
a11londo	h11beembe	23
a11londo	h16kikongo	22
a11londo	h31yaka	19
a11londo	jd62rundi	11
a11londo	jd64shubi	10
a11londo	jd65hangaza	11
a11londo	jd66kiha	11
a11londo	jd67kivinza	11
a11londo	je11runyoro	14
a11londo	je12rutooro	14
a11londo	je13runyankore	14
a11londo	je14rukiga	16
a11londo	je16lusoga	11
a11londo	je17gwere	7
a11londo	je21runyambo	16
a11londo	je22haya	12
a11londo	je23zinza	15
a11londo	je24kerebe	9
a11londo	je25jita	14
