ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
d20bvamba1919-animal-1,,d20bvamba1919,animal,Ny-ama,Ny-ama,n j + a m a,,161489,animal-1,,^N y - a m a $,default
d20bvamba1919-arm-1,,d20bvamba1919,arm,K-ɯkɯ;,K-ɯkɯ,k + ɯ k ɯ,,161489,arm-1,,^K - ɯ k ɯ $,default
d20bvamba1919-belly-1,,d20bvamba1919,belly,Ki-hu,Ki-hu,k i + h u,,161489,belly-26,,^K i - h u $,default
d20bvamba1919-bird-1,,d20bvamba1919,bird,Ny-uni,Ny-uni,n j + u n i,,161489,bird-2,,^N y - u n i $,default
d20bvamba1919-bone-1,,d20bvamba1919,bone,Ma-kue,Ma-kue,m a + k u e,,161489,bone-2,,^M a - k u e $,default
d20bvamba1919-breast-1,,d20bvamba1919,breast,I-were,I-were,i + w e r e,,161489,breast-1,,^I - w e r e $,default
d20bvamba1919-child-1,,d20bvamba1919,child,Mu-kerembe,Mu-kerembe,m u + k e r e m b e,,161489,child-7,,^M u - k e r e m b e $,default
d20bvamba1919-come-1,,d20bvamba1919,come,vu,vu,v u,,161489,come-33,,^ v u $,default
d20bvamba1919-dog-1,,d20bvamba1919,dog,M-bwa,M-bwa,m + b w a,,161489,dog-1,,^M - b w a $,default
d20bvamba1919-ear-1,,d20bvamba1919,ear,Ku-tue,Ku-tue,k u + t u e,,161489,ear-4,,^K u - t u e $,default
d20bvamba1919-egg-1,,d20bvamba1919,egg,Ma-hɯli,Ma-hɯli,m a + h ɯ l i,,161489,egg-18,,^M a - h ɯ l i $,default
d20bvamba1919-elephant-1,,d20bvamba1919,elephant,N-dsɯgu,N-dsɯgu,n + d s ɯ g u,,161489,elephant-4,,^N - d s ɯ g u $,default
d20bvamba1919-eye-1,,d20bvamba1919,eye,Li-isɯ,Li-isɯ,l i + i s ɯ,,161489,eye-2,,^L i - i s ɯ $,default
d20bvamba1919-face-1,,d20bvamba1919,face,Al-insɯ,Al-insɯ,a l + i n s ɯ,,161489,face-4,,^A l - i n s ɯ $,default
d20bvamba1919-fatoil-1,,d20bvamba1919,fatoil,Bi-sabɯ,Bi-sabɯ,b i + s a b ɯ,,161489,fatoil-17,,^B i - s a b ɯ $,default
d20bvamba1919-fingernail-1,,d20bvamba1919,fingernail,Ki-kuru,Ki-kuru,k i + k u r u,,161489,fingernail-27,,^K i - k u r u $,default
d20bvamba1919-fire-1,,d20bvamba1919,fire,Mu-lirɯ,Mu-lirɯ,m u + l i r ɯ,,161489,fire-29,,^M u - l i r ɯ $,default
d20bvamba1919-fish-1,,d20bvamba1919,fish,I-sui,I-sui,i + s u i,,161489,fish-1,,^I - s u i $,default
d20bvamba1919-five-1,,d20bvamba1919,five,tanɯ,tanɯ,t a n ɯ,,161489,five-1,,^ t a n ɯ $,default
d20bvamba1919-four-1,,d20bvamba1919,four,nai,nai,n a i,,161489,four-4,,^ n a i $,default
d20bvamba1919-goat-1,,d20bvamba1919,goat,M-buli,M-buli,m + b u l i,,161489,goat-1,,^M - b u l i $,default
d20bvamba1919-hair-1,,d20bvamba1919,hair,I-sɯkɯ,I-sɯkɯ,i + s ɯ k ɯ,,161489,hair-6,,^I - s ɯ k ɯ $,default
d20bvamba1919-head-1,,d20bvamba1919,head,Mu-twe,Mu-twe,m u + t w e,,161489,head-3,,^M u - t w e $,default
d20bvamba1919-heart-1,,d20bvamba1919,heart,Mu-tema,Mu-tema,m u + t e m a,,161489,heart-1,,^M u - t e m a $,default
d20bvamba1919-house-1,,d20bvamba1919,house,Ny-umba,Ny-umba,n j + u m b a,,161489,house-23,,^N y - u m b a $,default
d20bvamba1919-hunger-1,,d20bvamba1919,hunger,N-jera,N-jera,n + j e r a,,161489,hunger-7,,^N - j e r a $,default
d20bvamba1919-iron-1,,d20bvamba1919,iron,Ki-ɯma,Ki-ɯma,k i + ɯ m a,,161489,iron-26,,^K i - ɯ m a $,default
d20bvamba1919-knee-1,,d20bvamba1919,knee,Kuru,Kuru,k u r u,,161489,knee-14,,^K u r u $,default
d20bvamba1919-knife-1,,d20bvamba1919,knife,Mu-hiɯ,Mu-hiɯ,m u + h i ɯ,,161489,knife-26,,^M u - h i ɯ $,default
d20bvamba1919-leg-1,,d20bvamba1919,leg,N-sume,N-sume,n + s u m e,,161489,leg-17,,^N - s u m e $,default
d20bvamba1919-moon-1,,d20bvamba1919,moon,Mu-epi,Mu-epi,m u + e p i,,161489,moon-18,,^M u - e p i $,default
d20bvamba1919-mouth-1,,d20bvamba1919,mouth,Mu-nwa,Mu-nwa,m u + n w a,,161489,mouth-6,,^M u - n w a $,default
