ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Variety
Tiv_Tivoid,Tiv_Tivoid,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A11_Londo,A11_Londo,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A121_Mbonge,A121_Mbonge,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A122_Bakundu,A122_Bakundu,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A141_Lefo,A141_Lefo,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A151_Nkongho,A151_Nkongho,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A15A_Mbuu,A15A_Mbuu,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A15B_Mienge_NW_Manenguba,A15B_Mienge_NW_Manenguba,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A15C_Akossi,A15C_Akossi,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A15C_Elung_Central_Manenguba,A15C_Elung_Central_Manenguba,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A15C_Mkaa,A15C_Mkaa,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A24_Duala,A24_Duala,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A43a_Basaa,A43a_Basaa,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A622_Nugunu,A622_Nugunu,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A62A_Nukalonge,A62A_Nukalonge,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A63_Mangisa,A63_Mangisa,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A71_Eton,A71_Eton,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A72a_Ewondo,A72a_Ewondo,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A75a_Fang_Bitam,A75a_Fang_Bitam,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A75a_Fang_Minvoul,A75a_Fang_Minvoul,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A803_Shiwa,A803_Shiwa,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A832_Bekol,A832_Bekol,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A84_Njem,A84_Njem,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A841_Badwe,A841_Badwe,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A85b_Bekwil_Mv,A85b_Bekwil_Mv,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A86c_Mpiemo,A86c_Mpiemo,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
A91_Kwakum,A91_Kwakum,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B11a_Mpongwe,B11a_Mpongwe,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B11b_Orungu,B11b_Orungu,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B11c_Galwa,B11c_Galwa,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B11d_Dyumba,B11d_Dyumba,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B11F_Enenga,B11F_Enenga,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B201_Ndasa,B201_Ndasa,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B204_Ndambomo_Li,B204_Ndambomo_Li,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B21_Seki,B21_Seki,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B22a_Kele,B22a_Kele,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B24_Wumbvu,B24_Wumbvu,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B25_Kota,B25_Kota,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B251_Shake,B251_Shake,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B301_Viya,B301_Viya,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B302_Himba,B302_Himba,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B304_Pinzi,B304_Pinzi,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B305_Vove,B305_Vove,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B31_Tsogo,B31_Tsogo,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B32_Kande,B32_Kande,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
B42_Sangu_Mi,B42_Sangu_Mi,naki1238,Naki,mff,Africa,6.62784,10.2378,Atlantic-Congo,
