id,concept_id,concept,speaker_name,citation,noun_class,concept_speaker_name
1,1,child,NVI,wâŋ / àtɔ᷇ːŋ ,1 / 2.,child_NVI
2,1,child,KMN,wàŋ / àtɔ᷇ːŋ ,1 / 2.,child_KMN
3,2,baby,NVI,wâŋ / àtɔ᷇ːŋ,1 / 2.,baby_NVI
4,2,baby,KMN,wàŋ / àtɔ᷇ːŋ,1 / 2.,baby_KMN
5,3,father,NVI,tsè~bâːbə́ / àtsèː~àbâbə́,1 / 2.,father_NVI
6,3,father,KMN,tsè / brǎs,1 / 2.,father_KMN
7,4,mother,KMN,mà / màs,1 / 2.,mother_KMN
8,4,mother,NVI,má / nânə́ ~,1 / 2.,mother_NVI
9,52,body,NVI,dwàm / dwám ~,5 / 6.,body_NVI
10,52,body,KMN,dwàm / kə́dwâmlə̀,5 / 7a,body_KMN
11,53,skin,KMN,gǘlə̀ / kə́gǘːlə̄,5 / 7a,skin_KMN
12,53,skin,NVI,gǜ / gǜlə̀ ~ àgʊ̈̀ / kə́gʊ̈́lə̀,5 / 7a,skin_NVI
13,54,head,KMN,kú / kə̀kúːlə́,5 / 7a,head_KMN
14,54,head,NVI,kú / bə̀kʊ́ ~ kú / kúlə́,5 / 7a ,head_NVI
15,55,face,NVI,fyà / bə̀fyàː ~ fyàːŋ / bə̀fyàː ,8a / 8,face_NVI
16,55,face,KMN,kə́fyà / bə̀fyâ,7 / 8.,face_KMN
17,437,roof,KMN,kúːvwò / kúːlə́kə́vwò,5 / 7a,roof_KMN
18,437,roof,NVI,kú / kúlə́~ kú / kúːlə́,5 / 7a,roof_NVI
19,56,eye,NVI,zís~zísə́ / bə́zísə́ ~ ,5 / 6.,eye_NVI
20,56,eye,KMN,zísə́ / kə́zísə́ ,5 / 7a,eye_KMN
21,57,nose,KMN,vʷǘ / kə̀vʷülə́~vǘlə́,5 / 7a,nose_KMN
22,57,nose,NVI,vǘ / bə̀vǘ; vǘ / kə̀vúlə́,5 / 7a,nose_NVI
23,58,mouth,KMN,dzɨ́ / kə̀dzɨ́lə́,3 / 7a,mouth_KMN
24,58,mouth,NVI,dzɨ́ / bə̀dzɨ́~ dzɨ́ / kə́dzɨ́lə́~kə̀dzɨ́lə́,3 / 7a,mouth_NVI
25,59,ear,NVI,tʊ́ŋ / bə̀tʊ́ŋ,7 / 8.,ear_NVI
26,59,ear,KMN,kə̀túŋ/bə̀túŋ,7 / 8.,ear_KMN
27,60,jaw,NVI,kə̀mbàŋ / bə̀mbàŋ,7 / 8.,jaw_NVI
28,60,jaw,KMN,kə̀mbàŋ / bə̀mbàŋ,7 / 8.,jaw_KMN
29,61,tooth,KMN,zàɲ / kə̀zàɲlə́ ,5 / 7a,tooth_KMN
30,61,tooth,NVI,zán/bə̀zán~záɲ / àzáɲ,5 / 6.,tooth_NVI
31,62,tongue,KMN,lámə́ / bə̀láːmə́,5 / 7a,tongue_KMN
32,62,tongue,NVI,lám / bə̀lámə́~lámə́ / àlámə́,5 / 6.,tongue_NVI
33,63,neck,KMN,ntʃò / bə̀ntʃò,1 / 2.,neck_KMN
34,63,neck,NVI,ntʃɔ̀ / bə̀ntʃɔ̀~ntʃɔ̀ / àntʃɔ̀,1 / 2. ,neck_NVI
35,21,chief,NVI,ŋkʊ́ / bə̀ŋkʊ́~ŋkʊ́ / àŋkʊ́,1 / 2.,chief_NVI
36,21,chief,KMN,ŋkʷú / kə̀ŋkúlə́~bə̀ŋkúlə́~àŋkʷú,1 / 2.,chief_KMN
37,65,throat,KMN,fə̀ŋgyàŋ / bə̀ŋgyàŋ,19 / 6a,throat_KMN
38,65,throat,NVI,fʊ́kʊ́ŋ / bə̀kʊ́ŋ ~ fə́kʊ́ŋ / ḿkʊ̄ŋ,19 / 6a,throat_NVI
39,66,Adam's apple,NVI,fə̀ndyɔ̀ŋ~kə̀ndyɔ̀ŋ / mə̀ndyɔ̀ŋ,19 / 6a,Adam's apple_NVI
40,66,Adam's apple,KMN,ø / ø,øø,Adam's apple_KMN
41,67,goitre,NVI,kə̀ndyɔ̀ŋ / bə̀ndyɔ̀ŋ,7 / 8.,goitre_NVI
42,67,goitre,KMN,kə̀tú / bə́tú,7 / 8.,goitre_KMN
43,68,hair,KMN,kə̀vúlə́ / bə̀vúlə́,7 / 8.,hair_KMN
44,68,hair,NVI,fwò / kə́fwôlə̀~kə́fwə́lə̀ / bə́fwə́lə̀,7 / 8.,hair_NVI
45,69,shoulder,KMN,kə̀ŋgyɔ̀ŋŋgyɔ̀ŋ / bə̀ŋgyɔ̀ŋŋgyɔ̀ŋ ,7 / 8.,shoulder_KMN
46,69,shoulder,NVI,kə̀ŋgyɔ̀ŋ / bə̀ŋgyɔ̀ŋ ~ ,7 / 8.,shoulder_NVI
47,70,chest,NVI,ŋgwàm / bə̀ŋgwàm~aŋgwàm,1 / 2.,chest_NVI
48,70,chest,KMN,ŋgwàm / bə̀ŋgwàm,1 / 2.,chest_KMN
49,71,breast,KMN,bêɲ /  ábêɲ,5 / 6.,breast_KMN
50,71,breast,NVI,ábɪ̂ɲ / bə́bɪ̂ːn~bɪ̂n / ábɪ̂n,5 / 6.,breast_NVI
51,72,rib,KMN,fə̀nɪ̌ŋ / m̀nɪ̌ŋ,19 / 6a,rib_KMN
52,72,rib,NVI,mnɪ̌n / bə̀nɪ̌n ~ àmə̀nɪ᷇n,12 / 6a,rib_NVI
53,73,arm,NVI,tsɪ̀n/bə̀tsɪ̀n~tsɪ̀ː/átsɪ̂n~àtsɪ̀ɲ~kə́tsɪ́ːlə̄,5 / 6.,arm_NVI
54,73,arm,KMN,tsɪ̀ɲ / kə̄tsɪ̂ːlə̀~ kə́tsêːlə̀~àtsɪ̀ɲ,5 / 6.,arm_KMN
55,74,waist,KMN,kə́bwáŋ / bə́bwáŋ,7 / 8.,waist_KMN
56,74,waist,NVI,kə́bwáŋ / bə́bwáŋ,7 / 8.,waist_NVI
57,75,navel,KMN,tsàmə́ / kə̀tsámə́,5 / 7a,navel_KMN
58,75,navel,NVI,tsàmə́ / kə̀tsám~tsámə́,5 / 7a,navel_NVI
59,76,umbilical cord,KMN,ø / ø,øø,umbilical cord_KMN
60,76,umbilical cord,NVI,tsàmə́tɪ̀n / àtsámə́àtɪ̂n~tsámə́kə́tɪ̂n,5 / 7a,umbilical cord_NVI
61,77,elbow,NVI,kə́dés / bə́désə̄~kə̀də̀sə̀ / bə́də́sə̀,7 / 8.,elbow_NVI
62,77,elbow,KMN,gbə́nə́ / kə̀bə́nə́,3 / 7a,elbow_KMN
63,78,wrist,KMN,ndʒɔ̀ŋnə́ / kə̀ndʒɔ̀ŋnə́,1 / 2.,wrist_KMN
64,78,wrist,NVI,ndʒɔ̀ŋnə́ / àndʒɔ̀ŋnə́,1 / 2.,wrist_NVI
65,79,hand,NVI,tsɪ̀n / bə̀tsɪ̀n~àtsɪ̀n,5 / 6.,hand_NVI
66,79,hand,KMN,ákâɲ / kə́kâɲ ,5 / 6.,hand_KMN
67,80,stomach,KMN,kə̀twàːmə̀ / bə̀twàːmə̀,7 / 8.,stomach_KMN
68,80,stomach,NVI,kə́zô / bə́zô,7 / 8.,stomach_NVI
69,81,placenta,KMN,ø / ø,øø,placenta_KMN
70,81,placenta,NVI,vwówāŋ / bə́vówāŋ~àvwówāŋ,5 / 6.,placenta_NVI
71,645,house,KMN,vwò / kə́vwólə́,5 / 7a,house_KMN
72,645,house,NVI,vô / kə́vólə́~vwô / kə́vwólə́,5 / 7a,house_NVI
73,82,back (human body),NVI,dzàm / kə́dza᷇ːm~kə́dza᷇ːmlə̄~àdzàm,5 / 6.,back (human body)_NVI
74,82,back (human body),KMN,dzàm / kə́dzâmlə̀,5 / 7a,back (human body)_KMN
75,83,buttock,NVI,nʊ̀ / ánʊ̂,5 / 6. ,buttock_NVI
76,83,buttock,KMN,dʒʊ̂nə̀ / kə̀dʒʊ̂ːnə̀~nù/ánû ,5 / 6.,buttock_KMN
77,84,anus,NVI,dʒʊ̈́nə̀ / kə̀dʒʊ̈́nə̀,3 / 7a,anus_NVI
78,84,anus,KMN,øø,øø,anus_KMN
79,85,foot,NVI,kpɛ́ / kə̀kpɛ́~kə́kpɛ́lə́~àkɛ́ː ,3 / 6.,foot_NVI
80,85,foot,KMN,kpɛ́ / kə́kpɛ́ːlə́,3 / 6.,foot_KMN
81,86,thigh (lap),NVI,ʃə̀nə̀ / kə̀ʃə̀nə̀~àʃə̀nə̀~àʃə̀n ,5 / 6.,thigh (lap)_NVI
82,86,thigh (lap),KMN,ʃə̀nə̀ / kə̀ʃə̂nə̀ ,5 / 7a,thigh (lap)_KMN
83,87,leg,KMN,kpɛ́ / kə́kpɛ́ːlə́~ákɛ́,3 / 6.,leg_KMN
84,87,leg,NVI,ʃə̀nə̀ / kə̀ʃə̀nə̀~àʃə̀nə̀~àʃə̀n ,5 / 6.,leg_NVI
85,88,toe,KMN,kúfə́ākɛ̄ / ŋkúmə́kpɛ̄~ŋkúmkpɛ̄,19 / 6a,toe_KMN
86,88,toe,NVI,mwɪ̀nfə́kpɛ̄ / kə́mwɪ́nkpɛ̄~ámwɪ̀nmə̂mkpɛ̄ ,19 / 6a,toe_NVI
87,89,penis,KMN,dʒʊ̀ / kə́dʒʊ́lə̀,5 / 7a,penis_KMN
88,89,penis,NVI,dʒʊ̀ / kə̀dʒʊ̀lə̀~dʒʊ́lə̀,5 / 7a,penis_NVI
89,90,testicle,KMN,fwǘ / àfwǘ,5 / 6.,testicle_KMN
90,90,testicle,NVI,ʃɛ̌nfü~fü / kə̀ʃɛ̌nfü~àfǘ~fǘlə̄,5 / 7a,testicle_NVI
91,91,vagina,KMN,kə̀ɲǘ / bə̀ɲǘ,7 / 8.,vagina_KMN
92,91,vagina,NVI,kə̀ɲó / bə̀ɲó~ɲó,7 / 8.,vagina_NVI
93,92,clitoris,NVI,ʃɛ̌nkə̀ɲó~fə́ʃɛ́n / bə̀ʃɛ̌nkə̀ɲó~ḿʃɛ́n,19 / 6a,clitoris_NVI
94,92,clitoris,KMN,ø / ø,øø,clitoris_KMN
95,93,armpit,NVI,kə̀tsə́sə̀ / bə̀tsə́sə̀,7 / 8.,armpit_NVI
96,93,armpit,KMN,kə́tîsə̀ / bə́tîsə̀,7 / 8.,armpit_KMN
97,94,forehead,NVI,ŋkɔ̀fə̀ʃyə́ / bə̀ŋkɔ̀ːfə́ʃyə́~mə̀ŋkɔ̀mə̀nʃyə́,19 / 6a,forehead_NVI
98,94,forehead,KMN,kúkə́fyâ / kúbə́fyâ,5 / 7a,forehead_KMN
99,95,fist,NVI,àkàɲ / bə̀kàɲ~kàɲ / àkàɲ,5 / 6.,fist_NVI
100,95,fist,KMN,kə̀ŋkù / bə̀ŋkù,7 / 8.,fist_KMN
101,96,palm (hand),NVI,ámá / bə́má,5 / 6.,palm (hand)_NVI
102,96,palm (hand),KMN,ákáɲ / bə́kâɲ ,5 / 6.,palm (hand)_KMN
103,97,thumb,KMN,ɲífə̄kàɲ / ɲím̀kàɲ,3 / 8.,thumb_KMN
104,97,thumb,NVI,fə́mwɪ̌nfə́kàɲ / bə̀mwɪ̌nfə́fə́kàɲ~,19 / 6a,thumb_NVI
105,98,finger,NVI,mə̀mwɪ̌n / mə̀mə̀mwɪ́nmkàɲ~,19 / 6a,finger_NVI
106,98,finger,KMN,fə́kâɲ / ḿkâɲ ,19 / 6a,finger_KMN
107,99,knuckle,KMN,ndʒɔ̀ŋnə́ / bə̀ndʒɔ̀ŋnə́,1 / 2.,knuckle_KMN
108,99,knuckle,NVI,àndʒɔ̀ŋnə́ákâɲ / kə̀ndʒɔ̀ŋnə́kákâɲ ,19 / 6a ,knuckle_NVI
109,100,fingernail,NVI,kə́kâsə̀ / bə́kâsə̀~kásə́ / àkâsə̀,5 / 7a,fingernail_NVI
110,100,fingernail,KMN,kàsə̀ / bə́kâsə̀ ,5 / 6.,fingernail_KMN
111,101,nostril,NVI,mfyɔ̀ŋkə́vǘ / bə̀mfyɔ́ŋbə́vǘ~,5 / 6.,nostril_NVI
112,101,nostril,KMN,dzə́lə́kə́bə̀vʷǚ / dzə́vʷǘ,5 / 7a,nostril_KMN
113,132,pregnancy,KMN,kə́ʒyâ / bə́ʒyâ ,7 / 8.,pregnancy_KMN
114,132,pregnancy,NVI,bə́ʒyâː / ábə́ʒyâ~ʒyà / ə́bə́ʒyâ,8a / 8,pregnancy_NVI
115,102,chin,NVI,kə́də̂sə̀ / bə́də̂sə̀,7 / 8.,chin_NVI
116,102,chin,KMN,dzāːsə̄ / kə̀dzáːsə́~,5 / 7a,chin_KMN
117,103,knee,NVI,ɲyɔ́ / bə̀ɲyɔ́~kə̀ɲɔ́lə́ ,5 / 7a,knee_NVI
118,103,knee,KMN,núə́ / kə̀núə́~ànúə́,5 / 6.,knee_KMN
119,104,ankle,NVI,fwá / áfwá~ndʒɔ̀ŋnə́ / àndʒɔ̀ŋnə́,1 / 2.,ankle_NVI
120,104,ankle,KMN,fwǎ / àfwá,5 / 6.,ankle_KMN
121,105,intestine,KMN,kə̀zòː / bə̀zòː,7 / 8.,intestine_KMN
122,105,intestine,NVI,kə̀tám / bə̀tám,7 / 8.,intestine_NVI
123,106,liver,KMN,ø / ø,øø,liver_KMN
124,106,liver,NVI,ʃìn~ʃyé /  kə̀ʃìn~kəʃyə́lə̄~kə̀ʃyé,5 / 6.,liver_NVI
125,107,heart,KMN,ʃìn / kə̀ʃìn~ʃyə̀/kə̀ʃyə̂lə̀,5 / 7a,heart_KMN
126,107,heart,NVI,ʃyə̂ / bə́ʃyə̂~àʃyə̀,5 / 6.,heart_NVI
127,108,sole (underfoot),KMN,kpɛ́ːtâɲ / ákɛ́ːtâɲ,3 / 6.,sole (underfoot)_KMN
128,108,sole (underfoot),NVI,kpɛ́táɲ / kə́kpɛ́lə́tâɲ~àkɛ̀tâɲ,3 / 6.,sole (underfoot)_NVI
129,109,gall bladder,KMN,mbáɲfə́nùə̀lə̀ / bwə́nbə́núə̀lə̀ ,19 / 8.,gall bladder_KMN
130,109,gall bladder,NVI,fə̀mbʊ́ʔ /  kə̀mbʊ́ʔlə́ ,19 / 6a,gall bladder_NVI
131,110,lungs,KMN,ø / ø,øø,lungs_KMN
132,110,lungs,NVI,ʃyə́bʊ̀ːnə́ / kə́ʃyə́lə̀kə̀bʊ̀nə́~,7 / 8.,lungs_NVI
133,784,k. o cricket,KMN,ø / ø,øø,k. o cricket_KMN
134,784,k. o cricket,NVI,fə̀ʃíszāŋ / bə̀ʃídzáŋ~ʃídzāŋ,19 / 6a,k. o cricket_NVI
