ID	Concept	Doculect	Value
1	child	NVB-Abar-7	wân / átɛ̂ŋmbɪ̂
2	child	ECL-Abar-8	wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́
3	child	NMA-Abar-1	wân / bwɪ́tə᷇ːŋ ~ ʃǐːtə᷇ŋ 
4	child	NAC-Abar-2	wân / bə̀tə᷇ːŋ
5	child	NEM-Ajumbu-9	wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ
6	child	NVI-Ajumbu-1	wâŋ / àtɔ᷇ːŋ 
7	child	KMN-Ajumbu-2	wàŋ / àtɔ᷇ːŋ 
8	child	KDC-Ajumbu-10	wáːnə̂ / átɔ́ŋ
9	child	ENB-Biya-1	wán / bə̀tə̂ŋ
10	child	ICN-Biya-2	wán / bə̀tə᷇ːŋ
11	child	NNB-Buu-3	wán / ɲʲòmnə́
12	child	MNJ-Buu-4	wán / nwòmnə́~ɲʷòmnə́
13	child	KEM-Buu-1	wán ~ kúóə̀ / ɲyòmnə́
14	child	KCY-Buu-2	wán / ɲyòmnə́
15	child	KHK-Fang-12	wán / ŋmɛ́m
16	child	DPN-Fang-13	wán / ŋmɛ́m
17	child	KDV-Fang-1	wán ~ wāɲ / ŋmɛ́n ~ ŋmɛ́m
18	child	KJS-Fang-2	wen/bum this
19	child	JGY-Koshin-3	wāɲ / bāɲ
20	child	TEL-Koshin-4	wáɲ / ba᷇ːɲ
21	child	KCS-Kung-3	wāɲ / m̀nɛ᷇ː
22	child	NJS-Kung-4	wáʲ / wáːɣê ~ nêmê
23	child	ZKG-Kung-1	wāɪ̄ / wáɪ́
24	child	BNM-Kung-2	wāɪ̄ / ə̀wáɪ́
25	child	NMN-Mundabli-3	wáɦɲ / ɲɒ́ɦm
26	child	CEN-Mundabli-2	wán / ɲɒ́m
27	child	LFN-Mundabli-1	wān / ɲɔ̄m
28	child	NIN-Mundabli-4	wān / ɲɔ̄mbó
29	child	NGT-Munken-3	wān / bə̀kʲə̂ŋ
30	child	NUN-Munken-4	wān / bə̀kʲɪ̄ŋ
31	child	NEA-Munken-1	wán~ / bə́kɪ᷇ːn
32	child	TNT-Munken-2	wān / bə́kyɨ᷇ːŋ
33	child	MCA-Ngun-3	wān / bɛ̀tʲa᷇ːŋ
34	child	KBM-Ngun-4	wān / bə́tʲa᷇ːŋ
35	child	WCA-Ngun-1	wān~wán/bə̀fɪ́n~bə́tyâŋ~ bɛ̀tya᷇ːŋ
36	child	AOM-Ngun-2	wán~wâw / bɛkyâŋ ~wâwɛ́nwɪ̂
37	child	APB-Mumfu-1	wɛ́ʼn / ɲɔ́m
38	child	DNM-Mumfu-2	wɛ́ʼn / ɲɔ́m
39	child	BKB-Mashi-2	ŋwə́ / bím
40	child	KFK-Mashi-1	ŋwə́ / bín
41	child	ABS-Missong-1	wâ / bàbyáŋbʊ́
42	child	AGA-Missong-2	wá ~ wó / bàbya᷇ŋ
43	baby	NMA-Abar-1	ʃǐːtə᷇ŋ / ḿtə᷇ŋ 
44	baby	NAC-Abar-2	wân / bə̀tə̂ŋ
45	baby	NVI-Ajumbu-1	wâŋ / àtɔ᷇ːŋ
46	baby	KMN-Ajumbu-2	wàŋ / àtɔ᷇ːŋ
47	baby	KEM-Buu-1	wán / ɲyòmnə́
48	baby	KCY-Buu-2	wânbóːlə́ ~ wán / ɲyòmnə́
49	baby	MRY-Koshin-2	wāɲ / ø
50	baby	ZKG-Kung-1	wáɪ́búó / wáɪ́bwôŋə́
51	baby	BNM-Kung-2	wàɪ̀ʊ̀bwóʊ̀ / wáːbwʊ́ə́
52	baby	LFN-Mundabli-1	kə̀tʊ́ / ø
53	baby	NIN-Mundabli-4	wámbúé ~wáh / ɲɔ́mbóbwébó ~ɲɔ́m
54	baby	NEA-Munken-1	wânʊ̀ːbə̀lə́ / bə̀kɪ᷇ːŋbə́bə́lə̄
55	baby	TNT-Munken-2	ʃíwán / bə́kyɨ᷇ːŋ
56	baby	WCA-Ngun-1	ø / ø
57	baby	AOM-Ngun-2	fíbuàŋɨ̂ ~fíkyâŋɪ́ / mùnbyàŋhʊ̀ ~mɨ̃̀ntya᷇ŋ
58	baby	APB-Mumfu-1	wɛ́ʼn / ɲɔ́m
59	baby	DNM-Mumfu-2	wɛ́ʼnwɛ̄ʔn / ɲɔ́mʔbə́
60	baby	BKB-Mashi-2	ŋwə́ / bím
61	baby	KFK-Mashi-1	ŋwóbʷə̄t / bínbʊ̄bə́tbó
62	baby	ABS-Missong-1	fìfyáŋə̂ / mìyáŋmú
63	baby	AGA-Missong-2	wá / bàbya᷇ŋ
64	father	NVB-Abar-7	tà~bə̀bá / àtìlə́bʷɪ̂
65	father	ECL-Abar-8	bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́
66	father	NMA-Abar-1	téà / bə̀tìlô
67	father	NAC-Abar-2	tə̀à ~ bàbá / bə̀tə́à
68	father	NEM-Ajumbu-9	tâː~tâːtá~tátò / bàtâːtá~bə̀tâː
69	father	NVI-Ajumbu-1	tsè~bâːbə́ / àtsèː~àbâbə́
70	father	KMN-Ajumbu-2	tsè / brǎs
71	father	KDC-Ajumbu-10	bâbə́~bʷâ / bə̀bâbə́~ábʷá
72	father	ENB-Biya-1	ʊ̀bá~tɛ̂ / pàpá~bàtɛ̂
73	father	ICN-Biya-2	tʲě / bə̀tʲěː
74	father	NNB-Buu-3	tə̌ː / bə̀tǎː
75	father	MNJ-Buu-4	tə̌ː / bə̀tə̌ː
76	father	KEM-Buu-1	tǎː / bə̀tə̌ː 
77	father	KCY-Buu-2	tàː / bə̀tàː
78	father	KHK-Fang-12	tɪ̀lə́ / bə̀tɪ̀lə́
79	father	DPN-Fang-13	bə̀bá / bə̀bø̂
80	father	JGY-Koshin-3	bâ / bə̀bâ
81	father	TEL-Koshin-4	tʲə̂ / bə́tʲə̂
