ID	Concept	Doculect	Value
1	child	NVB-Abar-7	wân / átɛ̂ŋmbɪ̂
2	child	ECL-Abar-8	wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́
3	child	NMA-Abar-1	wân / bwɪ́tə᷇ːŋ ~ ʃǐːtə᷇ŋ 
4	child	NAC-Abar-2	wân / bə̀tə᷇ːŋ
5	child	NEM-Ajumbu-9	wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ
6	child	NVI-Ajumbu-1	wâŋ / àtɔ᷇ːŋ 
7	child	KMN-Ajumbu-2	wàŋ / àtɔ᷇ːŋ 
8	child	KDC-Ajumbu-10	wáːnə̂ / átɔ́ŋ
9	child	NNB-Buu-3	wán / ɲʲòmnə́
10	child	MNJ-Buu-4	wán / nwòmnə́~ɲʷòmnə́
11	child	KEM-Buu-1	wán ~ kúóə̀ / ɲyòmnə́
12	child	KCY-Buu-2	wán / ɲyòmnə́
13	child	KHK-Fang-12	wán / ŋmɛ́m
14	child	DPN-Fang-13	wán / ŋmɛ́m
15	child	KDV-Fang-1	wán ~ wāɲ / ŋmɛ́n ~ ŋmɛ́m
16	child	KJS-Fang-2	wen/bum this
17	child	JGY-Koshin-3	wāɲ / bāɲ
18	child	TEL-Koshin-4	wáɲ / ba᷇ːɲ
19	child	KCS-Kung-3	wāɲ / m̀nɛ᷇ː
20	child	NJS-Kung-4	wáʲ / wáːɣê ~ nêmê
21	child	ZKG-Kung-1	wāɪ̄ / wáɪ́
22	child	BNM-Kung-2	wāɪ̄ / ə̀wáɪ́
23	child	NMN-Mundabli-3	wáɦɲ / ɲɒ́ɦm
24	child	CEN-Mundabli-2	wán / ɲɒ́m
25	child	LFN-Mundabli-1	wān / ɲɔ̄m
26	child	NIN-Mundabli-4	wān / ɲɔ̄mbó
27	child	NGT-Munken-3	wān / bə̀kʲə̂ŋ
28	child	NUN-Munken-4	wān / bə̀kʲɪ̄ŋ
29	child	NEA-Munken-1	wán~ / bə́kɪ᷇ːn
30	child	TNT-Munken-2	wān / bə́kyɨ᷇ːŋ
31	child	MCA-Ngun-3	wān / bɛ̀tʲa᷇ːŋ
32	child	KBM-Ngun-4	wān / bə́tʲa᷇ːŋ
33	child	WCA-Ngun-1	wān~wán/bə̀fɪ́n~bə́tyâŋ~ bɛ̀tya᷇ːŋ
34	child	AOM-Ngun-2	wán~wâw / bɛkyâŋ ~wâwɛ́nwɪ̂
35	child	APB-Mumfu-1	wɛ́ʼn / ɲɔ́m
36	child	DNM-Mumfu-2	wɛ́ʼn / ɲɔ́m
37	child	BKB-Mashi-2	ŋwə́ / bím
38	child	KFK-Mashi-1	ŋwə́ / bín
39	child	ABS-Missong-1	wâ / bàbyáŋbʊ́
40	child	AGA-Missong-2	wá ~ wó / bàbya᷇ŋ
41	baby	NMA-Abar-1	ʃǐːtə᷇ŋ / ḿtə᷇ŋ 
42	baby	NAC-Abar-2	wân / bə̀tə̂ŋ
43	baby	NVI-Ajumbu-1	wâŋ / àtɔ᷇ːŋ
44	baby	KMN-Ajumbu-2	wàŋ / àtɔ᷇ːŋ
45	baby	KEM-Buu-1	wán / ɲyòmnə́
46	baby	KCY-Buu-2	wânbóːlə́ ~ wán / ɲyòmnə́
47	baby	DPJ-Koshin-1	kə̄dʒɔ́mə̄ / ø
48	baby	MRY-Koshin-2	wāɲ / ø
49	baby	ZKG-Kung-1	wáɪ́búó / wáɪ́bwôŋə́
50	baby	BNM-Kung-2	wàɪ̀ʊ̀bwóʊ̀ / wáːbwʊ́ə́
51	baby	LFN-Mundabli-1	kə̀tʊ́ / ø
52	baby	NIN-Mundabli-4	wámbúé ~wáh / ɲɔ́mbóbwébó ~ɲɔ́m
53	baby	NEA-Munken-1	wânʊ̀ːbə̀lə́ / bə̀kɪ᷇ːŋbə́bə́lə̄
54	baby	TNT-Munken-2	ʃíwán / bə́kyɨ᷇ːŋ
55	baby	WCA-Ngun-1	ø / ø
56	baby	AOM-Ngun-2	fíbuàŋɨ̂ ~fíkyâŋɪ́ / mùnbyàŋhʊ̀ ~mɨ̃̀ntya᷇ŋ
57	baby	APB-Mumfu-1	wɛ́ʼn / ɲɔ́m
58	baby	DNM-Mumfu-2	wɛ́ʼnwɛ̄ʔn / ɲɔ́mʔbə́
59	baby	BKB-Mashi-2	ŋwə́ / bím
60	baby	KFK-Mashi-1	ŋwóbʷə̄t / bínbʊ̄bə́tbó
61	baby	ABS-Missong-1	fìfyáŋə̂ / mìyáŋmú
62	baby	AGA-Missong-2	wá / bàbya᷇ŋ
63	father	NVB-Abar-7	tà~bə̀bá / àtìlə́bʷɪ̂
64	father	ECL-Abar-8	bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́
65	father	NMA-Abar-1	téà / bə̀tìlô
66	father	NAC-Abar-2	tə̀à ~ bàbá / bə̀tə́à
67	father	NEM-Ajumbu-9	tâː~tâːtá~tátò / bàtâːtá~bə̀tâː
68	father	NVI-Ajumbu-1	tsè~bâːbə́ / àtsèː~àbâbə́
69	father	KMN-Ajumbu-2	tsè / brǎs
70	father	KDC-Ajumbu-10	bâbə́~bʷâ / bə̀bâbə́~ábʷá
71	father	NNB-Buu-3	tə̌ː / bə̀tǎː
72	father	MNJ-Buu-4	tə̌ː / bə̀tə̌ː
73	father	KEM-Buu-1	tǎː / bə̀tə̌ː 
74	father	KCY-Buu-2	tàː / bə̀tàː
75	father	KHK-Fang-12	tɪ̀lə́ / bə̀tɪ̀lə́
76	father	DPN-Fang-13	bə̀bá / bə̀bø̂
77	father	JGY-Koshin-3	bâ / bə̀bâ
78	father	TEL-Koshin-4	tʲə̂ / bə́tʲə̂
79	father	KCS-Kung-3	bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê
80	father	NJS-Kung-4	bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ
