ID	Concept	Doculect	Value
1	child	NVB-Abar-7	wân / átɛ̂ŋmbɪ̂
2	child	ECL-Abar-8	wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́
3	child	NMA-Abar-1	wân / bwɪ́tə᷇ːŋ ~ ʃǐːtə᷇ŋ 
4	child	NAC-Abar-2	wân / bə̀tə᷇ːŋ
5	child	NEM-Ajumbu-9	wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ
6	child	NVI-Ajumbu-1	wâŋ / àtɔ᷇ːŋ 
7	child	KMN-Ajumbu-2	wàŋ / àtɔ᷇ːŋ 
8	child	KDC-Ajumbu-10	wáːnə̂ / átɔ́ŋ
9	child	ENB-Biya-1	wán / bə̀tə̂ŋ
10	child	ICN-Biya-2	wán / bə̀tə᷇ːŋ
11	child	NNB-Buu-3	wán / ɲʲòmnə́
12	child	MNJ-Buu-4	wán / nwòmnə́~ɲʷòmnə́
13	child	KEM-Buu-1	wán ~ kúóə̀ / ɲyòmnə́
14	child	KCY-Buu-2	wán / ɲyòmnə́
15	child	KHK-Fang-12	wán / ŋmɛ́m
16	child	DPN-Fang-13	wán / ŋmɛ́m
17	child	KDV-Fang-1	wán ~ wāɲ / ŋmɛ́n ~ ŋmɛ́m
18	child	KJS-Fang-2	wen/bum this
19	child	JGY-Koshin-3	wāɲ / bāɲ
20	child	TEL-Koshin-4	wáɲ / ba᷇ːɲ
21	child	MRY-Koshin-2	nan
22	child	KCS-Kung-3	wāɲ / m̀nɛ᷇ː
23	child	NJS-Kung-4	wáʲ / wáːɣê ~ nêmê
24	child	ZKG-Kung-1	wāɪ̄ / wáɪ́
25	child	BNM-Kung-2	wāɪ̄ / ə̀wáɪ́
26	child	NMN-Mundabli-3	wáɦɲ / ɲɒ́ɦm
27	child	CEN-Mundabli-2	wán / ɲɒ́m
28	child	LFN-Mundabli-1	wān / ɲɔ̄m
29	child	NIN-Mundabli-4	wān / ɲɔ̄mbó
30	child	NGT-Munken-3	wān / bə̀kʲə̂ŋ
31	child	NUN-Munken-4	wān / bə̀kʲɪ̄ŋ
32	child	NEA-Munken-1	wán~ / bə́kɪ᷇ːn
33	child	TNT-Munken-2	wān / bə́kyɨ᷇ːŋ
34	child	MCA-Ngun-3	wān / bɛ̀tʲa᷇ːŋ
35	child	KBM-Ngun-4	wān / bə́tʲa᷇ːŋ
36	child	WCA-Ngun-1	wān~wán/bə̀fɪ́n~bə́tyâŋ~ bɛ̀tya᷇ːŋ
37	child	AOM-Ngun-2	wán~wâw / bɛkyâŋ ~wâwɛ́nwɪ̂
38	child	APB-Mumfu-1	wɛ́ʼn / ɲɔ́m
39	child	DNM-Mumfu-2	wɛ́ʼn / ɲɔ́m
40	child	BKB-Mashi-2	ŋwə́ / bím
41	child	KFK-Mashi-1	ŋwə́ / bín
42	child	ABS-Missong-1	wâ / bàbyáŋbʊ́
43	child	AGA-Missong-2	wá ~ wó / bàbya᷇ŋ
44	baby	NVB-Abar-7	nan
45	baby	ECL-Abar-8	nan
46	baby	NMA-Abar-1	ʃǐːtə᷇ŋ / ḿtə᷇ŋ 
47	baby	NAC-Abar-2	wân / bə̀tə̂ŋ
48	baby	NEM-Ajumbu-9	nan
49	baby	NVI-Ajumbu-1	wâŋ / àtɔ᷇ːŋ
50	baby	KMN-Ajumbu-2	wàŋ / àtɔ᷇ːŋ
51	baby	KDC-Ajumbu-10	nan
52	baby	ENB-Biya-1	nan
53	baby	ICN-Biya-2	nan
54	baby	NNB-Buu-3	nan
55	baby	MNJ-Buu-4	nan
56	baby	KEM-Buu-1	wán / ɲyòmnə́
57	baby	KCY-Buu-2	wânbóːlə́ ~ wán / ɲyòmnə́
58	baby	KHK-Fang-12	nan
59	baby	DPN-Fang-13	nan
60	baby	KDV-Fang-1	nan
61	baby	KJS-Fang-2	nan
62	baby	JGY-Koshin-3	nan
63	baby	TEL-Koshin-4	nan
64	baby	MRY-Koshin-2	wāɲ / ø
65	baby	KCS-Kung-3	nan
66	baby	NJS-Kung-4	nan
67	baby	ZKG-Kung-1	wáɪ́búó / wáɪ́bwôŋə́
68	baby	BNM-Kung-2	wàɪ̀ʊ̀bwóʊ̀ / wáːbwʊ́ə́
69	baby	NMN-Mundabli-3	nan
70	baby	CEN-Mundabli-2	nan
71	baby	LFN-Mundabli-1	kə̀tʊ́ / ø
72	baby	NIN-Mundabli-4	wámbúé ~wáh / ɲɔ́mbóbwébó ~ɲɔ́m
73	baby	NGT-Munken-3	nan
74	baby	NUN-Munken-4	nan
75	baby	NEA-Munken-1	wânʊ̀ːbə̀lə́ / bə̀kɪ᷇ːŋbə́bə́lə̄
76	baby	TNT-Munken-2	ʃíwán / bə́kyɨ᷇ːŋ
77	baby	MCA-Ngun-3	nan
78	baby	KBM-Ngun-4	nan
79	baby	WCA-Ngun-1	ø / ø
80	baby	AOM-Ngun-2	fíbuàŋɨ̂ ~fíkyâŋɪ́ / mùnbyàŋhʊ̀ ~mɨ̃̀ntya᷇ŋ
81	baby	APB-Mumfu-1	wɛ́ʼn / ɲɔ́m
82	baby	DNM-Mumfu-2	wɛ́ʼnwɛ̄ʔn / ɲɔ́mʔbə́
83	baby	BKB-Mashi-2	ŋwə́ / bím
84	baby	KFK-Mashi-1	ŋwóbʷə̄t / bínbʊ̄bə́tbó
85	baby	ABS-Missong-1	fìfyáŋə̂ / mìyáŋmú
86	baby	AGA-Missong-2	wá / bàbya᷇ŋ
87	father	NVB-Abar-7	tà~bə̀bá / àtìlə́bʷɪ̂
88	father	ECL-Abar-8	bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́
89	father	NMA-Abar-1	téà / bə̀tìlô
90	father	NAC-Abar-2	tə̀à ~ bàbá / bə̀tə́à
91	father	NEM-Ajumbu-9	tâː~tâːtá~tátò / bàtâːtá~bə̀tâː
92	father	NVI-Ajumbu-1	tsè~bâːbə́ / àtsèː~àbâbə́
