OrderingID,Concept,GroupID,Concept Group
1,child,1.000,Humans
2,baby,2.000,Humans
3,father,3.000,Humans
4,mother,4.000,Humans
5,man,5.000,Humans
6,woman,,Humans
7,person,,Humans
8,male,,Humans
9,wife,,Humans
10,co-wife,,Humans
11,white man,,Humans
12,black man,,Humans
13,twin,,Humans
14,uncle,,Humans
15,husband,,Humans
16,friend,16.000,Humans
17,friend (female),16.000,Humans
18,friend (male),16.000,Humans
19,family,,Humans
20,"crowd, group",,Humans
21,chief,,Humans
22,sub chief,,Humans
23,quarter head,,Humans
24,elder (birth),,Humans
25,aged person,,Humans
26,elder (cultural initiation rites),,Humans
27,thief,,Humans
28,slave,,Humans
29,wicked man,,Humans
30,stingy man,,Humans
31,jealous man,,Humans
32,lazy man,,Humans
33,"deity, god, God",,Humans
34,devil,,Humans
35,witch,,Humans
36,witch man,,Humans
37,spirit,,Humans
38,father-in-law,,Humans
39,mother-in-law,,Humans
40,corpse,,Humans
41,juju,,Humans
42,hunter,,Humans
43,beggar,,Humans
44,evil society (nyo?go),,Humans
45,female,,Humans
46,prince,,Humans
47,messenger,,Humans
48,hunt (group),,Humans
49,fellow man (friendly expression),,Humans
50,princess,,Humans
51,guard,,Humans
52,body,,Body Parts
53,skin,,Body Parts
54,head,,Body Parts
55,face,,Body Parts
56,eye,,Body Parts
57,nose,,Body Parts
58,mouth,,Body Parts
59,ear,,Body Parts
60,jaw,,Body Parts
61,tooth,,Body Parts
62,tongue,,Body Parts
63,neck,,Body Parts
64,belly,,Body Parts
65,throat,,Body Parts
66,Adam's apple,,Body Parts
67,goitre,,Body Parts
68,hair,,Body Parts
69,shoulder,,Body Parts
70,chest,,Body Parts
71,breast,,Body Parts
72,rib,,Body Parts
73,arm,,Body Parts
74,waist,,Body Parts
75,navel,,Body Parts
76,umbilical cord,,Body Parts
77,elbow,,Body Parts
78,wrist,,Body Parts
79,hand,,Body Parts
80,stomach,,Body Parts
81,placenta,,Body Parts
82,back (human body),,Body Parts
83,buttock,,Body Parts
84,anus,,Body Parts
85,foot,,Body Parts
86,thigh (lap),,Body Parts
87,leg,,Body Parts
88,toe,,Body Parts
89,penis,,Body Parts
90,testicle,,Body Parts
91,vagina,,Body Parts
92,clitoris,,Body Parts
93,armpit,,Body Parts
94,forehead,,Body Parts
95,fist,,Body Parts
96,palm (hand),,Body Parts
97,thumb,,Body Parts
98,finger,,Body Parts
99,knuckle,,Body Parts
100,fingernail,,Body Parts
101,nostril,,Body Parts
102,chin,,Body Parts
103,knee,,Body Parts
104,ankle,,Body Parts
105,intestine,,Body Parts
106,liver,,Body Parts
107,heart,,Body Parts
108,sole (underfoot),,Body Parts
109,gall bladder,,Body Parts
110,lungs,,Body Parts
111,toenail,,Body Parts
112,shin,,Body Parts
113,calf,,Body Parts
114,heel (backfoot),,Body Parts
115,bone,,Body Parts
116,skull,,Body Parts
117,spine (backbone),,Body Parts
118,vein,,Body Parts
119,breath 1,,Body Parts
120,spit,,Body Parts
121,tears,,Body Parts
122,blood,,Body Parts
123,water,,Body Parts
124,urine,,Body Parts
125,marrow,125.000,Body Parts
126,marrow (bone),125.000,Body Parts
127,marrow (brain),125.000,Body Parts
128,brain,,Body Parts
129,horn (head),,Body Parts
130,skeleton,,Body Parts
131,calf (leg),,Body Parts
132,sperm,,Body Parts
133,teeth,,Body Parts
134,pregnancy,,Body Parts
135,gizzard (fowl),,Body Parts
136,pain (n),,Health
137,vomit,,Health
138,headache,,Health
139,diarrhoea,,Health
140,dysentry,,Health
141,scabies,141.000,Health
142,skin rasches (cause by heat),141.000,Health
143,catarrh,143.000,Health
144,itching catarrh,143.000,Health
145,cough (n),,Health
