Village	LatLong	Latitude	Longitude
Abar	N6 34.655 E10 14.252	6.5776	10.2375
Ajumbu	N6 32.346 E10 14.314	6.5391	10.2386
Biya	N6 35.530 E10 12.332	6.5922	10.2055
Buu	N6 33.879 E10 15.309	6.5647	10.2552
Fang	N6 32.980 E10 16.741	6.5497	10.279
Koshin	N6 35.289 E10 16.879	6.5881	10.2813
Mashi	N6 36.047 E10 15.940	6.6008	10.2657
Missong	N6 35.847 E10 14.829	6.5975	10.2471
Mufu	N6 36.746 E10 15.430	6.6124	10.2572
Mundabli	N6 36.416 E10 16.398	6.6069	10.2733
Munken	N6 35.718 E10 13.408	6.5953	10.2235
Ngun	N6 34.884 E10 12.755	6.5814	10.2126
Kung	N6 33.662 E10 13.223	6.561	10.2204
