"ID","name","GroupID","category"
"1","child","1","Humans"
"2","baby","2","Humans"
"3","father","3","Humans"
"4","mother","4","Humans"
"5","man","5","Humans"
"6","woman",NULL,"Humans"
"7","person",NULL,"Humans"
"8","male",NULL,"Humans"
"9","wife",NULL,"Humans"
"10","co-wife",NULL,"Humans"
"11","white man",NULL,"Humans"
"12","black man",NULL,"Humans"
"13","twin",NULL,"Humans"
"14","uncle",NULL,"Humans"
"15","husband",NULL,"Humans"
"16","friend","16","Humans"
"17","friend (female)","16","Humans"
"18","friend (male)","16","Humans"
"19","family",NULL,"Humans"
"20","crowd, group",NULL,"Humans"
"21","chief",NULL,"Humans"
"22","sub chief",NULL,"Humans"
"23","quarter head",NULL,"Humans"
"24","elder (birth)",NULL,"Humans"
"25","aged person",NULL,"Humans"
"26","elder (cultural initiation rites)",NULL,"Humans"
"27","thief",NULL,"Humans"
"28","slave",NULL,"Humans"
"29","wicked man",NULL,"Humans"
"30","stingy man",NULL,"Humans"
"31","jealous man",NULL,"Humans"
"32","lazy man",NULL,"Humans"
"33","deity, god, God",NULL,"Humans"
"34","devil",NULL,"Humans"
"35","witch",NULL,"Humans"
"36","witch man",NULL,"Humans"
"37","spirit",NULL,"Humans"
"38","father-in-law",NULL,"Humans"
"39","mother-in-law",NULL,"Humans"
"40","corpse",NULL,"Humans"
"41","juju",NULL,"Humans"
"42","hunter",NULL,"Humans"
"43","beggar",NULL,"Humans"
"44","evil society (nyoŋgo)",NULL,"Humans"
"45","female",NULL,"Humans"
"46","prince",NULL,"Humans"
"47","messenger",NULL,"Humans"
"48","hunt (group)",NULL,"Humans"
"49","fellow man (friendly expression)",NULL,"Humans"
"50","princess",NULL,"Humans"
"51","guard",NULL,"Humans"
"52","body",NULL,"Body Parts"
"53","skin",NULL,"Body Parts"
"54","head",NULL,"Body Parts"
"55","face",NULL,"Body Parts"
"56","eye",NULL,"Body Parts"
"57","nose",NULL,"Body Parts"
"58","mouth",NULL,"Body Parts"
"59","ear",NULL,"Body Parts"
"60","jaw",NULL,"Body Parts"
"61","tooth",NULL,"Body Parts"
"62","tongue",NULL,"Body Parts"
"63","neck",NULL,"Body Parts"
"64","belly",NULL,"Body Parts"
"65","throat",NULL,"Body Parts"
"66","Adam's apple",NULL,"Body Parts"
"67","goitre",NULL,"Body Parts"
"68","hair",NULL,"Body Parts"
"69","shoulder",NULL,"Body Parts"
"70","chest",NULL,"Body Parts"
"71","breast",NULL,"Body Parts"
"72","rib",NULL,"Body Parts"
"73","arm",NULL,"Body Parts"
"74","waist",NULL,"Body Parts"
"75","navel",NULL,"Body Parts"
"76","umbilical cord",NULL,"Body Parts"
"77","elbow",NULL,"Body Parts"
"78","wrist",NULL,"Body Parts"
"79","hand",NULL,"Body Parts"
"80","stomach",NULL,"Body Parts"
"81","placenta",NULL,"Body Parts"
"82","back (human body)",NULL,"Body Parts"
"83","buttock",NULL,"Body Parts"
"84","anus",NULL,"Body Parts"
"85","foot",NULL,"Body Parts"
"86","thigh (lap)",NULL,"Body Parts"
"87","leg",NULL,"Body Parts"
"88","toe",NULL,"Body Parts"
"89","penis",NULL,"Body Parts"
"90","testicle",NULL,"Body Parts"
"91","vagina",NULL,"Body Parts"
"92","clitoris",NULL,"Body Parts"
"93","armpit",NULL,"Body Parts"
"94","forehead",NULL,"Body Parts"
"95","fist",NULL,"Body Parts"
"96","palm (hand)",NULL,"Body Parts"
"97","thumb",NULL,"Body Parts"
"98","finger",NULL,"Body Parts"
"99","knuckle",NULL,"Body Parts"
"100","fingernail",NULL,"Body Parts"
"101","nostril",NULL,"Body Parts"
"102","chin",NULL,"Body Parts"
"103","knee",NULL,"Body Parts"
"104","ankle",NULL,"Body Parts"
"105","intestine",NULL,"Body Parts"
"106","liver",NULL,"Body Parts"
"107","heart",NULL,"Body Parts"
"108","sole (underfoot)",NULL,"Body Parts"
"109","gall bladder",NULL,"Body Parts"
"110","lungs",NULL,"Body Parts"
"111","toenail",NULL,"Body Parts"
"112","shin",NULL,"Body Parts"
"113","calf",NULL,"Body Parts"
"114","heel (backfoot)",NULL,"Body Parts"
"115","bone",NULL,"Body Parts"
"116","skull",NULL,"Body Parts"
"117","spine (backbone)",NULL,"Body Parts"
"118","vein",NULL,"Body Parts"
"119","breath",NULL,"Body Parts"
"120","spit",NULL,"Body Parts"
"121","tears",NULL,"Body Parts"
"122","blood",NULL,"Body Parts"
"123","water",NULL,"Body Parts"
"124","urine",NULL,"Body Parts"
"125","marrow","125","Body Parts"
"126","marrow (bone)","125","Body Parts"
"127","marrow (brain)","125","Body Parts"
"128","brain",NULL,"Body Parts"
"129","horn (head)",NULL,"Body Parts"
"130","skeleton",NULL,"Body Parts"
"131","calf (leg)",NULL,"Body Parts"
"132","sperm",NULL,"Body Parts"
"133","teeth",NULL,"Body Parts"
"134","pregnancy",NULL,"Body Parts"
"135","gizzard (fowl)",NULL,"Body Parts"
"136","pain (n)",NULL,"Health"
"137","vomit",NULL,"Health"
"138","headache",NULL,"Health"
"139","diarrhoea",NULL,"Health"
"140","dysentry",NULL,"Health"
"141","scabies","141","Health"
"142","skin rasches (cause by heat)","141","Health"
"143","catarrh","143","Health"
"144","itching catarrh","143","Health"
"145","cough (n)",NULL,"Health"
"146","boil (abscess)","146","Health"
"147","boil (small abscess)","146","Health"
"148","Flat swelling (filaria)","146","Health"
"149","swelling (with no pus)","146","Health"
"150","finger abscess (wicklow)","146","Health"
"151","sweat",NULL,"Health"
"152","snore",NULL,"Health"
"153","belch",NULL,"Health"
"154","pimple",NULL,"Health"
"155","wicklow",NULL,"Health"
"156","swell (n)",NULL,"Health"
"157","hienia (swellings around groin)",NULL,"Health"
"158","mumps",NULL,"Health"
"159","wound",NULL,"Health"
"160","fungi pimple",NULL,"Health"
"161","pus",NULL,"Health"
"162","scar",NULL,"Health"
"163","ringworm",NULL,"Health"
"164","eczema",NULL,"Health"
"165","leprosy",NULL,"Health"
"166","sickness",NULL,"Health"
"167","death",NULL,"Health"
"168","skin rashes (baby)","168","Health"
"169","spleen (side belly pain)",NULL,"Health"
"170","breath, air",NULL,"Health"
"171","hunger",NULL,"Health"
"172","abstinence",NULL,"Health"
"173","side pain (rapid heart beat under the left breast)",NULL,"Health"
"174","sneeze",NULL,"Health"
"175","rib side",NULL,"Health"
"176","vomit matter",NULL,"Health"
"177","medicine",NULL,"Health"
"178","tree","178","Diet Plants Products"
"179","k.o tree (boundary tree)",NULL,"Diet Plants Products"
"180","k.o tree (boma) (fruit, children spin)",NULL,"Diet Plants Products"
"181","k.o tree (camwood tree)",NULL,"Diet Plants Products"
"182","k.o tree (spoon-fruit)",NULL,"Diet Plants Products"
"183","k.o tree",NULL,"Diet Plants Products"
"184","cloth-tree",NULL,"Diet Plants Products"
"185","k.o tree (leaf)",NULL,"Diet Plants Products"
"186","k.o tree (brown edible leaves)",NULL,"Diet Plants Products"
"187","k.o tree (caterpillars for crabs)",NULL,"Diet Plants Products"
"188","ʻNkohʼ tree",NULL,"Diet Plants Products"
"189","ʻNkohʼ leaf",NULL,"Diet Plants Products"
"190","bitter leaf",NULL,"Diet Plants Products"
"191","foam",NULL,"Diet Plants Products"
"192","sand-paper tree",NULL,"Diet Plants Products"
"193","stick",NULL,"Diet Plants Products"
"194","firewood",NULL,"Diet Plants Products"
"195","hand (plantain)",NULL,"Diet Plants Products"
"196","peace plant",NULL,"Diet Plants Products"
"197","food",NULL,"Diet Plants Products"
"198","branch (tree)",NULL,"Diet Plants Products"
"199","soup (vegetable)",NULL,"Diet Plants Products"
"200","soup (liquid)",NULL,"Diet Plants Products"
"201","date palm",NULL,"Diet Plants Products"
"202","grass",NULL,"Diet Plants Products"
"203","spear grass",NULL,"Diet Plants Products"
"204","leaf",NULL,"Diet Plants Products"
"205","stem",NULL,"Diet Plants Products"
"206","root",NULL,"Diet Plants Products"
"207","moss plant",NULL,"Diet Plants Products"
"208","tobacco",NULL,"Diet Plants Products"
"209","tobacco powder",NULL,"Diet Plants Products"
"210","tobacco leaf",NULL,"Diet Plants Products"
"211","camwood",NULL,"Diet Plants Products"
"212","wax (native-incense)",NULL,"Diet Plants Products"
"213","charcoal",NULL,"Diet Plants Products"
"214","ash (wood)",NULL,"Diet Plants Products"
"215","bark (of tree)",NULL,"Diet Plants Products"
"216","root (vein)",NULL,"Diet Plants Products"
"217","forest",NULL,"Diet Plants Products"
"218","thatch grass",NULL,"Diet Plants Products"
"219","hill grass",NULL,"Diet Plants Products"
"220","poison",NULL,"Diet Plants Products"
"221","fruit",NULL,"Fruits"
"222","orange",NULL,"Fruits"
"223","pear",NULL,"Fruits"
"224","pawpaw",NULL,"Fruits"
"225","pineapple",NULL,"Fruits"
"226","groundnut",NULL,"Fruits"
"227","cola",NULL,"Fruits"
"228","k.o fruit",NULL,"Fruits"
"229","pumpkin leaf",NULL,"Fruits"
"230","pumpkin fruit",NULL,"Fruits"
"231","amaranthus (green)",NULL,"Vegetables"
"232","garden egg",NULL,"Vegetables"
"233","elephant stalk",NULL,"Vegetables"
"234","mushroom","234","Vegetables"
"235","k.o mushroom (whitish)","234","Vegetables"
"236","k.o mushroom (yellowish)","234","Vegetables"
"237","k.o mushroom (small)","234","Vegetables"
"238","k.o mushroom (white, flat like fufu)","234","Vegetables"
"239","k.o mushroom (brown)","234","Vegetables"
"240","k.o mushroom (whitish on palm tree;edible)","234","Vegetables"
"241","k.o mushroom (thick yellow stem; edible)","234","Vegetables"
"242","k.o mushroom (smallish brown; edible) ","234","Vegetables"
"243","k.o mushroom (brown and soft on tree; edible)","234","Vegetables"
"244","slimy soup chaff",NULL,"Vegetables"
"245","huckleberry (njamanjama)",NULL,"Vegetables"
"246","soup",NULL,"Vegetables"
"247","slimy soup",NULL,"Vegetables"
"248","pepper",NULL,"Vegetables"
"249","native maggi spice",NULL,"Vegetables"
"250","calcium carbonate (kangwa)","250","Vegetables"
"251","calcium carbonate (liquid)","250","Vegetables"
"252","yellow soup","250","Vegetables"
"253","oil","253","Palms"
"254","palm oil","253","Palms"
"255","palm tree",NULL,"Palms"
"256","palm nut",NULL,"Palms"
"257","palm flower",NULL,"Palms"
"258","palm cone",NULL,"Palms"
"259","kernel (uncracked)",NULL,"Palms"
"260","kernel chaff",NULL,"Palms"
"261","palm cotton",NULL,"Palms"
"262","palm bamboo",NULL,"Palms"
"263","palm frond",NULL,"Palms"
"264","palm beetle",NULL,"Palms"
"265","palm maggot (grub)",NULL,"Palms"
"266","barren palm broom ",NULL,"Palms"
"267","palm barren fruit",NULL,"Palms"
