OldConceptID,NewConceptID,ConceptName
1,1,child
2,2,baby
3,3,father
4,4,mother
5,5,man
6,6,woman
7,7,person
8,8,male
9,9,wife
10,10,co-wife
11,11,white man
12,12,black man
13,13,twin
14,14,uncle
15,15,husband
16,16,friend
17,17,friend (female)
18,18,friend (male)
19,19,family
20,20,"crowd, group"
21,21,chief
22,22,sub chief
23,23,quarter head
24,24,elder (birth)
25,25,aged person
26,26,elder (cultural initiation rites)
27,27,thief
28,28,slave
29,29,wicked man
30,30,stingy man
31,31,jealous man
32,32,lazy man
33,33,"deity, god, God"
34,34,devil
35,35,witch
36,36,witch man
37,37,spirit
38,38,father-in-law
39,39,mother-in-law
41,41,juju
42,42,hunter
43,43,beggar
44,44,evil society (nyoŋgo)
45,45,female
46,46,prince
47,47,messenger
49,49,fellow man (friendly expression)
51,51,guard
52,52,body
53,53,skin
54,54,head
55,55,face
56,56,eye
57,57,nose
58,58,mouth
59,59,ear
60,60,jaw
61,61,tooth
62,62,tongue
63,63,neck
64,64,belly
65,65,throat
66,66,Adam's apple
67,67,goitre
68,68,hair
69,69,shoulder
70,70,chest
71,71,breast
72,72,rib
73,73,arm
74,74,waist
75,75,navel
76,76,umbilical cord
77,77,elbow
78,78,wrist
79,79,hand
80,80,stomach
81,81,placenta
82,82,back (human body)
83,83,buttock
84,84,anus
85,85,foot
86,86,thigh (lap)
87,87,leg
88,88,toe
89,89,penis
90,90,testicle
91,91,vagina
92,92,clitoris
93,93,armpit
94,94,forehead
95,95,fist
96,96,palm (hand)
97,97,thumb
98,98,finger
99,99,knuckle
100,100,fingernail
101,101,nostril
102,102,chin
103,103,knee
104,104,ankle
105,105,intestine
106,106,liver
107,107,heart
108,108,sole (underfoot)
109,109,gall bladder
110,110,lungs
111,111,toenail
112,112,shin
113,114,heel (backfoot)
114,115,bone
115,116,skull
116,117,spine (backbone)
118,120,spit
119,121,tears
120,122,blood
121,123,water
122,124,urine
123,125,marrow
124,126,marrow (bone)
125,127,marrow (brain)
126,128,brain
127,129,horn (head)
128,130,skeleton
129,131,calf (leg)
130,132,sperm
131,133,teeth
132,134,pregnancy
133,135,gizzard (fowl)
134,136,pain (n)
135,137,vomit
136,138,headache
137,139,diarrhoea
138,140,dysentry
139,141,scabies
141,143,catarrh
142,144,itching catarrh
143,145,cough (n)
144,146,boil (abscess)
145,147,boil (small abscess)
146,148,Flat swelling (filaria)
147,149,swelling (with no pus)
149,151,sweat
150,152,snore
151,153,belch
152,154,pimple
153,155,wicklow
154,156,swell (n)
155,157,hienia (swellings around groin)
156,158,mumps
157,159,wound
158,160,fungi pimple
159,161,pus
160,162,scar
161,163,ringworm
162,164,eczema
163,165,leprosy
164,166,sickness
165,167,death
166,168,skin rashes (baby)
167,169,spleen (side belly pain)
168,170,"breath, air"
169,171,hunger
170,172,abstinence
171,173,side pain (rapid heart beat under the left breast)
172,174,sneeze
174,176,vomit matter
175,177,medicine
176,178,tree
177,179,k.o tree (boundary tree)
178,180,"k.o tree (boma) (fruit, children spin)"
179,181,k.o tree (camwood tree)
180,182,k.o tree (spoon-fruit)
181,183,k.o tree
182,184,cloth-tree
183,185,k.o tree (leaf)
184,186,k.o tree (brown edible leaves)
185,187,k.o tree (caterpillars for crabs)
186,188,ʻNkohʼ tree
187,189,ʻNkohʼ leaf
188,190,bitter leaf
189,191,foam
190,192,sand-paper tree
191,193,stick
192,194,firewood
193,196,peace plant
194,197,food
195,198,branch (tree)
196,199,soup (vegetable)
197,200,soup (liquid)
198,201,date palm
199,202,grass
200,203,spear grass
201,204,leaf
202,205,stem
203,206,root
204,207,moss plant
205,208,tobacco
206,209,tobacco powder
207,210,tobacco leaf
208,211,camwood
209,212,wax (native-incense)
210,213,charcoal
211,214,ash (wood)
212,215,bark (of tree)
214,217,forest
215,218,thatch grass
216,219,hill grass
217,220,poison
218,221,fruit
219,222,orange
220,223,pear
221,224,pawpaw
222,225,pineapple
223,226,groundnut
224,227,cola
225,228,k.o fruit
226,229,pumpkin leaf
227,230,pumpkin fruit
228,231,amaranthus (green)
229,232,garden egg
230,233,elephant stalk
231,234,mushroom
232,235,k.o mushroom (whitish)
233,236,k.o mushroom (yellowish)
234,237,k.o mushroom (small)
235,238,"k.o mushroom (white, flat like fufu)"
236,239,k.o mushroom (brown)
241,244,slimy soup chaff
242,245,huckleberry (njamanjama)
243,246,soup
244,247,slimy soup
245,248,pepper
246,249,native maggi spice
247,250,calcium carbonate (kangwa)
248,251,calcium carbonate (liquid)
249,252,yellow soup
250,253,oil
251,254,palm oil
252,255,palm tree
253,256,palm nut
254,257,palm flower
255,258,palm cone
256,259,kernel (uncracked)
257,260,kernel chaff
258,261,palm cotton
259,262,palm bamboo
260,263,palm frond
261,264,palm beetle
262,265,palm maggot (grub)
264,267,palm barren fruit
265,268,pestle (palm nut)
266,269,kernel shell (bark)
267,270,kernel oil
268,271,palm cone (empty)
269,272,datepalm
270,273,young palm tree
271,274,mbanga soup
272,275,"wine (palm, raffia)"
273,276,outer palm nuts
274,277,fibre - palm (rope)
275,278,empty palm cone
276,279,inner palm nuts (cone)
277,280,Cone (palmnut)
278,281,Cone (nuts removed)
279,282,Palm frond rope
280,283,barren palm cone
281,284,palmnuts(cracked)
282,285,"Palmnut (ripe, uncracked)"
283,286,palm thorns
284,287,"palm margot (yellow, destroys young palms)"
286,289,oil chaff
