ID	Concept	Doculect	Value
1	child	NVB-Abar-7	wân / átɛ̂ŋmbɪ̂
2	child	ECL-Abar-8	wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́
3	child	NEM-Ajumbu-9	wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ
4	child	KDC-Ajumbu-10	wáːnə̂ / átɔ́ŋ
5	child	ENB-Biya-1	wán / bə̀tə̂ŋ
6	child	ICN-Biya-2	wán / bə̀tə᷇ːŋ
7	child	NNB-Buu-3	wán / ɲʲòmnə́
8	child	MNJ-Buu-4	wán / nwòmnə́~ɲʷòmnə́
9	child	KHK-Fang-12	wán / ŋmɛ́m
10	child	DPN-Fang-13	wán / ŋmɛ́m
11	child	JGY-Koshin-3	wāɲ / bāɲ
12	child	TEL-Koshin-4	wáɲ / ba᷇ːɲ
13	child	KCS-Kung-3	wāɲ / m̀nɛ᷇ː
14	child	NJS-Kung-4	wáʲ / wáːɣê ~ nêmê
15	child	NMN-Mundabli-3	wáɦɲ / ɲɒ́ɦm
16	child	CEN-Mundabli-2	wán / ɲɒ́m
17	child	NGT-Munken-3	wān / bə̀kʲə̂ŋ
18	child	NUN-Munken-4	wān / bə̀kʲɪ̄ŋ
19	child	MCA-Ngun-3	wān / bɛ̀tʲa᷇ːŋ
20	child	KBM-Ngun-4	wān / bə́tʲa᷇ːŋ
21	child	APB-Mumfu-1	wɛ́ʼn / ɲɔ́m
22	child	DNM-Mumfu-2	wɛ́ʼn / ɲɔ́m
23	child	BKB-Mashi-2	ŋwə́ / bím
24	child	KFK-Mashi-1	ŋwə́ / bín
25	child	ABS-Missong-1	wâ / bàbyáŋbʊ́
26	child	AGA-Missong-2	wá ~ wó / bàbya᷇ŋ
27	baby	NVB-Abar-7	nan
28	baby	ECL-Abar-8	nan
29	baby	NEM-Ajumbu-9	nan
30	baby	KDC-Ajumbu-10	nan
31	baby	ENB-Biya-1	nan
32	baby	ICN-Biya-2	nan
33	baby	NNB-Buu-3	nan
34	baby	MNJ-Buu-4	nan
35	baby	KHK-Fang-12	nan
36	baby	DPN-Fang-13	nan
37	baby	JGY-Koshin-3	nan
38	baby	TEL-Koshin-4	nan
39	baby	KCS-Kung-3	nan
40	baby	NJS-Kung-4	nan
41	baby	NMN-Mundabli-3	nan
42	baby	CEN-Mundabli-2	nan
43	baby	NGT-Munken-3	nan
44	baby	NUN-Munken-4	nan
45	baby	MCA-Ngun-3	nan
46	baby	KBM-Ngun-4	nan
47	baby	APB-Mumfu-1	wɛ́ʼn / ɲɔ́m
48	baby	DNM-Mumfu-2	wɛ́ʼnwɛ̄ʔn / ɲɔ́mʔbə́
49	baby	BKB-Mashi-2	ŋwə́ / bím
50	baby	KFK-Mashi-1	ŋwóbʷə̄t / bínbʊ̄bə́tbó
51	baby	ABS-Missong-1	fìfyáŋə̂ / mìyáŋmú
52	baby	AGA-Missong-2	wá / bàbya᷇ŋ
53	father	NVB-Abar-7	tà~bə̀bá / àtìlə́bʷɪ̂
54	father	ECL-Abar-8	bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́
55	father	NEM-Ajumbu-9	tâː~tâːtá~tátò / bàtâːtá~bə̀tâː
56	father	KDC-Ajumbu-10	bâbə́~bʷâ / bə̀bâbə́~ábʷá
57	father	ENB-Biya-1	ʊ̀bá~tɛ̂ / pàpá~bàtɛ̂
58	father	ICN-Biya-2	tʲě / bə̀tʲěː
59	father	NNB-Buu-3	tə̌ː / bə̀tǎː
60	father	MNJ-Buu-4	tə̌ː / bə̀tə̌ː
61	father	KHK-Fang-12	tɪ̀lə́ / bə̀tɪ̀lə́
62	father	DPN-Fang-13	bə̀bá / bə̀bø̂
63	father	JGY-Koshin-3	bâ / bə̀bâ
64	father	TEL-Koshin-4	tʲə̂ / bə́tʲə̂
65	father	KCS-Kung-3	bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê
66	father	NJS-Kung-4	bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ
67	father	NMN-Mundabli-3	tɪ̌ː / tʲě
68	father	CEN-Mundabli-2	tɪ̌ː / tɪ̌ː wɪ̄
69	father	NGT-Munken-3	kʲə̀lə́ / bə̀kʲə̀lə́
70	father	NUN-Munken-4	tâ / bə̀tǎː
71	father	MCA-Ngun-3	pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé
72	father	KBM-Ngun-4	bə̀bá / bə̀bə̀bá
73	father	APB-Mumfu-1	tǎ / bə̀tyə̌ ~ tā / bə̀tāː
74	father	DNM-Mumfu-2	tā / bə̀tāːbə́
75	father	BKB-Mashi-2	bə̀bə́ / bʊ̀bə̀bə́
76	father	KFK-Mashi-1	tʃyě / bʊ̀tʃyě
77	father	ABS-Missong-1	tʃyɛ̌ / bàtʃyɛ̌
78	father	AGA-Missong-2	tʃyɛ̌ / bàtʃyɛ̌
79	mother	NVB-Abar-7	nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî
80	mother	ECL-Abar-8	nɪ́jā / àné~bʷɪ̀nɪ́jā
81	mother	NEM-Ajumbu-9	ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́
82	mother	KDC-Ajumbu-10	nânə́ / bə̀nânə́~ánâ
83	mother	ENB-Biya-1	nɪ́ā / bə̀nɪ́ā
84	mother	ICN-Biya-2	ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́
85	mother	NNB-Buu-3	nâ / bə̀nâ
86	mother	MNJ-Buu-4	nɪ́ː / bə̀nɪ́
87	mother	KHK-Fang-12	nɛ́ / bə̀nɛ́
88	mother	DPN-Fang-13	nɛ̂ / bə̀nɛ̂
89	mother	JGY-Koshin-3	nə̂ / bə̀nə̂
90	mother	TEL-Koshin-4	ɲʲə́ / bə̀ɲʲə́
