"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NEM-Ajumbu-9","KDC-Ajumbu-10","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KHK-FANG-12","DPN-FANG-13","JGY-Koshin-3","TEL-Koshin-4","KCS-Kung-3","NJS-Kung-4","KFK-Mashi-1","BKB-Mashi-2","ABS-Missong-1","AGA-Missong-2","APB-Mumfu-1","DNM-Mumfu-2","NMN-Mundabli-3","CEN-Mundabli-2","NGT-Munken-3","NUN-Munken-4","MCA-Ngun-3","KBM-Ngun-4"
"1","child","wân / átɛ̂ŋmbɪ̂","wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́","wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ","wáːnə̂ / átɔ́ŋ","wán / bə̀tə̂ŋ","wán / bə̀tə᷇ːŋ","wán / ɲʲòmnə́","wán / nwòmnə́~ɲʷòmnə́","wán / ŋmɛ́m","wán / ŋmɛ́m","wāɲ / bāɲ","wáɲ / ba᷇ːɲ","wāɲ / m̀nɛ᷇ː","wáʲ / wáːɣê ~ nêmê","ŋwə́ / bín","ŋwə́ / bím","wâ / bàbyáŋbʊ́","wá ~ wó / bàbya᷇ŋ","wɛ́ʼn / ɲɔ́m","wɛ́ʼn / ɲɔ́m","wáɦɲ / ɲɒ́ɦm","wán / ɲɒ́m","wān / bə̀kʲə̂ŋ","wān / bə̀kʲɪ̄ŋ","wān / bɛ̀tʲa᷇ːŋ","wān / bə́tʲa᷇ːŋ"
"2","baby",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ŋwóbʷə̄t / bínbʊ̄bə́tbó","ŋwə́ / bím","fìfyáŋə̂ / mìyáŋmú","wá / bàbya᷇ŋ","wɛ́ʼn / ɲɔ́m","wɛ́ʼnwɛ̄ʔn / ɲɔ́mʔbə́",NULL,NULL,NULL,NULL,NULL,NULL
"3","father","tà~bə̀bá / àtìlə́bʷɪ̂","bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́","tâː~tâːtá~tátò / bàtâːtá~bə̀tâː","bâbə́~bʷâ / bə̀bâbə́~ábʷá","ʊ̀bá~tɛ̂ / pàpá~bàtɛ̂","tʲě / bə̀tʲěː","tə̌ː / bə̀tǎː","tə̌ː / bə̀tə̌ː","tɪ̀lə́ / bə̀tɪ̀lə́","bə̀bá / bə̀bø̂","bâ / bə̀bâ","tʲə̂ / bə́tʲə̂","bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê","bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ","tʃyě / bʊ̀tʃyě","bə̀bə́ / bʊ̀bə̀bə́","tʃyɛ̌ / bàtʃyɛ̌","tʃyɛ̌ / bàtʃyɛ̌","tǎ / bə̀tyə̌ ~ tā / bə̀tāː","tā / bə̀tāːbə́","tɪ̌ː / tʲě","tɪ̌ː / tɪ̌ː wɪ̄","kʲə̀lə́ / bə̀kʲə̀lə́","tâ / bə̀tǎː","pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé","bə̀bá / bə̀bə̀bá"
"4","mother","nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî","nɪ́jā / àné~bʷɪ̀nɪ́jā","ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́","nânə́ / bə̀nânə́~ánâ","nɪ́ā / bə̀nɪ́ā","ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́","nâ / bə̀nâ","nɪ́ː / bə̀nɪ́","nɛ́ / bə̀nɛ́","nɛ̂ / bə̀nɛ̂","nə̂ / bə̀nə̂","ɲʲə́ / bə̀ɲʲə́","nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ","nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ","nî / bʊ̀nî","nî / bʊ̀nî","ɲí / bàɲí","ɲí / bàɲí","n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː","màmí / bə̄nâː","nɪ́ / bɑ̀ɦ ~ bònɪ́","nɪ́ / nɪ́ː","ɲí / bə̀ɲí","nâ / bə̀nàâ","níjā / bɛ̀nɪ́jā","níjā / bɛ̀nɪ́jā"
"5","man",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"mwɪ̀ɲómnɪ́ / bʊ́nôbó","mwɪ́ / bʊ́nɪ́","ǹnò / bànɛ̂bʊ̄~ʊ́ɲʊ́ŋhʊ̃̄/bàɲʊ́ŋhʊ̃̄","n̄nō / bánɛ᷇ːbʊ̄ ~ǹnò/bànɛ᷇ː","mà / mbɛ̂ː~nʊ̂ːbə́","mà / mbɛ̂ː",NULL,NULL,NULL,NULL,NULL,NULL
"6","woman",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"mwɪ́kpān / bʊ́kâːbó","mwɪ́kpān / bʊ́kǎbó","ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́bʊ̄","ʊ̀tʃœ̀lə́ / bàtʃœ̀lə́bū","kpɛ᷆ / tʃɛ᷆","kpɛ᷇~tʃɛ̂ / tʃɛ᷇ː~tʃɛ́hɛ̄~tsɛ̂",NULL,NULL,NULL,NULL,NULL,NULL
"7","person","ònò~ʊ̀nʊ̀ / ána᷇ː","ʊ̀nò / bʷɪ̀na᷇ː","ŋʊ̀ / ánɪ̂~ánîbə̄","ŋʊ̀ / ànè","ʊ̀nʊ̀ / bə̀nô","ʊ̀nə̀~ʊ̀nò / bə̀nø̂","mgbɪ̀ / mbɪ́lə́","mgbɪ̀ː / mbɪ᷇ːlə́","ŋmə̀ / ŋmɪ̀m","ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm","mùèɲ ~ mwèɲ / bə́nî","mɥɪ̀ɲ / bə́nî","wùò / àɣʲə᷇ː","wʊ̀ə̀ / ɣʲə᷇ː","mwɪ̀ / bʊ́ní","mwɪ̀ / bʊ́ní","ǹnò / bànɛ̂bʊ̄","n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː","ø / ø","màwɛ̌n / mbɛ̂ː","mò / ḿbɛ̂ː","mò / mbɛ̂ː","ʊ̀nɛ̀ / bə̀nɛ̂","ʊ̀nè / bə́nê","ʊ̀nò / bɛ̀no᷇ː~áno᷇ː","ʊ̀nò / bə́nô"
"8","male",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"mwɪ̀ɲǒmnɪ̄ / bʊ́nôːbó","mwɪ̀ɲǒmnɪ̄ / bʊ́nôbó","ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́","nòːɲúŋhʊ̄ / bánɛ᷇báɲúŋhʊ̄","mànʊ̂ / nʊ̂ːbə́","ø",NULL,NULL,NULL,NULL,NULL,NULL
"9","wife",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"kpāːn / bʊ́kâːbó","kpāːn / bʊ́kâː","tʃə̄ / bátʃâː","tʃə́wú / bátʃâwú","kpɛ̂~kpá / tʃɛ̂~kpé","kpá~kpɛ̂ / tʃɛ̄bɛ̄n~tʃɛ̂",NULL,NULL,NULL,NULL,NULL,NULL
"10","co-wife",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"kpə̀ʃi᷇ː/ø  (his co-wife)*","kpǎːlə́ / bʊ̀kpǎːlə́ (your co-wife)","ìkwún / kìkwumnə̀","ɪ̀kwʊ̌m / kɪ́kwʊ́mnə́","tʃɔ̄ːm / tʃɔ̄myə́","tʃɔ́m / tʃɔ́m",NULL,NULL,NULL,NULL,NULL,NULL
