ID	Concept	Doculect	Value
1	child	NVB-Abar-7	wân / átɛ̂ŋmbɪ̂
2	child	ECL-Abar-8	wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́
3	child	NEM-Ajumbu-9	wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ
4	child	KDC-Ajumbu-10	wáːnə̂ / átɔ́ŋ
5	child	ENB-Biya-1	wán / bə̀tə̂ŋ
6	child	ICN-Biya-2	wán / bə̀tə᷇ːŋ
7	child	NNB-Buu-3	wán / ɲʲòmnə́
8	child	MNJ-Buu-4	wán / nwòmnə́~ɲʷòmnə́
9	child	KHK-Fang-12	wán / ŋmɛ́m
10	child	DPN-Fang-13	wán / ŋmɛ́m
11	child	JGY-Koshin-3	wāɲ / bāɲ
12	child	TEL-Koshin-4	wáɲ / ba᷇ːɲ
13	child	KCS-Kung-3	wāɲ / m̀nɛ᷇ː
14	child	NJS-Kung-4	wáʲ / wáːɣê ~ nêmê
15	child	NMN-Mundabli-3	wáɦɲ / ɲɒ́ɦm
16	child	CEN-Mundabli-2	wán / ɲɒ́m
17	child	NGT-Munken-3	wān / bə̀kʲə̂ŋ
18	child	NUN-Munken-4	wān / bə̀kʲɪ̄ŋ
19	child	MCA-Ngun-3	wān / bɛ̀tʲa᷇ːŋ
20	child	KBM-Ngun-4	wān / bə́tʲa᷇ːŋ
21	child	APB-Mumfu-1	wɛ́ʼn / ɲɔ́m
22	child	DNM-Mumfu-2	wɛ́ʼn / ɲɔ́m
23	child	BKB-Mashi-2	ŋwə́ / bím
24	child	KFK-Mashi-1	ŋwə́ / bín
25	child	ABS-Missong-1	wâ / bàbyáŋbʊ́
26	child	AGA-Missong-2	wá ~ wó / bàbya᷇ŋ
27	father	NVB-Abar-7	tà~bə̀bá / àtìlə́bʷɪ̂
28	father	ECL-Abar-8	bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́
29	father	NEM-Ajumbu-9	tâː~tâːtá~tátò / bàtâːtá~bə̀tâː
30	father	KDC-Ajumbu-10	bâbə́~bʷâ / bə̀bâbə́~ábʷá
31	father	ENB-Biya-1	ʊ̀bá~tɛ̂ / pàpá~bàtɛ̂
32	father	ICN-Biya-2	tʲě / bə̀tʲěː
33	father	NNB-Buu-3	tə̌ː / bə̀tǎː
34	father	MNJ-Buu-4	tə̌ː / bə̀tə̌ː
35	father	KHK-Fang-12	tɪ̀lə́ / bə̀tɪ̀lə́
36	father	DPN-Fang-13	bə̀bá / bə̀bø̂
37	father	JGY-Koshin-3	bâ / bə̀bâ
38	father	TEL-Koshin-4	tʲə̂ / bə́tʲə̂
39	father	KCS-Kung-3	bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê
40	father	NJS-Kung-4	bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ
41	father	NMN-Mundabli-3	tɪ̌ː / tʲě
42	father	CEN-Mundabli-2	tɪ̌ː / tɪ̌ː wɪ̄
43	father	NGT-Munken-3	kʲə̀lə́ / bə̀kʲə̀lə́
44	father	NUN-Munken-4	tâ / bə̀tǎː
45	father	MCA-Ngun-3	pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé
46	father	KBM-Ngun-4	bə̀bá / bə̀bə̀bá
47	father	APB-Mumfu-1	tǎ / bə̀tyə̌ ~ tā / bə̀tāː
48	father	DNM-Mumfu-2	tā / bə̀tāːbə́
49	father	BKB-Mashi-2	bə̀bə́ / bʊ̀bə̀bə́
50	father	KFK-Mashi-1	tʃyě / bʊ̀tʃyě
51	father	ABS-Missong-1	tʃyɛ̌ / bàtʃyɛ̌
52	father	AGA-Missong-2	tʃyɛ̌ / bàtʃyɛ̌
53	mother	NVB-Abar-7	nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî
54	mother	ECL-Abar-8	nɪ́jā / àné~bʷɪ̀nɪ́jā
55	mother	NEM-Ajumbu-9	ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́
56	mother	KDC-Ajumbu-10	nânə́ / bə̀nânə́~ánâ
57	mother	ENB-Biya-1	nɪ́ā / bə̀nɪ́ā
58	mother	ICN-Biya-2	ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́
59	mother	NNB-Buu-3	nâ / bə̀nâ
60	mother	MNJ-Buu-4	nɪ́ː / bə̀nɪ́
61	mother	KHK-Fang-12	nɛ́ / bə̀nɛ́
62	mother	DPN-Fang-13	nɛ̂ / bə̀nɛ̂
63	mother	JGY-Koshin-3	nə̂ / bə̀nə̂
64	mother	TEL-Koshin-4	ɲʲə́ / bə̀ɲʲə́
65	mother	KCS-Kung-3	nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ
66	mother	NJS-Kung-4	nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ
67	mother	NMN-Mundabli-3	nɪ́ / bɑ̀ɦ ~ bònɪ́
68	mother	CEN-Mundabli-2	nɪ́ / nɪ́ː
69	mother	NGT-Munken-3	ɲí / bə̀ɲí
70	mother	NUN-Munken-4	nâ / bə̀nàâ
71	mother	MCA-Ngun-3	níjā / bɛ̀nɪ́jā
72	mother	KBM-Ngun-4	níjā / bɛ̀nɪ́jā
73	mother	APB-Mumfu-1	n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː
74	mother	DNM-Mumfu-2	màmí / bə̄nâː
75	mother	BKB-Mashi-2	nî / bʊ̀nî
76	mother	KFK-Mashi-1	nî / bʊ̀nî
77	mother	ABS-Missong-1	ɲí / bàɲí
78	mother	AGA-Missong-2	ɲí / bàɲí
79	person	NVB-Abar-7	ònò~ʊ̀nʊ̀ / ána᷇ː
80	person	ECL-Abar-8	ʊ̀nò / bʷɪ̀na᷇ː
81	person	NEM-Ajumbu-9	ŋʊ̀ / ánɪ̂~ánîbə̄
