"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NMA-Abar-1","NAC-Abar-2","NEM-Ajumbu-9","KDC-Ajumbu-10","NVI-Ajumbu-1","KMN-Ajumbu-2","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KEM-Buu-1","KCY-Buu-2","KHK-FANG-12","DPN-FANG-13","KDV-Fang-1","KJS-Fang-2","JGY-Koshin-3","TEL-Koshin-4","DPJ-Koshin-1","MRY-Koshin-2","KCS-Kung-3","NJS-Kung-4","ZKG-Kung-1","BNM-Kung-2","KFK-Mashi-1","BKB-Mashi-2","ABS-Missong-1","AGA-Missong-2","APB-Mumfu-1","DNM-Mumfu-2","NMN-Mundabli-3","CEN-Mundabli-2","LFN-Mundabli-1","NIN-Mundabli-4","NGT-Munken-3","NUN-Munken-4","NEA-Munken-1","TNT-Munken-2","MCA-Ngun-3","KBM-Ngun-4","WCA-Ngun-1","AOM-Ngun-2"
"1","child","wân / átɛ̂ŋmbɪ̂","wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́","wân / bwɪ́tə᷇ːŋ ~ ʃǐːtə᷇ŋ ","wân / bə̀tə᷇ːŋ","wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ","wáːnə̂ / átɔ́ŋ","wâŋ / àtɔ᷇ːŋ ","wàŋ / àtɔ᷇ːŋ ","wán / bə̀tə̂ŋ","wán / bə̀tə᷇ːŋ","wán / ɲʲòmnə́","wán / nwòmnə́~ɲʷòmnə́","wán ~ kúóə̀ / ɲyòmnə́","wán / ɲyòmnə́","wán / ŋmɛ́m","wán / ŋmɛ́m","wán ~ wāɲ / ŋmɛ́n ~ ŋmɛ́m","wen/bum this","wāɲ / bāɲ","wáɲ / ba᷇ːɲ",NULL,NULL,"wāɲ / m̀nɛ᷇ː","wáʲ / wáːɣê ~ nêmê","wāɪ̄ / wáɪ́","wāɪ̄ / ə̀wáɪ́","ŋwə́ / bín","ŋwə́ / bím","wâ / bàbyáŋbʊ́","wá ~ wó / bàbya᷇ŋ","wɛ́ʼn / ɲɔ́m","wɛ́ʼn / ɲɔ́m","wáɦɲ / ɲɒ́ɦm","wán / ɲɒ́m","wān / ɲɔ̄m","wān / ɲɔ̄mbó","wān / bə̀kʲə̂ŋ","wān / bə̀kʲɪ̄ŋ","wán~ / bə́kɪ᷇ːn","wān / bə́kyɨ᷇ːŋ","wān / bɛ̀tʲa᷇ːŋ","wān / bə́tʲa᷇ːŋ","wān~wán/bə̀fɪ́n~bə́tyâŋ~ bɛ̀tya᷇ːŋ","wán~wâw / bɛkyâŋ ~wâwɛ́nwɪ̂"
"2","baby",NULL,NULL,"ʃǐːtə᷇ŋ / ḿtə᷇ŋ ","wân / bə̀tə̂ŋ",NULL,NULL,"wâŋ / àtɔ᷇ːŋ","wàŋ / àtɔ᷇ːŋ",NULL,NULL,NULL,NULL,"wán / ɲyòmnə́","wânbóːlə́ ~ wán / ɲyòmnə́",NULL,NULL,NULL,NULL,NULL,NULL,"kə̄dʒɔ́mə̄ / ø","wāɲ / ø",NULL,NULL,"wáɪ́búó / wáɪ́bwôŋə́","wàɪ̀ʊ̀bwóʊ̀ / wáːbwʊ́ə́","ŋwóbʷə̄t / bínbʊ̄bə́tbó","ŋwə́ / bím","fìfyáŋə̂ / mìyáŋmú","wá / bàbya᷇ŋ","wɛ́ʼn / ɲɔ́m","wɛ́ʼnwɛ̄ʔn / ɲɔ́mʔbə́",NULL,NULL,"kə̀tʊ́ / ø","wámbúé ~wáh / ɲɔ́mbóbwébó ~ɲɔ́m",NULL,NULL,"wânʊ̀ːbə̀lə́ / bə̀kɪ᷇ːŋbə́bə́lə̄","ʃíwán / bə́kyɨ᷇ːŋ",NULL,NULL,"ø / ø","fíbuàŋɨ̂ ~fíkyâŋɪ́ / mùnbyàŋhʊ̀ ~mɨ̃̀ntya᷇ŋ"
"3","father","tà~bə̀bá / àtìlə́bʷɪ̂","bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́","téà / bə̀tìlô","tə̀à ~ bàbá / bə̀tə́à","tâː~tâːtá~tátò / bàtâːtá~bə̀tâː","bâbə́~bʷâ / bə̀bâbə́~ábʷá","tsè~bâːbə́ / àtsèː~àbâbə́","tsè / brǎs","ʊ̀bá~tɛ̂ / pàpá~bàtɛ̂","tʲě / bə̀tʲěː","tə̌ː / bə̀tǎː","tə̌ː / bə̀tə̌ː","tǎː / bə̀tə̌ː ","tàː / bə̀tàː","tɪ̀lə́ / bə̀tɪ̀lə́","bə̀bá / bə̀bø̂",NULL,NULL,"bâ / bə̀bâ","tʲə̂ / bə́tʲə̂",NULL,NULL,"bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê","bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ","bɛ̂ː / ɣɪ̀bɛ̂ː","pə̀pá / sə̀pə̀pá","tʃyě / bʊ̀tʃyě","bə̀bə́ / bʊ̀bə̀bə́","tʃyɛ̌ / bàtʃyɛ̌","tʃyɛ̌ / bàtʃyɛ̌","tǎ / bə̀tyə̌ ~ tā / bə̀tāː","tā / bə̀tāːbə́","tɪ̌ː / tʲě","tɪ̌ː / tɪ̌ː wɪ̄","těː / tēbó","tjě / bə̀tjěbó","kʲə̀lə́ / bə̀kʲə̀lə́","tâ / bə̀tǎː","tǎː ~tâː~ta᷇ː / bə̀ta᷇ː","tāː ~ tá / bə̀kyə̀lə́  ~ bə̀ta᷇ː","pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé","bə̀bá / bə̀bə̀bá","ba᷇ː~ tyē / bə̀ba᷇ː  ~ bə̀tyé","bâː ~bʊ̀bá / bɛ̀bʊ̀bá"
"4","mother","nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî","nɪ́jā / àné~bʷɪ̀nɪ́jā","néà / bə̀néà","nɪ́yā / bə̀nɪ́yā","ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́","nânə́ / bə̀nânə́~ánâ","má / nânə́ ~","mà / màs","nɪ́ā / bə̀nɪ́ā","ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́","nâ / bə̀nâ","nɪ́ː / bə̀nɪ́","nâː / ɲí","nâ / bə̀nâ","nɛ́ / bə̀nɛ́","nɛ̂ / bə̀nɛ̂",NULL,NULL,"nə̂ / bə̀nə̂","ɲʲə́ / bə̀ɲʲə́","ø / ø","ɲʲə̄ / ø","nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ","nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ","nɪ̂ / ɣénɪ̂","nè~nɪ̀ / sə́nè","nî / bʊ̀nî","nî / bʊ̀nî","ɲí / bàɲí","ɲí / bàɲí","n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː","màmí / bə̄nâː","nɪ́ / bɑ̀ɦ ~ bònɪ́","nɪ́ / nɪ́ː","nɪ́ / nɪ́bō","nɛ́ / bə̀nɛ́bó","ɲí / bə̀ɲí","nâ / bə̀nàâ","nǎː~na᷇ː / bə̀na᷇ː","nà ~ nǎ / bèɲí ~bə̀na᷇","níjā / bɛ̀nɪ́jā","níjā / bɛ̀nɪ́jā","ɲɪ́sə̀~ na᷇ː / bəɲísə́ ~ bə̀na᷇ː","nɪ́ ~nɪ́yā / bɛ́nɪ́yā"
"5","man",NULL,NULL,"ʊ̀nʊ̀ɲə́ŋhṍ / ána᷇ːɲə́ŋhṍ","ʊ̀nò / bə́na᷇ː",NULL,NULL,"ŋʊ̀dzʊ̀ŋ / âdû~ànə́m","ŋʊ̀dzʊ̀ŋ~ŋʊ̀ / âdû~ànì",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ŋmə̀ / ŋmɪ᷇m","man, person",NULL,NULL,NULL,NULL,NULL,NULL,"wùònô / ɣyə̂nôɣə̀","wùnʊ̂ː / ɣɨ᷇ːnʊ̂ː","mwɪ̀ɲómnɪ́ / bʊ́nôbó","mwɪ́ / bʊ́nɪ́","ǹnò / bànɛ̂bʊ̄~ʊ́ɲʊ́ŋhʊ̃̄/bàɲʊ́ŋhʊ̃̄","n̄nō / bánɛ᷇ːbʊ̄ ~ǹnò/bànɛ᷇ː","mà / mbɛ̂ː~nʊ̂ːbə́","mà / mbɛ̂ː",NULL,NULL,"mɔ̀ / mbɛ̂ː","mō ~mònó / mbɛ̀ːbɛ́n ~nóbɛ́n",NULL,NULL,"ʊ̀nɛ̀~ʊ̀nʊ̀ɱfə́ / bə́nɛ᷇ː~bə́nʊ́mfə̄","ʊ̀nɛ̀ / bə̀nnɛ̂",NULL,NULL,"ɪ̀nnò / bə̄no᷇ː","ʊ̀nɪ̀hɪ́ / bɛ́nɪ᷇ː"
"6","woman",NULL,NULL,"ʊ̀tʃɛ̂ló / bwɪ́tʃɛ̂ló","ʊ̀tʃɛ̀lló /  bə̀tʃɛ̀lló",NULL,NULL,"ŋʊ̀tsɔ̀ŋ / átsɔ̂ŋ","ŋʊ̀tsɔ̀ŋ / átsɔ̂ŋ",NULL,NULL,NULL,NULL,"pyə́sə́ / tyə́sə́","pyésə́ / tyésə́",NULL,NULL,"ŋmə̀kpɛ̌ŋ / bə̀kɪ̌ŋ","ŋmə̀kpɛ̌ŋ / bə̀kɪ̌ŋ",NULL,NULL,NULL,NULL,NULL,NULL,"wə́zə̂ŋ / ə́ɣyə̂zə́ŋ","wə̀zə̂ŋ / ɣɨ́ːzə́ŋə̀","mwɪ́kpān / bʊ́kâːbó","mwɪ́kpān / bʊ́kǎbó","ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́bʊ̄","ʊ̀tʃœ̀lə́ / bàtʃœ̀lə́bū","kpɛ᷆ / tʃɛ᷆","kpɛ᷇~tʃɛ̂ / tʃɛ᷇ː~tʃɛ́hɛ̄~tsɛ̂",NULL,NULL,"kpé / tʃé","kpé / tʃébɛ́n",NULL,NULL,"ʊ̀tʃʊ̀ə̀lə́ / bə̀tʃʊ̀ə̀lə́ ","ʊ̀tʃœ̀lə́ / bə̀tʃœ̀lə́",NULL,NULL,"ʊ̀tʃʊ̀lʊ́ / bə̀tʃʊ̀lʊ́","ʊtʃûlʊ́ / bɛ̀tʃʊ̀lʊ́ ~bɛ̀tʃùlə́"
"7","person","ònò~ʊ̀nʊ̀ / ána᷇ː","ʊ̀nò / bʷɪ̀na᷇ː","ʊ̀nʊ̀ / bə́na᷇ː","ʊ̀nò / bə́na᷇ː","ŋʊ̀ / ánɪ̂~ánîbə̄","ŋʊ̀ / ànè","ŋʊ̀ / ánɪ̀","ŋʊ̀ / ánɪ̂","ʊ̀nʊ̀ / bə̀nô","ʊ̀nə̀~ʊ̀nò / bə̀nø̂","mgbɪ̀ / mbɪ́lə́","mgbɪ̀ː / mbɪ᷇ːlə́","mgbɪ̀ / mbɪ̀ːlə̀","mgbɪ̀ / mbɪ́ːlə́","ŋmə̀ / ŋmɪ̀m","ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm",NULL,NULL,"mùèɲ ~ mwèɲ / bə́nî","mɥɪ̀ɲ / bə́nî","mʷə̀n  /  bə̀nɪ̀","mwɪ̀n  /  bə̀nɪ̀","wùò / àɣʲə᷇ː","wʊ̀ə̀ / ɣʲə᷇ː","wùò / ə́ɣyə᷇","wʊ̀ə̀ / ə́ɣɨ᷇ː","mwɪ̀ / bʊ́ní","mwɪ̀ / bʊ́ní","ǹnò / bànɛ̂bʊ̄","n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː","ø / ø","màwɛ̌n / mbɛ̂ː","mò / ḿbɛ̂ː","mò / mbɛ̂ː","mɔ̀wɔ́ / mbɛ̀ːbó","mò / mbɛːbɛ́n","ʊ̀nɛ̀ / bə̀nɛ̂","ʊ̀nè / bə́nê","ʊ̀nɛ̀ / bə́nɛ᷇ː","ʊ̀nɛ̀ló / bə̀nɛ̂bə̀ló","ʊ̀nò / bɛ̀no᷇ː~áno᷇ː","ʊ̀nò / bə́nô","ɪ̀nò / bə̀nô","ʊ̀nòː / bɛ́no᷇ː "
"8","male",NULL,NULL,"ʊ̀ɲə́ŋhṍ / bwɪ̄ɲə́ŋhṍ","ʊ̀ɲə́ŋhȭ / bə́ɲə́ŋhȭ",NULL,NULL,"tsɪ̀ / ə̀kə́tsɪ̂~átsɪ̂","ŋʊ̀dzʊ̀ŋ / âdû",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ŋmə̀lə́sʊ̂ŋ / ŋmɪ̂bə̀lyœ̌sʊ̂ŋ","ŋmə̀lə́sʊ̂ŋ / bə̀lyœ̌sʊ̂ŋ",NULL,NULL,"mʷə̀nɲû (mʷìn)  /  bə̀nô","ŋmɪ̀nɲʊ̂ /  bə̀nô",NULL,NULL,"wə̀nôː / ɣyə̂nôːɣə̀","nʊ̂ː / nʊ̂ːɣɨ̀","mwɪ̀ɲǒmnɪ̄ / bʊ́nôːbó","mwɪ̀ɲǒmnɪ̄ / bʊ́nôbó","ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́","nòːɲúŋhʊ̄ / bánɛ᷇báɲúŋhʊ̄","mànʊ̂ / nʊ̂ːbə́","ø",NULL,NULL,"mònó / ø","mònó / nóːbɛ́n",NULL,NULL,"ʊ̀nʊ̀ɱfə́~ʊ̀nɛ̀nʊ̀mfə́ / bə́nʊ́mfə̄","ʊ̀nʊ̀mfə́ / bə̀nnʊ́mfə́",NULL,NULL,"ɪ̀nɪ̀hɪ̃́ / bə́nɪ́hɪ̃̄","ø / ø"
"9","wife",NULL,NULL,"tʃû / bwɪ́tʃú","tʃə̂m /  bə́tʃə́m",NULL,NULL,"kpɔ̂ŋ / ə̀kə́kpɔ̂ŋ~àtsɔ̀ŋ","kpà~ɲívwò / átsɔ̂ŋ",NULL,NULL,NULL,NULL,"pyə́sə́ / tyə́sə́","pyésə́ / tyésə̀nə́",NULL,NULL,"kpə́ŋ / bə̀kɪ́ŋ ","ø / ø",NULL,NULL,"ø / ø","kpɪ̌ː / ø",NULL,NULL,"zǿɪ́ / ə̀zǿɪ́","zɪ́ʲ / ə́zɪ́ʲ","kpāːn / bʊ́kâːbó","kpāːn / bʊ́kâː","tʃə̄ / bátʃâː","tʃə́wú / bátʃâwú","kpɛ̂~kpá / tʃɛ̂~kpé","kpá~kpɛ̂ / tʃɛ̄bɛ̄n~tʃɛ̂",NULL,NULL,"kpé / tʃébó","kpé / tʃébɛ́n",NULL,NULL,"tʃùmə̀/ bə̀tʃólə̀mə́~","tʃʊ̀mə̀ / bə́tʃœ́lə̀mə́",NULL,NULL,"ʊ̀tʃʊ̀lʊ́ / bə̀tʃʊ̀lʊ́","tʃʊ̂ / bɛ́tʃʊ̂"
"10","co-wife",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"kpə̀ʃi᷇ː/ø  (his co-wife)*","kpǎːlə́ / bʊ̀kpǎːlə́ (your co-wife)","ìkwún / kìkwumnə̀","ɪ̀kwʊ̌m / kɪ́kwʊ́mnə́","tʃɔ̄ːm / tʃɔ̄myə́","tʃɔ́m / tʃɔ́m",NULL,NULL,"tʃɔ̄m / tʃɔ̄myə́","tʃɔ̄m / tʃɔ̄myó",NULL,NULL,"ø / ø ","ɪ̀kwʊ̀m / kìkwʊ̀mə̀",NULL,NULL,"ɪ̀kʊ́m / kə̀kʊ̀m","ɪ̀kwu᷇m / kə̀kwùmò"
