ID	Concept	Doculect	Value
1	child	NVB-Abar-7	wân / átɛ̂ŋmbɪ̂
2	child	ECL-Abar-8	wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́
3	child	NMA-Abar-1	wân / bwɪ́tə᷇ːŋ ~ ʃǐːtə᷇ŋ 
4	child	NAC-Abar-2	wân / bə̀tə᷇ːŋ
5	child	NEM-Ajumbu-9	wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ
6	child	NVI-Ajumbu-1	wâŋ / àtɔ᷇ːŋ 
7	child	KMN-Ajumbu-2	wàŋ / àtɔ᷇ːŋ 
8	child	KDC-Ajumbu-10	wáːnə̂ / átɔ́ŋ
9	child	ENB-Biya-1	wán / bə̀tə̂ŋ
10	child	ICN-Biya-2	wán / bə̀tə᷇ːŋ
11	child	NNB-Buu-3	wán / ɲʲòmnə́
12	child	MNJ-Buu-4	wán / nwòmnə́~ɲʷòmnə́
13	child	KEM-Buu-1	wán ~ kúóə̀ / ɲyòmnə́
14	child	KCY-Buu-2	wán / ɲyòmnə́
15	child	KHK-Fang-12	wán / ŋmɛ́m
16	child	DPN-Fang-13	wán / ŋmɛ́m
17	child	KDV-Fang-1	wán ~ wāɲ / ŋmɛ́n ~ ŋmɛ́m
18	child	KJS-Fang-2	wen/bum this
19	child	JGY-Koshin-3	wāɲ / bāɲ
20	child	TEL-Koshin-4	wáɲ / ba᷇ːɲ
21	child	DPJ-Koshin-1	nan
22	child	MRY-Koshin-2	nan
23	child	KCS-Kung-3	wāɲ / m̀nɛ᷇ː
24	child	NJS-Kung-4	wáʲ / wáːɣê ~ nêmê
25	child	ZKG-Kung-1	wāɪ̄ / wáɪ́
26	child	BNM-Kung-2	wāɪ̄ / ə̀wáɪ́
27	child	NMN-Mundabli-3	wáɦɲ / ɲɒ́ɦm
28	child	CEN-Mundabli-2	wán / ɲɒ́m
29	child	LFN-Mundabli-1	wān / ɲɔ̄m
30	child	NIN-Mundabli-4	wān / ɲɔ̄mbó
31	child	NGT-Munken-3	wān / bə̀kʲə̂ŋ
32	child	NUN-Munken-4	wān / bə̀kʲɪ̄ŋ
33	child	NEA-Munken-1	wán~ / bə́kɪ᷇ːn
34	child	TNT-Munken-2	wān / bə́kyɨ᷇ːŋ
35	child	MCA-Ngun-3	wān / bɛ̀tʲa᷇ːŋ
36	child	KBM-Ngun-4	wān / bə́tʲa᷇ːŋ
37	child	WCA-Ngun-1	wān~wán/bə̀fɪ́n~bə́tyâŋ~ bɛ̀tya᷇ːŋ
38	child	AOM-Ngun-2	wán~wâw / bɛkyâŋ ~wâwɛ́nwɪ̂
39	child	APB-Mumfu-1	wɛ́ʼn / ɲɔ́m
40	child	DNM-Mumfu-2	wɛ́ʼn / ɲɔ́m
41	child	BKB-Mashi-2	ŋwə́ / bím
42	child	KFK-Mashi-1	ŋwə́ / bín
43	child	ABS-Missong-1	wâ / bàbyáŋbʊ́
44	child	AGA-Missong-2	wá ~ wó / bàbya᷇ŋ
45	baby	NVB-Abar-7	nan
46	baby	ECL-Abar-8	nan
47	baby	NMA-Abar-1	ʃǐːtə᷇ŋ / ḿtə᷇ŋ 
48	baby	NAC-Abar-2	wân / bə̀tə̂ŋ
49	baby	NEM-Ajumbu-9	nan
50	baby	NVI-Ajumbu-1	wâŋ / àtɔ᷇ːŋ
51	baby	KMN-Ajumbu-2	wàŋ / àtɔ᷇ːŋ
52	baby	KDC-Ajumbu-10	nan
53	baby	ENB-Biya-1	nan
54	baby	ICN-Biya-2	nan
55	baby	NNB-Buu-3	nan
56	baby	MNJ-Buu-4	nan
57	baby	KEM-Buu-1	wán / ɲyòmnə́
58	baby	KCY-Buu-2	wânbóːlə́ ~ wán / ɲyòmnə́
59	baby	KHK-Fang-12	nan
60	baby	DPN-Fang-13	nan
61	baby	KDV-Fang-1	nan
62	baby	KJS-Fang-2	nan
63	baby	JGY-Koshin-3	nan
64	baby	TEL-Koshin-4	nan
65	baby	DPJ-Koshin-1	kə̄dʒɔ́mə̄ / ø
66	baby	MRY-Koshin-2	wāɲ / ø
67	baby	KCS-Kung-3	nan
68	baby	NJS-Kung-4	nan
69	baby	ZKG-Kung-1	wáɪ́búó / wáɪ́bwôŋə́
70	baby	BNM-Kung-2	wàɪ̀ʊ̀bwóʊ̀ / wáːbwʊ́ə́
71	baby	NMN-Mundabli-3	nan
72	baby	CEN-Mundabli-2	nan
73	baby	LFN-Mundabli-1	kə̀tʊ́ / ø
74	baby	NIN-Mundabli-4	wámbúé ~wáh / ɲɔ́mbóbwébó ~ɲɔ́m
75	baby	NGT-Munken-3	nan
76	baby	NUN-Munken-4	nan
77	baby	NEA-Munken-1	wânʊ̀ːbə̀lə́ / bə̀kɪ᷇ːŋbə́bə́lə̄
78	baby	TNT-Munken-2	ʃíwán / bə́kyɨ᷇ːŋ
79	baby	MCA-Ngun-3	nan
80	baby	KBM-Ngun-4	nan
81	baby	WCA-Ngun-1	ø / ø
82	baby	AOM-Ngun-2	fíbuàŋɨ̂ ~fíkyâŋɪ́ / mùnbyàŋhʊ̀ ~mɨ̃̀ntya᷇ŋ
83	baby	APB-Mumfu-1	wɛ́ʼn / ɲɔ́m
84	baby	DNM-Mumfu-2	wɛ́ʼnwɛ̄ʔn / ɲɔ́mʔbə́
85	baby	BKB-Mashi-2	ŋwə́ / bím
86	baby	KFK-Mashi-1	ŋwóbʷə̄t / bínbʊ̄bə́tbó
87	baby	ABS-Missong-1	fìfyáŋə̂ / mìyáŋmú
88	baby	AGA-Missong-2	wá / bàbya᷇ŋ
89	father	NVB-Abar-7	tà~bə̀bá / àtìlə́bʷɪ̂
90	father	ECL-Abar-8	bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́
91	father	NMA-Abar-1	téà / bə̀tìlô
92	father	NAC-Abar-2	tə̀à ~ bàbá / bə̀tə́à
