ID	Concept	Doculect	Value
1	child	NVB-Abar-7	wân / átɛ̂ŋmbɪ̂
2	child	ECL-Abar-8	wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́
3	child	NEM-Ajumbu-9	wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ
4	child	KDC-Ajumbu-10	wáːnə̂ / átɔ́ŋ
5	child	ENB-BIYA-1	wán / bə̀tə̂ŋ
6	child	ICN-BIYA-2	wán / bə̀tə᷇ːŋ
7	child	NNB-Buu-3	wán / ɲʲòmnə́
8	child	MNJ-Buu-4	wán / nwòmnə́~ɲʷòmnə́
9	child	KHK-FANG-12	wán / ŋmɛ́m
10	child	DPN-FANG-13	wán / ŋmɛ́m
11	child	JGY-Koshin-3	wāɲ / bāɲ
12	child	TEL-Koshin-4	wáɲ / ba᷇ːɲ
13	child	KCS-Kung-3	wāɲ / m̀nɛ᷇ː
14	child	NJS-Kung-4	wáʲ / wáːɣê ~ nêmê
15	child	NMN-Mundabli-3	wáɦɲ / ɲɒ́ɦm
16	child	CEN-Mundabli-2	wán / ɲɒ́m
17	child	NGT-Munken-3	wān / bə̀kʲə̂ŋ
18	child	NUN-Munken-4	wān / bə̀kʲɪ̄ŋ
19	child	MCA-Ngun-3	wān / bɛ̀tʲa᷇ːŋ
20	child	KBM-Ngun-4	wān / bə́tʲa᷇ːŋ
21	father	NVB-Abar-7	tà~bə̀bá / àtìlə́bʷɪ̂
22	father	ECL-Abar-8	bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́
23	father	NEM-Ajumbu-9	tâː~tâːtá~tátò / bàtâːtá~bə̀tâː
24	father	KDC-Ajumbu-10	bâbə́~bʷâ / bə̀bâbə́~ábʷá
25	father	ENB-BIYA-1	ʊ̀bá~tɛ̂ / pàpá~bàtɛ̂
26	father	ICN-BIYA-2	tʲě / bə̀tʲěː
27	father	NNB-Buu-3	tə̌ː / bə̀tǎː
28	father	MNJ-Buu-4	tə̌ː / bə̀tə̌ː
29	father	KHK-FANG-12	tɪ̀lə́ / bə̀tɪ̀lə́
30	father	DPN-FANG-13	bə̀bá / bə̀bø̂
31	father	JGY-Koshin-3	bâ / bə̀bâ
32	father	TEL-Koshin-4	tʲə̂ / bə́tʲə̂
33	father	KCS-Kung-3	bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê
34	father	NJS-Kung-4	bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ
35	father	NMN-Mundabli-3	tɪ̌ː / tʲě
36	father	CEN-Mundabli-2	tɪ̌ː / tɪ̌ː wɪ̄
37	father	NGT-Munken-3	kʲə̀lə́ / bə̀kʲə̀lə́
38	father	NUN-Munken-4	tâ / bə̀tǎː
39	father	MCA-Ngun-3	pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé
40	father	KBM-Ngun-4	bə̀bá / bə̀bə̀bá
41	mother	NVB-Abar-7	nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî
42	mother	ECL-Abar-8	nɪ́jā / àné~bʷɪ̀nɪ́jā
43	mother	NEM-Ajumbu-9	ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́
44	mother	KDC-Ajumbu-10	nânə́ / bə̀nânə́~ánâ
45	mother	ENB-BIYA-1	nɪ́ā / bə̀nɪ́ā
46	mother	ICN-BIYA-2	ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́
47	mother	NNB-Buu-3	nâ / bə̀nâ
48	mother	MNJ-Buu-4	nɪ́ː / bə̀nɪ́
49	mother	KHK-FANG-12	nɛ́ / bə̀nɛ́
50	mother	DPN-FANG-13	nɛ̂ / bə̀nɛ̂
51	mother	JGY-Koshin-3	nə̂ / bə̀nə̂
52	mother	TEL-Koshin-4	ɲʲə́ / bə̀ɲʲə́
53	mother	KCS-Kung-3	nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ
54	mother	NJS-Kung-4	nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ
55	mother	NMN-Mundabli-3	nɪ́ / bɑ̀ɦ ~ bònɪ́
56	mother	CEN-Mundabli-2	nɪ́ / nɪ́ː
57	mother	NGT-Munken-3	ɲí / bə̀ɲí
58	mother	NUN-Munken-4	nâ / bə̀nàâ
59	mother	MCA-Ngun-3	níjā / bɛ̀nɪ́jā
60	mother	KBM-Ngun-4	níjā / bɛ̀nɪ́jā
61	person	NVB-Abar-7	ònò~ʊ̀nʊ̀ / ána᷇ː
62	person	ECL-Abar-8	ʊ̀nò / bʷɪ̀na᷇ː
63	person	NEM-Ajumbu-9	ŋʊ̀ / ánɪ̂~ánîbə̄
64	person	KDC-Ajumbu-10	ŋʊ̀ / ànè
65	person	ENB-BIYA-1	ʊ̀nʊ̀ / bə̀nô
66	person	ICN-BIYA-2	ʊ̀nə̀~ʊ̀nò / bə̀nø̂
67	person	NNB-Buu-3	mgbɪ̀ / mbɪ́lə́
68	person	MNJ-Buu-4	mgbɪ̀ː / mbɪ᷇ːlə́
69	person	KHK-FANG-12	ŋmə̀ / ŋmɪ̀m
70	person	DPN-FANG-13	ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm
71	person	JGY-Koshin-3	mùèɲ ~ mwèɲ / bə́nî
72	person	TEL-Koshin-4	mɥɪ̀ɲ / bə́nî
73	person	KCS-Kung-3	wùò / àɣʲə᷇ː
74	person	NJS-Kung-4	wʊ̀ə̀ / ɣʲə᷇ː
75	person	NMN-Mundabli-3	mò / ḿbɛ̂ː
76	person	CEN-Mundabli-2	mò / mbɛ̂ː
77	person	NGT-Munken-3	ʊ̀nɛ̀ / bə̀nɛ̂
78	person	NUN-Munken-4	ʊ̀nè / bə́nê
79	person	MCA-Ngun-3	ʊ̀nò / bɛ̀no᷇ː~áno᷇ː
