Vertex	color
ABSMissong1	red
AGAMissong2	red
AOMNgun2	red
APBMumfu1	red
BAAMashi4	red
BKBMashi2	red
BNMKung2	red
CENMundabli2	red
DNMMumfu2	red
DPNFang13	red
ECLAbar8	red
ENBBiya1	red
FBCBiya8	red
ICNBiya2	red
JGYKoshin3	red
KBMNgun4	red
KCSKung3	red
KCYBuu2	red
KDCAjumbu10	red
KDVFang1	red
KEMBuu1	red
KFKMashi1	red
KHKFang12	red
KJSFang2	red
KMNAjumbu2	red
LFNMundabli1	red
MCANgun3	red
MEAMumfu3	red
MNJBuu4	red
MRYKoshin2	red
NACAbar2	red
NCCMumfu4	red
NCMMashi5	red
NDNMissong5	red
NEAMunken1	red
NEMAjumbu9	red
NFKBiya7	red
NGTMunken3	red
NINMundabli4	red
NJNBiya6	red
NJSKung4	red
NMAAbar1	red
NMNMundabli3	red
NMSMissong4	red
NNBBuu3	red
NSFBiya5	red
NUNMunken4	red
NVBAbar7	red
NVIAjumbu1	red
TELKoshin4	red
TNTMunken2	red
WCANgun1	red
ZKGKung1	red
